patternType,pattern,toolType,examples,reasoning,pmid
naming_convention,\w+\s+hemizygous\s+mice,animal_model,['Nf2 hemizygous mice'],Captures hemizygous knockout mouse models,PMID:10887156
context_phrase,excision\s+of\s+\w+\s+exon\s+\d+,genetic_reagent,['excision of Nf2 exon 2'],Identifies targeted genetic modification systems,PMID:10887156
naming_convention,[A-Z][a-z0-9]+[+/-]+\s+(mice|cells),animal_model,"['Nf1 mutant mice', 'Nf1-/- cells']",Pattern to catch knockout/mutant animal models and cell lines with genetic notation,PMID:11080503
context_phrase,primary\s+[A-Z][a-z0-9]+-deficient\s+cells,cell_line,['primary Nf1-deficient cells'],Pattern to catch primary cell cultures derived from knockout animals,PMID:11080503
term,\b[A-Z][a-z0-9]+\s+GRD\b,genetic_reagent,"['neurofibromin GRD', 'p120GAP GRD', 'NF1 GRD']",Pattern to catch GAP-related domain constructs commonly used in functional studies,PMID:11080503
context_phrase,(mutant|inactive)\s+[A-Z][a-z0-9]+\s+(GRD|construct|domain),genetic_reagent,['GAP-inactive mutant NF1 GRD'],Pattern to catch mutant versions of protein domains/constructs,PMID:11080503
term,\b(AAV|adeno-associated virus)\b,genetic_reagent,['AAV'],Pattern to catch adeno-associated virus vectors commonly used for gene delivery,PMID:11080503
term,\b(oHSV|oncolytic.*virus|T-VEC)\b,genetic_reagent,"['oHSV', 'T-VEC']",Pattern to catch oncolytic viruses used as therapeutic tools,PMID:11080503
context_phrase,membrane-targeted\s+[A-Z]+\s+constructs?,genetic_reagent,['membrane-targeted GRD constructs'],Pattern to catch specifically targeted genetic constructs,PMID:11080503
context_phrase,loss-of-function\s+(\w+)\s+(mutants?|phenotypes?),animal_model,['loss-of-function Merlin phenotypes'],Captures loss-of-function mutant strains which are common in Drosophila genetics but may be missed by current patterns,PMID:11404331
context_phrase,dominant-negative\s+(\w+)\s+(mutants?|phenotypes?),animal_model,['dominant-negative Merlin phenotypes'],Identifies dominant-negative mutant constructs/strains used in genetic studies,PMID:11404331
context_phrase,mutations?\s+in\s+(\w+)\s+and\s+(\w+),animal_model,['mutations in scribbler and blistered'],Captures multiple mutant strains mentioned together in genetic interaction studies,PMID:11404331
naming_convention,Group\s+[IVX]+[a-z]?\/(\w+),animal_model,"['Group IIa/scribbler', 'Group IIc/blistered', 'Group IId/net']",Drosophila complementation group naming convention that indicates specific mutant strains,PMID:11404331
context_phrase,(\w+)\s+\(also\s+known\s+as\s+(\w+)\),animal_model,['scribbler (also known as brakeless)'],Captures alternative gene/strain names common in Drosophila genetics literature,PMID:11404331
term,real-time PCR|qPCR|quantitative PCR,computational_tool,"['real-time PCR', 'quantitative PCR analysis']","Real-time PCR involves computational analysis software for quantification and should be captured when used as an analytical method, not just mentioned as a general technique",PMID:11433044
context_phrase,plasmid containing|plasmid with|construct containing,genetic_reagent,['plasmid containing both alternative transcripts'],Custom plasmid constructs used as experimental tools should be captured even when not given specific names or catalog numbers,PMID:11433044
term,boundary-spanning primer|junction primer|exon-spanning primer,genetic_reagent,['boundary-spanning primer'],"Specialized primers designed for specific applications (splice variant detection, junction amplification) are genetic reagents that should be captured",PMID:11433044
vendor_indicator,\b(ATCC Cat#|Cell Signaling Technology|Developmental Studies Hybridoma Bank)\s+[A-Z0-9#-]+,antibody,"['ATCC Cat# CCL-34', 'Cell Signaling Technology, #3724', 'Developmental Studies Hybridoma Bank, DCAD2']",Vendor names with catalog numbers are strong indicators of commercial research tools,PMID:11756419
term,RRID:[A-Z]+_[0-9]+,general,"['RRID:CVCL_0063', 'RRID:AB_1549585', 'RRID:NCBITaxon_7227']",Research Resource Identifiers (RRIDs) are standardized identifiers for research tools and should be captured,PMID:11756419
context_phrase,\b(anti-[A-Za-z0-9]+)\s+\([^)]*\)\s+\(1:[0-9]+\),antibody,"['anti-Mer (74) (1:10000)', 'anti-HA (Cell Signaling Technology, #3724, RRID:AB_1549585, 1:500)']",Antibody names followed by reference and dilution ratios are clear tool usage patterns,PMID:11756419
naming_convention,\b[A-Z][a-z0-9]+[0-9]+[A-Z]*\s+(cells?|cell line),cell_line,"['HEK293T cells', 'S2R+ cells']",Standard cell line naming conventions followed by 'cells' or 'cell line',PMID:11756419
context_phrase,measured using|analyzed using|performed using|imaged on,computational_tool,"['measured using ImageJ', 'performed using Graphpad Prism', 'imaged on a Zeiss LSM 880']",Usage phrases that indicate active use of software or instruments in analysis,PMID:11756419
term,SSPNN|Splice Site Prediction by Neural Network,computational_tool,"['SSPNN', 'Splice Site Prediction by Neural Network (SSPNN)']","Specific bioinformatics tool for splice site analysis, commonly used in genomics research",PMID:12057013
term,mfold\s+(computer\s+)?program\s+version\s+[0-9.]+,computational_tool,['mfold computer program version 3.0'],Well-established RNA secondary structure prediction software with version numbers,PMID:12057013
naming_convention,"p[A-Z]{2,}[0-9.-]+.*vector",genetic_reagent,['pCR2.1-TOPO-vector'],Plasmid/vector naming convention starting with 'p' followed by alphanumeric identifiers,PMID:12057013
naming_convention,TOP-[0-9]+[A-Z']*\s+cells,genetic_reagent,"[""TOP-10F' cells""]",Bacterial strain naming convention for competent cells used in cloning,PMID:12057013
vendor_indicator,TRIzol\s+LS\s+Reagent\s+\([^)]+\),genetic_reagent,['TRIzol LS Reagent (Invitrogen)'],Commercial reagent with specific product name and vendor in parentheses,PMID:12057013
vendor_indicator,SuperScript\s+[IVX]+\s+[Rr]everse\s+transcriptase\s+\([^)]+\),genetic_reagent,['SuperScript II Reverse transcriptase (Invitrogen)'],Commercial enzyme with version number and vendor information,PMID:12057013
context_phrase,program was written in\s+([A-Z]+),computational_tool,['A program was written in DELPHI'],Indicates custom software development using specific programming languages/environments,PMID:12057013
context_phrase,"specific strain names with genetic modifications (e.g., Nf1+/-, Nf2flox/flox, B6.129-Nf1tm1Tyj)",animal_model,['No specific examples found in this abstract'],Review articles often mention mouse models but rarely provide specific strain identifiers. Future mining should look for formal strain nomenclature rather than generic terms like 'knockout mice',PMID:12082543
term,"exclude generic terms in review context: 'mouse models', 'knockout mice', 'targeting strategies'",general,"['homozygous knockout mice', 'mouse targeting strategies']",These generic terms in review articles are not specific research tools and create false positives. Need context analysis to distinguish review citations from experimental usage,PMID:12082543
term,real-time PCR|qPCR|quantitative PCR,computational_tool,['real-time PCR'],Real-time PCR is a fundamental computational tool for quantitative analysis in molecular biology studies and should be captured when used for data generation,PMID:12095621
context_phrase,quantified by [tool]|analyzed using [tool]|measured with [tool],general,['quantified by real-time PCR'],"These phrases indicate active tool usage for data generation and analysis, distinguishing from mere citations",PMID:12095621
naming_convention,D[0-9]+S[0-9]+,genetic_reagent,"['D22S1', 'D22S28', 'D22S33', 'D22S41', 'D22S42']",This regex pattern would catch sequence-tagged sites (STS) markers which follow the standard nomenclature D[chromosome]S[number]. These are commonly used genetic markers in mapping studies.,PMID:1427886
term,radiation hybrid(s)?,cell_line,"['radiation hybrids', 'radiation hybrid map']",Radiation hybrids are a specific type of cell line panel used for genetic mapping. This term should be recognized as a cell line tool.,PMID:1427886
term,(hamster-human|human-hamster) somatic cell hybrid(s)?,cell_line,['hamster-human somatic cell hybrids'],"Somatic cell hybrids, especially interspecies hybrids, are specialized cell lines used for genetic mapping and chromosome analysis.",PMID:1427886
context_phrase,generated by X-irradiation and cell fusion,cell_line,['hamster-human somatic cell hybrids generated by X-irradiation and cell fusion'],"This phrase specifically describes the generation method for radiation hybrid cell lines, providing strong context for tool identification.",PMID:1427886
term,framework map,computational_tool,['single framework map consisting of 8 markers'],"Framework maps are computational constructs in genetic mapping, representing ordered sets of markers. However, this may be too generic without specific software context.",PMID:1427886
term,\b(UMLS|Unified Medical Language System)\b,computational_tool,"['The Unified Medical Language System (UMLS)', 'UMLS knowledge sources']",UMLS is a major biomedical informatics resource that should be captured,PMID:14681409
term,\b(MetaMap|MetamorphoSys|lvg)\b,computational_tool,"['MetaMap', 'MetamorphoSys', 'lvg']",These are specific UMLS-associated tools that are widely used in biomedical text mining,PMID:14681409
context_phrase,tools for (customizing|generating|extracting),computational_tool,"['tools for customizing the Metathesaurus', 'tools for extracting UMLS concepts']",This phrase pattern indicates software tools with specific functions,PMID:14681409
naming_convention,\b[A-Z][a-z]+[A-Z][a-z]+\b,computational_tool,"['MetaMap', 'MetamorphoSys']",CamelCase naming is common for bioinformatics tools and software,PMID:14681409
term,digoxigenin-\d+-dUTP,genetic_reagent,['digoxigenin-11-dUTP'],Digoxigenin-labeled nucleotides are specific reagents for nonradioactive labeling - pattern would catch various digoxigenin derivatives,PMID:1519665
context_phrase,DNA probes were synthesized for,genetic_reagent,['DNA probes were synthesized for type I and type II collagen'],"This phrase specifically indicates custom probe synthesis, which represents genetic reagent development",PMID:1519665
context_phrase,oligonucleotide probes?,genetic_reagent,['digoxigenin-11-dUTP-labeled oligonucleotide probes'],Oligonucleotide probes are fundamental genetic reagents for hybridization studies,PMID:1519665
context_phrase,nonsense sequence,genetic_reagent,['nonsense sequence hybridization'],Nonsense/scrambled sequences are important negative control reagents in hybridization studies,PMID:1519665
naming_convention,[A-Z]+\s+beta\s+\d+\s+probe,genetic_reagent,"['TGF beta 1 probe', 'TGF beta 2 probe']",Pattern for growth factor probes with beta nomenclature commonly used in molecular biology,PMID:1519665
naming_convention,[A-Z][a-z]+-[A-Z][a-z]+ rats?|[A-Z][a-z]+/[A-Z][a-z]+ rats?,animal_model,"['Sprague-Dawley rats', 'Wistar rats', 'C57BL/6 mice']",Standard laboratory animal strain nomenclature follows specific naming patterns that should be captured,PMID:15206577
term,DNA microarray|microarray|gene chip|expression array,genetic_reagent,"['DNA microarrays that were detectable for 1,090 genes']",Microarray technology is a fundamental molecular biology tool that should be systematically captured,PMID:15206577
context_phrase,"antibody.*\([A-Z0-9]+,\s*[A-Za-z\s]+\)",antibody,"['TyrH antibody raised in rabbit (AB152, Millipore, 1:10,000 dilution)']",Antibodies with catalog numbers and vendor information in parentheses are clear tool indicators,PMID:15206577
vendor_indicator,assay kit[s]?.*from\s+[A-Z][a-zA-Z\s]+(?:Company|Systems|Biotech|Inc\.?|Corp\.?),genetic_reagent,"['assay kits for quantifying total protein, SOD, GPx, GR, GST, total GSH, and MDA were purchased from Cayman Chemical Company']",Commercial assay kits with vendor information are legitimate research reagents,PMID:15206577
term,SPSS|SAS|R\s+version|Python\s+\d|MATLAB|ImageJ|GraphPad,computational_tool,['IBM SPSS software version 22.0'],Common statistical and analysis software should be systematically captured with version information,PMID:15206577
context_phrase,ELISA kit.*from\s+[A-Z][a-zA-Z\s]+(?:Biotech|Inc\.?|Corp\.?),genetic_reagent,"['ELISA kit from Cusabio Biotech, China']",ELISA kits are standard biochemical reagents that should be captured when vendor is specified,PMID:15206577
term,SCID mice|severe combined immunodeficiency.*mice,animal_model,"['SCID mice', 'Mice with severe combined immunodeficiency (SCID)']",SCID mice are a common immunodeficient mouse strain used for xenograft studies - should be recognized as animal model,PMID:15240917
context_phrase,human.*xenograft|xenotransplant|patient.*transplant.*mice,patient_derived_model,"['human neurofibroma xenografts', 'human neurofibroma xenotransplants']",Patient-derived xenograft models are created by transplanting human tissue into mice - key PDX terminology,PMID:15240917
vendor_indicator,\(Dako.*\)|\(Vector Laboratories.*\)|\(Diagnostic Instruments.*\),antibody,"['(Dako Corp, Carpinteria, Calif)', '(Vector Laboratories, Burlingame, Calif)']","Vendor information in parentheses often indicates research reagents, especially antibodies and detection reagents",PMID:15240917
naming_convention,anti-[A-Z0-9-]+.*antibod|rabbit.*antiserum|[Ff]luorescein-conjugated,antibody,"['rabbit anti-S-100 antibodies', 'Fluorescein-conjugated IB4']",Standard antibody nomenclature patterns that indicate immunological reagents,PMID:15240917
context_phrase,analyzed.*using|compared.*using|software|statistical.*test,computational_tool,"['compared using the Chi-square test', 'SPOT II software']",Analysis and software usage phrases that indicate computational tools,PMID:15240917
vendor_indicator,\b[A-Z][a-zA-Z]+ [A-Z][a-zA-Z0-9]+ \d+(\.\d+)? (computer program|software|system)\b,computational_tool,"['Oligo 5.0 computer program', 'PE Biosystems analysis software']",Pattern to catch software/systems with version numbers and descriptive terms,PMID:15255999
vendor_indicator,\b[A-Z][a-zA-Z]+ [A-Z][a-zA-Z0-9]+ \d+ [A-Za-z]+ [A-Za-z]+ [A-Za-z]+ System\b,computational_tool,['ABI Prism 7700 Sequence Detection System'],Pattern to catch laboratory instrument systems with model numbers,PMID:15255999
vendor_indicator,\b[A-Z][a-zA-Z]+\s+(PCR|RT-PCR)\s+Core\s+(REAGENTS?|Reagents?)\s+Kit\b,genetic_reagent,"['TaqMan PCR Core REAGENTS Kit', 'SYBR Green PCR Core Reagents kit']",Pattern to catch commercial PCR reagent kits with brand names,PMID:15255999
vendor_indicator,\b[A-Z][a-zA-Z]+\s+[IVX]+\s+[A-Za-z-]+\s+transcriptase\b,genetic_reagent,['Superscript II RNase H-reverse transcriptase'],Pattern to catch specific enzyme reagents with Roman numerals in names,PMID:15255999
vendor_indicator,"\b[A-Z][a-zA-Z]+\s+[A-Za-z]+\s+inhibitor\s+\([A-Z][a-zA-Z]+,",genetic_reagent,"['RNasin RNase inhibitor (Promega,']",Pattern to catch enzyme inhibitors with vendor information in parentheses,PMID:15255999
term,oligonucleotide microarray[s]?,genetic_reagent,['oligonucleotide microarrays representing approximately 8100 unique human gene transcripts'],Oligonucleotide microarrays are specific genetic reagents/platforms used for gene expression profiling and should be captured as research tools,PMID:15446585
context_phrase,gene expression profiling.*using\s+([\w\s]+microarray[s]?),genetic_reagent,['gene expression profiling on 25 NF1-associated and 17 sporadic MPNSTs using oligonucleotide microarrays'],Context phrase that indicates the use of microarray technology as a research tool in gene expression studies,PMID:15446585
term,unsupervised clustering,computational_tool,['using an unsupervised clustering approach'],Unsupervised clustering is a specific computational method commonly used in genomics research and should be recognized as a computational tool,PMID:15446585
naming_convention,representing approximately \d+ unique.*gene transcripts,genetic_reagent,['representing approximately 8100 unique human gene transcripts'],"This pattern indicates the specification of microarray or gene panel content, which is characteristic of genetic reagent descriptions",PMID:15446585
vendor_indicator,"\([A-Z][a-z]+ [A-Z][a-z]+ [A-Z][a-z]+, [A-Z]{2}, USA\)",general,"['(Thermo Fisher Scientific, Waltham, MA, USA)', '(MilliporeSigma, Burlington, MA, USA)']",Vendor information in parentheses with location details strongly indicates research tools,PMID:15570216
term,anti-[A-Z][a-zA-Z0-9]+ antibod(y|ies),antibody,"['anti-NeuN antibody', 'anti-GFP antibodies']",Standard antibody naming convention was completely missed,PMID:15570216
context_phrase,Cat\. No\. [A-Z0-9]+,general,['Cat. No. MAB377X'],Catalog numbers are strong indicators of commercial research reagents,PMID:15570216
term,\[CRL-[0-9]+; American Type Culture Collection,cell_line,['[CRL-12203; American Type Culture Collection (ATCC)'],ATCC catalog format is standard for authenticated cell lines,PMID:15570216
naming_convention,p[A-Z][A-Z0-9]+ (plasmid|vector|construct),genetic_reagent,"['pCAX contains', 'pMES-cNf2 uses']",Standard plasmid naming convention starting with 'p' followed by construct name,PMID:15570216
term,piggyBac [A-Z]+ [A-Z]+ [A-Z]+ vector,genetic_reagent,['piggyBac TK NeoR CMV GFP FRT backbone vector'],Transposon vector systems with component descriptions,PMID:15570216
context_phrase,measured using [A-Z][a-zA-Z]+ [0-9]* software,computational_tool,"['measured using image J software', 'using GraphPad Prism 9']",Software usage context with version information,PMID:15570216
term,Alexa Fluor [0-9]+-conjugated,antibody,"['Alexa Fluor 488 conjugated anti-NeuN antibody', 'Alexa Fluor 488-conjugated secondary antibody']",Fluorescent antibody conjugates are commonly used research reagents,PMID:15570216
term,Metafer\s+\d+,computational_tool,['Metafer 4'],Metafer is a specific automated imaging analysis system commonly used in cytogenetics - should be captured as computational tool,PMID:15623944
context_phrase,"automatic image analysis station,?\s+([A-Za-z0-9\s]+)",computational_tool,"['automatic image analysis station, Metafer 4']",Context phrase that reliably indicates imaging analysis software/hardware systems used in research,PMID:15623944
term,"centromeric chromosome probes?\s*\([0-9,\s]+\)",genetic_reagent,"['centromeric chromosome probes (7, 17 and 18)']",Pattern to capture chromosome-specific probes used in FISH analysis with chromosome numbers in parentheses,PMID:15623944
term,chromosome\s+(\d+)\s+centromeric probe,genetic_reagent,"['chromosome 7 centromeric probe', 'chromosome 17 centromeric probe', 'chromosome 18 centromeric probe']",Pattern to capture individual chromosome centromeric probes by number - common genetic reagents in cytogenetics,PMID:15623944
context_phrase,fluorescence in situ hybridization.*using\s+([^.]+),genetic_reagent,['fluorescence in situ hybridization (FISH) technique using centromeric chromosome probes'],FISH technique context reliably indicates use of molecular probes and reagents,PMID:15623944
context_phrase,cell cultures? of,cell_line,['fibroblast and schwannoma cell cultures of this patient'],Pattern to capture patient-derived cell cultures used in validation experiments,PMID:15681480
context_phrase,fluorescent multiplex PCR assays?,genetic_reagent,['two fluorescent multiplex PCR assays that amplify'],Pattern to capture specific PCR assay reagents used in molecular diagnostics,PMID:15681480
naming_convention,[a-zA-Z]+ cell cultures?,cell_line,"['fibroblast cell cultures', 'schwannoma cell cultures']",General pattern for cell culture types mentioned in experimental contexts,PMID:15681480
context_phrase,gene dosage analysis,computational_tool,['We perform a gene dosage analysis with'],Indicates computational analysis methods that may involve specific software tools,PMID:15681480
term,E\.?\s*coli|Escherichia coli,genetic_reagent,['Escherichia coli'],E. coli is a standard bacterial expression system used as a genetic reagent in molecular biology. Should be captured when mentioned as expression host.,PMID:1587809
naming_convention,[A-Z]+[0-9]+-[0-9]+,genetic_reagent,"['NF1-333', 'GAP-334']",Protein constructs often follow naming conventions with gene name followed by numbers indicating amino acid positions or construct variants.,PMID:1587809
context_phrase,mutant protein|mutated.*protein|site-directed mutant,genetic_reagent,['Lys-1422 mutant protein'],Mutant proteins are important genetic reagents. Context phrases indicating mutagenesis should trigger tool detection.,PMID:1587809
context_phrase,expressed in.*as.*protein|expression.*in.*coli,genetic_reagent,['expressed in Escherichia coli as a soluble protein'],Phrases describing protein expression systems indicate both the expression host and the expressed construct as potential tools.,PMID:1587809
term,transgenic mouse model,animal_model,['transgenic mouse model of neurofibromatosis'],Generic but specific term for genetically modified mouse models that should be captured,PMID:1605307
naming_convention,[GENE/VIRUS]\s+transgenic\s+(mice|mouse),animal_model,['HTLV-1 tax transgenic mice'],Pattern to capture transgenic mouse lines named after the specific gene or viral element they express,PMID:1605307
context_phrase,expression of.*gene in transgenic mice,animal_model,['expression of the human T-cell lymphotropic virus type 1 (HTLV-1) tax gene in transgenic mice'],Context phrase indicating transgenic mouse model development/usage,PMID:1605307
term,tax gene,genetic_reagent,['HTLV-1 tax gene'],Viral tax genes are commonly used genetic reagents in cancer and neurofibromatosis research,PMID:1605307
naming_convention,[A-Za-z0-9]+[+/-]+ mice|[A-Za-z0-9]+[+/-]+ mouse,animal_model,"['Nf1+/- mice', 'p53+/- mice', 'BRCA1+/- mouse']",Genetic nomenclature for heterozygous knockout mice is standard in research but not captured by current patterns,PMID:16093333
term,wild-type mice|wildtype mice|wild-type mouse|wildtype mouse|WT mice|WT mouse,animal_model,"['wild-type neurons', 'wildtype sensory neurons']",Control animal models are essential research tools but often missed by mining patterns,PMID:16093333
term,nerve growth factor|NGF|brain-derived neurotrophic factor|BDNF|epidermal growth factor|EGF,genetic_reagent,['nerve growth factor augmented the excitability'],Growth factors are commonly used reagents in neuroscience research,PMID:16093333
context_phrase,capsaicin-sensitive|capsaicin-responsive|TRPV1-positive,genetic_reagent,['capsaicin-sensitive sensory neurons'],Capsaicin is used as a reagent to identify specific neuron populations in pain research,PMID:16093333
context_phrase,isolated from|neurons from|cells from|tissue from,general,['sensory neurons isolated from the dorsal root ganglia'],Context phrases indicating primary cell/tissue isolation often accompany animal model usage,PMID:16093333
naming_convention,\b[A-Z][a-z0-9]+\s*(fl/fl|fl/-|\+/-|\-/\-|\+/\+)\s*;?\s*[A-Z][a-z]+Cre\b,animal_model,"['Nf1 fl/fl; PostnCre', 'Nf1 fl/-; PostnCre']",Captures conditional knockout mouse genotype notation with Cre recombinase systems,PMID:16226708
naming_convention,\b[A-Z][a-z0-9]+\([+\-/]+\)\s+mice\b,animal_model,['Nf1(+/-) mice'],Captures parenthetical genotype notation commonly used in mouse genetics,PMID:16226708
naming_convention,\b(C57BL/6|129/S|BALB/c|DBA/2|FVB/N)\s+(background|strain)\b,animal_model,"['C57BL/6 background', '129/S background']",Captures standard inbred mouse strain backgrounds used in research,PMID:16226708
vendor_indicator,\b(Prizm|Prism)\s*\([Gg]raphpad\),computational_tool,['Prizm (Graphpad)'],Captures GraphPad Prism statistical software with common misspelling,PMID:16226708
context_phrase,visualized using\s+([A-Z][a-zA-Z\s]+),computational_tool,['visualized using Aperio Imagescope'],Captures imaging and visualization software mentioned in methods,PMID:16226708
vendor_indicator,\b(Leica|Zeiss|Olympus|Nikon)\s+[a-zA-Z\s]+\b,genetic_reagent,['Leica rotary microtome'],Captures laboratory equipment from major microscopy/instrumentation vendors,PMID:16226708
context_phrase,mice genetically engineered to lack [GENE],animal_model,['mice genetically engineered to lack NF1 in CNS'],This phrase pattern clearly indicates the use of genetically engineered animal models and should be captured by mining algorithms. The pattern 'genetically engineered to lack' is a strong indicator of knockout mouse models.,PMID:16314489
context_phrase,[GENE] in [TISSUE/ORGAN],animal_model,['NF1 in CNS'],"When combined with genetic engineering context, tissue-specific gene mentions often indicate conditional knockout or tissue-specific animal models. This pattern could help identify conditional knockout mice.",PMID:16314489
term,genetic model,animal_model,['provide a genetic model for NF1-associated astrogliosis and optic glioma'],The phrase 'genetic model' at the end of the abstract explicitly states that this work provides an animal model system. This terminology should be captured as it directly indicates the development/use of research tools.,PMID:16314489
term,yeast artificial chromosome|YAC system|YAC vector,genetic_reagent,"['yeast artificial chromosome (YAC) system', 'YAC contig']",YAC systems are fundamental molecular cloning tools that should be consistently detected as genetic reagents,PMID:1639394
context_phrase,plasmid rescue|vector rescue|end rescue,genetic_reagent,"['plasmid rescue in bacteria', 'YAC end rescue']",Rescue techniques are standard molecular biology methods that represent genetic reagent tools,PMID:1639394
naming_convention,homologous recombination in (yeast|bacteria|E\.?\s*coli),genetic_reagent,['homologous recombination in yeast'],Homologous recombination systems are genetic engineering tools that should be captured,PMID:1639394
term,contig (construction|assembly|map|mapping),computational_tool,"['YAC contig map', 'contig construction']","Contig construction and mapping often involve computational tools, especially in genomics contexts",PMID:1639394
naming_convention,\b[A-Z][a-z0-9]+[+/-]+\s+mice\b,animal_model,"['Nf1+/- mice', 'K-ras+/- mice']",Captures standard mouse genetic nomenclature with heterozygous notation commonly used in research,PMID:16524466
vendor_indicator,\b(Jackson Laboratory|JAX)\s+.*\b(strain|mice|mouse)\b,animal_model,['Jackson Laboratory (symbol Nf1 ) [ tm 1 Fcr 22 ]'],"Jackson Laboratory is a major supplier of research mice, vendor name indicates commercial animal model",PMID:16524466
term,\bAffymetrix\s+.*\s+(chip|array|platform)\b,computational_tool,['Affymetrix Mouse Genome chip (Murine 430 2.0)'],Affymetrix microarray platforms are standard genomics tools with specific model numbers,PMID:16524466
context_phrase,\b(kit|Kit)\s*\([^)]+\),genetic_reagent,"['RTPCR Mini-prep kit', 'Absolutely RNA Miniprep Kit (Stratagene)']",Commercial kits with vendor information in parentheses are common molecular biology reagents,PMID:16524466
term,\bGeneSpring\s+v?\s*[0-9.]+\b,computational_tool,['GeneSpring v 5.0'],GeneSpring is a standard gene expression analysis software with version numbers,PMID:16524466
context_phrase,\b(analyzed|processed|extracted|amplified)\s+(using|with|on)\s+([A-Z][a-zA-Z0-9\s]+)\b,general,"['amplified on the Chromo4 Four-Color Real-Time System', 'extracted using Affymetrix Microarray Suite']",Action verbs followed by tool names indicate actual usage rather than citations,PMID:16524466
naming_convention,\b[A-Z][a-zA-Z0-9]+\s+(polymerase|ligase|nuclease|kinase)\b,genetic_reagent,"['Taq Gold polymerase', 'T4 DNA ligase']",Enzyme names with specific brands/types are common molecular biology reagents,PMID:16524466
vendor_indicator,\b(Stratagene|Invitrogen|Qiagen|Finnzymes|MJ Research|Agilent)\b,general,"['Stratagene RTPCR Mini-prep kit', 'Super Script III First Strand cDNA synthesis kit (Invitrogen)']",Major molecular biology vendors indicate commercial research tools,PMID:16524466
naming_convention,[A-Za-z0-9]+[+/-]+ (mice|cells|fibroblasts|mast cells),animal_model,"['Nf1+/- mice', 'Nf1+/- mast cells', 'Nf1+/- fibroblasts']","Genetic nomenclature with +/- notation indicates heterozygous knockout animals or cells derived from them, commonly used in NF research",PMID:16835260
context_phrase,(fibroblasts|cells) from (human|patient) (neurofibromas|tumors),cell_line,['fibroblasts from human neurofibromas'],"Patient-derived primary cells are important research tools, especially in NF research where patient material is used",PMID:16835260
context_phrase,(genetic|pharmacological) inhibition of [A-Za-z0-9-]+,genetic_reagent,['pharmacological inhibition of c-abl'],Inhibitors (genetic or pharmacological) are research reagents used to manipulate specific pathways,PMID:16835260
term,wild-type (controls|levels|mice),animal_model,['wild-type levels'],"Wild-type controls are essential research tools in genetic studies, often mentioned as comparison groups",PMID:16835260
naming_convention,[A-Za-z0-9]+\(-/-\),animal_model,"['Nf1(-/-) mice', 'Nf1(-/-) embryos']",The (-/-) notation is standard nomenclature for homozygous knockout mice and should be recognized as animal models.,PMID:16906226
context_phrase,mice lacking.*homolog,animal_model,['Mice lacking the murine homolog (Nf1)'],This phrase pattern clearly indicates knockout mouse models and should be captured.,PMID:16906226
