pmid,doi,resourceName,resourceType,observationType,details,foundIn,confidence
PMID:15206577,10.2131/jts.29.91,IBM SPSS software version 22.0,Computational Tool,Usage Instructions,"IBM SPSS software version 22.0 was used for statistical analysis. Data analysis included 
one-way ANOVA for normally distributed data followed by Tukey's post hoc test for pairwise 
comparisons. For non-normally distributed data, Kruskal-Wallis test was used followed by 
Mann-Whitney U-test for pairwise comparisons. Statistical significance was set at p < 0.05.
",methods,1.0
PMID:15240917,10.1155/S1110724304308107,SCID mice,Animal Model,Disease Susceptibility,"SCID mice showed successful engraftment of human neurofibroma xenografts with high survival rates:
- Overall survival rate of 84.9% (90/106) across all implantation sites
- Sciatic nerve implants: 86.7% survival (13/15)
- Subcutaneous implants: 84.6% survival (77/91)
- Neck implants: 89.2% survival (41/46)
- Back implants: 80.1% survival (33/41)
- Ear implants: 100% survival (4/4) maintained for 12 months
No immune rejection observed, confirming immunodeficient phenotype suitable for xenograft studies.
",results,1.0
PMID:15240917,10.1155/S1110724304308107,Human neurofibroma xenografts,Patient-Derived Model,Tumor Growth,"Human neurofibroma xenografts showed stable growth characteristics:
- Maintained consistent size over 6 weeks of follow-up without aggressive growth
- No tissue invasion observed
- Ear implants remained stable in appearance and size for 12 months (P = 0.41)
- Tumors retained original histologic characteristics including collagen content and S-100 positivity
- Vascularization established within 7 days with host-derived blood vessels
",results,1.0
PMID:15240917,10.1155/S1110724304308107,Human neurofibroma xenografts,Patient-Derived Model,Other,"Pirfenidone treatment significantly reduced xenograft survival compared to controls:
- Treated group: 71.7% survival (76/106) vs Control group: 84.3% survival (86/102)
- Statistical significance: P = 0.0215
- No histologic differences observed between treated and control surviving tumors
- No drug toxicity observed in treated animals
- Effect was consistent across different implantation sites
",results,1.0
PMID:15240917,10.1155/S1110724304308107,rabbit anti-S-100 antibodies,Antibody,Usage Instructions,"Anti-S-100 antibody successfully detected Schwann cells in both original tumors and xenografts:
- Strong immunohistochemical reaction maintained in 6-week-old implants
- Confirmed persistence of Schwann cells in transplanted tumors
- Staining intensity not affected by pirfenidone treatment
- Antibody from Dako Corp worked reliably for human tissue detection in mouse xenografts
",results,1.0
PMID:15240917,10.1155/S1110724304308107,Fluorescein-conjugated IB4,Antibody,Usage Instructions,"GS IB4 lectin successfully distinguished host vs. human blood vessels:
- Original human tumors showed no fluorescence (human vessels lack Gal α1-3Gal)
- Xenografts showed positive fluorescence, confirming host-derived vascularization
- Staining pattern unchanged by pirfenidone treatment
- Reliable method for determining vessel origin in xenograft studies
- Required microwave-assisted carbohydrate revealing (MCR) pretreatment for optimal results
",results,1.0
PMID:15255999,10.1186/1476-4598-3-20,ABI Prism 7700 Sequence Detection System,Computational Tool,Usage Instructions,"Successfully used for real-time quantitative RT-PCR analysis of 489 genes in tumor samples.
Thermal cycling conditions comprised initial denaturation at 95°C for 10 min, and 50 cycles
at 95°C for 15 s and 65°C for 1 min. System effectively detected fluorescence changes during
PCR amplification with reliable Ct values (threshold cycles around 26 for control genes).
",methods,0.9
PMID:15255999,10.1186/1476-4598-3-20,Oligo 5.0,Computational Tool,Usage Instructions,"Computer program successfully used for primer design for TBP, RPLP0, and 489 target genes.
Primers were designed with assistance of this software to ensure gene specificity and avoid
amplification of contaminating genomic DNA. Amplicons were designed to be between 70 and 120
nucleotides long. Software helped confirm total gene specificity and absence of single nucleotide
polymorphisms in primer sequences.
",methods,0.85
PMID:15255999,10.1186/1476-4598-3-20,TaqMan PCR Core REAGENTS Kit,Genetic Reagent,Usage Instructions,"Commercial reagent kit used successfully for real-time PCR reactions. Kit provided reliable
amplification with consistent results across 489 different gene targets. Used in combination
with ABI Prism 7700 system for quantitative gene expression analysis. Reactions performed
with 10 microliters of diluted sample cDNA added to 15 microliters of PCR master-mix.
",methods,0.85
PMID:15255999,10.1186/1476-4598-3-20,SYBR Green PCR Core Reagents kit,Genetic Reagent,Usage Instructions,"Commercial reagent kit used as alternative to TaqMan for real-time PCR reactions. Kit provided
reliable fluorescence detection through SYBR Green dye-amplicon complex formation. Successfully
used for quantitative analysis with consistent amplification across multiple gene targets.
Some genes showed very low expression levels (Ct >32) that were detectable but not reliably
quantifiable using this SYBR Green methodology.
",methods,0.85
PMID:15255999,10.1186/1476-4598-3-20,Superscript II RNase H-reverse transcriptase,Genetic Reagent,Usage Instructions,"Enzyme successfully used for cDNA synthesis from total RNA samples. Protocol used 100 units
of enzyme in 20 μl final volume with 1X RT buffer, incubated at 20°C for 10 min and 42°C
for 30 min. Reverse transcriptase was inactivated by heating at 99°C for 5 min and cooling
at 5°C for 5 min. Successfully converted 100 ng of total RNA to cDNA for subsequent PCR analysis.
",methods,0.9
PMID:16226708,10.1016/j.ccr.2005.08.011,Nf1(+/-) mice,Animal Model,Tumor Growth,"Mutagen-exposed Nf1(+/-) mice developed secondary cancers that are common in humans, including 
myeloid malignancies, sarcomas, and breast cancers. RAD cooperated strongly with heterozygous 
Nf1 inactivation in tumorigenesis. Most solid tumors showed loss of the wild-type Nf1 allele 
but retained two Trp53 alleles.
",results,1.0
PMID:16226708,10.1016/j.ccr.2005.08.011,Nf1 fl/fl; PostnCre mice,Animal Model,Lifespan,"SI significantly decreased overall survival in Nf1 fl/fl mice at 15 Gy (P < .01, median survival 200 days) 
and 30 Gy (P < .01, median survival 284 days) compared to unirradiated controls (median survival 330 days). 
The wildtype Nf1 tumor microenvironment demonstrated greater radiosensitivity at the lower radiation dose.
",results,1.0
PMID:16226708,10.1016/j.ccr.2005.08.011,Nf1 fl/-; PostnCre mice,Animal Model,Lifespan,"SI at 30 Gy decreased the overall survival of male Nf1 fl/- mice compared to controls (P < .01), 
but not at 15 Gy. Male Nf1 fl/- mice receiving 30 Gy experienced the worst survival with median 
survival of 118 days compared to 345 days for controls and 309 days for 15 Gy group.
",results,1.0
PMID:16226708,10.1016/j.ccr.2005.08.011,Nf1 fl/fl; PostnCre mice,Animal Model,Tumor Growth,"Nf1 periostin-Cre mice develop extensive spinal plexiform neurofibromas by 5 months of age. 
These plexiform neurofibromas rarely spontaneously transform to higher grade MPSNTs, however 
transformation can be promoted by loss of CDKN2A as well as p53 knockdown. SI was associated 
with increasing worrisome histologic features along the PN-MPNST continuum in PNs irradiated 
to higher radiation doses.
",results,1.0
PMID:16226708,10.1016/j.ccr.2005.08.011,Nf1 fl/fl; PostnCre mice,Animal Model,Cellular,"Irradiated spinal plexiform neurofibromas developed increased cellularity and higher-grade 
histologic features. The frequency of PNs decreased as SI dose increased and correspondingly 
the frequency of higher-grade histologic changes increased. Widespread plexiform neurofibromas 
were visible throughout the spinal nerve tissues, with the majority being PNF (30/48), followed 
by cellular neurofibroma (CNF, 15/48), ANNUBP (1/48) and low-grade MPNST (2/48).
",results,1.0
PMID:16524466,10.1186/1471-2202-7-22,Nf1+/- mice,Animal Model,Behavior,"Nf1+/- heterozygous mice exhibit spatial learning deficits and decreased hippocampal long-term 
potentiation (LTP) compared to wild-type mice. These cognitive deficits can be rescued by 
inactivating Ras through genetic modification or pharmacological treatment, or by blocking 
postsynaptic GABA uptake. The learning deficits include difficulties in spatial learning 
tasks such as the hidden water maze.
",discussion,1.0
PMID:16524466,10.1186/1471-2202-7-22,Nf1+/- mice,Animal Model,Nervous System,"Gene expression analysis revealed that kinesin motor protein family members were downregulated 
in Nf1+/- mice at postnatal days 15 and 20 (2.7 fold change). Additionally, dopamine 3 receptor 
(DRD3) showed a 3-fold increase in expression in the hippocampus at postnatal day 15. Network 
analysis identified links between neurofibromin and kinesin genes in the mutant mice.
",results,1.0
PMID:16524466,10.1186/1471-2202-7-22,Nf1+/- mice,Animal Model,Molecular,"Four genes were dysregulated at more than one time point in Nf1+/- mice: Ate1, Tcfap2d, 
Rad51l1, and Arhgap8. Multiple genes showed fold change values ≥2.0 with p-values ≤0.05 
across postnatal days 10, 15, and 20. RT-PCR validation confirmed the microarray results, 
showing consistent trends of gene regulation between the two assays.
",results,1.0
PMID:16524466,10.1186/1471-2202-7-22,Affymetrix Mouse Genome chip (Murine 430 2.0),Computational Tool,Usage Instructions,"Strict quality controls were implemented requiring each RNA sample to show >4× amplification 
through the in vitro transcription protocol, each scanned array should contain >30% present 
calls across the array, and the 3'/5' ratio should show consistent values >3 indicating low 
nonspecific hybridization. Arrays not meeting these criteria were excluded and reprocessed 
using stored RNA samples.
",methods,1.0
PMID:16524466,10.1186/1471-2202-7-22,GeneSpring v 5.0,Computational Tool,Usage Instructions,"Gene expression data was processed using specific parameters: genes showing expression changes 
with significant p-values (p ≤ 0.05) and fold change values of ≥2.0 within at least one time 
point were exported for functional annotation. Average fold changes were calculated relative 
to wildtype expression data with error bars for each time point.
",methods,1.0
PMID:17924978,10.1111/j.1750-3639.2007.00105.x,Nf2 flox2/flox2 mice,Animal Model,Tumor Growth,"Meningioma development rate was 13% (9 of 72 histologically examined mice) in adCre;Nf2 flox2/flox2 mice.
All meningiomas had features of benign neoplasms (WHO grade I) similar to benign human meningiomas of 
meningothelial, transitional, psammomatous, or fibroblastic histological subtypes. Two patterns of growth 
were identified: diffuse thickening meningioma en plaque-like pattern and discrete nodular pattern.
",results,1.0
PMID:17924978,10.1111/j.1750-3639.2007.00105.x,p16 Ink4a*/* mice,Animal Model,Tumor Growth,"Additional nullizygosity for p16 Ink4a significantly increased meningioma development rate to 37% 
(10 of 27 mice) compared to 13% in Nf2 single mutants (χ², P <0.01). The synergy enhanced tumor 
initiation but did not modify tumor grade - all remained WHO grade I benign neoplasms.
",results,1.0
PMID:17924978,10.1111/j.1750-3639.2007.00105.x,p16 Ink4a*/* mice,Animal Model,Cellular,"Meningothelial proliferation was observed more frequently in adCre;Nf2 flox2/flox2;Ink4a*/* mice 
(21/27; 77%) than in adCre;Nf2 flox2/flox2 mice (33/72; 46%) (χ², P <0.01). This increased 
proliferation led to more frequent hydrocephalus caused by impeded CSF flow.
",results,1.0
PMID:17924978,10.1111/j.1750-3639.2007.00105.x,PGDS antibody,Antibody,Usage Instructions,"PGDS immunohistochemistry successfully performed using affinity-purified rabbit polyclonal antibodies 
at 1:500 dilution (Santa Cruz sc-14825). Almost all mouse meningiomas showed positive staining, though 
the pattern differed from normal arachnoid cells - fewer fine granules dispersed in cytoplasm rather 
than perinuclear distribution. Strong patchy staining seen in some tumor regions.
",results,1.0
PMID:17924978,10.1111/j.1750-3639.2007.00105.x,Biospec MRI system,Computational Tool,Usage Instructions,"4.7 Tesla microimaging system (Biospec, Bruker BioSpin MRI) successfully detected meningothelial 
proliferation with 70% sensitivity and 78% specificity. Pathological gadolinium enhancement observed 
in 75% of intracranial mouse meningiomas. Short acquisition sequences (6 minutes) provided sufficient 
signal-noise ratio and spatial resolution to detect most meningiomas and meningothelial proliferations.
",results,1.0
PMID:17924978,10.1111/j.1750-3639.2007.00105.x,adCre,Genetic Reagent,Usage Instructions,"Adenoviral Cre recombinase successfully targeted to mouse leptomeninges by direct injection of 3 µL 
(1 × 10^8 plaque-forming units) into subarachnoidal space on postnatal day 2. Trans-orbital or subdural 
approaches both effective. Vector diffusion through CSF circulation caused multifocal Nf2 inactivation 
leading to higher frequency of en plaque meningiomas compared to human patterns.
",results,1.0
PMID:18242512,10.1016/j.ccr.2008.01.002,WU-356 PDX,Patient-Derived Model,Tumor Growth,"TNG908 dosed at 120 mg/kg twice per day significantly reduced tumor growth to 19% of control in the WU-356 PDX model.
TNG462 demonstrated dose-dependent antitumor activity with up to 80% tumor regression.
",results,1.0
PMID:18242512,10.1016/j.ccr.2008.01.002,WU-386 PDX,Patient-Derived Model,Tumor Growth,"Similar trends were observed with TNG908 and TNG462 treatments in WU-386 PDX mice.
Tumor regressions observed in four of seven mice in the WU-386 model with TNG462 treatment.
",results,1.0
PMID:18242512,10.1016/j.ccr.2008.01.002,JH-2-079,Cell Line,Cellular,"TNG908 and TNG462 demonstrated concentration-dependent antiproliferative activity in the MTAP-null MPNST cell line JH-2-079
at IC50 values 10-100X less than in MTAP WT MPNST cell lines. Both inhibitors induced cell death and increased cleavage
of caspase 3 and/or PARP-1 proteins, suggesting apoptotic pathways.
",results,1.0
PMID:18242512,10.1016/j.ccr.2008.01.002,JH-2-002,Cell Line,Cellular,"TNG908 and TNG462 demonstrated concentration-dependent antiproliferative activity in the MTAP-null MPNST cell line JH-2-002
at IC50 values 10-100X less than in MTAP WT MPNST cell lines. The combination of TNG462 with doxorubicin had an overall
additive effect on inhibition of cell viability (mean synergy score: 5.84).
",results,1.0
PMID:18242512,10.1016/j.ccr.2008.01.002,HAP1 MTAP-isogenic cell line pair,Cell Line,Cellular,"TNG908 and TNG462 reduced cell viability in MTAP-null, but not MTAP WT, HAP1 MTAP-isogenic cell lines.
TNG908 is 15× more selective for MTAP-null cells relative to MTAP WT cells. TNG462 is >25× more potent
and 3× more selective for MTAP-null cells relative to TNG908.
",results,1.0
PMID:18242512,10.1016/j.ccr.2008.01.002,Foxn1 nu/Foxn1 nude mice,Animal Model,Usage Instructions,"Female immunodeficient nude mice at 4 to 6 weeks old were implanted subcutaneously with PDX lines.
Treatments were well-tolerated as mice did not lose weight or show adverse health effects.
Tumors were monitored by calipers three times per week.
",methods,1.0
PMID:18328429,10.1016/j.ccr.2008.01.030,Nf2;Ink4a/Arf conditional knockout mice,Animal Model,Tumor Growth,"Mesothelioma developed at high incidence in Nf2;Ink4a/Arf conditional knockout mice with 
median survival time of approximately 30 weeks. These mice showed increased pleural invasion 
compared to conditional Nf2;p53 mice.
",both,0.95
PMID:18328429,10.1016/j.ccr.2008.01.030,Nf2;p53 conditional knockout mice,Animal Model,Tumor Growth,"Mesothelioma developed at high incidence in Nf2;p53 conditional knockout mice with 
median survival time of approximately 20 weeks. Upon Ink4a loss in these mice, 
median survival was significantly reduced and all tumors were highly invasive.
",both,0.95
PMID:18328429,10.1016/j.ccr.2008.01.030,Nf2;p53 conditional knockout mice,Animal Model,Lifespan,"Median survival time was approximately 20 weeks for Nf2;p53 conditional knockout mice.
Upon additional Ink4a loss, median survival was significantly reduced, suggesting that 
Ink4a loss substantially contributes to the poor clinical outcome of malignant mesothelioma.
",both,0.9
PMID:18328429,10.1016/j.ccr.2008.01.030,Nf2;Ink4a/Arf conditional knockout mice,Animal Model,Lifespan,"Median survival time was approximately 30 weeks for Nf2;Ink4a/Arf conditional knockout mice,
which was longer than the Nf2;p53 conditional knockout mice (20 weeks).
",both,0.9
PMID:18413802,10.1158/1535-7163.MCT-07-0518,MPNST cell line,Cell Line,Cellular,"MPNST cell lines were sensitive to sorafenib at nanomolar concentrations, showing growth inhibition.
This sensitivity appeared to be due to inhibition of phospho-MEK and phospho-ERK, suppression of 
cyclin D1, and hypophosphorylation of pRb at CDK4-specific sites, resulting in G1 cell cycle arrest.
",results,0.95
PMID:18413802,10.1158/1535-7163.MCT-07-0518,ST8814,Cell Line,Cellular,"ST8814 MPNST cell line showed sensitivity to sorafenib treatment with growth inhibition at 
nanomolar concentrations, similar to the MPNST cell line, demonstrating consistent response
across MPNST cell line models.
",results,0.9
PMID:18413802,10.1158/1535-7163.MCT-07-0518,LS141,Cell Line,Cellular,"LS141 liposarcoma cell line did not show the same effects as MPNST cells when treated with sorafenib.
These cells either did not express B-Raf or showed decreased Ras activation, explaining the lack
of response to sorafenib treatment.
",results,0.9
PMID:18413802,10.1158/1535-7163.MCT-07-0518,DDLS,Cell Line,Cellular,"DDLS dedifferentiated liposarcoma cell line did not respond to sorafenib treatment like MPNST cells.
Similar to LS141, these cells either did not express B-Raf or showed decreased Ras activation,
serving as a negative control for the MPNST-specific effects.
",results,0.9
PMID:18413802,10.1158/1535-7163.MCT-07-0518,B-Raf siRNA,Genetic Reagent,Cellular,"siRNA-mediated depletion of B-Raf in MPNST cells induced G1 cell cycle arrest with marked 
inhibition of cyclin D1 expression and Rb phosphorylation, phenocopying the effects of 
sorafenib treatment and confirming B-Raf as the relevant target.
",results,0.95
PMID:18413802,10.1158/1535-7163.MCT-07-0518,C-Raf siRNA,Genetic Reagent,Cellular,"siRNA-mediated depletion of C-Raf did not affect cell cycle progression or cyclin D1 expression
and Rb phosphorylation in MPNST cells, demonstrating specificity for B-Raf in mediating the
observed phenotypes and sorafenib sensitivity.
",results,0.9
PMID:18503770,10.1016/j.febslet.2008.05.018,CAG cell line,Cell Line,Cellular,"CAG DAZAP1-overexpressing cells showed significantly enhanced proliferation capacity
compared to empty vector controls as measured by CCK8 assay. Proliferation was
assessed at 24h, 48h, and 72h timepoints with statistical significance (p<0.05).
",results,0.95
PMID:18503770,10.1016/j.febslet.2008.05.018,CAG cell line,Cell Line,Cellular,"CAG DAZAP1-overexpressing cells demonstrated stronger long-term proliferative
capacity in soft agar colony formation assays, with increased colony numbers
compared to control cells. Colonies were quantified under light microscopy
with triplicate measurements.
",results,0.9
PMID:18503770,10.1016/j.febslet.2008.05.018,OCI-MY5 cell line,Cell Line,Cellular,"OCI-MY5 DAZAP1-overexpressing cells showed significantly enhanced proliferation
capacity compared to controls and demonstrated stronger long-term proliferative
capacity in soft agar colony formation assays.
",results,0.9
PMID:18503770,10.1016/j.febslet.2008.05.018,NOD/SCID mice,Animal Model,Tumor Growth,"Subcutaneous injection of CAG DAZAP1-overexpressing cells resulted in significantly
larger tumor formation compared to control cells. Both tumor volume and weight were
statistically significantly higher (p<0.05) in DAZAP1-overexpressing tumors at
day 26 post-grafting.
",results,0.95
PMID:18503770,10.1016/j.febslet.2008.05.018,DAZAP1 siRNA,Genetic Reagent,Cellular,"DAZAP1 knockdown using siRNA significantly suppressed MM cell proliferation
capacity compared to negative control cells, as demonstrated by CCK8 assays.
This confirms the role of DAZAP1 in promoting cell proliferation.
",results,0.9
PMID:18636037,10.1097/MAO.0b013e31817f7398,nude mice,Animal Model,Tumor Growth,"Nude mice were used as hosts for vestibular schwannoma xenografts. Xenografts were established in the interscapular fat pad and maintained for 4 weeks initially, with longer-term experiments running for 12 weeks. Control tumors demonstrated slight growth during the 12-week treatment period, while both trastuzumab and erlotinib significantly reduced the growth of VS xenografts (p < 0.05).
",both,1.0
PMID:18636037,10.1097/MAO.0b013e31817f7398,vestibular schwannoma xenografts,Patient-Derived Model,Tumor Growth,"Vestibular schwannoma xenografts showed differential response to ErbB inhibitor treatments. Control tumors demonstrated slight growth over the 12-week treatment period. Both trastuzumab and erlotinib significantly reduced xenograft growth compared to controls (p < 0.05). The xenografts could be distinguished and monitored using T2-weighted MRI sequences.
",results,1.0
PMID:18636037,10.1097/MAO.0b013e31817f7398,bromodeoxyuridine,Genetic Reagent,Cellular,"BrdU (bromodeoxyuridine) was used to label proliferating cells in vestibular schwannoma xenografts. Trastuzumab treatment significantly reduced the proliferation of VS cells compared to control (p < 0.01) as determined by BrdU uptake analysis. This demonstrates the anti-proliferative effect of the ErbB2 inhibitor.
",results,1.0
PMID:18636037,10.1097/MAO.0b013e31817f7398,TUNEL,Genetic Reagent,Cellular,"TUNEL (terminal dUTP nick end labeling) assay was used to analyze cell death in vestibular schwannoma xenografts. Erlotinib treatment, but not trastuzumab, resulted in a significant increase in the percentage of TUNEL-positive VS cells (p < 0.01), indicating increased apoptosis with the ErbB kinase inhibitor but not the ErbB2-specific inhibitor.
",results,1.0
PMID:18636037,10.1097/MAO.0b013e31817f7398,magnetic resonance imaging,Computational Tool,Usage Instructions,"MRI was successfully used to monitor tumor growth during the treatment period. T2-weighted MRI sequences were particularly effective for distinguishing tumors from surrounding tissue. This imaging approach allowed for non-invasive longitudinal monitoring of xenograft growth over the 12-week treatment period.
",results,0.9
PMID:18671844,10.1186/1741-7015-6-21,Nf1Prx1 mice,Animal Model,Bone Development,"Nf1Prx1 mice show bowing of the tibia caused by decreased bone mineralisation and increased bone vascularisation.
However, in contrast to NF1 patients, spontaneous fractures do not occur in Nf1Prx1 mice probably due to the relatively low mechanical load.
",results,1.0
PMID:18671844,10.1186/1741-7015-6-21,Nf1Prx1 mice,Animal Model,Bone Development,"In Nf1Prx1 mice bone repair is delayed and characterised by the excessive formation and the persistence of fibro-cartilaginous tissue and impaired extracellular matrix mineralisation.
Quantification by μCT showed that the bone volume to total volume fraction (BV/TV) in mutants was decreased by 40% in the bone marrow cavity (0.086 ± 0.034 versus 0.051 ± 0.005) and reduced five fold in the cortical regions (0.028 ± 0.015 versus 0.004 ± 0.007) when compared with controls.
",results,1.0
PMID:18671844,10.1186/1741-7015-6-21,Nf1Prx1 mice,Animal Model,Cellular,"Correspondingly, expression of Runx2 is downregulated in Nf1Prx1 mice.
In situ expression analysis showed a decreased level of Runx2 expression in the bone marrow cavity at day 7 post injury indicating impaired osteoblast formation and/or recruitment of progenitor cells.
",results,1.0
PMID:18671844,10.1186/1741-7015-6-21,Nf1Prx1 mice,Animal Model,Cellular,"Osteoclast numbers were increased in the injury site in Nf1Prx1 mice when compared with controls.
This was paralleled by an increased serum D-PYD in Nf1Prx1 animals (control 2.5 ± 0.39 nMol/l; Nf1Prx1 3.95 ± 0.71 nMol/l; Nf1Prx1 +lovastatin 3.49 ± 0.83; n = 3).
",results,1.0
PMID:18671844,10.1186/1741-7015-6-21,Nf1Prx1 mice,Animal Model,Molecular,"High-dose systemic lovastatin treatment restores Runx2 expression and accelerates new bone formation, thus improving cortical bone repair in Nf1Prx1 tibia.
The bone anabolic effects correlate with a reduction of the mitogen activated protein kinase pathway hyper-activation in Nf1-deficient cells.
Lovastatin treatment normalises the cortical bone quality around the injury site and recruited mesenchymal progenitor cells deposit collagenous matrix.
",results,1.0
PMID:18671844,10.1186/1741-7015-6-21,vivaCT40 scanner,Computational Tool,Usage Instructions,"The following instrument settings were chosen for the measurements: voxel size 0.1 mm × 0.1 mm × 0.5 m; scan speed of 2 mm/second; contour mode 1; cortical threshold 350 mg/cm³.
The cortical injury was located and a volume of interest (VOI) was defined comprising the complete injury site.
",methods,1.0
PMID:18671844,10.1186/1741-7015-6-21,phospho-p42/44 (pERK1/2) #9102 Cell Signaling,Antibody,Usage Instructions,"For Western blot analysis, membranes were probed with phospho-p42/44 (pERK1/2) #9102 Cell Signaling antibody diluted 1:1000.
Used to analyze mitogen activated protein kinase (MAPK) pathway activation status (pErk1/Erk1 ratio) in calvaria bones of Nf1Prx1 mice.
",methods,1.0
PMID:18671844,10.1186/1741-7015-6-21,p44 (ERK1) #4372 Cell Signaling,Antibody,Usage Instructions,"For Western blot analysis, membranes were probed with p44 (ERK1) #4372 Cell Signaling antibody diluted 1:1000.
Used as loading control for MAPK pathway analysis in conjunction with phospho-ERK antibody.
",methods,1.0
PMID:18769552,10.1155/2008/849156,anti-EGFR antibody (31G7),Antibody,Tumor Growth,"EGFR expression was detected by immunohistochemistry in 36 out of 42 (86%) valuable patients with MPNST.
Percentages were higher in the NF1 subgroup (95% versus 75%; P = .06). EGFR-positive cells were localized
in ""high-grade"" areas, defined as areas with high-cellular density and high mitotic index. EGFR-positive
areas segregate with high-grade features and proliferative index detected by Ki-67 expression.
",results,0.95
PMID:18769552,10.1155/2008/849156,anti-Ki-67 antibody (Mib1),Antibody,Cellular,"Ki-67 expression was used as a proliferative index marker. EGFR-positive areas segregated with high-grade
features as detected by Ki-67 expression, confirming that EGFR expression correlates with proliferative
activity in high-grade tumor areas.
",results,0.9
PMID:18769552,10.1155/2008/849156,P53 antibody (DO-7),Antibody,Cellular,"P53 expression was detected in tumor areas and showed co-localization with EGFR-positive areas in half
of the cases examined. EGFR expression was closely associated with p53-positive areas, suggesting
coordinated expression of these markers in high-grade tumor regions.
",results,0.85
PMID:18769552,10.1155/2008/849156,anti-Survivin antibody (12C4),Antibody,Cellular,"Survivin staining was positive in all cases of MPNST and showed diffuse distribution to all tumor areas,
contrasting with the heterogeneous EGFR expression pattern. This suggests survivin has a different
expression pattern compared to EGFR in MPNST tumors.
",results,0.9
PMID:18769552,10.1155/2008/849156,LSI EGFR probe,Genetic Reagent,Molecular,"FISH analysis using LSI EGFR probe showed no amplification of EGFR locus in any of the eight MPNST samples
tested. The mean number of spots detected was 2.42 (range 2.1 to 3.3). Only one case showed 5-6 spots
in some tumor cells, but this was due to polysomy of chromosome 7 rather than specific EGFR amplification.
",results,0.95
