doi,pmid,publicationTitle,abstract,journal,publicationDate,authors
10.1002/ana.24093,PMID:24375753,Sex Is a major determinant of neuronal dysfunction in neurofibromatosis type 1.,"OBJECTIVE: Children with neurofibromatosis-1 (NF1) are at risk for developing numerous nervous system abnormalities, including cognitive problems and brain tumors (optic pathway glioma). Currently, there are few prognostic factors that predict clinical manifestations or outcomes in patients, even in families with an identical NF1 gene mutation. In this study, we leveraged Nf1 genetically engineered mice (GEM) to define the potential role of sex as a clinically relevant modifier of NF1-associated neuronal dysfunction. METHODS: Deidentified clinical data were analyzed to determine the impact of sex on optic glioma-associated visual decline in children with NF1. In addition, Nf1 GEM were employed as experimental platforms to investigate sexually dimorphic differences in learning/memory, visual acuity, retinal ganglion cell (RGC) death, and Nf1 protein (neurofibromin)-regulated signaling pathway function (Ras activity, cyclic adenosine monophosphate [cAMP], and dopamine levels). RESULTS: Female patients with NF1-associated optic glioma were twice as likely to undergo brain magnetic resonance imaging for visual symptoms and 3× more likely to require treatment for visual decline than their male counterparts. As such, only female Nf1 GEM exhibited a decrement in optic glioma-associated visual acuity, shorter RGC axons, and attenuated cAMP levels. In contrast, only male Nf1 GEM showed spatial learning/memory deficits, increased Ras activity, and reduced dopamine levels. INTERPRETATION: Collectively, these observations establish sex as a major prognostic factor underlying neuronal dysfunction in NF1, and suggest that sex should be considered when interpreting future preclinical and clinical study results.",Annals of neurology,2014-02,Kelly A Diggs-Andrews; Jacquelyn A Brown; Scott M Gianino; Joshua B Rubin; David F Wozniak; David H Gutmann
10.1186/1471-2407-14-6,PMID:24386979,"Modulation of Ras signaling alters the toxicity of hydroquinone, a benzene metabolite and component of cigarette smoke.","BACKGROUND: Benzene is an established human leukemogen, with a ubiquitous environmental presence leading to significant population exposure. In a genome-wide functional screen in the yeast Saccharomyces cerevisiae, inactivation of IRA2, a yeast ortholog of the human tumor suppressor gene NF1 (Neurofibromin), enhanced sensitivity to hydroquinone, an important benzene metabolite. Increased Ras signaling is implicated as a causal factor in the increased pre-disposition to leukemia of individuals with mutations in NF1. METHODS: Growth inhibition of yeast by hydroquinone was assessed in mutant strains exhibiting varying levels of Ras activity. Subsequently, effects of hydroquinone on both genotoxicity (measured by micronucleus formation) and proliferation of WT and Nf1 null murine hematopoietic precursors were assessed. RESULTS: Here we show that the Ras status of both yeast and mammalian cells modulates hydroquinone toxicity, indicating potential synergy between Ras signaling and benzene toxicity. Specifically, enhanced Ras signaling increases both hydroquinone-mediated growth inhibition in yeast and genotoxicity in mammalian hematopoetic precursors as measured by an in vitro erythroid micronucleus assay. Hydroquinone also increases proliferation of CFU-GM progenitor cells in mice with Nf1 null bone marrow relative to WT, the same cell type associated with benzene-associated leukemia. CONCLUSIONS: Together our findings show that hydroquinone toxicity is modulated by Ras signaling. Individuals with abnormal Ras signaling could be more vulnerable to developing myeloid diseases after exposure to benzene. We note that hydroquinone is used cosmetically as a skin-bleaching agent, including by individuals with cafe-au-lait spots (which may be present in individuals with neurofibromatosis who have a mutation in NF1), which could be unadvisable given our findings.",BMC cancer,2014-01-05,Matthew North; Joe Shuga; Michele Fromowitz; Alexandre Loguinov; Kevin Shannon; Luoping Zhang; Martyn T Smith; Chris D Vulpe
10.1371/journal.pone.0086115,PMID:24465906,"Multiscale, converging defects of macro-porosity, microstructure and matrix mineralization impact long bone fragility in NF1.","Bone fragility due to osteopenia, osteoporosis or debilitating focal skeletal dysplasias is a frequent observation in the Mendelian disease Neurofibromatosis type 1 (NF1). To determine the mechanisms underlying bone fragility in NF1 we analyzed two conditional mouse models, Nf1Prx1 (limb knock-out) and Nf1Col1 (osteoblast specific knock-out), as well as cortical bone samples from individuals with NF1. We examined mouse bone tissue with micro-computed tomography, qualitative and quantitative histology, mechanical tensile analysis, small-angle X-ray scattering (SAXS), energy dispersive X-ray spectroscopy (EDX), and scanning acoustic microscopy (SAM). In cortical bone of Nf1Prx1 mice we detected ectopic blood vessels that were associated with diaphyseal mineralization defects. Defective mineral binding in the proximity of blood vessels was most likely due to impaired bone collagen formation, as these areas were completely devoid of acidic matrix proteins and contained thin collagen fibers. Additionally, we found significantly reduced mechanical strength of the bone material, which was partially caused by increased osteocyte volume. Consistent with these observations, bone samples from individuals with NF1 and tibial dysplasia showed increased osteocyte lacuna volume. Reduced mechanical properties were associated with diminished matrix stiffness, as determined by SAM. In line with these observations, bone tissue from individuals with NF1 and tibial dysplasia showed heterogeneous mineralization and reduced collagen fiber thickness and packaging. Collectively, the data indicate that bone fragility in NF1 tibial dysplasia is partly due to an increased osteocyte-related micro-porosity, hypomineralization, a generalized defect of organic matrix formation, exacerbated in the regions of tensional and bending force integration, and finally persistence of ectopic blood vessels associated with localized macro-porotic bone lesions.",PloS one,2014,Jirko Kühnisch; Jong Seto; Claudia Lange; Susanne Schrof; Sabine Stumpp; Karolina Kobus; Julia Grohmann; Nadine Kossler; Peter Varga; Monika Osswald; Denise Emmerich; Sigrid Tinschert; Falk Thielemann; Georg Duda; Wenke Seifert; Thaqif El Khassawna; David A Stevenson; Florent Elefteriou; Uwe Kornak; Kay Raum; Peter Fratzl; Stefan Mundlos; Mateusz Kolanczyk
10.1038/onc.2013.506,PMID:24509877,MAF mediates crosstalk between Ras-MAPK and mTOR signaling in NF1.,"Mutations in the neurofibromatosis type 1 (NF1) tumor suppressor gene are common in cancer and can cause resistance to therapy. Using transcriptome analysis we identified MAF as an NF1- regulated transcription factor and verified MAF regulation through RAS/MAPK/AP-1 signaling in malignant peripheral nerve sheath tumor (MPNST) cell lines. MAF was also downregulated in human MPNST. Acute re-expression of MAF promoted expression of glial differentiation markers in MPNST cells in vitro, decreased self-renewal of embryonic precursors and transiently affected tumor cell phenotypes in vitro by increasing MPNST cell death and reducing metabolic activity and anchorage-independent growth. Paradoxically, chronic MAF overexpression enhanced MPNST cell tumor growth in vivo, correlating with elevated pS6 in vitro and in vivo. RAD001 blocked MAF-mediated tumor growth, and MAF regulated the mTOR pathway through DEPTOR. MAPK inhibition with NF1 loss of function is predicted to show limited efficacy due to reactivation of mTOR signaling via MAF.",Oncogene,2014-12-04,M E Brundage; P Tandon; D W Eaves; J P Williams; S J Miller; R H Hennigan; A Jegga; T P Cripe; N Ratner
10.1186/1866-1955-6-4,PMID:24559228,Abnormal late visual responses and alpha oscillations in neurofibromatosis type 1: a link to visual and attention deficits.,"BACKGROUND: Neurofibromatosis type 1 (NF1) affects several areas of cognitive function including visual processing and attention. We investigated the neural mechanisms underlying the visual deficits of children and adolescents with NF1 by studying visual evoked potentials (VEPs) and brain oscillations during visual stimulation and rest periods. METHODS: Electroencephalogram/event-related potential (EEG/ERP) responses were measured during visual processing (NF1 n = 17; controls n = 19) and idle periods with eyes closed and eyes open (NF1 n = 12; controls n = 14). Visual stimulation was chosen to bias activation of the three detection mechanisms: achromatic, red-green and blue-yellow. RESULTS: We found significant differences between the groups for late chromatic VEPs and a specific enhancement in the amplitude of the parieto-occipital alpha amplitude both during visual stimulation and idle periods. Alpha modulation and the negative influence of alpha oscillations in visual performance were found in both groups. CONCLUSIONS: Our findings suggest abnormal later stages of visual processing and enhanced amplitude of alpha oscillations supporting the existence of deficits in basic sensory processing in NF1. Given the link between alpha oscillations, visual perception and attention, these results indicate a neural mechanism that might underlie the visual sensitivity deficits and increased lapses of attention observed in individuals with NF1.",Journal of neurodevelopmental disorders,2014-02-21,Maria J Ribeiro; Otília C d'Almeida; Fabiana Ramos; Jorge Saraiva; Eduardo D Silva; Miguel Castelo-Branco
10.1371/journal.pone.0090853,PMID:24595234,In vivo functional analysis of the human NF2 tumor suppressor gene in Drosophila.,"The proper control of tissue growth is essential during normal development and an important problem in human disease. Merlin, the product of the Neurofibromatosis 2 tumor suppressor gene, has been extensively studied to understand its functions in growth control. Here we describe experiments in which we used Drosophila as an in vivo system to test the functions of the normal human NF2 gene products and patient-derived mutant alleles. Although the predominant NF2 gene isoform, isoform 1, could functionally replace the Drosophila Merlin gene, a second isoform with a distinct C-terminal tail could not. Immunofluorescence studies show that the two isoforms have distinct subcellular localizations when expressed in the polarized imaginal epithelium, and function in genetic rescue assays correlates with apical localization of the NF2 protein. Interestingly, we found that a patient-derived missense allele, NF2L64P, appears to be temperature sensitive. These studies highlight the utility of Drosophila for in vivo functional analysis of highly conserved human disease genes.",PloS one,2014,Heather S Gavilan; Rima M Kulikauskas; David H Gutmann; Richard G Fehon
10.1007/s00415-014-7303-1,PMID:24619350,Longitudinal evaluation of quality of life in 288 patients with neurofibromatosis 2.,"Advances in molecular biology have resulted in novel therapy for neurofibromatosis 2-related (NF2) tumours, highlighting the need for robust outcome measures. The disease-focused NF2 impact on quality of life (NFTI-QOL) patient questionnaire was assessed as an outcome measure for treatment in a multi-centre study. NFTI-QOL was related to clinician-rated severity (ClinSev) and genetic severity (GenSev) over repeated visits. Data were evaluated for 288 NF2 patients (n = 464 visits) attending the English national NF2 clinics from 2010 to 2012. The male-to-female ratio was equal and the mean age was 42.2 (SD 17.8) years. The analysis included NFTI-QOL eight-item score, ClinSev graded as mild, moderate, or severe, and GenSev as a rank order of the number of NF2 mutations (graded as mild, moderate, severe). The mean (SD) 8.7 (5.4) score for NFTI-QOL for either a first visit or all visits 9.2 (5.4) was similar to the published norm of 9.4 (5.5), with no significant relationships with age or gender. NFTI-QOL internal reliability was good, with a Cronbach's alpha score of 0.85 and test re-test reliability r = 0.84. NFTI related to ClinSev (r = 0.41, p < 0.001; r = 0.46 for all visits), but weakly to GenSev (r = 0.16, p < 0.05; r = 0.15 for all visits). ClinSev related to GenSev (r = 0.41, p < 0.001; r = 0.42 for all visits). NFTI-QOL showed a good reliability and ability to detect significant longitudinal changes in the QOL of individuals. The moderate relationships of NFTI-QOL with clinician- and genetic-rated severity suggest that NFTI-QOL taps into NF2 patient experiences that are not encompassed by ClinSev rating or genotype.",Journal of neurology,2014-05,Rosalie E Ferner; Adam Shaw; D Gareth Evans; Dympna McAleer; Dorothy Halliday; Allyson Parry; F Lucy Raymond; Juliette Durie-Gair; C Oliver Hanemann; Rachel Hornigold; Patrick Axon; John F Golding
10.18632/oncotarget.1609,PMID:24681606,Co-targeting the MAPK and PI3K/AKT/mTOR pathways in two genetically engineered mouse models of schwann cell tumors reduces tumor grade and multiplicity.,"Malignant peripheral nerve sheath tumors (MPNSTs) are soft tissue sarcomas that occur spontaneously, or from benign plexiform neurofibromas, in the context of the genetic disorder Neurofibromatosis Type 1 (NF1). The current standard treatment includes surgical resection, high-dose chemotherapy, and/or radiation. To date, most targeted therapies have failed to demonstrate effectiveness against plexiform neurofibromas and MPNSTs. Recently, several studies suggested that the mTOR and MAPK pathways are involved in the formation and progression of MPNSTs. Everolimus (RAD001) inhibits the mTOR and is currently FDA approved for several types of solid tumors. PD-0325901 (PD-901) inhibits MEK, a component of the MAPK pathway, and is currently in clinical trials. Here, we show in vitro than MPNST cell lines are more sensitive to inhibition of cellular growth by Everolimus and PD-901 than immortalized human Schwann cells. In combination, these drugs synergistically inhibit cell growth and induce apoptosis. In two genetically engineered mouse models of MPNST formation, modeling both sporadic and NF1-associated MPNSTs, Everolimus, or PD-901 treatment alone each transiently reduced tumor burden and size, and extended lifespan. However, prolonged treatment of each single agent resulted in the development of resistance and reactivation of target pathways. Combination therapy using Everolimus and PD-901 had synergistic effects on reducing tumor burden and size, and increased lifespan. Combination therapy allowed persistent and prolonged reduction in signaling through both pathways. These data suggest that co-targeting mTOR and MEK may be effective in patients with sporadic or NF1-associated MPNSTs.",Oncotarget,2014-03-30,Adrienne L Watson; Leah K Anderson; Andrew D Greeley; Vincent W Keng; Eric P Rahrmann; Amanda L Halfond; Natasha M Powell; Margaret H Collins; Tilat Rizvi; Christopher L Moertel; Nancy Ratner; David A Largaespada
10.1002/pbc.25041,PMID:24753394,Phase II trial of pirfenidone in children and young adults with neurofibromatosis type 1 and progressive plexiform neurofibromas.,"BACKGROUND: Pirfenidone, an oral anti-inflammatory, antifibrotic agent with activity in idiopathic pulmonary fibrosis, may mediate anti-tumor activity in neurofibromatosis type 1 (NF1) and plexiform neurofibromas (PN) by inhibition of fibroblast proliferation and collagen synthesis. The primary objective of this open label, single arm phase II trial was to evaluate the activity of pirfenidone in children and young adults with inoperable PN. PROCEDURE: Patients (3-21 years) with NF1-related progressive PN received pirfenidone at the previously determined optimal dose (500 mg/m(2) orally, q8h) on a continuous dosing schedule (one cycle = 28 days). Volumetric MRI analysis was used to assess response. Progression was defined as ≥ 20% PN volume increase compared to baseline. Pirfenidone would be considered active if it doubled the median time to progression (TTP) compared to the TTP on the placebo arm of a phase II trial with the farnesyltransferase inhibitor tipifarnib, which used near identical eligibility criteria. Toxicities, objective response rate, and quality of life (QOL) also were evaluated. RESULTS: Thirty-six patients were enrolled and tolerated pirfenidone well with intermittent nausea and vomiting as the most frequent toxicities. A dose reduction was required in only three patients. The median TTP for pirfenidone was 13.2 months compared to 10.6 months for the placebo control group from the tipifarnib trial (two-tailed P = 0.92; one-tailed P = 0.46). No objective responses were observed. CONCLUSIONS: Pirfenidone was well tolerated, but did not demonstrate activity as defined in this trial and does not warrant further evaluation in children with NF1 and progressive PN.",Pediatric blood & cancer,2014-09,Brigitte C Widemann; Dusica Babovic-Vuksanovic; Eva Dombi; Pamela L Wolters; Stewart Goldman; Staci Martin; Anne Goodwin; Wendy Goodspeed; Mark W Kieran; Bruce Cohen; Susan M Blaney; Allison King; Jeffrey Solomon; Nicholas Patronas; Frank M Balis; Elizabeth Fox; Seth M Steinberg; Roger J Packer
10.1371/journal.pone.0097320,PMID:24817309,Nf2/Merlin controls spinal cord neural progenitor function in a Rac1/ErbB2-dependent manner.,"OBJECTIVE: Individuals with the neurofibromatosis type 2 (NF2) cancer predisposition syndrome develop spinal cord glial tumors (ependymomas) that likely originate from neural progenitor cells. Whereas many spinal ependymomas exhibit indolent behavior, the only treatment option for clinically symptomatic tumors is surgery. In this regard, medical therapies are unfortunately lacking due to an incomplete understanding of the critical growth control pathways that govern the function of spinal cord (SC) neural progenitor cells (NPCs). METHODS: To identify potential therapeutic targets for these tumors, we leveraged primary mouse Nf2-deficient spinal cord neural progenitor cells. RESULTS: We demonstrate that the Nf2 protein, merlin, negatively regulates spinal neural progenitor cell survival and glial differentiation in an ErbB2-dependent manner, and that NF2-associated spinal ependymomas exhibit increased ErbB2 activation. Moreover, we show that Nf2-deficient SC NPC ErbB2 activation results from Rac1-mediated ErbB2 retention at the plasma membrane. SIGNIFICANCE: Collectively, these findings establish ErbB2 as a potential rational therapeutic target for NF2-associated spinal ependymoma.",PloS one,2014,Cynthia Garcia; David H Gutmann
10.1371/journal.pone.0096733,PMID:24824755,BNIP3 regulates AT101 [(-)-gossypol] induced death in malignant peripheral nerve sheath tumor cells.,"Malignant peripheral nerve sheath tumors (MPNSTs) are aggressive Schwann cell-derived sarcomas and are the leading cause of mortality in patients with neurofibromatosis type 1 (NF1). Current treatment modalities have been largely ineffective, resulting in a high rate of MPNST recurrence and poor five-year patient survival. This necessitates the exploration of alternative chemotherapeutic options for MPNST patients. This study sought to assess the cytotoxic effect of the BH3-mimetic AT101 [(-)-gossypol] on MPNST cells in vitro and to identify key regulators of AT101-induced MPNST cell death. We found that AT101 caused caspase-independent, non-apoptotic MPNST cell death, which was accompanied by autophagy and was mediated through HIF-1α induced expression of the atypical BH3-only protein BNIP3. These effects were mediated by intracellular iron chelation, a previously unreported mechanism of AT101 cytotoxicity.",PloS one,2014,Niroop Kaza; Latika Kohli; Christopher D Graham; Barbara J Klocke; Steven L Carroll; Kevin A Roth
10.1016/j.jmb.2014.05.011,PMID:24882693,Molecular conformation of the full-length tumor suppressor NF2/Merlin--a small-angle neutron scattering study.,"The tumor suppressor protein Merlin inhibits cell proliferation upon establishing cell-cell contacts. Because Merlin has high level of sequence similarity to the Ezrin-Radixin-Moesin family of proteins, the structural model of Ezrin-Radixin-Moesin protein autoinhibition and cycling between closed/resting and open/active conformational states is often employed to explain Merlin function. However, recent biochemical studies suggest alternative molecular models of Merlin function. Here, we have determined the low-resolution molecular structure and binding activity of Merlin and a Merlin(S518D) mutant that mimics the inactivating phosphorylation at S518 using small-angle neutron scattering and binding experiments. Small-angle neutron scattering shows that, in solution, both Merlin and Merlin(S518D) adopt a closed conformation, but binding experiments indicate that a significant fraction of either Merlin or Merlin(S518D) is capable of binding to the target protein NHERF1. Upon binding to the phosphatidylinositol 4,5-bisphosphate lipid, the wild-type Merlin adopts a more open conformation than in solution, but Merlin(S518D) remains in a closed conformation. This study supports a rheostat model of Merlin in NHERF1 binding and contributes to resolving a controversy about the molecular conformation and binding activity of Merlin.",Journal of molecular biology,2014-07-29,Jahan Ali Khajeh; Jeong Ho Ju; Moussoubaou Atchiba; Marc Allaire; Christopher Stanley; William T Heller; David J E Callaway; Zimei Bu
10.1002/jbmr.2298,PMID:24932921,Neurofibromin deficiency-associated transcriptional dysregulation suggests a novel therapy for tibial pseudoarthrosis in NF1.,"Neurofibromatosis type 1 (NF1) is an autosomal dominant disease caused by mutations in NF1. Among the earliest manifestations is tibial pseudoarthrosis and persistent nonunion after fracture. To further understand the pathogenesis of pseudoarthrosis and the underlying bone remodeling defect, pseudoarthrosis tissue and cells cultured from surgically resected pseudoarthrosis tissue from NF1 individuals were analyzed using whole-exome and whole-transcriptome sequencing as well as genomewide microarray analysis. Genomewide analysis identified multiple genetic mechanisms resulting in somatic biallelic NF1 inactivation; no other genes with recurring somatic mutations were identified. Gene expression profiling identified dysregulated pathways associated with neurofibromin deficiency, including phosphoinositide 3-kinase (PI3K) and mitogen-activated protein kinase (MAPK) signaling pathways. Unlike aggressive NF1-associated malignancies, tibial pseudoarthrosis tissue does not harbor a high frequency of somatic mutations in oncogenes or other tumor-suppressor genes, such as p53. However, gene expression profiling indicates that pseudoarthrosis tissue has a tumor-promoting transcriptional pattern, despite lacking tumorigenic somatic mutations. Significant overexpression of specific cancer-associated genes in pseudoarthrosis highlights a potential for receptor tyrosine kinase inhibitors to target neurofibromin-deficient pseudoarthrosis and promote proper bone remodeling and fracture healing.",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2014-12,Nandina Paria; Tae-Joon Cho; In Ho Choi; Nobuhiro Kamiya; Kay Kayembe; Rong Mao; Rebecca L Margraf; Gerlinde Obermosser; Ila Oxendine; David W Sant; Mi Hyun Song; David A Stevenson; David H Viskochil; Carol A Wise; Harry K W Kim; Jonathan J Rios
10.1186/gb-2014-15-6-r80,PMID:24958239,SVA retrotransposon insertion-associated deletion represents a novel mutational mechanism underlying large genomic copy number changes with non-recurrent breakpoints.,"BACKGROUND: Genomic disorders are caused by copy number changes that may exhibit recurrent breakpoints processed by nonallelic homologous recombination. However, region-specific disease-associated copy number changes have also been observed which exhibit non-recurrent breakpoints. The mechanisms underlying these non-recurrent copy number changes have not yet been fully elucidated. RESULTS: We analyze large NF1 deletions with non-recurrent breakpoints as a model to investigate the full spectrum of causative mechanisms, and observe that they are mediated by various DNA double strand break repair mechanisms, as well as aberrant replication. Further, two of the 17 NF1 deletions with non-recurrent breakpoints, identified in unrelated patients, occur in association with the concomitant insertion of SINE/variable number of tandem repeats/Alu (SVA) retrotransposons at the deletion breakpoints. The respective breakpoints are refractory to analysis by standard breakpoint-spanning PCRs and are only identified by means of optimized PCR protocols designed to amplify across GC-rich sequences. The SVA elements are integrated within SUZ12P intron 8 in both patients, and were mediated by target-primed reverse transcription of SVA mRNA intermediates derived from retrotranspositionally active source elements. Both SVA insertions occurred during early postzygotic development and are uniquely associated with large deletions of 1 Mb and 867 kb, respectively, at the insertion sites. CONCLUSIONS: Since active SVA elements are abundant in the human genome and the retrotranspositional activity of many SVA source elements is high, SVA insertion-associated large genomic deletions encompassing many hundreds of kilobases could constitute a novel and as yet under-appreciated mechanism underlying large-scale copy number changes in the human genome.",Genome biology,2014-06-02,Julia Vogt; Kathrin Bengesser; Kathleen B M Claes; Katharina Wimmer; Victor-Felix Mautner; Rick van Minkelen; Eric Legius; Hilde Brems; Meena Upadhyaya; Josef Högel; Conxi Lazaro; Thorsten Rosenbaum; Simone Bammert; Ludwine Messiaen; David N Cooper; Hildegard Kehrer-Sawatzki
10.1186/1479-7364-8-10,PMID:24980480,Novel age-dependent targets in vestibular schwannomas.,"BACKGROUND: Schwannomas are the most common neurofibromatosis type 2 (NF2)-associated tumors with significant phenotypic heterogeneity in patients. The most severe subtype has an early and rapid progression and the mild type has a later onset and a less aggressive course. The aim of this study was to elucidate the underlying molecular differences between these groups. We compared the gene expression pattern between patients with early to late age of onset. RESULTS: A gene signature of 21 genes was constructed to differentiate between early-onset and late-onset patients. We confirmed these results by real-time PCR for SNF1LK2, NGFRAP1L1 (BEX 5), GMNN, and EPHA2. CONCLUSION: Genes identified here may be additional aberrations in merlin-depleted cells that govern the disease onset. A significant number of these genes have been suggested as having a role in carcinogenesis and are used as biomarkers for prognosis in several other cancers. The role of these genes in NF2 carcinogenesis and their potential as biomarkers or drug target are worthwhile exploring.",Human genomics,2014-06-30,Amos Toren; Juergen K Reichardt; Ali Andalibi; Nancy Ya-Hsuan Hsu; Joni Doherty; William Slattery; Ruty Mehrian-Shai
10.3389/fonc.2014.00147,PMID:25003081,An integrative analysis of meningioma tumors reveals the determinant genes and pathways of malignant transformation.,"Meningiomas are frequent central nervous system neoplasms, which despite their predominant benignity, show sporadically malignant behavior. Type 2 neurofibromatosis and polymorphisms in several genes have been associated with meningioma risk and are probably involved in its pathogenesis. Although GWAS studies have found loci related to meningioma risk, little is known about the factors determining malignant transformation. Thus, this study is aimed to identify the genomic and transcriptomic factors influencing evolution from benignity toward aggressive phenotypes. By applying an integrative bioinformatics pipeline combining public information on a wealth of biological layers of complexity (from genetic polymorphisms to protein interactions), this study identified a module of co-expressed genes highly correlated with tumor stage and statistically linked to several genomic regions (module Quantitative Trait Loci, mQTLs). Ontology analysis of the transcription hub genes identified microtubule-associated cell-cycle processes as key drivers of such network. mQTLs and single nucleotide polymorphisms associated with meningioma stage were replicated in an alternative meningioma cohort, and integration of these results with up-to-date scientific literature and several databases retrieved a list of genes and pathways with a potentially important role in meningioma malignancy. As a result, cytoskeleton and cell-cell adhesion pathways, calcium-channels and glutamate receptors, as well as oxidoreductase and endoplasmic reticulum-associated degradation pathways were found to be the most important and redundant findings associated to meningioma progression. This study presents an integrated view of the pathways involved in meningioma malignant conversion and paves the way for the development of new research lines that will improve our understanding of meningioma biology.",Frontiers in oncology,2014,José Carlos Iglesias Gómez; Adrián Mosquera Orgueira
10.1186/s40478-014-0082-1,PMID:25012216,A neuronal function of the tumor suppressor protein merlin.,"Mutagenic loss of the NF2 tumor suppressor gene encoded protein merlin is known to provoke the hereditary neoplasia syndrome, Neurofibromatosis type 2 (NF2). In addition to glial cell-derived tumors in the PNS and CNS, disease-related lesions also affect the skin and the eyes. Furthermore, 60% of NF2 patients suffer from peripheral nerve damage, clinically referred to as peripheral neuropathy. Strikingly, NF2-associated neuropathy often occurs in the absence of nerve damaging tumors, suggesting tumor-independent events. Recent findings indicate an important role of merlin in neuronal cell types concerning neuromorphogenesis, axon structure maintenance and communication between axons and Schwann cells. In this review, we compile clinical and experimental evidences for the underestimated role of the tumor suppressor merlin in the neuronal compartment.",Acta neuropathologica communications,2014-07-12,Alexander Schulz; Ansgar Zoch; Helen Morrison
10.1016/j.ccr.2014.05.001,PMID:25026211,Merlin/NF2 loss-driven tumorigenesis linked to CRL4(DCAF1)-mediated inhibition of the hippo pathway kinases Lats1 and 2 in the nucleus.,"It is currently unclear whether Merlin/NF2 suppresses tumorigenesis by activating upstream components of the Hippo pathway at the plasma membrane or by inhibiting the E3 ubiquitin ligase CRL4(DCAF1) in the nucleus. We found that derepressed CRL4(DCAF1) promotes YAP- and TEAD-dependent transcription by ubiquitylating and, thereby, inhibiting Lats1 and 2 in the nucleus. Genetic epistasis experiments and analysis of tumor-derived missense mutations indicate that this signaling connection sustains the oncogenicity of Merlin-deficient tumor cells. Analysis of clinical samples confirms that this pathway operates in NF2-mutant tumors. We conclude that derepressed CRL4(DCAF1) promotes activation of YAP by inhibiting Lats1 and 2 in the nucleus.",Cancer cell,2014-07-14,Wei Li; Jonathan Cooper; Lu Zhou; Chenyi Yang; Hediye Erdjument-Bromage; David Zagzag; Matija Snuderl; Marc Ladanyi; C Oliver Hanemann; Pengbo Zhou; Matthias A Karajannis; Filippo G Giancotti
10.1038/onc.2014.185,PMID:25043298,Oncogenic role of Merlin/NF2 in glioblastoma.,"Glioblastoma is the most common and aggressive primary brain tumor in adults, with a poor prognosis because of its resistance to radiotherapy and chemotherapy. Merlin/NF2 (moesin-ezrin-radixin-like protein/neurofibromatosis type 2) is a tumor suppressor found to be mutated in most nervous system tumors; however, it is not mutated in glioblastomas. Merlin associates with several transmembrane receptors and intracellular proteins serving as an anchoring molecule. Additionally, it acts as a key component of cell motility. By selecting sub-populations of U251 glioblastoma cells, we observed that high expression of phosphorylated Merlin at serine 518 (S518-Merlin), NOTCH1 and epidermal growth factor receptor (EGFR) correlated with increased cell proliferation and tumorigenesis. These cells were defective in cell-contact inhibition with changes in Merlin phosphorylation directly affecting NOTCH1 and EGFR expression, as well as downstream targets HES1 (hairy and enhancer of split-1) and CCND1 (cyclin D1). Of note, we identified a function for S518-Merlin, which is distinct from what has been reported when the expression of Merlin is diminished in relation to EGFR and NOTCH1 expression, providing first-time evidence that demonstrates that the phosphorylation of S518-Merlin in glioblastoma promotes oncogenic properties that are not only the result of inactivation of the tumor suppressor role of Merlin but also an independent process implicating a Merlin-driven regulation of NOTCH1 and EGFR.",Oncogene,2015-05-14,P A Guerrero; W Yin; L Camacho; D Marchetti
10.1002/jbmr.2316,PMID:25043591,Combined MEK inhibition and BMP2 treatment promotes osteoblast differentiation and bone healing in Nf1Osx -/- mice.,"Neurofibromatosis type I (NF1) is an autosomal dominant disease with an incidence of 1/3000, caused by mutations in the NF1 gene, which encodes the RAS/GTPase-activating protein neurofibromin. Non-bone union after fracture (pseudarthrosis) in children with NF1 remains a challenging orthopedic condition to treat. Recent progress in understanding the biology of neurofibromin suggested that NF1 pseudarthrosis stems primarily from defects in the bone mesenchymal lineage and hypersensitivity of hematopoietic cells to TGFβ. However, clinically relevant pharmacological approaches to augment bone union in these patients remain limited. In this study, we report the generation of a novel conditional mutant mouse line used to model NF1 pseudoarthrosis, in which Nf1 can be ablated in an inducible fashion in osteoprogenitors of postnatal mice, thus circumventing the dwarfism associated with previous mouse models where Nf1 is ablated in embryonic mesenchymal cell lineages. An ex vivo-based cell culture approach based on the use of Nf1(flox/flox) bone marrow stromal cells showed that loss of Nf1 impairs osteoprogenitor cell differentiation in a cell-autonomous manner, independent of developmental growth plate-derived or paracrine/hormonal influences. In addition, in vitro gene expression and differentiation assays indicated that chronic ERK activation in Nf1-deficient osteoprogenitors blunts the pro-osteogenic property of BMP2, based on the observation that only combination treatment with BMP2 and MEK inhibition promoted the differentiation of Nf1-deficient osteoprogenitors. The in vivo preclinical relevance of these findings was confirmed by the improved bone healing and callus strength observed in Nf1osx (-/-) mice receiving Trametinib (a MEK inhibitor) and BMP2 released locally at the fracture site via a novel nanoparticle and polyglycidol-based delivery method. Collectively, these results provide novel evidence for a cell-autonomous role of neurofibromin in osteoprogenitor cells and insights about a novel targeted approach for the treatment of NF1 pseudoarthrosis.",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2015-01,Jean de la Croix Ndong; David M Stevens; Guillaume Vignaux; Sasidhar Uppuganti; Daniel S Perrien; Xiangli Yang; Jeffry S Nyman; Eva Harth; Florent Elefteriou
