toolName,toolType,_pmid,_doi,_publicationTitle,_year,_confidence,_usageType,nf_specific,completeness_score,priority,strainNomenclature,animalModelGeneticDisorder,animalModelOfManifestation,targetAntigen,hostOrganism,clonality,organ,cellLineGeneticDisorder,cellLineManifestation,cellLineCategory,insertName,vectorType,vectorBackbone,promoter,softwareName,softwareType,softwareVersion,sourceRepository,modelType,derivationSource,cellTypes,organoidType,modelSystemType,patientDiagnosis,hostStrain,tumorType,assessmentName,assessmentType,targetPopulation,diseaseSpecific,numberOfItems,_context,filter_reason
neurofibroma spheres,advanced_cellular_models,PMID:26904939,10.1016/j.celrep.2016.01.074,Insertional Mutagenesis Identifies a STAT3/Arid1b/β-catenin Pathway Driving Neurofibroma Initiation.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,spheroid,patient tissue,Schwann cells,,,,,,,,,,,"For mouse or human neurofibroma spheres, we chopped tissue into 1–3 mm³ pieces",Publication title lacks 3D/organoid/spheroid terminology
embryonic mouse spheres,advanced_cellular_models,PMID:26904939,10.1016/j.celrep.2016.01.074,Insertional Mutagenesis Identifies a STAT3/Arid1b/β-catenin Pathway Driving Neurofibroma Initiation.,,0.85,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,spheroid,primary cell,DRG cells,,,,,,,,,,,"Embryonic mouse spheres, dissociated from E12.5 DRG with 0.25% Trypsin 20 min. at 37°C",Publication title lacks 3D/organoid/spheroid terminology
neurofibromasphere model,advanced_cellular_models,PMID:38175707,10.1172/jci.insight.168826,Unbalancing cAMP and Ras/MAPK pathways as a therapeutic strategy for cutaneous neurofibromas.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,spheroid,iPSC,"Schwann cells, fibroblasts",,,,,,,,,,,induced pluripotent stem cell-derived 3D neurofibromasphere model,Publication title lacks 3D/organoid/spheroid terminology
3D microtissues,advanced_cellular_models,PMID:37246765,10.1093/neuonc/noad097,Ex vivo to in vivo model of malignant peripheral nerve sheath tumors for precision oncology.,,0.95,Development,False,1.00,Medium,,,,,,,,,,,,,,,,,,,spheroid,patient tissue,,,,,,,,,,,,Selected PDX were harvested for assembly into 3D microtissues,Publication title lacks 3D/organoid/spheroid terminology
BioCoat Matrigel invasion chambers (Becton Dickinson),advanced_cellular_models,PMID:24371224,10.1158/0008-5472.CAN-13-2062,Tumor suppressor alterations cooperate to drive aggressive mesotheliomas with enriched cancer stem cells via a p53-miR-34a-c-Met axis.,,0.8,Experimental Usage,True,1.00,Medium,,,,,,,,,,,,,,,,,,,other,other,,,,,,,,,,,,In vitro invasion of MM cell from Nf2+/−;p16/p19+/− wild-type mice were measured using 24-well BioCoat Matrigel invasion chambers (Becton Dickinson),Publication title lacks 3D/organoid/spheroid terminology
NF1 patient-derived induced pluripotent stem cells (iPSCs),advanced_cellular_models,PMID:28392281,10.1016/j.expneurol.2017.04.001,Human stem cell modeling in neurofibromatosis type 1 (NF1).,,0.95,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,other,patient tissue,pluripotent stem cells,,,,,,,,,,,the availability of NF1 patient-derived induced pluripotent stem cells (iPSCs) provides new opportunities to define the critical factors,Publication title lacks 3D/organoid/spheroid terminology
growth factor-reduced Matrigel,advanced_cellular_models,PMID:30713041,10.1016/j.stemcr.2019.01.001,Reprogramming Captures the Genetic and Tumorigenic Properties of Neurofibromatosis Type 1 Plexiform Neurofibromas.,,0.8,Experimental Usage,False,0.33,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iPSC established lines were grown on dishes coated with growth factor-reduced Matrigel (BD Biosciences) in mTESR1 medium,Publication title lacks 3D/organoid/spheroid terminology
3D spheres,advanced_cellular_models,PMID:30713041,10.1016/j.stemcr.2019.01.001,Reprogramming Captures the Genetic and Tumorigenic Properties of Neurofibromatosis Type 1 Plexiform Neurofibromas.,,0.8,Experimental Usage,True,1.00,Medium,,,,,,,,,,,,,,,,,,,spheroid,iPSC,Schwann cells,,,,,,,,,,,"iPSC-derived NF1(-/-) SCs exhibited a continuous high proliferation rate, poor myelination ability, and a tendency to form 3D spheres",Publication title lacks 3D/organoid/spheroid terminology
skin-derived precursors (SKPs),advanced_cellular_models,PMID:19427294,10.1016/j.stem.2009.03.017,Cell of origin and microenvironment contribution for NF1-associated dermal neurofibromas.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,spheroid,primary cell,stem/progenitor cells,,,,,,,,,,,we identify a population of stem/progenitor cells residing in the dermis termed skin-derived precursors (SKPs),Publication title lacks 3D/organoid/spheroid terminology
DRG sphere cultures,advanced_cellular_models,PMID:19041782,10.1016/j.stem.2008.10.003,Nf1 mutation expands an EGFR-dependent peripheral nerve progenitor that confers neurofibroma tumorigenic potential.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,spheroid,primary cell,dorsal root ganglion progenitors,,,,,,,,,,,We characterize a peripheral nervous system embryonic dorsal root ganglion progenitor population using in vitro clonal sphere-formation assays,Publication title lacks 3D/organoid/spheroid terminology
neurofibroma spheres,advanced_cellular_models,PMID:19041782,10.1016/j.stem.2008.10.003,Nf1 mutation expands an EGFR-dependent peripheral nerve progenitor that confers neurofibroma tumorigenic potential.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,spheroid,patient tissue,glial-like progenitors,,,,,,,,,,,Neurofibroma spheres contain glial-like progenitors that differentiate into neurons and SM/Fb-like cells in vitro,Publication title lacks 3D/organoid/spheroid terminology
retinal organoids,advanced_cellular_models,PMID:33816648,10.1016/j.omtm.2021.03.004,Transplantation of miPSC/mESC-derived retinal ganglion cells into healthy and glaucomatous retinas.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,organoid,iPSC,,retinal organoid,,,,,,,,,,"For organoid seeding, miPSCs/mESCs were collected with trypsin-EDTA as single-cell suspension, washed through single centrifugation",Publication title lacks NF-specific terms: Transplantation of miPSC/mESC-derived retinal ganglion cells into healthy and gl
B6N-Tyrc-Brd/BrdCrCrl,animal_models,PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,,0.9,Experimental Usage,False,1.00,Medium,B6N-Tyrc-Brd/BrdCrCrl,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,injecting 1 × 10 5 cells into the medial flank 4-week-old male B6N-Tyrc-Brd/BrdCrCrl mice (Charles Rivers),Wildtype/control with no known disease: B6N-Tyrc-Brd/BrdCrCrl
"athymic nude mice (Charles River, Stock No. 490)",animal_models,PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,0.9,Experimental Usage,False,1.00,Medium,"athymic nude mice (Charles River, Stock No. 490)",No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8-week-old athymic nude mice (Charles River, Stock No. 490) underwent surgery to implant pNF progenitor cells","Wildtype/control with no known disease: athymic nude mice (Charles River, Stock No. 490)"
K14Cre,animal_models,PMID:28465357,10.1101/gad.298703.117,Identification of hair shaft progenitors that create a niche for hair pigmentation.,,0.85,Experimental Usage,False,1.00,Medium,K14Cre,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"K14Cre (Dassule et al. 2000), K14CreERT (Vasioukhin et al. 1999), TyrCreERT2 (Bosenberg et al. 2006)... mice were purchased from the Jackson Laboratory",Publication title lacks NF-specific terms: Identification of hair shaft progenitors that create a niche for hair pigmentati
K14CreERT,animal_models,PMID:28465357,10.1101/gad.298703.117,Identification of hair shaft progenitors that create a niche for hair pigmentation.,,0.85,Experimental Usage,False,1.00,Medium,K14CreERT,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"K14Cre (Dassule et al. 2000), K14CreERT (Vasioukhin et al. 1999), TyrCreERT2 (Bosenberg et al. 2006)... mice were purchased from the Jackson Laboratory",Publication title lacks NF-specific terms: Identification of hair shaft progenitors that create a niche for hair pigmentati
TyrCreERT2,animal_models,PMID:28465357,10.1101/gad.298703.117,Identification of hair shaft progenitors that create a niche for hair pigmentation.,,0.85,Experimental Usage,False,1.00,Medium,TyrCreERT2,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"K14Cre (Dassule et al. 2000), K14CreERT (Vasioukhin et al. 1999), TyrCreERT2 (Bosenberg et al. 2006)... mice were purchased from the Jackson Laboratory",Publication title lacks NF-specific terms: Identification of hair shaft progenitors that create a niche for hair pigmentati
R26-rtTA,animal_models,PMID:28465357,10.1101/gad.298703.117,Identification of hair shaft progenitors that create a niche for hair pigmentation.,,0.85,Experimental Usage,False,1.00,Medium,R26-rtTA,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R26-rtTA (Belteki et al. 2005), and tetO-DTA (Lee et al. 1998) mice were purchased from the Jackson Laboratory",Publication title lacks NF-specific terms: Identification of hair shaft progenitors that create a niche for hair pigmentati
tetO-DTA,animal_models,PMID:28465357,10.1101/gad.298703.117,Identification of hair shaft progenitors that create a niche for hair pigmentation.,,0.85,Experimental Usage,False,1.00,Medium,tetO-DTA,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"R26-rtTA (Belteki et al. 2005), and tetO-DTA (Lee et al. 1998) mice were purchased from the Jackson Laboratory",Publication title lacks NF-specific terms: Identification of hair shaft progenitors that create a niche for hair pigmentati
K14-Scf,animal_models,PMID:28465357,10.1101/gad.298703.117,Identification of hair shaft progenitors that create a niche for hair pigmentation.,,0.85,Experimental Usage,False,1.00,Medium,K14-Scf,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K14-Scf (Kunisada et al. 1998a) was kindly provided by Dr. John Harris (University of Massachusetts Medical School),Publication title lacks NF-specific terms: Identification of hair shaft progenitors that create a niche for hair pigmentati
Krox20Cre,animal_models,PMID:28465357,10.1101/gad.298703.117,Identification of hair shaft progenitors that create a niche for hair pigmentation.,,0.85,Experimental Usage,False,1.00,Medium,Krox20Cre,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krox20Cre (Voiculescu et al. 2000), DhhCre (Skucas et al. 2013), PLPCreERT2 (Leone et al. 2003)... were described previously",Publication title lacks NF-specific terms: Identification of hair shaft progenitors that create a niche for hair pigmentati
DhhCre,animal_models,PMID:28465357,10.1101/gad.298703.117,Identification of hair shaft progenitors that create a niche for hair pigmentation.,,0.85,Experimental Usage,False,1.00,Medium,DhhCre,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krox20Cre (Voiculescu et al. 2000), DhhCre (Skucas et al. 2013), PLPCreERT2 (Leone et al. 2003)... were described previously",Publication title lacks NF-specific terms: Identification of hair shaft progenitors that create a niche for hair pigmentati
PLPCreERT2,animal_models,PMID:28465357,10.1101/gad.298703.117,Identification of hair shaft progenitors that create a niche for hair pigmentation.,,0.85,Experimental Usage,False,1.00,Medium,PLPCreERT2,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Krox20Cre (Voiculescu et al. 2000), DhhCre (Skucas et al. 2013), PLPCreERT2 (Leone et al. 2003)... were described previously",Publication title lacks NF-specific terms: Identification of hair shaft progenitors that create a niche for hair pigmentati
CMVCreERT,animal_models,PMID:28465357,10.1101/gad.298703.117,Identification of hair shaft progenitors that create a niche for hair pigmentation.,,0.85,Experimental Usage,False,1.00,Medium,CMVCreERT,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CMVCreERT (Hayashi and McMahon 2002), R26-LacZ, and R26-YFP were described previously",Publication title lacks NF-specific terms: Identification of hair shaft progenitors that create a niche for hair pigmentati
R26-LacZ,animal_models,PMID:28465357,10.1101/gad.298703.117,Identification of hair shaft progenitors that create a niche for hair pigmentation.,,0.85,Experimental Usage,False,1.00,Medium,R26-LacZ,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CMVCreERT (Hayashi and McMahon 2002), R26-LacZ, and R26-YFP were described previously",Publication title lacks NF-specific terms: Identification of hair shaft progenitors that create a niche for hair pigmentati
R26-YFP,animal_models,PMID:28465357,10.1101/gad.298703.117,Identification of hair shaft progenitors that create a niche for hair pigmentation.,,0.85,Experimental Usage,False,1.00,Medium,R26-YFP,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"CMVCreERT (Hayashi and McMahon 2002), R26-LacZ, and R26-YFP were described previously",Publication title lacks NF-specific terms: Identification of hair shaft progenitors that create a niche for hair pigmentati
Long Evans,animal_models,PMID:34930951,10.1038/s41536-021-00195-3,A bioinspired gelatin-hyaluronic acid-based hybrid interpenetrating network for the enhancement of retinal ganglion cells replacement therapy.,,0.85,Experimental Usage,False,1.00,Medium,Long Evans,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Twenty-seven female Long Evans rats (age 12 weeks, approximate weight 200 g, Charles River. Wilmington, MA) were used in the experiments.",Publication title lacks NF-specific terms: A bioinspired gelatin-hyaluronic acid-based hybrid interpenetrating network for 
Myf5 Cre,animal_models,PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,0.9,Experimental Usage,False,1.00,Medium,Myf5 Cre,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mouse lines used in this study were described before: Myf5 Cre,Wildtype/control with no known disease: Myf5 Cre
Lbx1 Cre,animal_models,PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,0.9,Experimental Usage,False,1.00,Medium,Lbx1 Cre,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mouse lines used in this study were described before: Myf5 Cre, Lbx1 Cre",Wildtype/control with no known disease: Lbx1 Cre
Rosa26 mTmG,animal_models,PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,0.9,Experimental Usage,False,1.00,Medium,Rosa26 mTmG,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mouse lines used in this study were described before: Myf5 Cre, Lbx1 Cre, Nf1 flox, and Rosa26 mTmG",Wildtype/control with no known disease: Rosa26 mTmG
NOD.CB17-Prkdc/NCrCrl,animal_models,PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,0.95,Experimental Usage,False,1.00,Medium,NOD.CB17-Prkdc/NCrCrl,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female NOD SCID (NOD.CB17-Prkdc/NCrCrl) mice from Charles River Laboratories were housed in barrier facilities designed for immune-compromised animals.,Wildtype/control with no known disease: NOD.CB17-Prkdc/NCrCrl
Balb/c,animal_models,PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,0.9,Experimental Usage,False,1.00,Medium,Balb/c,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Initial range-finding studies employed female Balb/c mice (Taconic Laboratories).,Wildtype/control with no known disease: Balb/c
FVB/C57BL/6,animal_models,PMID:30617350,10.1038/s41596-018-0105-7,"A cerebellopontine angle mouse model for the investigation of tumor biology, hearing, and neurological function in NF2-related vestibular schwannoma.",,0.85,Experimental Usage,False,1.00,Medium,FVB/C57BL/6,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Syngeneic immune-competent FVB/C57BL/6 mice, both male and female, 10–12 weeks old, are used for implantation of the mouse NF2 −/− Schwann cell line.",Wildtype/control with no known disease: FVB/C57BL/6
nude mice (nu/nu),animal_models,PMID:30617350,10.1038/s41596-018-0105-7,"A cerebellopontine angle mouse model for the investigation of tumor biology, hearing, and neurological function in NF2-related vestibular schwannoma.",,0.85,Experimental Usage,False,1.00,Medium,nude mice (nu/nu),No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"When using human VS cell lines, such as the established human HEI-193 cell line or other immortalized human VS cell lines, immune-deficient mice (e.g., nude mice (nu/nu) or NOD SCID mice) should be used.",Wildtype/control with no known disease: nude mice (nu/nu)
NOD SCID,animal_models,PMID:30617350,10.1038/s41596-018-0105-7,"A cerebellopontine angle mouse model for the investigation of tumor biology, hearing, and neurological function in NF2-related vestibular schwannoma.",,0.85,Experimental Usage,False,1.00,Medium,NOD SCID,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"When using human VS cell lines, such as the established human HEI-193 cell line or other immortalized human VS cell lines, immune-deficient mice (e.g., nude mice (nu/nu) or NOD SCID mice) should be used.",Wildtype/control with no known disease: NOD SCID
Nu/Nu,animal_models,PMID:27956228,10.1053/j.gastro.2016.12.002,Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kinase as Suppressors of Liver Tumors in Mice.,,0.9,Experimental Usage,False,1.00,Medium,Nu/Nu,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3 × 10^6 p53−/−; Myc; Cas9 cells were injected into flanks of 6-8-week old, female, NCI Nu/Nu mice (Taconic)",Publication title lacks NF-specific terms: Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kin
p53 flox/flox,animal_models,PMID:27956228,10.1053/j.gastro.2016.12.002,Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kinase as Suppressors of Liver Tumors in Mice.,,0.85,Experimental Usage,False,1.00,Medium,p53 flox/flox,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p53 mice were crossed with Albumin-Cre mice (Jackson Laboratories) flox/flox,Publication title lacks NF-specific terms: Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kin
Albumin-Cre,animal_models,PMID:27956228,10.1053/j.gastro.2016.12.002,Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kinase as Suppressors of Liver Tumors in Mice.,,0.85,Experimental Usage,False,1.00,Medium,Albumin-Cre,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p53 mice were crossed with Albumin-Cre mice (Jackson Laboratories) flox/flox,Publication title lacks NF-specific terms: Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kin
Kras LSL-G12D/+,animal_models,PMID:27956228,10.1053/j.gastro.2016.12.002,Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kinase as Suppressors of Liver Tumors in Mice.,,0.85,Experimental Usage,False,1.00,Medium,Kras LSL-G12D/+,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kras G12D;shp53 mouse cholangiocarcinoma was generated as in using Kras LSL-G12D/+ liver progenitor cells,Publication title lacks NF-specific terms: Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kin
K14 Cre,animal_models,PMID:30479396,10.1038/s41467-018-07452-y,NF1 heterozygosity fosters de novo tumorigenesis but impairs malignant transformation.,,0.9,Experimental Usage,False,1.00,Medium,K14 Cre,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"K14 Cre mice were available from the Jackson Laboratory (Bar Harbor, ME). All mice were maintained on a mix C57bl/6 background.",Wildtype/control with no known disease: K14 Cre
zebrafish,animal_models,PMID:29402968,10.1038/s41598-018-20894-0,Integrating Functional Analysis in the Next-Generation Sequencing Diagnostic Pipeline of RASopathies.,,0.9,Experimental Usage,False,1.00,Medium,zebrafish,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RNA transcripts were injected into zebrafish embryos at the single-cell stage. GFP signals in the zebrafish embryos indicated synthetic RNA expression,Publication title lacks NF-specific terms: Integrating Functional Analysis in the Next-Generation Sequencing Diagnostic Pip
Nf1 flox/flox,animal_models,PMID:23225063,10.1002/ana.23793,Dopamine deficiency underlies learning deficits in neurofibromatosis-1 mice.,,0.9,Experimental Usage,False,1.00,Medium,Nf1 flox/flox,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,littermate control Nf1 flox/flox (CTL) mice were maintained on an inbred C57BL/6 background,Wildtype/control with no known disease: Nf1 flox/flox
Col2.3Cre,animal_models,PMID:21439418,10.1016/j.bone.2011.03.760,Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model.,,0.85,Experimental Usage,False,1.00,Medium,Col2.3Cre,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Col2.3Cre transgenic mice were generated as described elsewhere. In this model, the 2.3 α1(I) Collagen promoter is used to selectively drive Cre expression",Wildtype/control with no known disease: Col2.3Cre
ROSA26,animal_models,PMID:21439418,10.1016/j.bone.2011.03.760,Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model.,,0.85,Experimental Usage,False,1.00,Medium,ROSA26,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Col2.3Cre transgenic mice were crossed with ROSA26 reporter mice. LacZ staining was performed to assess Cre recombination,Wildtype/control with no known disease: ROSA26
p53floxE2–10,animal_models,PMID:32699356,10.1038/s41467-020-17382-3,Murine models of IDH-wild-type glioblastoma exhibit spatial segregation of tumor initiation and manifestation during evolution.,,0.85,Experimental Usage,False,1.00,Medium,p53floxE2–10,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The floxed p53 alleles (p53floxE2–10) and (p53LSLR172H) have been described previously,Publication title lacks NF-specific terms: Murine models of IDH-wild-type glioblastoma exhibit spatial segregation of tumor
p53LSLR172H,animal_models,PMID:32699356,10.1038/s41467-020-17382-3,Murine models of IDH-wild-type glioblastoma exhibit spatial segregation of tumor initiation and manifestation during evolution.,,0.85,Experimental Usage,False,1.00,Medium,p53LSLR172H,No known disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The floxed p53 alleles (p53floxE2–10) and (p53LSLR172H) have been described previously,Publication title lacks NF-specific terms: Murine models of IDH-wild-type glioblastoma exhibit spatial segregation of tumor
