_pmid,_doi,_publicationTitle,_year,_context,_confidence,_verdict,_usageType,_toolName,modelSystemType,patientDiagnosis,hostStrain,tumorType,engraftmentSite,passageNumber,establishmentRate,molecularCharacterization,clinicalData,humanizationMethod,immuneSystemComponents,validationMethods
PMID:35511749,10.1158/1535-7163.MCT-21-0947,A High-Throughput Screening Platform Identifies Novel Combination Treatments for Malignant Peripheral Nerve Sheath Tumors.,,significantly reduced tumor growth in a sporadic PDOX model (MPNST-SP-01; sevenfold),0.9,Accept,Experimental Usage,MPNST-SP-01 PDOX,PDX,sporadic MPNST,athymic nude,MPNST,orthotopic,,,,,,,
PMID:35511749,10.1158/1535-7163.MCT-21-0947,A High-Throughput Screening Platform Identifies Novel Combination Treatments for Malignant Peripheral Nerve Sheath Tumors.,,and in an NF1-PDOX model (MPNST-NF1-09; fourfold),0.9,Accept,Experimental Usage,MPNST-NF1-09 PDOX,PDX,NF1-associated MPNST,athymic nude,MPNST,orthotopic,,,,,,,
PMID:18636037,10.1097/MAO.0b013e31817f7398,The ErbB inhibitors trastuzumab and erlotinib inhibit growth of vestibular schwannoma xenografts in nude mice: a preliminary study.,,Vestibular schwannoma xenografts were established in the interscapular fat pad in nude mice,0.9,Accept,Experimental Usage,vestibular schwannoma xenografts,PDX,vestibular schwannoma,nude mouse,vestibular schwannoma,interscapular fat pad,,,,,,,
PMID:33032988,10.1158/0008-5472.CAN-20-1365,Combined Inhibition of SHP2 and MEK Is Effective in Models of NF1-Deficient Malignant Peripheral Nerve Sheath Tumors.,,"Four patient-derived MPNST cell lines (JH-2–002, JH-2–009, JH-2–031 and JH-2–055)",0.9,Accept,Experimental Usage,JH-2–002,cell line,NF1-associated MPNST,,MPNST,,,,,,,,
PMID:33032988,10.1158/0008-5472.CAN-20-1365,Combined Inhibition of SHP2 and MEK Is Effective in Models of NF1-Deficient Malignant Peripheral Nerve Sheath Tumors.,,"Four patient-derived MPNST cell lines (JH-2–002, JH-2–009, JH-2–031 and JH-2–055)",0.9,Accept,Experimental Usage,JH-2–009,cell line,NF1-associated MPNST,,MPNST,,,,,,,,
PMID:33032988,10.1158/0008-5472.CAN-20-1365,Combined Inhibition of SHP2 and MEK Is Effective in Models of NF1-Deficient Malignant Peripheral Nerve Sheath Tumors.,,"Four patient-derived MPNST cell lines (JH-2–002, JH-2–009, JH-2–031 and JH-2–055)",0.9,Accept,Experimental Usage,JH-2–031,cell line,NF1-associated MPNST,,MPNST,,,,,,,,
PMID:33032988,10.1158/0008-5472.CAN-20-1365,Combined Inhibition of SHP2 and MEK Is Effective in Models of NF1-Deficient Malignant Peripheral Nerve Sheath Tumors.,,"Four patient-derived MPNST cell lines (JH-2–002, JH-2–009, JH-2–031 and JH-2–055)",0.9,Accept,Experimental Usage,JH-2–055,cell line,NF1-associated MPNST,,MPNST,,,,,,,,
PMID:33032988,10.1158/0008-5472.CAN-20-1365,Combined Inhibition of SHP2 and MEK Is Effective in Models of NF1-Deficient Malignant Peripheral Nerve Sheath Tumors.,,"three patient-derived neurofibroma cell lines (JH-2–060, JH-2–074 and JH-2–077)",0.9,Accept,Experimental Usage,JH-2–060,cell line,NF1-associated neurofibroma,,neurofibroma,,,,,,,,
PMID:33032988,10.1158/0008-5472.CAN-20-1365,Combined Inhibition of SHP2 and MEK Is Effective in Models of NF1-Deficient Malignant Peripheral Nerve Sheath Tumors.,,"three patient-derived neurofibroma cell lines (JH-2–060, JH-2–074 and JH-2–077)",0.9,Accept,Experimental Usage,JH-2–074,cell line,NF1-associated neurofibroma,,neurofibroma,,,,,,,,
PMID:33032988,10.1158/0008-5472.CAN-20-1365,Combined Inhibition of SHP2 and MEK Is Effective in Models of NF1-Deficient Malignant Peripheral Nerve Sheath Tumors.,,"three patient-derived neurofibroma cell lines (JH-2–060, JH-2–074 and JH-2–077)",0.9,Accept,Experimental Usage,JH-2–077,cell line,NF1-associated neurofibroma,,neurofibroma,,,,,,,,
PMID:33032988,10.1158/0008-5472.CAN-20-1365,Combined Inhibition of SHP2 and MEK Is Effective in Models of NF1-Deficient Malignant Peripheral Nerve Sheath Tumors.,,Minced tumor fragments from donor mice were implanted subcutaneously close to the sciatic nerves of 6 to 8-week-old athymic nude (NF90.8) or NSG (PDX JH-2–002) female mice,0.9,Accept,Experimental Usage,PDX JH-2–002,PDX,NF1-associated MPNST,NSG,MPNST,subcutaneous,,,,,,,
PMID:41023593,10.1186/s10020-025-01353-9,Selective inhibition of BRAF and CRAF sensitizes NF1-deficient malignant peripheral nerve sheath tumors to MEK inhibitors.,,efficacy studies in cell-line-derived and patient-derived xenograft models,0.8,Accept,Experimental Usage,patient-derived xenograft models,PDX,NF1-associated MPNST,NSG,MPNST,subcutaneous,,,,,,,
PMID:35789380,10.1158/2159-8290.CD-21-1671,PRC2-Inactivating Mutations in Cancer Enhance Cytotoxic Response to DNMT1-Targeted Therapy via Enhanced Viral Mimicry.,,"MPNST PDX-1 tumors in CB-17 SCID mice (Taconic, RRID:IMSR_TAC:cb17sc) were enzymatically dissociated, followed by subcutaneous injection into flanks",0.9,Accept,Experimental Usage,MPNST PDX-1,PDX,MPNST,CB-17 SCID,MPNST,subcutaneous,,,,,,,
PMID:38744290,10.1016/j.crmeth.2024.100772,A platform for rapid patient-derived cutaneous neurofibroma organoid establishment and screening.,,Cutaneous neurofibroma samples This work NF0001 – NF0012,0.9,Accept,Experimental Usage,Cutaneous neurofibroma samples,organoid,NF1-associated cutaneous neurofibroma,,cutaneous neurofibroma,,,,,,,,
PMID:15240917,10.1155/S1110724304308107,Survival of Human Neurofibroma in Immunodeficient Mice and Initial Results of Therapy With Pirfenidone.,,Human neurofibromas were obtained from four patients with neurofibromatosis who underwent removal of plexiform neurofibroma,0.9,Accept,Experimental Usage,human neurofibroma xenografts,PDX,plexiform neurofibroma,SCID,neurofibroma,subcutaneous,,,,,,,
PMID:37246765,10.1093/neuonc/noad097,Ex vivo to in vivo model of malignant peripheral nerve sheath tumors for precision oncology.,,We developed 13 NF1-associated MPNST-PDX and identified mutations,0.95,Accept,Development,NF1-associated MPNST-PDX,PDX,NF1-associated MPNST,NRG,MPNST,subcutaneous,,,,,,,
PMID:33591953,10.1172/jci.insight.146351,Chromosome 8 gain is associated with high-grade transformation in MPNST.,,we developed a collection of NF1-MPNST patient-derived xenografts (PDX). These PDX were compared with the primary tumors,0.95,Accept,Development,NF1-MPNST patient-derived xenografts,PDX,NF1-associated MPNST,NSG,MPNST,subcutaneous,,,,,,,
PMID:37410426,10.1158/1078-0432.CCR-23-0749,"CDK4/6-MEK Inhibition in MPNSTs Causes Plasma Cell Infiltration, Sensitization to PD-L1 Blockade, and Tumor Regression.",,tumor pieces were acquired from MPNST patients at time of surgical resection and implanted subcutaneously,0.9,Accept,Experimental Usage,Patient-derived xenografts,PDX,MPNST,NRG,MPNST,subcutaneous,,,,,,,
PMID:33658640,10.1038/s41416-021-01270-8,Exploring transcriptional regulators Ref-1 and STAT3 as therapeutic targets in malignant peripheral nerve sheath tumours.,,"Following resection, patient tissue (18-year-old female) was initially expanded as flank tumours, harvested and expanded as a cell line, which were referred to as 'RHT-92'",0.9,Accept,Experimental Usage,RHT-92,cell line,MPNST,,MPNST,,,,,,,,
