_pmid,_doi,_publicationTitle,_year,_toolName,_toolType,_usageType,usageId,publicationId,resourceId
PMID:36890585 | PMID:40684195 | PMID:19191334 | PMID:21439418 | PMID:34935315 | PMID:25772366 | PMID:29847659 | PMID:29787563 | PMID:28525381 | PMID:25535838 | PMID:20200958,10.1186/s40478-023-01525-w | 10.1186/s40478-025-02075-z | 10.1002/glia.20845 | 10.1016/j.bone.2011.03.760 | 10.1117/1.JBO.26.12.125001 | 10.1016/j.celrep.2015.02.041 | 10.1167/iovs.17-22588 | 10.1371/journal.pone.0190001 | 10.18632/oncotarget.17589 | 10.7554/eLife.05151 | 10.1002/jbmr.42,Neurofibromatosis type 1-dependent alterations in mouse microglia function are not cell-intrinsic. | Unraveling the development of cutaneous neurofibromas in neurofibromatosis type 1. | Microarray analyses reveal regional astrocyte heterogeneity with implications for neurofibromatosis type 1 (NF1)-regulated glial proliferation. | Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model. | Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse reflectance spectroscopy. | Mouse low-grade gliomas contain cancer stem cells with unique molecular and functional properties. | Neurofibromin Deficiency Induces Endothelial Cell Proliferation and Retinal Neovascularization. | Graph complexity analysis identifies an ETV5 tumor-specific network in human and murine low-grade glioma. | The cell of origin dictates the temporal course of neurofibromatosis-1 (Nf1) low-grade glioma formation. | Transient inhibition of the ERK pathway prevents cerebellar developmental defects and improves long-term motor functions in murine models of neurofibromatosis type 1. | Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,Nf1 flox/flox,animal_models,Experimental Usage,31fc933a-9926-557e-ac82-54c27e3967ef,aafab7fa-57c6-5772-a716-a6f8e840d144,2433f01f-8ef3-514a-978a-93a449dcc8b4
PMID:33078583 | PMID:21681782 | PMID:21551250 | PMID:21726432 | PMID:32839340 | PMID:18242513,10.1002/jcsm.12632 | 10.1002/ajh.22035 | 10.1158/0008-5472.CAN-10-4577 | 10.1186/1741-7015-9-82 | 10.1073/pnas.2008391117 | 10.1016/j.ccr.2008.01.003,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis. | Nf1 mutant mice with p19ARF gene loss develop accelerated hematopoietic disease resembling acute leukemia with a variable phenotype. | Susceptible stages in Schwann cells for NF1-associated plexiform neurofibroma development. | MIA is a potential biomarker for tumour load in neurofibromatosis type 1. | Brain-wide structural and functional disruption in mice with oligodendrocyte-specific | The loss of Nf1 transiently promotes self-renewal but not tumorigenesis by neural crest stem cells.,,Nf1 flox,animal_models,Experimental Usage,c9863d36-bfb1-55e0-b652-ebb5108b60ba,2a4fed50-5e45-5d25-933d-55983b5ef506,ba5ab76b-b23e-5258-9d61-886f4ab09510
PMID:32781282 | PMID:21199799 | PMID:8582272 | PMID:21949590 | PMID:40590220 | PMID:36890585 | PMID:40684195 | PMID:23071067 | PMID:26190969 | PMID:21439418 | PMID:25772366 | PMID:29847659 | PMID:18242513 | PMID:28525381 | PMID:16835260 | PMID:18632543,10.1016/j.trsl.2020.08.001 | 10.1158/0008-5472.CAN-10-2732 | 10.1242/dev.121.11.3583 | 10.2478/v10134-010-0025-8 | 10.1172/JCI188932 | 10.1186/s40478-023-01525-w | 10.1186/s40478-025-02075-z | 10.1158/0008-5472.CAN-12-1728 | 10.3389/fncel.2015.00234 | 10.1016/j.bone.2011.03.760 | 10.1016/j.celrep.2015.02.041 | 10.1167/iovs.17-22588 | 10.1016/j.ccr.2008.01.003 | 10.18632/oncotarget.17589 | 10.1093/hmg/ddl165 | 10.1001/jama.300.3.287,"Nf1 heterozygous mice recapitulate the anthropometric and metabolic features of human neurofibromatosis type 1. | Dose-dependent effects of focal fractionated irradiation on secondary malignant neoplasms in Nf1 mutant mice. | Neurofibromin-deficient fibroblasts fail to form perineurium in vitro. | ALTERED CALCIUM CURRENTS AND AXONAL GROWTH IN Nf1 HAPLOINSUFFICIENT MICE. | A haploinsufficiency restoration strategy corrects neurobehavioral deficits in Nf1+/- mice. | Neurofibromatosis type 1-dependent alterations in mouse microglia function are not cell-intrinsic. | Unraveling the development of cutaneous neurofibromas in neurofibromatosis type 1. | Genetically mediated Nf1 loss in mice promotes diverse radiation-induced tumors modeling second malignant neoplasms. | In vivo synaptic transmission and morphology in mouse models of Tuberous sclerosis, Fragile X syndrome, Neurofibromatosis type 1, and Costello syndrome. | Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model. | Mouse low-grade gliomas contain cancer stem cells with unique molecular and functional properties. | Neurofibromin Deficiency Induces Endothelial Cell Proliferation and Retinal Neovascularization. | The loss of Nf1 transiently promotes self-renewal but not tumorigenesis by neural crest stem cells. | The cell of origin dictates the temporal course of neurofibromatosis-1 (Nf1) low-grade glioma formation. | Nf1+/- mast cells induce neurofibroma like phenotypes through secreted TGF-beta signaling. | Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.",,Nf1+/-,animal_models,Experimental Usage,3873cc85-c204-5736-a91b-e233733bbcab,f0ff9980-306a-5559-b983-797c60215a28,9c821f99-a92d-5fcc-b512-8607480ae168
PMID:24595234,10.1371/journal.pone.0090853,In vivo functional analysis of the human NF2 tumor suppressor gene in Drosophila.,,y w Mer4,animal_models,Experimental Usage,8ed72099-27d6-5470-944c-c02fdc9be99b,6ccd0d5d-b7c5-52b3-a737-0616dfc1de15,ce320a62-9c23-56c1-a31e-86a5bd53bbb8
PMID:24595234,10.1371/journal.pone.0090853,In vivo functional analysis of the human NF2 tumor suppressor gene in Drosophila.,,4/FM7; T80-Gal4 y w Mer4,animal_models,Experimental Usage,2ec230b9-13e3-5a07-8e32-2b48e7e15db6,6ccd0d5d-b7c5-52b3-a737-0616dfc1de15,b1c5c572-3b5c-52a6-a910-33321c4f1828
PMID:30479396,10.1038/s41467-018-07452-y,NF1 heterozygosity fosters de novo tumorigenesis but impairs malignant transformation.,,PLP CreERT2; Nf1 f/−; ROSA-LacZ,animal_models,Experimental Usage,d5c0aa09-acec-5c4b-afc6-03209e4f9d86,871381ec-7d04-5cd1-8c2a-9ba7d229cf0d,64c128f0-d5ad-571d-a6d2-4a466d982210
PMID:34935315 | PMID:24465906 | PMID:21726432,10.1117/1.JBO.26.12.125001 | 10.1371/journal.pone.0086115 | 10.1186/1741-7015-9-82,"Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse reflectance spectroscopy. | Multiscale, converging defects of macro-porosity, microstructure and matrix mineralization impact long bone fragility in NF1. | MIA is a potential biomarker for tumour load in neurofibromatosis type 1.",,Nf1Prx1-/-,animal_models,Experimental Usage,9723547a-af2c-5523-869e-8c9aafaec251,33713fe4-cdb9-5114-9d7c-ce6b33196915,d6ef2a65-bc56-578e-a426-a8e42388839b
PMID:21963652 | PMID:19191334 | PMID:23225063 | PMID:25772366,10.1016/j.expneurol.2011.09.005 | 10.1002/glia.20845 | 10.1002/ana.23793 | 10.1016/j.celrep.2015.02.041,PET imaging for attention deficit preclinical drug testing in neurofibromatosis-1 mice. | Microarray analyses reveal regional astrocyte heterogeneity with implications for neurofibromatosis type 1 (NF1)-regulated glial proliferation. | Dopamine deficiency underlies learning deficits in neurofibromatosis-1 mice. | Mouse low-grade gliomas contain cancer stem cells with unique molecular and functional properties.,,Nf1+/− GFAP CKO,animal_models,Experimental Usage,4697e983-734b-5944-aa5e-c378d3f039bc,157002e6-1d6a-5d47-b499-9e54000418a0,edade01d-5b28-5d39-b592-a2355cac456a
PMID:21439418,10.1016/j.bone.2011.03.760,Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model.,,Nf1(flox/-);Col2.3Cre(+),animal_models,Development,7c785260-2168-53a0-8f72-a56037c387c9,237083d8-a4df-5306-8928-7e703f490388,359e011a-d18d-5ec9-9e8b-1b264e17c46c
PMID:38502231 | PMID:34010628,10.1172/JCI176748 | 10.1016/j.stem.2021.04.029,STING activation reprograms the microenvironment to sensitize NF1-related malignant peripheral nerve sheath tumors for immunotherapy. | Stem-like cells drive NF1-associated MPNST functional heterogeneity and tumor progression.,,cisNP,animal_models,Experimental Usage,1cfa8425-6bc0-5b8e-a070-5239ef51d0a3,41b94877-07c4-5734-92ec-f2ec19389730,866607df-5a44-5eae-9b1e-8d6411ecb745
PMID:39129390,10.1002/1878-0261.13704,Inhibition of autophagy as a novel treatment for neurofibromatosis type 1 tumors.,,y [1] sc[*] v [1] sev [21]; P{y[+t7.7] v[+t1.8] = TKO.GS01796}attP40,animal_models,Experimental Usage,01997269-b7ea-53ed-9c35-15893a1f07f2,0d572b03-b1ed-5e1d-9f5a-0a036c3924ff,38365203-9446-583d-a77b-e07fb3a87d2b
PMID:39129390,10.1002/1878-0261.13704,Inhibition of autophagy as a novel treatment for neurofibromatosis type 1 tumors.,,P{ KK101909 }VIE‐260B,animal_models,Experimental Usage,d07749fb-3cb5-54d5-b806-e77ec1fd26ed,0d572b03-b1ed-5e1d-9f5a-0a036c3924ff,06ff776b-fea8-54f5-b727-9abca4ce187d
PMID:30571760,10.1371/journal.pone.0208835,Neurofibromin haploinsufficiency results in altered spermatogenesis in a mouse model of neurofibromatosis type 1.,,Nf1Dsk9/+,animal_models,Experimental Usage,a120d146-8501-5370-b5df-9a786c87943c,caa2a2ba-b781-5b6b-99cf-28995148fc14,40599842-43f7-5565-b886-5dc649e0d30d
PMID:29408605,10.1016/j.neuroscience.2018.01.054,Nf2 Mutation in Schwann Cells Delays Functional Neural Recovery Following Injury.,,P0SchΔ39-121,animal_models,Experimental Usage,999d079d-9f9a-5dea-a676-2624d1c77424,c4212dfb-c3a0-5330-9964-28aa270669bc,b25925a3-6f19-5e5b-be0c-42a0782b9c79
PMID:38931352,10.3390/ph17060685,PET Imaging of Neurofibromatosis Type 1 with a Fluorine-18 Labeled Tryptophan Radiotracer.,,"Trp53, Nf1, Suz12 triple mutant",animal_models,Experimental Usage,8b57badd-124d-5cb0-93dc-a47262bb3759,4c38f0c0-ab7c-5f15-a15c-3501dc6b7a9d,5eb80e47-0cdb-5b04-ba4d-98e4c6d6a91c
PMID:33442015 | PMID:31527226 | PMID:33658640 | PMID:38127282,10.1038/s41591-020-01193-6 | 10.1158/1535-7163.MCT-19-0123 | 10.1038/s41416-021-01270-8 | 10.1158/1078-0432.CCR-23-2548,"Cabozantinib for neurofibromatosis type 1-related plexiform neurofibromas: a phase 2 trial. | Ketotifen Modulates Mast Cell Chemotaxis to Kit-Ligand, but Does Not Impact Mast Cell Numbers, Degranulation, or Tumor Behavior in Neurofibromas of | Exploring transcriptional regulators Ref-1 and STAT3 as therapeutic targets in malignant peripheral nerve sheath tumours. | Spatial Gene-Expression Profiling Unveils Immuno-oncogenic Programs of NF1-Associated Peripheral Nerve Sheath Tumor Progression.",,Nf1flox/flox;PostnCre,animal_models,Experimental Usage,f23c0cec-9519-5dd9-ba28-4937de120ce5,f257f505-0b66-507d-9214-2e0e2216f226,b28a9b9d-7cad-566a-af24-fabd2d1c9444
PMID:36322658,10.1126/sciadv.abo5442,Single-cell multiomics identifies clinically relevant mesenchymal stem-like cells and key regulators for MPNST malignancy.,,NF1 fl/fl Tp53 fl/fl Eed fl/fl;Dhh-Cre,animal_models,Experimental Usage,2ec16849-b804-5f23-99b9-c4f2efaf005b,dedce255-85c0-5393-a506-95313062ed5a,cba9e7f2-5307-57c3-a000-be83339d7221
PMID:37520682,10.1016/j.omtn.2023.06.018,Combining nonsense mutation suppression therapy with nonsense-mediated decay inhibition in neurofibromatosis type 1.,,NF1 R1947/+,animal_models,Development,d5468e1e-7a00-5b22-9b0e-6da76eded166,d2f07474-f43f-50f7-abc1-ecf76627be65,9f90706d-5b59-553d-9743-1eb6dbc61c5d
PMID:34040258,10.1038/s41586-021-03580-6,NF1 mutation drives neuronal activity-dependent initiation of optic glioma.,,Nf1fl/fl,animal_models,Experimental Usage,704d28cd-950d-5001-a308-2f727fda4e48,9a3e4289-b548-5076-830c-a47d7c0f1c37,c910dd12-e034-5ad1-bad3-44c6b4b96de6
PMID:34040258,10.1038/s41586-021-03580-6,NF1 mutation drives neuronal activity-dependent initiation of optic glioma.,,OPG Nf1fl/mut (Nf1+/−),animal_models,Experimental Usage,c59864a0-bb27-52aa-931f-abc6caecccba,9a3e4289-b548-5076-830c-a47d7c0f1c37,03d2ffe3-ea87-5e39-894c-adc7cb5da85d
PMID:22901811,10.1016/j.cell.2012.06.034,ERK inhibition rescues defects in fate specification of Nf1-deficient neural progenitors and brain abnormalities.,,Nf1 hGFAP CKO,animal_models,Experimental Usage,25e91219-a79c-50b4-aa97-8cc42be7f511,9c33f2c2-8d6b-5387-a09b-d1eaf1d44dd0,8948e47d-3bbf-5cb8-ba55-74c15a4f3e96
PMID:22901811,10.1016/j.cell.2012.06.034,ERK inhibition rescues defects in fate specification of Nf1-deficient neural progenitors and brain abnormalities.,,Nf1 NcreER CKO,animal_models,Experimental Usage,a83c56a6-73b5-5cbf-93c2-6863902a60ff,9c33f2c2-8d6b-5387-a09b-d1eaf1d44dd0,a4552f3c-0475-5da9-81fa-9e9b89c1b6a0
PMID:21681782,10.1002/ajh.22035,Nf1 mutant mice with p19ARF gene loss develop accelerated hematopoietic disease resembling acute leukemia with a variable phenotype.,,Nf1 fcr,animal_models,Experimental Usage,25e96956-61b7-548b-bbdb-1d961300bceb,a5fe76ac-01db-575a-9b9f-a6cb84e753d8,cb2faad8-e4ab-54ab-9286-f4f4544b40f5
PMID:36730269,10.1371/journal.pone.0277305,Identification of therapeutic sensitivities in a spheroid drug combination screen of Neurofibromatosis Type I associated High Grade Gliomas.,,NPcis,animal_models,Experimental Usage,89bf6783-64b6-515b-9621-9636e30e5a4c,10088f76-3416-594d-a08b-efff5ad7f29f,f8ad311d-5503-5185-8331-bb3622c60dda
PMID:20554030,10.1016/j.jneuroim.2010.05.002,CXCL12 alone is insufficient for gliomagenesis in Nf1 mutant mice.,,"Nf1 flox/mut; GFAP-Cre, Nf1+/− GFAP CKO",animal_models,Experimental Usage,95dbd751-9253-51b9-a8c5-355dcb5ff80d,d58c9faf-ef15-514d-8927-2bf7edb94535,66988b6a-7f49-5b92-b5cf-58db189fc582
PMID:41444363,10.1038/s41598-025-32031-9,Focused ultrasound-mediated drug delivery of bevacizumab in treating NF2-related schwannomatosis in an animal model.,,Postn-Cre; Nf2flox/flox,animal_models,Experimental Usage,2dbbe7c5-5f3d-5ff0-8ff9-6c857c99cee1,7243854d-d552-5224-9365-c80163e526ae,912ab836-55cc-5769-bab0-ad1201b989f4
PMID:41444363 | PMID:24817309 | PMID:17924978 | PMID:38945076,10.1038/s41598-025-32031-9 | 10.1371/journal.pone.0097320 | 10.1111/j.1750-3639.2007.00105.x | 10.1016/j.redox.2024.103249,Focused ultrasound-mediated drug delivery of bevacizumab in treating NF2-related schwannomatosis in an animal model. | Nf2/Merlin controls spinal cord neural progenitor function in a Rac1/ErbB2-dependent manner. | Natural history of meningioma development in mice reveals: a synergy of Nf2 and p16(Ink4a) mutations. | Selective nitration of Hsp90 acts as a metabolic switch promoting tumor cell proliferation.,,Nf2flox/flox,animal_models,Experimental Usage,069d1cd2-d8c5-5bba-9ec9-66d132214e17,def708c3-3301-5833-beb4-ebdaa21e3411,95087676-d95f-5986-8a19-a7491d31d4f7
PMID:41036607,10.1158/1535-7163.MCT-24-1053,Pharmacogenomic Synthetic Lethal Screens Reveal Hidden Vulnerabilities and New Therapeutic Approaches for Treatment of NF1-Associated Tumors.,,"Dhh::Cre, Nf1fl/fl, Pten",animal_models,Experimental Usage,0bde040d-f123-5735-a459-1e3aaf2c8bce,c079a8f5-6f86-5f1e-8b61-d414dade9904,f5cbd630-c2a5-5c55-8dd6-7db2cda555e9
PMID:21216928 | PMID:26883872 | PMID:20551058,10.1158/1535-7163.MCT-10-0654 | 10.1016/j.jprot.2016.02.004 | 10.1158/0008-5472.CAN-09-3769,Interpreting mammalian target of rapamycin and cell growth inhibition in a genetically engineered mouse model of Nf1-deficient astrocytes. | 3-D imaging mass spectrometry of protein distributions in mouse Neurofibromatosis 1 (NF1)-associated optic glioma. | Cyclic AMP suppression is sufficient to induce gliomagenesis in a mouse model of neurofibromatosis-1.,,Nf1 flox/flox; GFAP-Cre,animal_models,Experimental Usage,aa9f335a-f6ea-5487-af8c-485e16caa5b2,fb519c11-4475-503c-a214-4f70f7d71196,4a5e5e77-eb10-5cbf-bc35-521ffdda67f4
PMID:28029918,10.1056/NEJMoa1605943,Activity of Selumetinib in Neurofibromatosis Type 1-Related Plexiform Neurofibromas.,,DhhCre;Nf1fl/fl,animal_models,Experimental Usage,b8a1aac9-001e-55d8-9f5b-6f6f9df7a5da,6a6cc4a3-4377-5ef4-b773-91aa74274ce7,58b5ecc6-5290-5dc9-aa53-358a7a70fad1
PMID:24465906,10.1371/journal.pone.0086115,"Multiscale, converging defects of macro-porosity, microstructure and matrix mineralization impact long bone fragility in NF1.",,Nf1Col1,animal_models,Experimental Usage,a809914e-827f-52ef-a5d7-87dd0c5e48f5,7a307ee7-dcbe-5a2c-b5d6-eda885997737,bd9636e4-d1b2-5181-a19b-29cd24f4f64d
PMID:28256556 | PMID:26904939,10.1038/srep43315 | 10.1016/j.celrep.2016.01.074,An inflammatory gene signature distinguishes neurofibroma Schwann cells and macrophages from cells in the normal peripheral nervous system. | Insertional Mutagenesis Identifies a STAT3/Arid1b/β-catenin Pathway Driving Neurofibroma Initiation.,,Nf1fl/fl;DhhCre,animal_models,Experimental Usage,fba7e54a-ffe4-512a-a65d-5ca7b791de26,3faa91a7-20eb-51c4-ba33-1184ee72a33d,d835ef05-a6e7-5269-adec-43e288108932
PMID:26904939,10.1016/j.celrep.2016.01.074,Insertional Mutagenesis Identifies a STAT3/Arid1b/β-catenin Pathway Driving Neurofibroma Initiation.,,Stat3(fl/fl);Nf1(fl/fl);DhhCre,animal_models,Experimental Usage,c9f6d736-eaf6-5846-9b96-d28efa1588f9,2b8fbee9-0206-5b19-9ff9-247ef34d29a4,5ad65882-986b-5a72-86a2-69e3b6d8a5c6
PMID:34010628,10.1016/j.stem.2021.04.029,Stem-like cells drive NF1-associated MPNST functional heterogeneity and tumor progression.,,Nf1f/f;Trp53f/f;Nes-TK,animal_models,Experimental Usage,735845bd-9ab7-5b78-bd72-d37ec4826a8b,ba823898-11fb-563f-a020-049e503d0c86,019086d3-2877-507f-946f-4a350906b3c5
PMID:34010628,10.1016/j.stem.2021.04.029,Stem-like cells drive NF1-associated MPNST functional heterogeneity and tumor progression.,,Nf1f/f;Trp53f/f;CGD,animal_models,Experimental Usage,6adf5054-983a-5c7d-99d8-e505596269c7,ba823898-11fb-563f-a020-049e503d0c86,22f30826-2dc3-5a19-a9b6-22427fdbcd0b
PMID:18242513,10.1016/j.ccr.2008.01.003,The loss of Nf1 transiently promotes self-renewal but not tumorigenesis by neural crest stem cells.,,Nf1/p53-/-,animal_models,Experimental Usage,c93b485c-45b6-5c60-8244-22840643d0a9,d4789358-b1c7-59fc-b751-686ac6dcea4f,3f1d08b5-7f28-5444-b71f-adb4546b3066
PMID:25917366,10.1038/mp.2015.48,HCN channels are a novel therapeutic target for cognitive dysfunction in Neurofibromatosis type 1.,,9a−/9a− Nf1,animal_models,Experimental Usage,ef7d2d2c-a816-526f-b737-23eb9ee1e4a1,e3bd187b-66ad-5162-918e-b129edfa65bb,ac709e73-9f67-5ce8-9835-bd64d2f50993
PMID:17924978,10.1111/j.1750-3639.2007.00105.x,Natural history of meningioma development in mice reveals: a synergy of Nf2 and p16(Ink4a) mutations.,,Nf2 flox2/flox2 ;p16 Ink4a*/*,animal_models,Experimental Usage,29db96ef-92b0-5e5a-b5c5-6f74902ea825,e532a697-bb23-5363-bd4c-58daf43d1095,a0443d94-cf21-5ff9-bea5-10c21c67b6e7
PMID:37140985,10.1172/JCI168227,Basement membrane proteins in extracellular matrix characterize NF1 neurofibroma development and response to MEK inhibitor.,,H7;Nf1mut,animal_models,Experimental Usage,af31d962-cdc4-5a0d-923d-e662a4e70cd8,f84f7c73-c19d-515b-93ad-9c99aae0cc9a,f03b3b12-dc42-540a-8105-3147d425fb1f
PMID:24375753 | PMID:20551058 | PMID:28525381,10.1002/ana.24093 | 10.1158/0008-5472.CAN-09-3769 | 10.18632/oncotarget.17589,Sex Is a major determinant of neuronal dysfunction in neurofibromatosis type 1. | Cyclic AMP suppression is sufficient to induce gliomagenesis in a mouse model of neurofibromatosis-1. | The cell of origin dictates the temporal course of neurofibromatosis-1 (Nf1) low-grade glioma formation.,,Nf1flox/mut;GFAP-Cre,animal_models,Experimental Usage,de61011a-2956-573f-b4d0-b078f6431aa4,d5c80af7-6449-5664-b157-9e41d6034f4a,3a865aff-eb92-5ed3-a87b-6ccc9db254fe
PMID:38127282,10.1158/1078-0432.CCR-23-2548,Spatial Gene-Expression Profiling Unveils Immuno-oncogenic Programs of NF1-Associated Peripheral Nerve Sheath Tumor Progression.,,DhhCre,animal_models,Experimental Usage,56c69026-dea5-5cf8-a422-7c9adb60a7e8,ac913aa3-1735-549f-bc14-f889b6fc4af2,b8f5e9c2-6b81-5c2b-bc67-44eaa3d0cc72
PMID:38127282,10.1158/1078-0432.CCR-23-2548,Spatial Gene-Expression Profiling Unveils Immuno-oncogenic Programs of NF1-Associated Peripheral Nerve Sheath Tumor Progression.,,Nf1flox/flox;Arf flox/flox;PostnCre+,animal_models,Experimental Usage,75257fc2-c0fc-55a8-b782-81b0f64e3d09,ac913aa3-1735-549f-bc14-f889b6fc4af2,6303a527-7a77-5149-a18b-479f76908051
PMID:28525381,10.18632/oncotarget.17589,The cell of origin dictates the temporal course of neurofibromatosis-1 (Nf1) low-grade glioma formation.,,Nf1flox/wt,animal_models,Experimental Usage,9927f347-58f5-5aa7-869d-975ba0192533,5c99cec1-6803-516d-b5a4-81969d0d6528,5ffaafc6-5cfc-5ef4-b3fd-e89ad69b4560
PMID:28525381,10.18632/oncotarget.17589,The cell of origin dictates the temporal course of neurofibromatosis-1 (Nf1) low-grade glioma formation.,,Nf1flox/mut,animal_models,Experimental Usage,a8610f0b-5482-5580-af9a-0b72a58ee9dc,5c99cec1-6803-516d-b5a4-81969d0d6528,1bd5aaf0-4cc3-592c-897a-9e801384b9b6
