pmid,doi,title,journal,year,pmc_id,publication_types
PMID:41584902,10.1002/jha2.70217,Clonal Evolution and Lineage Switch from T-Cell Acute Lymphoblastic Leukemia to Acute Myeloid Leukemia in Therapy-Resistant ,EJHaem,2026,PMC12826991,Journal Article
PMID:41584556,10.5114/pjr/213904,Subsequent primary and secondary neoplasms in childhood cancer survivors.,Polish journal of radiology,2025,PMC12825110,Journal Article
PMID:41576306,10.1200/PO-25-00416,Identification of Predictive Genomic Biomarkers in Metastatic Clear Cell Renal Cell Carcinoma: A Comprehensive Analysis of Real-World Clinicogenomic Data.,JCO precision oncology,2026,PMC12834269,Journal Article
PMID:41571736,10.1038/s41698-025-01230-y,Prospective tumour mutation burden and neoantigen profiling predicts immunotherapy response in metastatic melanoma.,NPJ precision oncology,2026,PMC12877020,Journal Article
PMID:41570527,10.1016/j.psj.2026.106375,Novel insights into the regulation of NF2/SWH signaling in granulosa cells of prehierarchical follicle development in hen ovary.,Poultry science,2026,PMC12857345,Journal Article
PMID:41568612,10.1002/cncr.70263,Outcomes following definitive treatment of malignant peripheral nerve sheath tumor are significantly worse for patients with neurofibromatosis type 1: A Canadian Sarcoma Research and Clinical Collaboration study.,Cancer,2026,PMC12824984,Journal Article
PMID:41568336,10.3389/fgene.2025.1713304,"(Not) ""just your nature"". Diagnostic journeys of adults with neurofibromatosis type 1 in Poland.",Frontiers in genetics,2025,PMC12818789,Journal Article
PMID:41568176,10.1093/noajnl/vdaf226,IGF2 supports glioblastoma growth and immune evasion through a combination of tumor cell-intrinsic and -extrinsic mechanisms.,Neuro-oncology advances,2026,PMC12817070,Journal Article
PMID:41564118,10.1371/journal.pone.0340183,Immortalization and characterization of Schwann cell lines derived from NF1-associated cutaneous neurofibromas.,PloS one,2026,PMC12822933,Journal Article
PMID:41551863,10.2141/jpsa.2026005,,The journal of poultry science,2026,PMC12803758,Journal Article
PMID:41546842,10.1007/s10238-025-01885-8,NF1/2 mutations predict favorable benefit from immune checkpoint inhibitor-based therapies over VEGFR/mTOR inhibitors in clear cell renal cell carcinoma.,Clinical and experimental medicine,2026,PMC12847219,Journal Article
PMID:41540280,10.1007/s00431-025-06702-8,Unraveling cardiac anomalies in pediatric neurofibromatosis type 1: insights and implications.,European journal of pediatrics,2026,PMC12808207,Journal Article
PMID:41515625,10.3390/diagnostics16010131,Cerebello-Pontine Angle Tumors in Children: An Update on Challenging Neoplasms.,"Diagnostics (Basel, Switzerland)",2026,PMC12785516,Journal Article
PMID:41509831,10.21037/jss-25-147,Resection of bilateral dumbbell C2 ganglioneuroma.,Journal of spine surgery (Hong Kong),2025,PMC12775633,Journal Article
PMID:41501359,10.1038/s43856-025-01341-4,Genomic and transcriptomic analyses of melanoma in Japanese patients reveal candidate biomarkers for immune checkpoint inhibitor responders.,Communications medicine,2026,PMC12873119,Journal Article
PMID:41497446,10.1093/noajnl/vdaf215,Head-to-head preclinical treatment design prioritizes promising therapies for neurofibromatosis type 1 optic glioma clinical translation.,Neuro-oncology advances,2025,PMC12768503,Journal Article
PMID:41496802,10.1159/000549593,Molecular and Clinical Profiles of Patients with RASopathies: Targeted Next-Generation Sequencing Panel Results and Identification of 14 Novel Disease-Causing Variants.,Molecular syndromology,2025,PMC12768433,Journal Article
PMID:41491378,10.1038/s41598-025-34329-0,Transcriptional mechanisms of hearing acclimatization to high altitude in rats.,Scientific reports,2026,PMC12858824,Journal Article
PMID:41487931,10.21873/cdp.10516,Long-term Stable Unilateral Mandibular Deformity Associated With Ipsilateral Skull-base Soft-tissue Lesion and Degenerated Pterygoid Muscles in Neurofibromatosis Type 1.,Cancer diagnosis & prognosis,2026,PMC12758670,Journal Article
PMID:41487701,10.1016/j.adro.2025.101931,Adjuvant Radiation Therapy in Breast Cancer Patients With Neurofibromatosis Type 1: Safety and Long-Term Outcomes.,Advances in radiation oncology,2026,PMC12756543,Journal Article
PMID:41480763,10.1172/JCI194395,NF2 loss malignantly transforms human pancreatic acinar cells and enhances cell fitness under environmental stress.,The Journal of clinical investigation,2026,PMC12721884,Journal Article
PMID:41476705,10.1002/jgh3.70331,Assessment of Circulating Tumor DNA for Early Detection of Hepatocellular Carcinoma in Alpha-Fetoprotein-Negative Patients With Cirrhotic Nodules.,JGH open : an open access journal of gastroenterology and hepatology,2026,PMC12748524,Journal Article
PMID:41473742,10.1093/noajnl/vdaf201,Malignant peripheral nerve sheath tumors in neurofibromatosis type 1 arise from distinct nodular lesions: A retrospective imaging analysis.,Neuro-oncology advances,2025,PMC12746603,Journal Article
PMID:41469709,10.1186/s12964-025-02624-y,Molecular and immune determinants of response in locally advanced deficient DNA mismatch repair/microsatellite instability-high gastric or gastroesophageal junction adenocarcinoma treated with neoadjuvant chemoimmunotherapy.,Cell communication and signaling : CCS,2025,PMC12860133,Journal Article
PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,Neurology,2026,PMC12778977,Journal Article
PMID:41464147,10.3390/diagnostics15243146,High-Resolution Nerve Ultrasound in Adults with NF1: An Accessible and Reproducible Imaging Tool for Plexiform Neurofibromas.,"Diagnostics (Basel, Switzerland)",2025,PMC12732254,Journal Article
PMID:41463391,10.3390/biom15121738,"Integration of ATAC-Seq, Transcriptomic, and Proteomics Reveals the Molecular Mechanism of Intramuscular Fat Deposition and Meat Tenderness Regulation in Pig Breeds.",Biomolecules,2025,PMC12730270,Journal Article
PMID:41463232,10.3390/cancers17243983,Epithelioid Mesothelioma Cells Exhibit Increased Ferroptosis Sensitivity Compared to Non-Epithelioid Mesothelioma Cells.,Cancers,2025,PMC12731133,Journal Article
PMID:41444363,10.1038/s41598-025-32031-9,Focused ultrasound-mediated drug delivery of bevacizumab in treating NF2-related schwannomatosis in an animal model.,Scientific reports,2025,PMC12816663,Journal Article
PMID:41417846,10.1158/2767-9764.CRC-25-0563,Combining Brigatinib with mTOR Inhibition to Effectively Treat NF2-SWN-Associated and Sporadic NF2-Deficient Meningiomas.,Cancer research communications,2026,PMC12835584,Journal Article
PMID:41413429,10.1038/s41598-025-26481-4,Genomic alterations linked to recurrence risk in high-grade serous ovarian cancer revealed by deep targeted sequencing.,Scientific reports,2025,PMC12717093,Journal Article
PMID:41411243,10.1371/journal.pgen.1011976,PERADIGM: Phenotype embedding similarity-based rare disease gene mapping.,PLoS genetics,2025,PMC12714201,Journal Article
PMID:41407759,10.1038/s41598-025-30548-7,Performance and clinical utility of two targeted multigene panels for GIST molecular characterization.,Scientific reports,2025,PMC12780020,Journal Article
PMID:41400463,10.7554/eLife.107108,Transcriptional subtypes on immune microenvironment and predicting postoperative recurrence and metastasis in human pheochromocytoma and paraganglioma.,eLife,2025,PMC12707812,Journal Article
PMID:41399671,10.1016/j.jdin.2025.09.020,Phenotypic characterization of neurofibromatosis type 1 in a large Chinese cohort: A cross-sectional study.,JAAD international,2026,PMC12702369,Journal Article
PMID:41398366,10.1038/s41598-025-32422-y,Protein domain-specific genotype-phenotype correlation study of neurofibromatosis type 1.,Scientific reports,2025,PMC12824372,Journal Article
PMID:41397954,10.1038/s41413-025-00492-3,Pharmacological inhibition of RAS pathway alleviates spine deformity in a mouse model of neurofibromatosis type 1.,Bone research,2025,PMC12706011,Journal Article
PMID:41373618,10.3390/ijms262311463,Targeted DNA Sequencing for Tailored Therapies in Children with Extracranial Solid Tumors.,International journal of molecular sciences,2025,PMC12692115,Journal Article
PMID:41351026,10.1186/s40001-025-03467-6,The impact of asparaginase phenotype-related single nucleotide polymorphisms on prognosis in pediatric B-cell precursor acute lymphoblastic leukemia.,European journal of medical research,2025,PMC12681128,Journal Article
PMID:41348985,10.1200/PO-25-00082,Impact of RAS-MAPK Pathway Genetic Alterations on Radiotherapy Response in Metastatic Lung Adenocarcinoma.,JCO precision oncology,2025,PMC12695007,Journal Article
PMID:41343818,10.3171/CASE25580,Diagnostic challenges of the neurofibroma-malignant peripheral nerve sheath tumor spectrum in neurofibromatosis type 1: illustrative case.,Journal of neurosurgery. Case lessons,2025,PMC12666872,Journal Article
PMID:41340880,10.2147/CCID.S560724,"Bibliometric Analysis of Global Research on Cafe-Au-Lait Macules from 2000 to 2025: Development, Collaboration Patterns, and Emerging Trends.","Clinical, cosmetic and investigational dermatology",2025,PMC12671111,Journal Article
PMID:41331781,10.1186/s40246-025-00847-1,"Ancestry-dependent patterns of somatic mosaicism and clonal hematopoiesis mutations in over 125,000 individuals reveal distinct cancer associations.",Human genomics,2025,PMC12673770,Journal Article
PMID:41329641,10.1371/journal.pbio.3003231,Low-dose mixtures of dietary nutrients ameliorate behavioral deficits in multiple mouse models of autism.,PLoS biology,2025,PMC12671748,Journal Article
PMID:41327009,10.1080/07853890.2025.2593209,Unveiling the prognostic and immunological role of IFI44 in glioma.,Annals of medicine,2025,PMC12673984,Journal Article
PMID:41326517,10.1038/s41598-025-30072-8,Long-read genome sequencing resolves the breakpoints of a chromosome 8;22 balanced translocation in NF2-related schwannomatosis.,Scientific reports,2025,PMC12775432,Journal Article
PMID:41326451,10.1038/s41598-025-26996-w,Molecular characterization of JC virus in progressive multifocal leukoencephalopathy cases from India.,Scientific reports,2025,PMC12669687,Journal Article
PMID:41321074,10.1002/psp4.70156,A Nonparametric Population Pharmacokinetic Model of Selumetinib in Pediatric Patients Diagnosed With Neurofibromatosis-I or Plexiform Neurofibromas.,CPT: pharmacometrics & systems pharmacology,2026,PMC12823296,Journal Article
PMID:41320126,10.1016/j.jmoldx.2025.11.003,Optical Genome Mapping versus Whole-Genome Sequencing in the Clinical Diagnosis of Gynecologic Mesenchymal Tumors.,The Journal of molecular diagnostics : JMD,2026,PMC12881299,Journal Article
PMID:41317405,10.1093/jnen/nlaf129,RECQL4 alterations in gliomas and nerve sheath tumors: Expression patterns and therapeutic implications.,Journal of neuropathology and experimental neurology,2025,PMC12713544,Journal Article
PMID:41313513,10.1007/s12672-025-03949-3,Five cases report and literature review of malignant peripheral nerve sheath tumor.,Discover oncology,2025,PMC12753613,Journal Article
PMID:41300842,10.3390/genes16111390,High Allelic Heterogeneity in Kazakhstani Patients with Neurofibromatosis Type 1: Results from the First Molecular Study.,Genes,2025,PMC12652172,Journal Article
PMID:41300834,10.3390/genes16111382,A Plot Twist: When RNA Yields Unexpected Findings in Paired DNA-RNA Germline Genetic Testing.,Genes,2025,PMC12652346,Journal Article
PMID:41299544,10.1186/s13053-025-00325-8,Clinical characteristics and healthcare burden of neurofibromatosis type 1 in Saudi Arabia: a single centre experience.,Hereditary cancer in clinical practice,2025,PMC12659344,Journal Article
PMID:41292581,10.3389/fgene.2025.1677143,Germline activating sequence variations in RASopathy spectrum genes: genotype-phenotype correlation in a North Indian cohort.,Frontiers in genetics,2025,PMC12643386,Journal Article
PMID:41291737,10.1186/s12957-025-04085-6,Mutational landscape of gastrointestinal stromal tumors using next-generation sequencing of a 73-gene panel.,World journal of surgical oncology,2025,PMC12649021,Journal Article
PMID:41290860,10.1038/s41598-025-25905-5,Graph embedding based label propagation for community detection in social networks.,Scientific reports,2025,PMC12647159,Journal Article
PMID:41286683,10.1186/s12880-025-02028-x,Imaging and pathology correlation in schwannomatosis: insights from a case series.,BMC medical imaging,2025,PMC12642202,Journal Article
PMID:41275043,10.1007/s10875-025-01947-2,Whole Genome Sequencing in 25 Families with Suspected Inborn Errors of Immunity: Diagnostic Yield and Clinical Relevance of Genome-wide Analysis.,Journal of clinical immunology,2025,PMC12722325,Journal Article
PMID:41273219,10.1002/gcc.70088,Novel Resistance Mechanisms to Second-Generation EGFR Tyrosine Kinase Inhibitor Afatinib and Associations With Genomic Features in NSCLC.,"Genes, chromosomes & cancer",2025,PMC12639536,Journal Article
PMID:41272396,10.1002/cnr2.70406,Oncological Outcome for 83 Consecutive Patients With Malignant Peripheral Nerve Sheath Tumors Treated at a Tertiary Referral Centre.,"Cancer reports (Hoboken, N.J.)",2025,PMC12638222,Journal Article
PMID:41264133,10.1007/s12672-025-04038-1,Non-WNT/non-SHH medulloblastoma in siblings: case report and literature review.,Discover oncology,2025,PMC12748316,Journal Article
PMID:41256734,10.1002/mco2.70485,Ataluren-Induced Functional Restoration of Neurofibromin in Fibroblasts From Neurofibromatosis Type 1 Patients With Nonsense Mutations.,MedComm,2025,PMC12620556,Journal Article
PMID:41239912,10.1177/19714009251395689,Imaging features of high-grade astrocytoma with piloid features: A single center case series.,The neuroradiology journal,2025,PMC12619698,Journal Article
PMID:41239509,10.1186/s40478-025-02153-2,Molecular insights into prognostic model for meningiomas treated with stereotactic radiosurgery: negative impacts of 1q gain on tumor control and survival.,Acta neuropathologica communications,2025,PMC12619156,Journal Article
PMID:41228249,10.3390/cancers17213456,Medroxyprogesterone Acetate Inhibits Tumorigenesis in Mouse Models of Oviductal High-Grade Serous Carcinoma.,Cancers,2025,PMC12610104,Journal Article
PMID:41226044,10.3390/diagnostics15212753,Clinical and Genetic Characterization of Noonan Syndrome in a Romanian Cohort from Transylvania: Details on ,"Diagnostics (Basel, Switzerland)",2025,PMC12607955,Journal Article
PMID:41226010,10.3390/diagnostics15212716,Colonic Ganglioneuroma-A Rare Finding During Colonoscopy.,"Diagnostics (Basel, Switzerland)",2025,PMC12607624,Journal Article
PMID:41225983,10.3390/diagnostics15212690,Clinical Characteristics of Seizures and Course of Epilepsy in Children with Neurofibromatosis Type 1-A Tertiary Center Experience in a Cohort of 118 Children.,"Diagnostics (Basel, Switzerland)",2025,PMC12607327,Journal Article
PMID:41223283,10.1126/sciadv.adt9210,Glial-to-mesenchymal transition of tumor Schwann cells drives the genetic burden in MPNSTs from neurofibromatosis type 1 mouse model.,Science advances,2025,PMC12609162,Journal Article
PMID:41216676,10.1002/jgc4.70137,Healthcare professionals' perspectives on supporting individuals with NF1 during pregnancy and decision-making processes.,Journal of genetic counseling,2025,PMC12603883,Journal Article
PMID:41216235,10.25259/Cytojournal_268_2024,"Regulator of chromosome condensation 1 and broad-complex, tramtrack and bric a brac domain-containing protein is involved in ovarian cancer growth and drug resistance.",CytoJournal,2025,PMC12596774,Journal Article
PMID:41212363,10.1007/s11060-025-05282-9,EGFR pathway alterations correlate with rapid early progression in glioblastoma.,Journal of neuro-oncology,2025,PMC12602673,Journal Article
PMID:41210219,10.1515/medgen-2025-2041,Radiation sensitivity in genetic tumour syndromes and how to test for them.,Medizinische Genetik : Mitteilungsblatt des Berufsverbandes Medizinische Genetik e.V,2025,PMC12594447,Journal Article
PMID:41210128,10.3389/fpsyt.2025.1581465,"The impact of a pandemic as an example of a stressful event, on anxiety and related emotional disorders of NF1 patients compared to healthy children.",Frontiers in psychiatry,2025,PMC12592881,Journal Article
PMID:41209567,10.7150/ijms.121550,Mapping the Somatic Mutation Landscape of Familial NF2-Related Schwannomatosis using Whole-Exome Sequencing.,International journal of medical sciences,2025,PMC12595425,Journal Article
PMID:41180642,10.1097/MS9.0000000000003867,Pathophysiological role and clinical applications of HER-2 expression in meningiomas: a systematic review.,Annals of medicine and surgery (2012),2025,PMC12577997,Journal Article
PMID:41179322,10.21873/cdp.10492,Multinodular/Plexiform Schwannoma of the Ankle: A Case Report and Literature Review.,Cancer diagnosis & prognosis,2025,PMC12577613,Journal Article
PMID:41170338,10.1002/ccr3.71385,Abdominal Wall Schwannoma: A Rare Case of Target Sign on Ultrasonography.,Clinical case reports,2025,PMC12568368,Journal Article
PMID:41170329,10.3389/fneur.2025.1641665,The genotypic and family characteristics and clinical intervention of neurofibromatosis type 1 gene are associated with dystrophic scoliosis by whole-exome sequencing.,Frontiers in neurology,2025,PMC12568334,Journal Article
PMID:41168753,10.1186/s12864-025-12177-6,Whole genome sequencing and resequencing provide insight into the genetic structure of wild Ophiocordyceps sinensis.,BMC genomics,2025,PMC12577404,Journal Article
PMID:41168197,10.1038/s41525-025-00526-z,Whole genome sequencing-based analysis of genetic predisposition to adult glioblastoma.,NPJ genomic medicine,2025,PMC12575641,Journal Article
PMID:41166674,10.1200/PO-25-00742,Germline Cancer Predisposition Results From the National Cancer Institute-Children's Oncology Group Pediatric MATCH Trial.,JCO precision oncology,2025,PMC12591555,Journal Article
PMID:41155378,10.3390/ijms262010072,Neurofibromin Encoded by the ,International journal of molecular sciences,2025,PMC12563662,Journal Article
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,"Current oncology (Toronto, Ont.)",2025,PMC12563180,Journal Article
PMID:41142596,10.3389/fonc.2025.1649387,Somatic gene variation profiles in geriatric and adult malignant melanoma patients.,Frontiers in oncology,2025,PMC12549232,Journal Article
PMID:41140364,10.5114/pjr/206930,High-grade gliomas associated with neurofibromatosis type 1: analysis of imaging features and literature review.,Polish journal of radiology,2025,PMC12547886,Journal Article
PMID:41124032,10.1093/oncolo/oyaf358,Genomic alterations and associated outcomes in patients with PSMA-positive metastatic castration-resistant prostate cancer treated with 177Lu-PSMA-617.,The oncologist,2025,PMC12622373,Journal Article
PMID:41122968,10.1172/jci.insight.196350,CRB3 and NF2 orchestrate cytoskeletal dynamics to control epithelial barrier assembly.,JCI insight,2025,PMC12581665,Journal Article
PMID:41121384,10.1186/s13023-025-04061-z,"""To have children or not?"" Between desire, responsibility, luck, and guilt: reproductive decision-making in individuals with neurofibromatosis type 1.",Orphanet journal of rare diseases,2025,PMC12542219,Journal Article
PMID:41112495,10.1177/24741264251374596,Retinal Detachment in the Setting of Neurofibromatosis Type 1.,Journal of vitreoretinal diseases,2025,PMC12534830,Journal Article
PMID:41096794,10.3390/ijms26199530,Identification of Anticancer Targets in Ovarian Cancer Using Genomic Drug Sensitivity Data.,International journal of molecular sciences,2025,PMC12524686,Journal Article
PMID:41091575,10.1158/1541-7786.MCR-25-0319,RAS Mutation-Specific Responses to Paralog- and State-Selective RAS Inhibitors.,Molecular cancer research : MCR,2026,PMC12710464,Journal Article
PMID:41079812,10.1002/ccr3.71046,Bilateral Lateral Thoracic Meningoceles: An Unusual Cause of Recurrent Respiratory Infections in a Non-Syndromic Infant.,Clinical case reports,2025,PMC12507526,Journal Article
PMID:41078618,10.1159/000545192,Expanding the Genetic Landscape of RASopathies: Significance of Including ,Molecular syndromology,2025,PMC12511541,Journal Article
PMID:41069021,10.1177/08830738251382296,Evaluation of Ocular Findings in Pediatric Patients With Neurofibromatosis Type 1.,Journal of child neurology,2026,PMC12852483,Journal Article
PMID:41064901,10.1111/his.70018,Molecular profile of atypical Leydig cell tumours.,Histopathology,2026,PMC12793812,Journal Article
PMID:41063628,10.1242/dmm.052471,"A novel murine model for sporadic, malignant peripheral nerve sheath tumors, driven by BrafV600E and Pten loss.",Disease models & mechanisms,2025,PMC12690522,Journal Article
PMID:41053414,10.1038/s41698-025-01078-2,Natural history of SPP1 signaling in NF1 tumors.,NPJ precision oncology,2025,PMC12501028,Journal Article
PMID:41051921,10.1158/2767-9764.CRC-25-0279,"Development and Application of MiMouse, a Comprehensive Genomic Profiling Panel for Credentialing Mouse Tumor Models.",Cancer research communications,2025,PMC12569591,Journal Article
PMID:41044136,10.1038/s41598-025-06129-z,Characterization of the mutational status of glioblastoma and high-grade astrocytomas in a Latin American cohort.,Scientific reports,2025,PMC12494855,Journal Article
PMID:41036607,10.1158/1535-7163.MCT-24-1053,Pharmacogenomic Synthetic Lethal Screens Reveal Hidden Vulnerabilities and New Therapeutic Approaches for Treatment of NF1-Associated Tumors.,Molecular cancer therapeutics,2026,PMC12668261,Journal Article
PMID:41023593,10.1186/s10020-025-01353-9,Selective inhibition of BRAF and CRAF sensitizes NF1-deficient malignant peripheral nerve sheath tumors to MEK inhibitors.,"Molecular medicine (Cambridge, Mass.)",2025,PMC12482338,Journal Article
PMID:41022755,10.1038/s41467-025-63619-4,Development of an adeno-associated virus vector for gene replacement therapy of NF1-related tumors.,Nature communications,2025,PMC12480499,Journal Article
PMID:41019916,10.1002/lio2.70265,Comprehensive Genetic Analysis of ,Laryngoscope investigative otolaryngology,2025,PMC12475970,Journal Article
PMID:41013770,10.1186/s13058-025-02111-9,An enteropathogenic microbial toxin modulates the breast cancer epigenome resulting in concurrent silencing of tumor suppressor genes.,Breast cancer research : BCR,2025,PMC12465748,Journal Article
PMID:41013697,10.1186/s13053-025-00322-x,Genomic characterization of patients with colorectal cancer.,Hereditary cancer in clinical practice,2025,PMC12465344,Journal Article
PMID:41004338,10.1016/j.celrep.2025.116185,Mutant RIT1 cooperates with YAP to drive an EMT-like lung cancer state.,Cell reports,2025,PMC12646131,Journal Article
PMID:41001593,10.1080/23723556.2025.2561292,Loss of Schwann cell's normal rhythmic core clock gene expression and gain of rhythmic expression of oncogenic driver genes in malignant NF1-associated peripheral nerve sheath tumor.,Molecular & cellular oncology,2025,PMC12459363,Journal Article
PMID:40993321,10.1007/s10875-025-01910-1,Malignancy in Adults with Inborn Errors of Immunity: A Retrospective Single-Center Study.,Journal of clinical immunology,2025,PMC12460494,Journal Article
PMID:40992926,10.26508/lsa.202503359,"Daytime SHP2 inhibitor dosing, when immune cell numbers are elevated, shrinks neurofibromas.",Life science alliance,2025,PMC12461152,Journal Article
PMID:40985890,10.1172/jci.insight.191112,Nf2/FGFR1/AKT axis directs cranial neural crest-derived skull morphogenesis via collagen synthesis and trafficking.,JCI insight,2025,PMC12487865,Journal Article
PMID:40985888,10.1172/jci.insight.192658,Tumor heterogeneity underlies clinical outcome and MEK inhibitor response in somatic NF1-mutant glioblastoma.,JCI insight,2025,PMC12487855,Journal Article
PMID:40981433,10.1158/2767-9764.CRC-25-0147,Genomic Landscapes of Endometrioid and Mucinous Ovarian Cancers and Morphologically Similar Tumor Types.,Cancer research communications,2025,PMC12586982,Journal Article
PMID:40977920,10.62347/EBRY4326,Cell-free DNA fragmentomics: a universal framework for early cancer detection and monitoring.,American journal of clinical and experimental immunology,2025,PMC12444407,Journal Article
PMID:40977829,10.1016/j.gore.2025.101934,Landscape of genomic alterations and clinical outcomes in low-grade serous ovarian cancer in Korea.,Gynecologic oncology reports,2025,PMC12447911,Journal Article
PMID:40975755,10.1186/s13244-025-02073-8,A pictorial essay of thoracic wall diseases: multiple pathologies in the same anatomical site.,Insights into imaging,2025,PMC12450195,Journal Article
PMID:40958590,10.1111/jop.70056,Prevalence of Oral Alterations and Correlation Between Oral and Cutaneous Neurofibromas in Neurofibromatosis Type 1: A Retrospective Case-Control Study.,Journal of oral pathology & medicine : official publication of the International Association of Oral Pathologists and the American Academy of Oral Pathology,2026,PMC12774568,Journal Article
PMID:40951339,10.3389/fonc.2025.1648953,Molecular and histopathological landscape of 131 meningiomas: a retrospective institutional study with insights from cIMPACT-NOW.,Frontiers in oncology,2025,PMC12427037,Journal Article
PMID:40943185,10.3390/ijms26178263,In Silico Identification of circPIM1/miR-16-5p/miR-195-5p/PIM1 Feed-Forward Loop in Recurrent Grade 2 Meningioma.,International journal of molecular sciences,2025,PMC12428460,Journal Article
PMID:40941673,10.3390/diagnostics15172187,Genetic Variants Associated with Breast Cancer Are Detected by Whole-Exome Sequencing in Vietnamese Patients.,"Diagnostics (Basel, Switzerland)",2025,PMC12427653,Journal Article
PMID:40940856,10.3390/cancers17172759,Bilateral Salpingo-Oophorectomy Is Superior to Salpingectomy Alone in Preventing Non-Tubal Tumor Development in a Mouse Model of High-Grade Serous Carcinoma.,Cancers,2025,PMC12427576,Journal Article
PMID:40940846,10.3390/cancers17172749,Repair of Mutated ,Cancers,2025,PMC12427287,Journal Article
PMID:40938445,10.1007/s00401-025-02935-x,Prospective characterization of germline variants in patients with gliomas and glioneuronal tumors.,Acta neuropathologica,2025,PMC12432092,Journal Article
