_pmid,_doi,_publicationTitle,_year,_context,_confidence,_verdict,_usageType,assessmentName
PMID:38811427,10.1186/s41687-024-00732-w,Quality of life in individuals with neurofibromatosis type 1 associated cutaneous neurofibromas: validation of the Dutch cNF-Skindex.,,The EQ-5D-5L and SF-36 were used to evaluate convergent validity...The EQ-5D-5L is a brief and generic health status measure that comprises five dimensions,0.9,Accept,Experimental Usage,EQ-5D-5L
PMID:38811427,10.1186/s41687-024-00732-w,Quality of life in individuals with neurofibromatosis type 1 associated cutaneous neurofibromas: validation of the Dutch cNF-Skindex.,,The EQ-5D-5L and SF-36 were used to evaluate convergent validity...The 36-item Short Form Survey (SF-36) is a generic health-related QoL measure,0.9,Accept,Experimental Usage,SF-36
PMID:38811427,10.1186/s41687-024-00732-w,Quality of life in individuals with neurofibromatosis type 1 associated cutaneous neurofibromas: validation of the Dutch cNF-Skindex.,,"the Dutch cNF-Skindex was nearly identical to the Dutch version of the Skindex-16, an already validated instrument in Dutch",0.85,Accept,Citation Only,Skindex-16
PMID:37378983,10.1001/jamanetworkopen.2023.20599,Effect of Mind-Body Skills Training on Quality of Life for Geographically Diverse Adults With Neurofibromatosis: A Fully Remote Randomized Clinical Trial.,,The 2 primary outcomes were the physical health and psychological QOL domain scores of the World Health Organization Quality of Life Brief Version (WHOQOL-BREF),0.95,Accept,Experimental Usage,World Health Organization Quality of Life Brief Version (WHOQOL-BREF)
PMID:37378983,10.1001/jamanetworkopen.2023.20599,Effect of Mind-Body Skills Training on Quality of Life for Geographically Diverse Adults With Neurofibromatosis: A Fully Remote Randomized Clinical Trial.,,self-reported stress and difficulties coping with NF symptoms; and (6) Perceived Stress Scale score of 6 or higher,0.9,Accept,Experimental Usage,Perceived Stress Scale
PMID:37378983,10.1001/jamanetworkopen.2023.20599,Effect of Mind-Body Skills Training on Quality of Life for Geographically Diverse Adults With Neurofibromatosis: A Fully Remote Randomized Clinical Trial.,,"To compare a mind-body skills training program, the Relaxation Response Resiliency Program for NF (3RP-NF), with a health education program",0.9,Accept,Development,Relaxation Response Resiliency Program for NF (3RP-NF)
PMID:37378983,10.1001/jamanetworkopen.2023.20599,Effect of Mind-Body Skills Training on Quality of Life for Geographically Diverse Adults With Neurofibromatosis: A Fully Remote Randomized Clinical Trial.,,with a health education program (Health Enhancement Program for NF; HEP-NF) for improvement of quality of life among adults with NF,0.9,Accept,Development,Health Enhancement Program for NF (HEP-NF)
PMID:30617350,10.1038/s41596-018-0105-7,"A cerebellopontine angle mouse model for the investigation of tumor biology, hearing, and neurological function in NF2-related vestibular schwannoma.",,We measure hearing function by DPOAE and ABR tests,0.8,Accept,Experimental Usage,DPOAE
PMID:30617350,10.1038/s41596-018-0105-7,"A cerebellopontine angle mouse model for the investigation of tumor biology, hearing, and neurological function in NF2-related vestibular schwannoma.",,We measure hearing function by DPOAE and ABR tests,0.8,Accept,Experimental Usage,ABR
PMID:30617350,10.1038/s41596-018-0105-7,"A cerebellopontine angle mouse model for the investigation of tumor biology, hearing, and neurological function in NF2-related vestibular schwannoma.",,"cerebellar ataxia using behavior tests, including hind-limb clasping, and ledge and gait tests...The hind-limb clasping test (a marker of disease progression)",0.8,Accept,Experimental Usage,hind-limb clasping test
PMID:30617350,10.1038/s41596-018-0105-7,"A cerebellopontine angle mouse model for the investigation of tumor biology, hearing, and neurological function in NF2-related vestibular schwannoma.",,"cerebellar ataxia using behavior tests, including hind-limb clasping, and ledge and gait tests...the ledge test, which evaluates coordination, is the most sensitive test",0.8,Accept,Experimental Usage,ledge test
PMID:30617350,10.1038/s41596-018-0105-7,"A cerebellopontine angle mouse model for the investigation of tumor biology, hearing, and neurological function in NF2-related vestibular schwannoma.",,"cerebellar ataxia using behavior tests, including hind-limb clasping, and ledge and gait tests...the gait test (measuring muscle function and coordination)",0.8,Accept,Experimental Usage,gait test
PMID:30617350,10.1038/s41596-018-0105-7,"A cerebellopontine angle mouse model for the investigation of tumor biology, hearing, and neurological function in NF2-related vestibular schwannoma.",,"Balance, motor strength, and coordination can be assayed by rotarod assay",0.8,Accept,Experimental Usage,rotarod assay
PMID:41598414,10.3390/jcm15020475,Dermoscopy-Guided High-Frequency Ultrasound Imaging of Subcentimeter Cutaneous and Subcutaneous Neurofibromas in Patients with Neurofibromatosis Type 1.,,"...measurements were performed at the Department of Dermatology, Venereology and Dermatooncology, Semmelweis University, using a portable DG-HFUS device (Dermus SkinScanner, Dermus Ltd., Budapest, Hungary)...",0.85,Accept,Experimental Usage,Dermus SkinScanner
PMID:21199799,10.1158/0008-5472.CAN-10-2732,Dose-dependent effects of focal fractionated irradiation on secondary malignant neoplasms in Nf1 mutant mice.,,"Mice were placed 16.3 cm from a cesium-137 source (J.L. Shepherd & Associates, San Fernando, CA) and shielded with an iron collimator",0.8,Accept,Experimental Usage,"cesium-137 source (J.L. Shepherd & Associates, San Fernando, CA)"
PMID:21199799,10.1158/0008-5472.CAN-10-2732,Dose-dependent effects of focal fractionated irradiation on secondary malignant neoplasms in Nf1 mutant mice.,,Complete blood counts were performed on blood samples obtained at the time of sacrifice by cardiac puncture and analyzed immediately on a Hemavet provided by the UCSF Mouse Pathology Core.,0.85,Accept,Experimental Usage,Hemavet
PMID:21199799,10.1158/0008-5472.CAN-10-2732,Dose-dependent effects of focal fractionated irradiation on secondary malignant neoplasms in Nf1 mutant mice.,,"Coverslips were mounted using Vectashield with DAPI (Vector Laboratories), and visualized with a Zeiss LSM 510 Meta confocal microscope.",0.85,Accept,Experimental Usage,Zeiss LSM 510 Meta confocal microscope
PMID:21439418,10.1016/j.bone.2011.03.760,Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model.,,"X-rays were taken using a piXarray 100 DSR System with Biopix Software (Version No: 1.0.6., Bioptics, Inc. Tucson, AZ)",0.85,Accept,Experimental Usage,piXarray 100 DSR System
PMID:21439418,10.1016/j.bone.2011.03.760,Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model.,,"bone mineral density (BMD) of the axial bone was evaluated in vivo using pDEXA (PIXImus II; GE-Lunar Corp., Madison, WI)",0.85,Accept,Experimental Usage,PIXImus II
PMID:21439418,10.1016/j.bone.2011.03.760,Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model.,,Whole axial bone was placed in the gantry of a XCT Research SA + peripheral quantitative computed tomography (pQCT) scanner (Stratec Medizintechnik GmbH),0.9,Accept,Experimental Usage,XCT Research SA + peripheral quantitative computed tomography (pQCT) scanner
PMID:21439418,10.1016/j.bone.2011.03.760,Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model.,,"biomechanical testing was conducted utilizing Testresourse R systems with MtestwR software version: R 1.4.2 (TestResources Inc. Shakopee, MN)",0.8,Accept,Experimental Usage,Testresourse R systems
PMID:27081657,10.1002/acn3.288,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,,"Full‐Scale IQ of at least 70, as determined by the Wechsler Abbreviated Scale of Intelligence (WASI 15)",0.85,Accept,Experimental Usage,Wechsler Abbreviated Scale of Intelligence (WASI)
PMID:27081657,10.1002/acn3.288,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,,"the Brief Visuospatial Memory Test – Revised (BVMT, Immediate and Delayed 19 ; nonverbal declarative memory)",0.9,Accept,Experimental Usage,Brief Visuospatial Memory Test – Revised (BVMT)
PMID:27081657,10.1002/acn3.288,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,,the Letter‐Number Sequencing task (LNS 20 ; working memory),0.85,Accept,Experimental Usage,Letter‐Number Sequencing task (LNS)
PMID:27081657,10.1002/acn3.288,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,,Hopkins Verbal Learning Test (HVLT; verbal declarative memory 22),0.85,Accept,Experimental Usage,Hopkins Verbal Learning Test (HVLT)
PMID:27081657,10.1002/acn3.288,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,,WISC‐III Object Assembly (visuoconstructive ability) 23,0.85,Accept,Experimental Usage,WISC‐III Object Assembly
PMID:27081657,10.1002/acn3.288,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,,"Achenbach Child Behavior Checklist (CBCL; self‐ and parent‐report) or Young Adult Self Report (YASR) 24 , 25",0.9,Accept,Experimental Usage,Achenbach Child Behavior Checklist (CBCL)
PMID:27081657,10.1002/acn3.288,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,,"Achenbach Child Behavior Checklist (CBCL; self‐ and parent‐report) or Young Adult Self Report (YASR) 24 , 25",0.85,Accept,Experimental Usage,Young Adult Self Report (YASR)
PMID:27081657,10.1002/acn3.288,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,,the Neuropsychological Assessment Battery (NAB) Mazes 26,0.85,Accept,Experimental Usage,Neuropsychological Assessment Battery (NAB) Mazes
PMID:27081657,10.1002/acn3.288,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,,Delis–Kaplan Executive Function Scale (D‐KEFS) verbal fluency (category and letter fluency) 27,0.85,Accept,Experimental Usage,Delis–Kaplan Executive Function Scale (D‐KEFS) verbal fluency
PMID:27081657,10.1002/acn3.288,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,,Behavior Rating Inventory of Executive Function (BRIEF; General Executive Composite (GEC) score) 28,0.85,Accept,Experimental Usage,Behavior Rating Inventory of Executive Function (BRIEF)
PMID:27081657,10.1002/acn3.288,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,,Digit Cancellation (attention/inhibitory control) 21,0.8,Accept,Experimental Usage,Digit Cancellation
PMID:27081657,10.1002/acn3.288,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,,"A spatial working memory functional MRI paradigm, designed to be analogous to the behavioral tasks used in the mouse model",0.85,Accept,Experimental Usage,Spatial capacity working memory (SCAP) task
PMID:39824854,10.1038/s41598-025-85386-4,Comparison of 1D and 3D volume measurement techniques in NF2-associated vestibular schwannoma monitoring.,,"Tumor size was classified by the Hannover and Koos classification systems. To obtain a size reference for the measured and calculated volumes, these were (sub)grouped using the Hannover",0.85,Accept,Experimental Usage,Hannover classification system
PMID:39824854,10.1038/s41598-025-85386-4,Comparison of 1D and 3D volume measurement techniques in NF2-associated vestibular schwannoma monitoring.,,"Tumor size was classified by the Hannover and Koos classification systems. To obtain a size reference for the measured and calculated volumes, these were (sub)grouped using...Koos",0.85,Accept,Experimental Usage,Koos classification system
PMID:39824854,10.1038/s41598-025-85386-4,Comparison of 1D and 3D volume measurement techniques in NF2-associated vestibular schwannoma monitoring.,,"the maximum linear (tumor) diameter (MLD) in axial and coronal (medial to lateral and caudal to rostral/cranial, in total four measurements per MRI) planes were measured according to the RECIST guidelines",0.8,Accept,Experimental Usage,RECIST guidelines
PMID:38321701,10.1177/17407745231217279,Patient-reported measures of tinnitus for individuals with neurofibromatosis type 2-related schwannomatosis: Recommendations for clinical trials.,,The Tinnitus Functional Index was identified as the most highly rated measure for the assessment of tinnitus in populations with neurofibromatosis type 2,0.95,Accept,Experimental Usage,Tinnitus Functional Index
PMID:38321701,10.1177/17407745231217279,Patient-reported measures of tinnitus for individuals with neurofibromatosis type 2-related schwannomatosis: Recommendations for clinical trials.,,using the Patient-Reported Outcomes Rating Acceptance Tool for Endpoints (PRO-RATE) form described and published previously,0.9,Accept,Experimental Usage,Patient-Reported Outcomes Rating Acceptance Tool for Endpoints (PRO-RATE)
PMID:38321701,10.1177/17407745231217279,Patient-reported measures of tinnitus for individuals with neurofibromatosis type 2-related schwannomatosis: Recommendations for clinical trials.,,One measure was excluded (i.e. the Client Oriented Scale of Improvement-Tinnitus) because while it would be very useful for clinical settings,0.85,Accept,Citation Only,Client Oriented Scale of Improvement-Tinnitus
PMID:25377441,10.1111/pme.12620,Development and validation of the English Pain Interference Index and Pain Interference Index-Parent report.,,...six-item self-report questionnaire that assesses pain interference using the past 2 weeks as a recall period. Respondents rate items on a 0–6 scale...,0.95,Accept,Development,Pain Interference Index (PII)
PMID:25377441,10.1111/pme.12620,Development and validation of the English Pain Interference Index and Pain Interference Index-Parent report.,,"...six-item PII-P is formatted and scored in the same manner as the self-report PII, with total scores ranging from 0 to 6...",0.95,Accept,Development,Pain Interference Index-Parent report (PII-P)
PMID:25377441,10.1111/pme.12620,Development and validation of the English Pain Interference Index and Pain Interference Index-Parent report.,,...12-item self-report questionnaire that measures pain interference and has been used with children and adolescents ages 8–20 years...,0.9,Accept,Experimental Usage,Modified Brief Pain Inventory (MBPI)
PMID:25377441,10.1111/pme.12620,Development and validation of the English Pain Interference Index and Pain Interference Index-Parent report.,,...one-item tool designed to provide an overall indicator of pain intensity at the time of the assessment. Respondents choose one of six faces...,0.9,Accept,Experimental Usage,Faces Pain Scale-Revised (FPS-R)
PMID:25377441,10.1111/pme.12620,Development and validation of the English Pain Interference Index and Pain Interference Index-Parent report.,,...two-item visual analogue scale (VAS) developed by the authors that assesses pain intensity by asking the respondent to draw a mark on a 100-mm line...,0.85,Accept,Experimental Usage,Pain Rating Scale (PRS)
PMID:25377441,10.1111/pme.12620,Development and validation of the English Pain Interference Index and Pain Interference Index-Parent report.,,...similar to the VAS self-report PRS in terms of item content and format. Parents are asked to draw a mark on a 100-mm line to indicate their child's level of pain...,0.85,Accept,Experimental Usage,Pain Rating Scale-Parent version (PRS-P)
PMID:25377441,10.1111/pme.12620,Development and validation of the English Pain Interference Index and Pain Interference Index-Parent report.,,"...adapted by our group from Ablon, asks the medical professional to rate the patient's symptoms as mild, moderate, or severe...",0.9,Accept,Experimental Usage,NF Disease Severity Scale
PMID:25377441,10.1111/pme.12620,Development and validation of the English Pain Interference Index and Pain Interference Index-Parent report.,,...checklist designed by a multi-disciplinary team of medical experts in NF1 at the National Institutes of Health. A medical professional notes the presence/absence of 18 diagnoses...,0.9,Accept,Experimental Usage,NF1 Disease Complications Scale
PMID:29408605,10.1016/j.neuroscience.2018.01.054,Nf2 Mutation in Schwann Cells Delays Functional Neural Recovery Following Injury.,,"We used the CatWalk XT (ver. 8, Noldus Information Technology, Wageningen, The Netherlands) system to study the functional recovery of the nerve.",0.9,Accept,Experimental Usage,CatWalk XT
PMID:29408605,10.1016/j.neuroscience.2018.01.054,Nf2 Mutation in Schwann Cells Delays Functional Neural Recovery Following Injury.,,A Grass neurostimulator was used to deliver stimuli starting with ten single electrical pulses followed by trains of pulses from 2 to 10 Hz.,0.8,Accept,Experimental Usage,Grass neurostimulator
PMID:29408605,10.1016/j.neuroscience.2018.01.054,Nf2 Mutation in Schwann Cells Delays Functional Neural Recovery Following Injury.,,images captured with a Leica DMR III microscope and CCD camera running Metamorph software,0.8,Accept,Experimental Usage,Leica DMR III microscope
PMID:29408605,10.1016/j.neuroscience.2018.01.054,Nf2 Mutation in Schwann Cells Delays Functional Neural Recovery Following Injury.,,Sections were viewed on a Jeol JEM 1230 transmission electron microscope (EM).,0.8,Accept,Experimental Usage,Jeol JEM 1230 transmission electron microscope
PMID:39996452,10.1111/cns.70287,Cas9 Mouse Model of Skull Base Meningioma Driven by Combinational Gene Inactivation in Meningeal Cells.,,This study was conducted on a Bruker 7.0 T scanner (Bruker BioSpin GmbH).,0.8,Accept,Experimental Usage,Bruker 7.0 T scanner
PMID:33442015,10.1038/s41591-020-01193-6,Cabozantinib for neurofibromatosis type 1-related plexiform neurofibromas: a phase 2 trial.,,Numerical Rating Scale-11 (NRS-11): The NRS-11 is a self-report 11-point numeric scale that assesses pain intensity,0.95,Accept,Experimental Usage,NRS-11
PMID:33442015,10.1038/s41591-020-01193-6,Cabozantinib for neurofibromatosis type 1-related plexiform neurofibromas: a phase 2 trial.,,Brief Pain Inventory (BPI)-Pain Interference (PI) Scale: The BPI-PI Scale is a 7-item self-report questionnaire that measures the extent to which pain interferes,0.95,Accept,Experimental Usage,BPI-PI Scale
PMID:33442015,10.1038/s41591-020-01193-6,Cabozantinib for neurofibromatosis type 1-related plexiform neurofibromas: a phase 2 trial.,,PedsQL™ NF1 Module: This scale is a self-report measure assessing NF1 disease-specific QOL,0.95,Accept,Experimental Usage,PedsQL NF1 Module
PMID:34464388,10.1371/journal.pmed.1003734,Cell-free DNA ultra-low-pass whole genome sequencing to distinguish malignant peripheral nerve sheath tumor (MPNST) from its benign precursor lesion: A cross-sectional study.,,...radiographic tumor burden was quantified by sum of the longest tumor diameters (SLD) per RECIST 1.1 criteria...,0.9,Accept,Experimental Usage,RECIST 1.1
PMID:40590220,10.1172/JCI188932,A haploinsufficiency restoration strategy corrects neurobehavioral deficits in Nf1+/- mice.,,The 3-chamber SP task occurred over 2 days as described previously,0.85,Accept,Experimental Usage,3-chamber social preference task
PMID:40590220,10.1172/JCI188932,A haploinsufficiency restoration strategy corrects neurobehavioral deficits in Nf1+/- mice.,,"mice were placed in the dark in an open chamber (40 × 40 cm, 30 cm height) for 60 minutes",0.85,Accept,Experimental Usage,open field test
PMID:40590220,10.1172/JCI188932,A haploinsufficiency restoration strategy corrects neurobehavioral deficits in Nf1+/- mice.,,mice were trained to identify which side of a T maze had a large reward (4 Cocoa Krispies) compared with the small reward,0.85,Accept,Experimental Usage,delay discounting task
PMID:40590220,10.1172/JCI188932,A haploinsufficiency restoration strategy corrects neurobehavioral deficits in Nf1+/- mice.,,"a round, plastic platform (diameter, 20 cm; thickness, 2 cm) supported by a plastic rod (height, 50 cm) was used to assess the CAR",0.85,Accept,Experimental Usage,cliff avoidance reaction test
PMID:23432799,10.1186/1477-7525-11-21,"Development of the adult PedsQL™ neurofibromatosis type 1 module: initial feasibility, reliability and validity.",,"The objective of this study was to develop an NF1 HRQOL instrument as a module of PedsQL™ and to test for its initial feasibility, internal consistency reliability and validity in adults with NF1.",0.95,Accept,Development,PedsQL™ NF1 Module
PMID:23432799,10.1186/1477-7525-11-21,"Development of the adult PedsQL™ neurofibromatosis type 1 module: initial feasibility, reliability and validity.",,"The NF1 HRQOL format, instructions, and Likert response scale are similar to the PedsQL™ 4.0 Generic Core Scales and other PedsQL™ Disease-Specific Modules.",0.85,Accept,Experimental Usage,PedsQL™ 4.0 Generic Core Scales
PMID:23432799,10.1186/1477-7525-11-21,"Development of the adult PedsQL™ neurofibromatosis type 1 module: initial feasibility, reliability and validity.",,"Pertinent questions were drawn from the existing PedsQL™ Arthritis, Cancer, Cerebral Palsy and Family Impact Modules",0.8,Accept,Experimental Usage,PedsQL™ Arthritis Module
PMID:23432799,10.1186/1477-7525-11-21,"Development of the adult PedsQL™ neurofibromatosis type 1 module: initial feasibility, reliability and validity.",,"Pertinent questions were drawn from the existing PedsQL™ Arthritis, Cancer, Cerebral Palsy and Family Impact Modules",0.8,Accept,Experimental Usage,PedsQL™ Cancer Module
PMID:23432799,10.1186/1477-7525-11-21,"Development of the adult PedsQL™ neurofibromatosis type 1 module: initial feasibility, reliability and validity.",,"Pertinent questions were drawn from the existing PedsQL™ Arthritis, Cancer, Cerebral Palsy and Family Impact Modules",0.8,Accept,Experimental Usage,PedsQL™ Cerebral Palsy Module
PMID:23432799,10.1186/1477-7525-11-21,"Development of the adult PedsQL™ neurofibromatosis type 1 module: initial feasibility, reliability and validity.",,"Pertinent questions were drawn from the existing PedsQL™ Arthritis, Cancer, Cerebral Palsy and Family Impact Modules",0.8,Accept,Experimental Usage,PedsQL™ Family Impact Module
PMID:28193237,10.1186/s12955-017-0607-y,Evaluation of quality of life in adults with neurofibromatosis 1 (NF1) using the Impact of NF1 on Quality Of Life (INF1-QOL) questionnaire.,,"The Impact of NF1 on Quality of Life (INF1-QOL) questionnaire was developed by a literature search for common terms, focus group (n = 6), semi-structured interviews (n = 21)",0.95,Accept,Development,Impact of NF1 on Quality Of Life (INF1-QOL) questionnaire
