_pmid,_doi,_publicationTitle,resourceName,resourceType,observationType,details,foundIn,contextSnippet,confidence
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,pAAV-hSyn-dLight1.2,genetic_reagent,Efficacy,"Morphine sulfate (5 mg/kg, s.c.) increased dLight1.2 transient rate versus saline in Nf1+/- mice (paired t-test; t8=2.65, p=0.03)",Results,"Pre-treatment with 5.0 mg/kg (s.c.) morphine sulfate (MS5.0) increased dLight1.2 transient rate versus saline pre-treatment (paired t-test; t8 = 2.65, p=0.03) in Nf1+/- mice",0.95
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,pAAV-hSyn-hChR2(H134R)-EYFP,genetic_reagent,Efficacy,"Two seconds of vSC optogenetic stimulation (5 mW, 20 Hz, 5 ms pulse width) produced time-locked, short latency dopamine release in the LNAc at stimulus onset",Results,"two seconds of vSC optogenetic stimulation (5 mW, 20 Hz, 5 ms pulse width) produced time-locked, short latency dopamine release in the LNAc at stimulus onset that subsequently decayed to baseline",0.9
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,pAAV-DJ-Ef1α-DO-eNpHR3.0-eYFP-WPRE-pA,genetic_reagent,Efficacy,"Optogenetic inhibition with 532 nm light (5 mW, 30 Hz, 20 ms pulse width) decreased escape to shelter percentage in Nf1+/- mice from baseline to 33%, similar to Nf1+/+ mice (41%)",Results,"Delivery of 532 nm light (5 mW, 30 Hz, 20 ms pulse width) to the VTA during looming stimulus presentation decreased the percentage of VTA Th-Off-NpHR-eYFP Nf1+/- mice that escaped to the shelter to a level (33%) that was similar to Nf1+/+ mice (41%)",0.9
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,pAAV-DJ-Ef1α-DO-eNpHR3.0-eYFP-WPRE-pA,genetic_reagent,Efficacy,"Only 14.7±0.01% of NpHR-positive cells in the VTA expressed tyrosine hydroxylase, indicating successful targeting of VTA non-Th neurons",Results,"Post hoc analysis revealed that only 14.7 ± 0.01% of NpHR-positive cells in the VTA expressed tyrosine hydroxylase, indicating successful targeting of VTA non-Th neurons",0.95
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,pAAV-Th-tTA-WPRE,genetic_reagent,Efficacy,"Th-VAST vector specificity was 58.7±3.0% in VTA and 74.2±2.2% in SNc, lower than 81% achieved with AAV-PHP.eB-Th-GFP",Results,the specificity of Th-VAST vectors was lower in the VTA (58.7% vs 81%) and SNc (74.2% vs 81%) despite good XFP restriction to these areas,0.9
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,Anti-tyrosine hydroxylase (Rabbit polyclonal),antibody,Efficacy,"Successfully labeled dopaminergic terminals and neurons for immunofluorescence analysis, showing no difference in TH expression across striatal sub-compartments between genotypes",Results,there was no difference in dopaminergic terminal tyrosine hydroxylase expression across striatal sub-compartments,0.85
PMID:31545171,10.7554/eLife.48983,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,Anti-GFP (mouse polyclonal),antibody,Efficacy,"Successfully detected dLight1.2 expression (stained for GFP, green) in representative histological images showing fiber tip location",Results,"Representative histological image showing the fiber tip location and expression of dLight1.2 (stained for GFP, green) and dopaminergic terminal tyrosine hydroxylase",0.85
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,SciClone,computational_tool,Other,"Successfully clustered tumor samples based on variant allele frequencies (VAF) and revealed no emergence of dominant clone in metastatic lesions, with clusters falling close to identity line",Results,"samples were clustered based on variant allele frequencies (VAF) within each tumor using SciClone...we saw no emergence of a dominant clone enriched within the metastatic lesions. Rather, all of the clusters fell close to the identity line",0.9
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,"TRIM23 antibody (ThermoFisher, PA5-34624)",antibody,Biomarker,"Higher TRIM23 expression trended toward worse overall survival (P = .15) in MPNST patients, though not statistically significant in cohort of 40 patients",Results,"patients with higher TRIM23 expression trended toward worse overall survival (P = .15), no statistically significant difference was observed in this small data set",0.8
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,H3K27me3 antibody (C36B11),antibody,Biomarker,No correlation found between H3K27me3 status and TRIM23 expression (P = .4754) and no association with overall survival,Results,"There was no correlation between these events in this cohort as assessed using a chi-square test (P = .4754). Additionally, there was no association between H3K27 me3 status and overall survival",0.9
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,NPcis cell line,cell_line,Other,"Three murine Nf1/Tp53-mutant NPcis MPNST cell lines showed varying levels of Trim23 expression, with highest expressing line being most aggressive",Results,All three lines had varying levels of Trim23 expression...We specifically chose the line with the highest Trim23 expression...This line is also the most aggressive of the three lines,0.8
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,shTrim23 (TRCN0000308323),genetic_reagent,Efficacy,Trim23 knockdown had no effect on MPNST cell proliferation in vitro and no difference in subcutaneous tumor growth (P = .17),Results,There was no change in MPNST cell proliferation following Trim23 knockdown in vitro...and no difference in tumor growth as subcutaneous explants in vivo (P = .17),0.9
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,shTrim23 (TRCN0000308323),genetic_reagent,Efficacy,Trim23 knockdown significantly reduced tumor seeding (metastasis) following intraventricular injection (P < .05),Results,"Trim23 knockdown reduced tumor seeding (metastasis) following intraventricular injection...supporting its role in tumor metastasis, rather than primary tumor expansion",0.9
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,Ki67 antibody (790–4286),antibody,Biomarker,No difference in Ki67 levels between Trim23 knockdown and control groups,Results,"Furthermore, there was no difference in levels of Ki67 or Cleaved Caspase 3 between the groups",0.8
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,Cleaved-caspase 3 antibody,antibody,Biomarker,No difference in Cleaved Caspase 3 levels between Trim23 knockdown and control groups,Results,"Furthermore, there was no difference in levels of Ki67 or Cleaved Caspase 3 between the groups",0.8
PMID:32642734,10.1093/noajnl/vdz026,Whole exome sequencing reveals the maintained polyclonal nature from primary to metastatic malignant peripheral nerve sheath tumor in two patients with NF1.,Incucyte FLR imaging system,computational_tool,Other,Successfully measured cell confluence over time in proliferation assays showing no change with Trim23 knockdown,Results,An Incucyte cell proliferation assay measuring cell confluence over time...There was no change in MPNST cell proliferation following Trim23 knockdown in vitro,0.8
PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,Survey of Well-being of Young Children (SWYC),clinical_assessment_tool,Behavioral,137 SWYC assessments obtained on same day as head circumference measurements across 52 NF1 patients; used to operationalize developmental delay as low developmental quotient,Results,"Using 137 SWYC assessments obtained on the same day as head circumference measurements across 52 NF1 patients, we found that lower head circumference benchmarked against LMSz NF1 growth charts related to developmental delay",0.9
PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,Survey of Well-being of Young Children (SWYC),clinical_assessment_tool,Other,Limited by small numbers and reliance on subjective reports from parents on milestone completion,Discussion,"Third, developmental screening data are limited in their small numbers and reliance on subjective reports from parents on milestone completion.",0.8
PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,LMSz,computational_tool,Efficacy,"Produced NF1-specific charts for head circumference that enclosed 95.4% of NF1 head circumference data between 3rd and 97th centiles, compared to 76.7% for CDC centiles",Results,"These centile lines enclosed 95.4% of NF1 head circumference data between 3rd and 97th centiles, as against 76.7% between the corresponding CDC centiles",0.95
PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,LMSz,computational_tool,Behavioral,"Head circumference Z scores from LMSz charts showed relationship with developmental delay (Standardized beta = 0.24; 95% CI = [0.05, 0.42]; P < 0.02)",Results,"lower head circumference benchmarked against LMSz NF1 growth charts related to developmental delay (Standardized beta = 0.24; 95% CI = [0.05, 0.42]; P < 0.02)",0.95
PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,LMSz,computational_tool,Other,NF1 head circumference Z scores computed using LMSz and CHOP charts were highly correlated (ICC = 0.97; P < 0.0001; mean difference = 0.0038; standard deviation = 0.22),Results,NF1 head circumference Z scores computed using LMSz and CHOP charts were highly correlated (intraclass correlation coefficient (ICC) = 0.97; P < 0.0001; mean difference between LMSz and CHOP Z scores = 0.0038; standard deviation = 0.22),0.95
PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,LMSz,computational_tool,Mechanistic,Method borrows information from established growth charts and updates growth curves using syndrome-specific data; designed to address limitations of small sample sizes by borrowing strength from existing knowledge,Discussion,"The LMSz method was designed explicitly to address this limitation, as LMSz borrows strength from existing knowledge about how head circumference develops, quantified in our case by the CDC head circumference charts",0.9
PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,Centers for Disease Control (CDC) growth charts,clinical_assessment_tool,Efficacy,"87% of non-NF1 head circumference measurements contained between 3rd and 97th centiles, but only 76.7% of NF1 data contained between corresponding CDC centiles",Results,"While 87% of non-NF1 head circumference measurements are contained between 3rd and 97th centiles of CDC growth charts, 23% of NF1 data exceed the 97th centile",0.95
PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,Centers for Disease Control (CDC) growth charts,clinical_assessment_tool,Behavioral,"Head circumference Z scores from CDC charts showed no statistically significant relationship with developmental delay (Standardized beta = 0.11; 95% CI = [-0.08, 0.29]; P = 0.25)",Results,"but was not statistically significant when using head circumference Z scores directly from CDC charts (Standardized beta = 0.11; 95% CI = [−0.08, 0.29]; P = 0.25)",0.9
PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,Centers for Disease Control (CDC) growth charts,clinical_assessment_tool,Other,"Several studies demonstrated that CDC charts underestimate centiles even among typically developing children, complicating literature on early brain overgrowth",Discussion,"Several studies have demonstrated that CDC charts underestimate centiles even among typically developing children, complicating some existing literature on early brain overgrowth in ASD",0.8
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,Nf1 c.5425 C > T ; Arg1809Cys-mutant mice,animal_model,Efficacy,"Nf1 f/1809 ; hGFAP-Cre mice did not develop OPGs at 3 months of age (0/8), unlike Nf1 f/neo ; hGFAP-Cre mice which all developed OPGs (6/6)",Results,mice harboring a germline Nf1 R1809C mutation with somatic loss of Nf1 in neuroglial progenitor cells...did not develop OPGs at 3 months of age (0/8),0.95
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,Nf1 c.5425 C > T ; Arg1809Cys-mutant mice,animal_model,Biomarker,"Optic nerves from Nf1 f/1809 ; hGFAP-Cre mice had similar optic nerve volume (0.05 mm³), proliferative index (0.8% Ki67+ cells), microglia content (6.4% Iba1+ cells), and T-cell content (1.2 CD3+ cells) compared to controls",Results,optic nerves from Nf1 f/1809 ; hGFAP-Cre mice were indistinguishable from Nf1 f/f controls (CTL) with respect to optic nerve volume...proliferative index...microglia content...T-cell content,0.95
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,Nf1 c.5425 C > T ; Arg1809Cys-mutant mice,animal_model,Efficacy,"Nf1 f/1809 ; Hoxb7-Cre mice did not develop pNFs at 6 months of age (0/52), unlike Nf1 f/neo ; Hoxb7-Cre mice (11/16) and Nf1 f/f ; Hoxb7-Cre mice (7/13)",Results,Nf1 f/1809 ; Hoxb7-Cre mice did not develop pNFs at 6 months of age (0/52),0.95
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,Nf1 c.5425 C > T ; Arg1809Cys-mutant mice,animal_model,Mechanistic,"Nf1+/1809 RGC neurons did not have increased activity relative to WT RGCs, unlike Nf1+/neo neurons which had 2.5-3.9-fold increase in action potential firing rates",Results,"Nf1+/neo, but not the Nf1+/1809, neurons had increased activity relative to WT RGCs, as measured by action potential (AP) firing rates (2.5–3.9-fold increase relative to WT control)",0.95
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,Nf1 c.5425 C > T ; Arg1809Cys-mutant mice,animal_model,Biomarker,"Nf1+/1809 neurons had elevated RAS activity (2.3-2.7-fold increase) similar to Nf1+/neo neurons, but did not produce increased midkine or neuroligin-3",Results,"RAS-GTP levels were increased by 2.3–2.7-fold in Nf1+/1809 RGC and hippocampal neurons relative to WT controls, similar to Nf1+/neo neurons",0.95
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,R681X Nf1-mutant mice,animal_model,Biomarker,"Increased midkine expression was detected in RGCs from Nf1+/R681X-mutant mice, another mouse strain that develops optic gliomas",Results,Increased midkine expression was also detected in RGCs from Nf1+/R681X-mutant mice...another mouse strain that develops optic gliomas following somatic Nf1 inactivation,0.9
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,Nf1 f/neo ; hGFAP-Cre mice,animal_model,Efficacy,"All Nf1 f/neo ; hGFAP-Cre mice developed OPGs (6/6) with increased optic nerve volumes (0.079 mm³), proliferative indices (5.9% Ki67+ cells), microglia (11.8% Iba1+ cells), and T cells (7 CD3+ cells)",Results,all Nf1 f/neo ; hGFAP-Cre mice (Nf1-OPG)...developed OPGs (6/6) with increased optic nerve volumes (0.079 mm³)...proliferative indices (5.9% Ki67+ cells),0.95
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,Nf1 flox/flox ; Hoxb7-Cre mice,animal_model,Efficacy,Nf1 f/f ; Hoxb7-Cre mice developed pNFs (7/13) and exhibited enlarged DRGs,Results,"Nf1 f/neo ; Hoxb7-Cre mice (11/16), and Nf1 f/f ; Hoxb7-Cre mice (7/13), Nf1 f/1809 ; Hoxb7-Cre mice did not develop pNFs",0.9
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,Ki67,antibody,Biomarker,Lamotrigine treatment resulted in reduced optic nerve proliferation (5.7-fold decrease in %Ki67+ cells) in Nf1-OPG mice compared to vehicle-treated controls,Results,lamotrigine treatment resulted in reduced optic nerve proliferation (%Ki67+ cells; 5.7-fold decrease),0.95
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,Iba1,antibody,Biomarker,Lamotrigine treatment resulted in reduced microglia content (1.7-fold decrease in %Iba1+ cells) in Nf1-OPG mice,Results,lamotrigine treatment resulted in...microglia (%Iba1+ cells; 1.7-fold decrease),0.95
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,SOX10,antibody,Biomarker,Nf1 f/1809 ; Hoxb7-Cre mice DRGs contained fewer SOX10+ Schwann cell precursors compared to Nf1 f/neo ; Hoxb7-Cre and Nf1 f/f ; Hoxb7-Cre mice,Results,"their DRGs contained fewer total cells, as well as fewer SOX10+ Schwann cell precursors, the cell of origin for these pNF tumors",0.9
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,AXION Biosystems 48-well MEA plates,computational_tool,Mechanistic,"Multi-electrode arrays measured 2.5-3.9-fold increase in action potential firing rates in Nf1+/neo RGC neurons compared to WT controls, while Nf1+/1809 neurons showed no increase",Results,"Nf1+/neo, but not the Nf1+/1809, neurons had increased activity relative to WT RGCs, as measured by action potential (AP) firing rates",0.95
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,sh NF1 1–3 lentiviral particles,genetic_reagent,Mechanistic,COL1A2 treatment increased proliferation of shNF1 SCs (2.5-2.9-fold increase in Ki67+ cells) to levels similar to NF1-mutant sensory neuron conditioned media,Results,COL1A2 treatment increased the proliferation of shNF1 SCs and Nf1−/− DRG NSCs (2.5–2.9-fold increase in Ki67+ cells),0.95
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,sh COL1A2 lentiviral particles,genetic_reagent,Efficacy,COL1A2 short hairpin-mediated genetic reduction (65.1% reduction) completely abrogated the increase in proliferation conferred by NF1-mutant sensory neuron CM,Results,The increase in proliferation conferred by NF1-mutant sensory neuron CM or COL1A2 alone was completely abrogated by...genetic COL1A2 short hairpin-mediated genetic reduction,0.95
PMID:40299482,10.3390/biomedicines13040907,Sleep Disorders in Pediatric Patients Affected by Neurofibromatosis Type 1: Reports of a Questionnaire and an Apple Watch Sleep Assessment.,Apple Watch Ultra model 2,clinical_assessment_tool,Biomarker,"NF1 patients had significantly shorter total sleep duration (7.2 ± 0.8 h) compared to controls (8.0 ± 0.6 h, p = 0.001)",Results,"NF1 patients had a significantly shorter total sleep duration (7.2 ± 0.8 h) compared to controls (8.0 ± 0.6 h, p = 0.001).",0.95
PMID:40299482,10.3390/biomedicines13040907,Sleep Disorders in Pediatric Patients Affected by Neurofibromatosis Type 1: Reports of a Questionnaire and an Apple Watch Sleep Assessment.,Apple Watch Ultra model 2,clinical_assessment_tool,Biomarker,"Sleep efficiency was lower in NF1 patients (80 ± 5%) compared to controls (88 ± 4%, p = 0.008)",Results,"The sleep efficiency was lower in NF1 patients (80 ± 5%) compared to controls (88 ± 4%, p = 0.008).",0.95
PMID:40299482,10.3390/biomedicines13040907,Sleep Disorders in Pediatric Patients Affected by Neurofibromatosis Type 1: Reports of a Questionnaire and an Apple Watch Sleep Assessment.,Apple Watch Ultra model 2,clinical_assessment_tool,Biomarker,"REM sleep duration was reduced in NF1 patients (80 ± 12 min) versus controls (95 ± 10 min, p = 0.022)",Results,"The REM sleep duration was reduced in NF1 patients (80 ± 12 min) versus controls (95 ± 10 min, p = 0.022).",0.95
PMID:40299482,10.3390/biomedicines13040907,Sleep Disorders in Pediatric Patients Affected by Neurofibromatosis Type 1: Reports of a Questionnaire and an Apple Watch Sleep Assessment.,Apple Watch Ultra model 2,clinical_assessment_tool,Biomarker,"Deep sleep duration was shorter in NF1 patients (60 ± 10 min) compared to controls (80 ± 8 min, p = 0.015)",Results,"The deep sleep duration was also shorter in NF1 patients (60 ± 10 min) compared to controls (80 ± 8 min, p = 0.015).",0.95
PMID:40299482,10.3390/biomedicines13040907,Sleep Disorders in Pediatric Patients Affected by Neurofibromatosis Type 1: Reports of a Questionnaire and an Apple Watch Sleep Assessment.,Apple Watch Ultra model 2,clinical_assessment_tool,Biomarker,"Light sleep duration showed significant reduction in NF1 patients (240 ± 20 min) compared to controls (270 ± 15 min, p = 0.027)",Results,"The light sleep duration showed a significant reduction in NF1 patients (240 ± 20 min) compared to controls (270 ± 15 min, p = 0.027).",0.95
PMID:40299482,10.3390/biomedicines13040907,Sleep Disorders in Pediatric Patients Affected by Neurofibromatosis Type 1: Reports of a Questionnaire and an Apple Watch Sleep Assessment.,Apple Watch Ultra model 2,clinical_assessment_tool,Biomarker,"NF1 patients exhibited higher resting heart rate during sleep (82 ± 5 bpm) compared to controls (76 ± 4 bpm, p = 0.010)",Results,"NF1 patients exhibited a higher resting heart rate during sleep (82 ± 5 bpm) compared to controls (76 ± 4 bpm, p = 0.010).",0.95
PMID:40299482,10.3390/biomedicines13040907,Sleep Disorders in Pediatric Patients Affected by Neurofibromatosis Type 1: Reports of a Questionnaire and an Apple Watch Sleep Assessment.,Apple Watch Ultra model 2,clinical_assessment_tool,Biomarker,"Heart rate variability (HRV) was significantly lower in NF1 patients (48 ± 6) compared to controls (60 ± 7, p = 0.003)",Results,"Heart rate variability (HRV) was significantly lower in NF1 patients (48 ± 6) compared to controls (60 ± 7, p = 0.003).",0.95
PMID:40299482,10.3390/biomedicines13040907,Sleep Disorders in Pediatric Patients Affected by Neurofibromatosis Type 1: Reports of a Questionnaire and an Apple Watch Sleep Assessment.,Apple Watch Ultra model 2,clinical_assessment_tool,Biomarker,"Respiratory rate was elevated in NF1 patients (22 ± 2 breaths/minute) compared to controls (18 ± 1.5 breaths/minute, p = 0.004)",Results,"The respiratory rate was elevated in NF1 patients (22 ± 2 breaths/minute) compared to controls (18 ± 1.5 breaths/minute, p = 0.004).",0.95
