doi,diseaseFocus,journal,title,year,pmid,author,manifestation,fundingAgency,studyId,studyName,funding_agencies,is_NIH-NCI,is_Fundación Proyecto Neurofibromatosis,is_Children's Cancer Foundation,is_Center for Cancer Research,is_NTAP,is_GFF,is_Cancer Research Foundation,is_The V Foundation,is_syn51298831,is_CTF,is_NFRI,has_linked_tools,is_missing,tool_types_mentioned
10.1002/humu.23552,Neurofibromatosis type 1,Human Mutation,Analysis of intratumor heterogeneity in Neurofibromatosis type 1 plexiform neurofibromas and neurofibromas with atypical features: Correlating histological and genomic findings.,2018,PMID:29774626,"['Meritxell Carri', 'Bernat Gel', 'Ernest Terribas', 'Adriana Carolina Zucchiatti', 'Teresa Molin', 'Inma Rosas', 'lex Teul', 'Santiago Ram�n y Cajal', 'Juan Carlos L�pez-Guti�rrez', 'Ignacio Blanco', 'Elisabeth Castellanos', 'Conxi L�zaro', 'Anat Stemmer-Rachamimov', 'Cleof� Romagosa', 'Eduard Serra']",['Plexiform Neurofibroma'],"['NTAP', 'CTF', 'GFF']",[],[],"['NTAP', 'CTF', 'GFF']",False,False,False,False,True,True,False,False,False,True,False,False,True,[]
10.1038/labinvest.2016.88,Neurofibromatosis type 1,Laboratory Investigation,Immortalization of human normal and NF1 neurofibroma Schwann cells.,2016,PMID:27617404,"['Hua Li', 'Lung-Ji Chang', 'Debbie R Neubauer', 'David F Muir', 'Margaret R Wallace', 'Harish Vasudevan', 'Emily Payne', 'Cyrille Delley', 'S John Liu', 'Kanish Mirchia', 'Matthew Sale', 'Sydney Lastella', 'Maria Sacconi Nunez', 'Calixto-Hope Lucas', 'Charlotte Eaton', 'Tim Casey-Clyde', 'Stephen Magill', 'William Chen', 'Steve Braunstein', 'Arie Perry', 'Line Jacques', 'Alyssa Reddy', 'Melike Pekmezci', 'Adam Abate', 'Frank McCormick', 'David Raleigh', 'Harish Vasudevan', 'Emily Payne', 'Cyrille Delley', 'S John Liu', 'Kanish Mirchia', 'Matthew Sale', 'Sydney Lastella', 'Maria Sacconi Nunez', 'Calixto-Hope Lucas', 'Charlotte Eaton', 'Tim Casey-Clyde', 'Stephen Magill', 'William Chen', 'Steve Braunstein', 'Arie Perry', 'Line Jacques', 'Alyssa Reddy', 'Melike Pekmezci', 'Adam Abate', 'Frank McCormick', 'David Raleigh']",['Plexiform Neurofibroma'],['NTAP'],['syn7239479'],['pNF Cell Line Development'],['NTAP'],False,False,False,False,True,False,False,False,False,False,False,True,False,[]
10.1016/j.expneurol.2017.10.012,Neurofibromatosis type 1,Experimental Neurology,Development of 3D culture models of plexiform neurofibroma and initial application for phenotypic characterization and drug screening.,2018,PMID:29055717,"['Janice M Kraniak', 'Anita Chalasani', 'Margaret R Wallace', 'Raymond R Mattingly']",['Plexiform Neurofibroma'],['NTAP'],['syn7217928'],['Plexiform Neurofibroma Model Systems for Preclinical Drug Screening'],['NTAP'],False,False,False,False,True,False,False,False,False,False,False,True,False,[]
10.1038/s42003-018-0163-y,Neurofibromatosis type 1,Communications Biology,Genetically engineered minipigs model the major clinical features of human neurofibromatosis type 1.,2018,PMID:30302402,"['Sara H Isakson', 'Anthony E Rizzardi', 'Alexander W Coutts', 'Daniel F Carlson', 'Mark N Kirstein', 'James Fisher', 'Jeremie Vitte', 'Kyle B Williams', 'G Elizabeth Pluhar', 'Sonika Dahiya', 'Brigitte C Widemann', 'Eva Dombi', 'Tilat Rizvi', 'Nancy Ratner', 'Ludwine Messiaen', 'Anat O Stemmer-Rachamimov', 'Scott C Fahrenkrug', 'David H Gutmann', 'Marco Giovannini', 'Christopher L Moertel', 'David A Largaespada', 'Adrienne L Watson', 'Jody F Longo', 'Joshua C Anderson', 'Steven L Carroll']","['Plexiform Neurofibroma', 'Low Grade Glioma']",['CTF'],['syn5610425'],['Synodos NF1 Preclinical Models (Minnesota CCHMC Recombinetics)'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,True,False,['animal_model']
10.1038/s41591-018-0263-8,Neurofibromatosis type 1,Nature Medicine,The molecular landscape of glioma in patients with Neurofibromatosis type 1.,2019,PMID:30531922,"[""Fulvio D'Angelo"", 'Michele Ceccarelli', 'Luciano Garofano', 'Jing Zhang', 'V�ronique Frattini', 'Francesca P Caruso', 'Genevieve Lewis', 'Kristin D Alfaro', 'Luc Bauchet', 'Giulia Berzero', 'David Cachia', 'Mario Cangiano', 'Laurent Capelle', 'John de Groot', 'Francesco DiMeco', 'Fran�ois Ducray', 'Walid Farah', 'Gaetano Finocchiaro', 'St�phane Goutagny', 'Carlos Kamiya-Matsuoka', 'Cinzia Lavarino', 'Hugues Loiseau', 'V�ronique Lorgis', 'Carlo E Marras', 'Ian McCutcheon', 'Do-Hyun Nam', 'Susanna Ronchi', 'Veronica Saletti', 'Romuald Seizeur', 'John Slopis', 'Mariona Su�ol', 'Fanny Vandenbos', 'Pascale Varlet', 'Dominique Vidaud', 'Colin Watts', 'Viviane Tabar', 'David E Reuss', 'Seung-Ki Kim', 'David Meyronet', 'Karima Mokhtari', 'Hector Salvador', 'Krishna P Bhat', 'Marica Eoli', 'Marc Sanson', 'Anna Lasorella', 'Antonio Iavarone']",['Low Grade Glioma'],['CTF'],['syn6633069'],['Columbia University NF1 Glioma Project'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,False,True,[]
10.1101/495358,Neurofibromatosis type 1,bioRxiv,Sex-dependent differences in pain and sleep in a porcine model of Neurofibromatosis type 1,2018,PMID:,"['Rajesh Khanna', 'Aubin Moutal', 'Katherine A White', 'Aude Chefdeville', 'Pedro Negrao de Assis', 'Song Cai', 'Vicki J Swier', 'Shreya S Bellampalli', 'Marissa D Giunta', 'Benjamin W Darbro', 'Dawn E Quelle', 'Jessica C Sieren', 'Margaret R Wallace', 'Christopher S Rogers', 'David K Meyerholz', 'Jill M Weimer']",['Pain'],['CTF'],['syn5610446'],['Synodos NF1 Preclinical Models (Iowa Sanford Exemplar)'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,False,True,['animal_model']
10.1016/j.neurad.2018.05.006,Neurofibromatosis type 1,Journal of Neuroradiology,Radiomic biomarkers informative of cancerous transformation in neurofibromatosis-1 plexiform tumors.,2019,PMID:29958847,"['J Uthoff', 'F A De Stefano', 'K Panzer', 'B W Darbro', 'T S Sato', 'R Khanna', 'D E Quelle', 'D K Meyerholz', 'J Weimer', 'J C Sieren']","['Plexiform Neurofibroma', 'MPNST']",['CTF'],['syn5610446'],['Synodos NF1 Preclinical Models (Iowa Sanford Exemplar)'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,False,True,[]
10.7303/syn18460006.1,Neurofibromatosis type 2,American Journal of Translational Research,A chemical biology approach identified PI3K as a potential therapeutic target for neurofibromatosis type 2,2014,PMID:25360213,"['Alejandra M Petrilli', 'Marisa A Fuse', 'Mathew S Donnan', 'Marga Bott', 'Nicklaus A Sparrow', 'DanielTondera', 'Julia Huffziger', 'Corina Frenzel', 'C Siobhan Malany', 'Christophe J Echeverri', 'Layton Smith', 'Cristina Fernandez-Valle']",['Schwannoma'],['CTF'],['syn5562324'],['Phenotypic screening of anti-NF2 drug candidates in merlin-deficient and normal mouse Schwann cells'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,False,True,[]
10.1158/1535-7163.MCT-17-0417,Neurofibromatosis type 2,Molecular Cancer Therapeutics,Combination Therapy with c-Met and Src Inhibitors Induces Caspase-Dependent Apoptosis of Merlin-Deficient Schwann Cells and Suppresses Growth of Schwannoma Cells.,2017,PMID:28775147,"['Marisa A Fuse', 'Stephani Klingeman Plati', 'Sarah S Burns', 'Christine T Dinh', 'Olena Bracho', 'Denise Yan', 'Rahul Mittal', 'Rulong Shen', 'Julia N Soulakova', 'Alicja J Copik', 'Xue Zhong Liu', 'Fred F Telischi', 'Long-Sheng Chang', 'Maria Clara Franco', 'Cristina Fernandez-Valle']",['Schwannoma'],['CTF'],['syn5562324'],['Phenotypic screening of anti-NF2 drug candidates in merlin-deficient and normal mouse Schwann cells'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,False,True,[]
10.1007/s12035-019-1568-4,Neurofibromatosis type 1,Molecular Neurobiology,Dysregulation of CRMP2 Post-Translational Modifications Drive Its Pathological Functions.,2019,PMID:30915713,"['Aubin Moutal', 'Katherine A White', 'Aude Chefdeville', 'Rachel N Laufmann', 'Peter F Vitiello', 'Douglas Feinstein', 'Jill M Weimer', 'Rajesh Khanna']",['Pain'],['CTF'],['syn5610446'],['Synodos NF1 Preclinical Models (Iowa Sanford Exemplar)'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,False,True,[]
10.1158/1078-0432.CCR-18-3224,Neurofibromatosis type 1,Clinical Cancer Research,Targeted Inhibition of the Dual Specificity Phosphatases DUSP1 and DUSP6 Suppress MPNST Growth via JNK.,2019,PMID:30936125,"['Annmarie Ramkissoon', 'Katherine E Chaney', 'David Milewski', 'Kyle B Williams', 'Rory L Williams', 'Kwangmin Choi', 'Adam Miller', 'Tanya V Kalin', 'Joseph G Pressey', 'Sara Szabo', 'Mohammad Azam', 'David A Largaespada', 'Nancy Ratner']",['MPNST'],['CTF'],['syn5610425'],['Synodos NF1 Preclinical Models (Minnesota CCHMC Recombinetics)'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,True,False,[]
10.1097/j.pain.0000000000001648,Neurofibromatosis type 1,Pain,Assessment of nociception and related quality of life measures in a porcine model of Neurofibromatosis type 1.,2019,PMID:31246731,"['Rajesh Khanna', 'Aubin Moutal', 'Katherine A White', 'Aude Chefdeville', 'Pedro Negrao de Assis', 'Song Cai', 'Vicki J Swier', 'Shreya S Bellampalli', 'Marissa D Giunta', 'Benjamin W Darbro', 'Dawn E Quelle', 'Jessica C Sieren', 'Margaret R Wallace', 'Christopher S Rogers', 'David K Meyerholz', 'Jill M Weimer']",['Pain'],['CTF'],['syn5610446'],['Synodos NF1 Preclinical Models (Iowa Sanford Exemplar)'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,True,False,['animal_model']
10.7554/eLife.48983,Neurofibromatosis type 1,eLife,Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.,2019,PMID:31545171,"['J Elliott Robinson', 'Gerard M Coughlin', 'Acacia M Hori', 'Jounhong Ryan Cho', 'Elisha D Mackey', 'Zeynep Turan', 'Tommaso Patriarchi', 'Lin Tian', 'Viviana Gradinaru']",['Behavior'],['CTF'],['syn18904024'],['Optical dopamine monitoring with dLight1 reveals mesolimbic phenotypes in a mouse model of neurofibromatosis type 1.'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,False,True,['animal_model']
10.1371/journal.pone.0228222,Neurofibromatosis type 1,PLOS One,Validating Indicators of CNS Disorders in a Swine Model of Neurological Disease,2020,PMID:32074109,"['Vicki J Swier', 'Katherine A White', 'David K Meyerholz', 'Aude Chefdeville', 'Rajesh Khanna', 'Jessica C Sieren', 'Dawn E Quelle', 'Jill M Weimer']",['neurological disease'],['CTF'],['syn5610446'],['Synodos NF1 Preclinical Models (Iowa Sanford Exemplar)'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,True,False,['animal_model']
10.1158/2159-8290.cd-18-0156,Neurofibromatosis type 1,Cancer Discovery,"Cellular Origin, Tumor Progression, and Pathogenic Mechanisms of Cutaneous Neurofibromas Revealed by Mice With Nf1 Knockout in Boundary Cap Cells",2019,PMID:30348676,"['Katarzyna J Radomska', 'Fanny Coulpier', 'Aurelie Gresset', 'Alain Schmitt', 'Amal Debbiche', 'Sophie Lemoine', 'Pierre Wolkenstein', 'Jean-Michel Vallat', 'Patrick Charnay', 'Piotr Topilko']",['Cutaneous Neurofibroma'],['NTAP'],['syn11374337'],['Use of the mouse model of cutaneous neurofibromas for identification of cells of origin and drug screening studies'],['NTAP'],False,False,False,False,True,False,False,False,False,False,False,False,True,['animal_model']
10.1177/2050312119829680,Neurofibromatosis type 1,SAGE Open Medicine,A qualitative study of the impact of plexiform neurofibromas on need fulfilment in adults with neurofibromatosis type 1.,2019,PMID:30800298,"['Alice Heaney', 'Jeanette Wilburn', 'Shannon Langmead', 'Jaishri Blakeley', 'Susan Huson', 'Carly Jim', 'Stephen P McKenna']",['Plexiform Neurofibroma'],['NTAP'],['syn4939880'],['Development of Needs-based Quality of Life Patient Reported Outcome'],['NTAP'],False,False,False,False,True,False,False,False,False,False,False,False,True,[]
10.3390/genes11050477,Neurofibromatosis type 1,Genes,New Model Systems and the Development of Targeted Therapies for the Treatment of Neurofibromatosis Type 1-Associated Malignant Peripheral Nerve Sheath Tumors,2020,PMID:32353955,"['Kyle B Williams', 'David A Largaespada']",['MPNST'],['CTF'],['syn5610425'],['Synodos NF1 Preclinical Models (Minnesota CCHMC Recombinetics)'],['CTF'],False,False,False,False,False,False,False,False,False,True,False,False,True,['animal_model']
10.1093/hmg/ddz095,Neurofibromatosis type 1,Human Molecular Genetics,Cdkn2a (Arf) loss drives NF1-associated atypical neurofibroma and malignant transformation.,2019,PMID:31091306,"['Steven D Rhodes', 'Yongzheng He', 'Abbi Smith', 'Li Jiang', 'Qingbo Lu', 'Julie Mund', 'Xiaohong Li', 'Waylan Bessler', 'Shaomin Qian', 'William Dyer', 'George E Sandusky', 'Andrew E Horvai', 'Amy E Armstrong', 'D Wade Clapp']","['Plexiform Neurofibroma', 'MPNST', 'ANNUBP']",['NIH-NCI'],['syn5714288'],"['DHART SPORE Project 1: Molecular, Developmental, and Genetic Evaluation of Plexiform Neurofibromas to Inform Clinical Trials']",['NIH-NCI'],True,False,False,False,False,False,False,False,False,False,False,False,True,[]
10.1002/pbc.25763,Neurofibromatosis type 1,Pediatric Blood & Cancer,Preclinical Evidence for the Use of Sunitinib Malate in the Treatment of Plexiform Neurofibromas.,2016,PMID:26375012,"['Michael J Ferguson', 'Steven D Rhodes', 'Li Jiang', 'Xiaohong Li', 'Jin Yuan', 'Xianlin Yang', 'Shaobo Zhang', 'Saeed T Vakili', 'Paul Territo', 'Gary Hutchins', 'Feng-Chun Yang', 'David A Ingram', 'D Wade Clapp', 'Shi Chen']",['Plexiform Neurofibroma'],['NIH-NCI'],['syn5714288'],"['DHART SPORE Project 1: Molecular, Developmental, and Genetic Evaluation of Plexiform Neurofibromas to Inform Clinical Trials']",['NIH-NCI'],True,False,False,False,False,False,False,False,False,False,False,True,False,[]
10.1158/1078-0432.CCR-18-2437,Neurofibromatosis type 1,Clinical Cancer Research,Overcoming BET Inhibitor Resistance in Malignant Peripheral Nerve Sheath Tumors.,2019,PMID:30796033,"['Jonathan M Cooper', 'Amish J Patel', 'Zhiguo Chen', 'Chung-Ping Liao', 'Kun Chen', 'Juan Mo', 'Yong Wang', 'Lu Q Le']",['MPNST'],['NIH-NCI'],['syn5714288'],"['DHART SPORE Project 1: Molecular, Developmental, and Genetic Evaluation of Plexiform Neurofibromas to Inform Clinical Trials']",['NIH-NCI'],True,False,False,False,False,False,False,False,False,False,False,False,True,[]
