pmid,title,doi,journal,year,source,query_type
PMID:40168468,Molecular Evidence Supporting MEK Inhibitor Therapy in NF1 Pseudarthrosis.,10.2106/JBJS.24.01007,The Journal of bone and joint surgery. American volume,2025,pubmed,bench
PMID:40140675,Spatial mapping of immune cell environments in NF2-related schwannomatosis vestibular schwannoma.,10.1038/s41467-025-57586-z,Nature communications,2025,pubmed,bench
PMID:40134850,Emerging mechanism and therapeutic potential of neurofibromatosis type 1-related nerve system tumor: Advancing insights into tumor development.,10.1093/noajnl/vdaf040,Neuro-oncology advances,2025,pubmed,bench
PMID:40128216,The CoREST complex is a therapeutic vulnerability in malignant peripheral nerve sheath tumors.,10.1038/s41598-025-94517-w,Scientific reports,2025,pubmed,bench
PMID:40087579,Disrupted visual attention relates to cognitive development in infants with Neurofibromatosis Type 1.,10.1186/s11689-025-09599-4,Journal of neurodevelopmental disorders,2025,pubmed,bench
PMID:40075752,Granulocyte-Macrophage Colony Stimulating Factor Receptor Contributes to Plexiform Neurofibroma Initiation.,10.3390/cancers17050905,Cancers,2025,pubmed,bench
PMID:40063513,DLK1 Distinguishes Subsets of NF1-Associated Malignant Peripheral Nerve Sheath Tumors with Divergent Molecular Signatures.,10.1158/1078-0432.CCR-24-3029,Clinical cancer research : an official journal of the American Association for Cancer Research,2025,pubmed,bench
PMID:40043523,Intracytoplasmic accumulation of keratan sulfate is a hallmark of granular cell tumor.,10.1016/j.prp.2025.155892,"Pathology, research and practice",2025,pubmed,bench
PMID:40034205,The evolving landscape of NF gene therapy: Hurdles and opportunities.,10.1016/j.omtn.2025.102475,Molecular therapy. Nucleic acids,2025,pubmed,bench
PMID:40025578,Development of CAR-T cell therapy for NF1/SWN-related nerve sheath tumor treatment.,10.1186/s40478-025-01965-6,Acta neuropathologica communications,2025,pubmed,bench
PMID:40025071,Discoidin domain receptor inhibitor DDR1-IN-1 induces autophagy and necroptotic cell death in malignant peripheral nerve sheath tumor.,10.1038/s41420-025-02367-2,Cell death discovery,2025,pubmed,bench
PMID:40000831,Cancer-independent somatic mutation of the wild-type NF1 allele in normal tissues in neurofibromatosis type 1.,10.1038/s41588-025-02097-2,Nature genetics,2025,pubmed,bench
PMID:39996452,Cas9 Mouse Model of Skull Base Meningioma Driven by Combinational Gene Inactivation in Meningeal Cells.,10.1111/cns.70287,CNS neuroscience & therapeutics,2025,pubmed,bench
PMID:39981185,Schwann cells in regeneration and cancer.,10.3389/fphar.2025.1506552,Frontiers in pharmacology,2025,pubmed,bench
PMID:39980445,A molecular array for 10-second diagnosis of common spinal tumor types with picosecond infrared laser mass spectrometry.,10.1093/neuonc/noaf047,Neuro-oncology,2025,pubmed,bench
PMID:39966622,The development of an artificial intelligence auto-segmentation tool for 3D volumetric analysis of vestibular schwannomas.,10.1038/s41598-025-88589-x,Scientific reports,2025,pubmed,bench
PMID:39965929,Neurofibromin Deficiency Alters the Patterning and Prioritization of Motor Behaviors in a State-Dependent Manner.,10.1523/JNEUROSCI.1531-24.2025,The Journal of neuroscience : the official journal of the Society for Neuroscience,2025,pubmed,bench
PMID:39952425,Sex-dependent variations of retinal function and architecture in a neurofibromatosis type I mouse model with normal vision.,10.1016/j.exer.2025.110279,Experimental eye research,2025,pubmed,bench
PMID:39921490,NF2 is Essential for Human Endoderm Development.,10.1002/advs.202410909,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2025,pubmed,bench
PMID:39890807,Global proteomics and affinity mass spectrometry analysis of human Schwann cells indicates that variation in and loss of neurofibromin (NF1) alters protein expression and cellular and mitochondrial metabolism.,10.1038/s41598-024-84493-y,Scientific reports,2025,pubmed,bench
PMID:39881370,"Spectrophotometric and computational characterization of charge transfer complex of selumetinib with 2,3-dichloro-5,6-dicyano-1,4-benzoquinone and its utilization in developing an innovative green and high throughput microwell assay for analysis of bulk form and pharmaceutical formulation.",10.1186/s13065-024-01353-6,BMC chemistry,2025,pubmed,bench
PMID:39868555,Intestinal Bacteroides drives glioma progression by regulating CD8+ T cell tumor infiltration.,10.1093/neuonc/noaf024,Neuro-oncology,2025,pubmed,bench
PMID:39863790,A multicenter study of neurofibromatosis type 1 utilizing deep learning for whole body tumor identification.,10.1038/s41746-025-01454-z,NPJ digital medicine,2025,pubmed,bench
PMID:39857943,UBR5 in Tumor Biology: Exploring Mechanisms of Immune Regulation and Possible Therapeutic Implications in MPNST.,10.3390/cancers17020161,Cancers,2025,pubmed,bench
PMID:39845289,Evaluating dimensionality reduction of comorbidities for predictive modeling in individuals with neurofibromatosis type 1.,10.1093/jamiaopen/ooae157,JAMIA open,2025,pubmed,bench
PMID:39841844,WWC proteins-mediated compensatory mechanism restricts schwannomatosis driven by ,10.1126/sciadv.adp4765,Science advances,2025,pubmed,bench
PMID:39840811,Allosteric modulation of NF1 GAP: Differential distributions of catalytically competent populations in loss-of-function and gain-of-function mutants.,10.1002/pro.70042,Protein science : a publication of the Protein Society,2025,pubmed,bench
PMID:39840093,Disproportionate adverse event signals of selumetinib in neurofibromatosis type I: insights from FAERS.,10.3389/fphar.2024.1454418,Frontiers in pharmacology,2024,pubmed,bench
PMID:39824854,Comparison of 1D and 3D volume measurement techniques in NF2-associated vestibular schwannoma monitoring.,10.1038/s41598-025-85386-4,Scientific reports,2025,pubmed,bench
PMID:39804140,"Loss of NF1 Accelerates Uveal and Intradermal Melanoma Tumorigenesis, and Oncogenic GNAQ Transforms Schwann Cells.",10.1158/2767-9764.CRC-24-0386,Cancer research communications,2025,pubmed,bench
PMID:39796693,Role of ,10.3390/cancers17010064,Cancers,2024,pubmed,bench
PMID:39793045,Hydroxychloroquine prevents resistance and potentiates the antitumor effect of SHP2 inhibition in NF1-associated malignant peripheral nerve sheath tumors.,10.1073/pnas.2407745121,Proceedings of the National Academy of Sciences of the United States of America,2025,pubmed,bench
PMID:39786423,"Triple Combination of MEK, BET, and CDK Inhibitors Significantly Reduces Human Malignant Peripheral Nerve Sheath Tumors in Mouse Models.",10.1158/1078-0432.CCR-24-2807,Clinical cancer research : an official journal of the American Association for Cancer Research,2025,pubmed,bench
PMID:39749698,SUCLG1 promotes aerobic respiration and progression in plexiform neurofibroma.,10.3892/ijo.2024.5716,International journal of oncology,2025,pubmed,bench
PMID:39731295,"Therapeutic effect of novel drug candidate, PRG-N-01, on NF2 syndrome-related tumor.",10.1093/neuonc/noae282,Neuro-oncology,2025,pubmed,bench
PMID:39724457,A bibliometric analysis of research trends and hotspots of pilocytic astrocytoma from 2004 to 2023.,10.1007/s10143-024-03139-9,Neurosurgical review,2024,pubmed,bench
PMID:39722043,"Cystic lesions and their mimics involving the intrahepatic bile ducts and peribiliary space: diagnosis, complications, and management.",10.1007/s00261-024-04742-6,Abdominal radiology (New York),2025,pubmed,bench
PMID:39712860,Characterization of microRNA-223-3p as a novel promoter of cell proliferation and invasion in papillary thyroid carcinoma.,10.1002/ccs3.12057,Journal of cell communication and signaling,2025,pubmed,bench
PMID:39678747,Utility of Keystone Flap in Armory of Dermatosurgeons.,10.4103/ijd.ijd_953_23,Indian journal of dermatology,2024,pubmed,bench
PMID:39669605,Next-generation variant exon screening: Moving forward in routine genetic disease investigations.,10.1016/j.gimo.2024.101816,Genetics in medicine open,2024,pubmed,bench
PMID:39620202,Multiomic analyses reveal new targets of polycomb repressor complex 2 in Schwann lineage cells and malignant peripheral nerve sheath tumors.,10.1093/noajnl/vdae188,Neuro-oncology advances,2024,pubmed,bench
PMID:39601046,Role of long non-coding RNAs in neurofibromatosis and Schwannomatosis: pathogenesis and therapeutic potential.,10.1080/17501911.2024.2430170,Epigenomics,2024,pubmed,bench
PMID:39570085,Adrenocortical tumors and hereditary syndromes.,10.1080/17446651.2024.2431748,Expert review of endocrinology & metabolism,2025,pubmed,bench
PMID:39548629,Management of high grade primary cerebellar tumours.,10.47391/JPMA.24-92,JPMA. The Journal of the Pakistan Medical Association,2024,pubmed,bench
PMID:39521772,Automatic construction of Petri net models for computational simulations of molecular interaction network.,10.1038/s41540-024-00464-z,NPJ systems biology and applications,2024,pubmed,bench
PMID:39518076,Leveraging Neural Crest-Derived Tumors to Identify NF1 Cancer Stem Cell Signatures.,10.3390/cancers16213639,Cancers,2024,pubmed,bench
PMID:39500722,Consensus recommendations for an integrated diagnostic approach to peripheral nerve sheath tumors arising in the setting of Neurofibromatosis Type 1.,10.1093/neuonc/noae235,Neuro-oncology,2025,pubmed,bench
PMID:39482412,TSPO deficiency promotes the progression of malignant peripheral sheath tumors by regulating the G2/M phase of the cell cycle via CDK1.,10.1038/s41598-024-77933-2,Scientific reports,2024,pubmed,bench
PMID:39488637,TGF-β superfamily-induced transcriptional activation pathways establish the RAD52-dependent ALT machinery during malignant transformation of MPNSTs.,10.1038/s41598-024-76732-z,Scientific reports,2024,pubmed,bench
PMID:39457697,Pheochromocytoma-Paraganglioma Syndrome: A Multiform Disease with Different Genotype and Phenotype Features.,10.3390/biomedicines12102385,Biomedicines,2024,pubmed,bench
PMID:39433488,[Progress and prospects in diagnosis and treatment of neurofibromatosis type 1].,10.7507/1002-1892.202407005,Zhongguo xiu fu chong jian wai ke za zhi = Zhongguo xiufu chongjian waike zazhi = Chinese journal of reparative and reconstructive surgery,2024,pubmed,bench
PMID:39433487,[Clarification the terms and definitions related to neurofibromatosis type 1].,10.7507/1002-1892.202406088,Zhongguo xiu fu chong jian wai ke za zhi = Zhongguo xiufu chongjian waike zazhi = Chinese journal of reparative and reconstructive surgery,2024,pubmed,bench
PMID:39415595,Generation of a zebrafish neurofibromatosis model via inducible knockout of nf2a/b.,10.1242/dmm.050862,Disease models & mechanisms,2024,pubmed,bench
PMID:39413183,Stimulator of interferon gene facilitates recruitment of effector CD8 T cells that drive neurofibromatosis type 1 nerve tumor initiation and maintenance.,10.1126/sciadv.ado6342,Science advances,2024,pubmed,bench
PMID:39409151,Proof of Concept for Genome Profiling of the Neurofibroma/Sarcoma Sequence in Neurofibromatosis Type 1.,10.3390/ijms251910822,International journal of molecular sciences,2024,pubmed,bench
PMID:39395123,"Autism Spectrum Disorder Symptom Profiles in Fragile X Syndrome, Angelman Syndrome, Tuberous Sclerosis Complex and Neurofibromatosis Type 1.",10.1007/s10803-024-06557-2,Journal of autism and developmental disorders,2026,pubmed,bench
PMID:39373898,Identification of Pathogenic Missense Mutations of NF1 Using Computational Approaches.,10.1007/s12031-024-02271-x,Journal of molecular neuroscience : MN,2024,pubmed,bench
PMID:39355740,Pigment epithelium derived factor drives melanocyte proliferation and migration in neurofibromatosis café au lait macules.,10.1002/ski2.394,Skin health and disease,2024,pubmed,bench
PMID:39335500,Cold Atmospheric Plasma Induces Growth Arrest and Apoptosis in Neurofibromatosis Type 1-Associated Peripheral Nerve Sheath Tumor Cells.,10.3390/biomedicines12091986,Biomedicines,2024,pubmed,bench
PMID:39273214,Interferon-Induced Transmembrane Protein 1 (IFITM1) Is Downregulated in Neurofibromatosis Type 1-Associated Malignant Peripheral Nerve Sheath Tumors.,10.3390/ijms25179265,International journal of molecular sciences,2024,pubmed,bench
