publicationId,doi,pmid,publicationTitle,abstract,journal,publicationDate,authors
PUB23685747,10.1038/ng.2641,PMID:23685747,Forward genetic screen for malignant peripheral nerve sheath tumor formation identifies new genes and pathways driving tumorigenesis.,"Malignant peripheral nerve sheath tumors (MPNSTs) are sarcomas of Schwann cell lineage origin that occur sporadically or in association with the inherited syndrome neurofibromatosis type 1. To identify genetic drivers of MPNST development, we used the Sleeping Beauty (SB) transposon-based somatic mutagenesis system in mice with somatic loss of transformation-related protein p53 (Trp53) function and/or overexpression of human epidermal growth factor receptor (EGFR). Common insertion site (CIS) analysis of 269 neurofibromas and 106 MPNSTs identified 695 and 87 sites with a statistically significant number of recurrent transposon insertions, respectively. Comparison to human data sets identified new and known driver genes for MPNST formation at these sites. Pairwise co-occurrence analysis of CIS-associated genes identified many cooperating mutations that are enriched in Wnt/β-catenin, PI3K-AKT-mTOR and growth factor receptor signaling pathways. Lastly, we identified several new proto-oncogenes, including Foxr2 (encoding forkhead box R2), which we functionally validated as a proto-oncogene involved in MPNST maintenance.",Nature genetics,2013-07,Eric P Rahrmann; Adrienne L Watson; Vincent W Keng; Kwangmin Choi; Branden S Moriarity; Dominic A Beckmann; Natalie K Wolf; Aaron Sarver; Margaret H Collins; Christopher L Moertel; Margaret R Wallace; Bernat Gel; Eduard Serra; Nancy Ratner; David A Largaespada
PUB24040940,10.1186/1479-5876-11-213,PMID:24040940,Molecular-guided therapy predictions reveal drug resistance phenotypes and treatment alternatives in malignant peripheral nerve sheath tumors.,"BACKGROUND: Malignant peripheral nerve sheath tumors (MPNST) are rare highly aggressive sarcomas that affect 8-13% of people with neurofibromatosis type 1. The prognosis for patients with MPNST is very poor. Despite TOP2A overexpression in these tumors, doxorubicin resistance is common, and the mechanisms of chemotherapy resistance in MPNST are poorly understood. Molecular-guided therapy prediction is an emerging strategy for treatment refractory sarcomas that involves identification of therapy response and resistance mechanisms in individual tumors. Here, we report the results from a personalized, molecular-guided therapy analysis of MPNST samples. METHODS: Established molecular-guided therapy prediction software algorithms were used to analyze published microarray data from human MPNST samples and cell lines, with benign neurofibroma tissue controls. MPNST and benign neurofibroma-derived cell lines were used for confirmatory in vitro experimentation using quantitative real-time PCR and growth inhibition assays. Microarray data was analyzed using Affymetrix expression console MAS 5.0 method. Significance was calculated with Welch's t-test with non-corrected p-value < 0.05 and validated using permutation testing across samples. Paired Student's t-tests were used to compare relative EC50 values from independent growth inhibition experiments. RESULTS: Molecular guided therapy predictions highlight substantial variability amongst human MPNST samples in expression of drug target and drug resistance pathways, as well as some similarities amongst samples, including common up-regulation of DNA repair mechanisms. In a subset of MPNSTs, high expression of ABCC1 is observed, serving as a predicted contra-indication for doxorubicin and related therapeutics in these patients. These microarray-based results are confirmed with quantitative, real-time PCR and immunofluorescence. The functional effect of drug efflux in MPNST-derived cells is confirmed using in vitro growth inhibition assays. Alternative therapeutics supported by the molecular-guided therapy predictions are reported and tested in MPNST-derived cells. CONCLUSIONS: These results confirm the substantial molecular heterogeneity of MPNSTs and validate molecular-guided therapy predictions in vitro. The observed molecular heterogeneity in MPNSTs influences therapy prediction. Also, mechanisms involving drug transport and DNA damage repair are primary mediators of MPNST chemotherapy resistance. Together, these findings support the utility of individualized therapy in MPNST as in other sarcomas, and provide initial proof-of concept that individualized therapy prediction can be accomplished.",Journal of translational medicine,2013-09-17,Jacqueline D Peacock; David Cherba; Kevin Kampfschulte; Mallory K Smith; Noel R Monks; Craig P Webb; Matthew Steensma
PUB24371224,10.1158/0008-5472.CAN-13-2062,PMID:24371224,Tumor suppressor alterations cooperate to drive aggressive mesotheliomas with enriched cancer stem cells via a p53-miR-34a-c-Met axis.,"Malignant mesothelioma is a highly aggressive, asbestos-related cancer frequently marked by mutations of both NF2 and CDKN2A. We demonstrate that germline knockout of one allele of each of these genes causes accelerated onset and progression of asbestos-induced malignant mesothelioma compared with asbestos-exposed Nf2(+/-) or wild-type mice. Ascites from some Nf2(+/-);Cdkn2a(+/-) mice exhibited large tumor spheroids, and tail vein injections of malignant mesothelioma cells established from these mice, but not from Nf2(+/-) or wild-type mice, produced numerous tumors in the lung, suggesting increased metastatic potential of tumor cells from Nf2(+/-);Cdkn2a(+/-) mice. Intraperitoneal injections of malignant mesothelioma cells derived from Nf2(+/-);Cdkn2a(+/-) mice into severe combined immunodeficient mice produced tumors that penetrated the diaphragm and pleural cavity and harbored increased cancer stem cells (CSC). Malignant mesothelioma cells from Nf2(+/-);Cdkn2a(+/-) mice stained positively for CSC markers and formed CSC spheroids in vitro more efficiently than counterparts from wild-type mice. Moreover, tumor cells from Nf2(+/-);Cdkn2a(+/-) mice showed elevated c-Met expression/activation, which was partly dependent on p53-mediated regulation of miR-34a and required for tumor migration/invasiveness and maintenance of the CSC population. Collectively, these studies demonstrate in vivo that inactivation of Nf2 and Cdkn2a cooperate to drive the development of highly aggressive malignant mesotheliomas characterized by enhanced tumor spreading capability and the presence of a CSC population associated with p53/miR-34a-dependent activation of c-Met. These findings suggest that cooperativity between losses of Nf2 and Cdkn2a plays a fundamental role in driving the highly aggressive tumorigenic phenotype considered to be a hallmark of malignant mesothelioma.",Cancer research,2014-02-15,Craig W Menges; Yuwaraj Kadariya; Deborah Altomare; Jacqueline Talarchek; Erin Neumann-Domer; Yue Wu; Guang-Hui Xiao; Irina M Shapiro; Vihren N Kolev; Jonathan A Pachter; Andres J Klein-Szanto; Joseph R Testa
PUB24375753,10.1002/ana.24093,PMID:24375753,Sex Is a major determinant of neuronal dysfunction in neurofibromatosis type 1.,"OBJECTIVE: Children with neurofibromatosis-1 (NF1) are at risk for developing numerous nervous system abnormalities, including cognitive problems and brain tumors (optic pathway glioma). Currently, there are few prognostic factors that predict clinical manifestations or outcomes in patients, even in families with an identical NF1 gene mutation. In this study, we leveraged Nf1 genetically engineered mice (GEM) to define the potential role of sex as a clinically relevant modifier of NF1-associated neuronal dysfunction. METHODS: Deidentified clinical data were analyzed to determine the impact of sex on optic glioma-associated visual decline in children with NF1. In addition, Nf1 GEM were employed as experimental platforms to investigate sexually dimorphic differences in learning/memory, visual acuity, retinal ganglion cell (RGC) death, and Nf1 protein (neurofibromin)-regulated signaling pathway function (Ras activity, cyclic adenosine monophosphate [cAMP], and dopamine levels). RESULTS: Female patients with NF1-associated optic glioma were twice as likely to undergo brain magnetic resonance imaging for visual symptoms and 3× more likely to require treatment for visual decline than their male counterparts. As such, only female Nf1 GEM exhibited a decrement in optic glioma-associated visual acuity, shorter RGC axons, and attenuated cAMP levels. In contrast, only male Nf1 GEM showed spatial learning/memory deficits, increased Ras activity, and reduced dopamine levels. INTERPRETATION: Collectively, these observations establish sex as a major prognostic factor underlying neuronal dysfunction in NF1, and suggest that sex should be considered when interpreting future preclinical and clinical study results.",Annals of neurology,2014-02,Kelly A Diggs-Andrews; Jacquelyn A Brown; Scott M Gianino; Joshua B Rubin; David F Wozniak; David H Gutmann
PUB24465906,10.1371/journal.pone.0086115,PMID:24465906,"Multiscale, converging defects of macro-porosity, microstructure and matrix mineralization impact long bone fragility in NF1.","Bone fragility due to osteopenia, osteoporosis or debilitating focal skeletal dysplasias is a frequent observation in the Mendelian disease Neurofibromatosis type 1 (NF1). To determine the mechanisms underlying bone fragility in NF1 we analyzed two conditional mouse models, Nf1Prx1 (limb knock-out) and Nf1Col1 (osteoblast specific knock-out), as well as cortical bone samples from individuals with NF1. We examined mouse bone tissue with micro-computed tomography, qualitative and quantitative histology, mechanical tensile analysis, small-angle X-ray scattering (SAXS), energy dispersive X-ray spectroscopy (EDX), and scanning acoustic microscopy (SAM). In cortical bone of Nf1Prx1 mice we detected ectopic blood vessels that were associated with diaphyseal mineralization defects. Defective mineral binding in the proximity of blood vessels was most likely due to impaired bone collagen formation, as these areas were completely devoid of acidic matrix proteins and contained thin collagen fibers. Additionally, we found significantly reduced mechanical strength of the bone material, which was partially caused by increased osteocyte volume. Consistent with these observations, bone samples from individuals with NF1 and tibial dysplasia showed increased osteocyte lacuna volume. Reduced mechanical properties were associated with diminished matrix stiffness, as determined by SAM. In line with these observations, bone tissue from individuals with NF1 and tibial dysplasia showed heterogeneous mineralization and reduced collagen fiber thickness and packaging. Collectively, the data indicate that bone fragility in NF1 tibial dysplasia is partly due to an increased osteocyte-related micro-porosity, hypomineralization, a generalized defect of organic matrix formation, exacerbated in the regions of tensional and bending force integration, and finally persistence of ectopic blood vessels associated with localized macro-porotic bone lesions.",PloS one,2014,Jirko Kühnisch; Jong Seto; Claudia Lange; Susanne Schrof; Sabine Stumpp; Karolina Kobus; Julia Grohmann; Nadine Kossler; Peter Varga; Monika Osswald; Denise Emmerich; Sigrid Tinschert; Falk Thielemann; Georg Duda; Wenke Seifert; Thaqif El Khassawna; David A Stevenson; Florent Elefteriou; Uwe Kornak; Kay Raum; Peter Fratzl; Stefan Mundlos; Mateusz Kolanczyk
PUB24509877,10.1038/onc.2013.506,PMID:24509877,MAF mediates crosstalk between Ras-MAPK and mTOR signaling in NF1.,"Mutations in the neurofibromatosis type 1 (NF1) tumor suppressor gene are common in cancer and can cause resistance to therapy. Using transcriptome analysis we identified MAF as an NF1- regulated transcription factor and verified MAF regulation through RAS/MAPK/AP-1 signaling in malignant peripheral nerve sheath tumor (MPNST) cell lines. MAF was also downregulated in human MPNST. Acute re-expression of MAF promoted expression of glial differentiation markers in MPNST cells in vitro, decreased self-renewal of embryonic precursors and transiently affected tumor cell phenotypes in vitro by increasing MPNST cell death and reducing metabolic activity and anchorage-independent growth. Paradoxically, chronic MAF overexpression enhanced MPNST cell tumor growth in vivo, correlating with elevated pS6 in vitro and in vivo. RAD001 blocked MAF-mediated tumor growth, and MAF regulated the mTOR pathway through DEPTOR. MAPK inhibition with NF1 loss of function is predicted to show limited efficacy due to reactivation of mTOR signaling via MAF.",Oncogene,2014-12-04,M E Brundage; P Tandon; D W Eaves; J P Williams; S J Miller; R H Hennigan; A Jegga; T P Cripe; N Ratner
PUB24595234,10.1371/journal.pone.0090853,PMID:24595234,In vivo functional analysis of the human NF2 tumor suppressor gene in Drosophila.,"The proper control of tissue growth is essential during normal development and an important problem in human disease. Merlin, the product of the Neurofibromatosis 2 tumor suppressor gene, has been extensively studied to understand its functions in growth control. Here we describe experiments in which we used Drosophila as an in vivo system to test the functions of the normal human NF2 gene products and patient-derived mutant alleles. Although the predominant NF2 gene isoform, isoform 1, could functionally replace the Drosophila Merlin gene, a second isoform with a distinct C-terminal tail could not. Immunofluorescence studies show that the two isoforms have distinct subcellular localizations when expressed in the polarized imaginal epithelium, and function in genetic rescue assays correlates with apical localization of the NF2 protein. Interestingly, we found that a patient-derived missense allele, NF2L64P, appears to be temperature sensitive. These studies highlight the utility of Drosophila for in vivo functional analysis of highly conserved human disease genes.",PloS one,2014,Heather S Gavilan; Rima M Kulikauskas; David H Gutmann; Richard G Fehon
PUB24786638,10.1016/j.ygyno.2014.04.044,PMID:24786638,Analyses of merlin/NF2 connection to FAK inhibitor responsiveness in serous ovarian cancer.,"OBJECTIVE: Focal adhesion kinase (FAK) is overexpressed in serous ovarian cancer. Loss of merlin, a product of the neurofibromatosis 2 tumor suppressor gene, is being evaluated as a biomarker for FAK inhibitor sensitivity in mesothelioma. Connections between merlin and FAK in ovarian cancer remain undefined. METHODS: Nine human and two murine ovarian cancer cell lines were analyzed for growth in the presence of a small molecule FAK inhibitor (PF-271, also termed VS-6062) from 0.1 to 1 μM for 72 h. Merlin was evaluated by immunoblotting and immunostaining of a human ovarian tumor tissue array. Growth of cells was analyzed in an orthotopic tumor model and evaluated in vitro after stable shRNA-mediated merlin knockdown. RESULTS: Greater than 50% inhibition of OVCAR8, HEY, and ID8-IP ovarian carcinoma cell growth occurred with 0.1 μM PF-271 in anchorage-independent (p<0.001) but not in adherent culture conditions. PF-271-mediated reduction in FAK Y397 phosphorylation occurred independently of growth inhibition. Suspended growth of OVCAR3, OVCAR10, IGROV1, IGROV1-IP, SKOV3, SKOV3-IP, A2780, and 5009-MOVCAR was not affected by 0.1 μM PF-271. Merlin expression did not correlate with serous ovarian tumor grade or stage. PF-271 (30 mg/kg, BID) did not inhibit 5009-MOVCAR tumor growth and merlin knockdown in SKOV3-IP and OVCAR10 cells did not alter suspended cell growth upon PF-271 addition. CONCLUSIONS: Differential responsiveness to FAK inhibitor treatment was observed. Intrinsic low merlin protein level correlated with PF-271-mediated anchorage-independent growth inhibition, but reduction in merlin expression did not induce sensitivity to FAK inhibition. Merlin levels may be useful for patient stratification in FAK inhibitor trials.",Gynecologic oncology,2014-07,Nina R Shah; Isabelle Tancioni; Kristy K Ward; Christine Lawson; Xiao Lei Chen; Christine Jean; Florian J Sulzmaier; Sean Uryu; Nichol L G Miller; Denise C Connolly; David D Schlaepfer
PUB24817309,10.1371/journal.pone.0097320,PMID:24817309,Nf2/Merlin controls spinal cord neural progenitor function in a Rac1/ErbB2-dependent manner.,"OBJECTIVE: Individuals with the neurofibromatosis type 2 (NF2) cancer predisposition syndrome develop spinal cord glial tumors (ependymomas) that likely originate from neural progenitor cells. Whereas many spinal ependymomas exhibit indolent behavior, the only treatment option for clinically symptomatic tumors is surgery. In this regard, medical therapies are unfortunately lacking due to an incomplete understanding of the critical growth control pathways that govern the function of spinal cord (SC) neural progenitor cells (NPCs). METHODS: To identify potential therapeutic targets for these tumors, we leveraged primary mouse Nf2-deficient spinal cord neural progenitor cells. RESULTS: We demonstrate that the Nf2 protein, merlin, negatively regulates spinal neural progenitor cell survival and glial differentiation in an ErbB2-dependent manner, and that NF2-associated spinal ependymomas exhibit increased ErbB2 activation. Moreover, we show that Nf2-deficient SC NPC ErbB2 activation results from Rac1-mediated ErbB2 retention at the plasma membrane. SIGNIFICANCE: Collectively, these findings establish ErbB2 as a potential rational therapeutic target for NF2-associated spinal ependymoma.",PloS one,2014,Cynthia Garcia; David H Gutmann
PUB24824755,10.1371/journal.pone.0096733,PMID:24824755,BNIP3 regulates AT101 [(-)-gossypol] induced death in malignant peripheral nerve sheath tumor cells.,"Malignant peripheral nerve sheath tumors (MPNSTs) are aggressive Schwann cell-derived sarcomas and are the leading cause of mortality in patients with neurofibromatosis type 1 (NF1). Current treatment modalities have been largely ineffective, resulting in a high rate of MPNST recurrence and poor five-year patient survival. This necessitates the exploration of alternative chemotherapeutic options for MPNST patients. This study sought to assess the cytotoxic effect of the BH3-mimetic AT101 [(-)-gossypol] on MPNST cells in vitro and to identify key regulators of AT101-induced MPNST cell death. We found that AT101 caused caspase-independent, non-apoptotic MPNST cell death, which was accompanied by autophagy and was mediated through HIF-1α induced expression of the atypical BH3-only protein BNIP3. These effects were mediated by intracellular iron chelation, a previously unreported mechanism of AT101 cytotoxicity.",PloS one,2014,Niroop Kaza; Latika Kohli; Christopher D Graham; Barbara J Klocke; Steven L Carroll; Kevin A Roth
PUB24882693,10.1016/j.jmb.2014.05.011,PMID:24882693,Molecular conformation of the full-length tumor suppressor NF2/Merlin--a small-angle neutron scattering study.,"The tumor suppressor protein Merlin inhibits cell proliferation upon establishing cell-cell contacts. Because Merlin has high level of sequence similarity to the Ezrin-Radixin-Moesin family of proteins, the structural model of Ezrin-Radixin-Moesin protein autoinhibition and cycling between closed/resting and open/active conformational states is often employed to explain Merlin function. However, recent biochemical studies suggest alternative molecular models of Merlin function. Here, we have determined the low-resolution molecular structure and binding activity of Merlin and a Merlin(S518D) mutant that mimics the inactivating phosphorylation at S518 using small-angle neutron scattering and binding experiments. Small-angle neutron scattering shows that, in solution, both Merlin and Merlin(S518D) adopt a closed conformation, but binding experiments indicate that a significant fraction of either Merlin or Merlin(S518D) is capable of binding to the target protein NHERF1. Upon binding to the phosphatidylinositol 4,5-bisphosphate lipid, the wild-type Merlin adopts a more open conformation than in solution, but Merlin(S518D) remains in a closed conformation. This study supports a rheostat model of Merlin in NHERF1 binding and contributes to resolving a controversy about the molecular conformation and binding activity of Merlin.",Journal of molecular biology,2014-07-29,Jahan Ali Khajeh; Jeong Ho Ju; Moussoubaou Atchiba; Marc Allaire; Christopher Stanley; William T Heller; David J E Callaway; Zimei Bu
PUB24997609,10.1038/nm.3583,PMID:24997609,"Asfotase-α improves bone growth, mineralization and strength in mouse models of neurofibromatosis type-1.","Individuals with neurofibromatosis type-1 (NF1) can manifest focal skeletal dysplasias that remain extremely difficult to treat. NF1 is caused by mutations in the NF1 gene, which encodes the RAS GTPase-activating protein neurofibromin. We report here that ablation of Nf1 in bone-forming cells leads to supraphysiologic accumulation of pyrophosphate (PPi), a strong inhibitor of hydroxyapatite formation, and that a chronic extracellular signal-regulated kinase (ERK)-dependent increase in expression of genes promoting PPi synthesis and extracellular transport, namely Enpp1 and Ank, causes this phenotype. Nf1 ablation also prevents bone morphogenic protein-2-induced osteoprogenitor differentiation and, consequently, expression of alkaline phosphatase and PPi breakdown, further contributing to PPi accumulation. The short stature and impaired bone mineralization and strength in mice lacking Nf1 in osteochondroprogenitors or osteoblasts can be corrected by asfotase-α enzyme therapy aimed at reducing PPi concentration. These results establish neurofibromin as an essential regulator of bone mineralization. They also suggest that altered PPi homeostasis contributes to the skeletal dysplasias associated with NF1 and that some of the NF1 skeletal conditions could be prevented pharmacologically.",Nature medicine,2014-08,Jean de la Croix Ndong; Alexander J Makowski; Sasidhar Uppuganti; Guillaume Vignaux; Koichiro Ono; Daniel S Perrien; Simon Joubert; Serena R Baglio; Donatella Granchi; David A Stevenson; Jonathan J Rios; Jeffry S Nyman; Florent Elefteriou
PUB25026211,10.1016/j.ccr.2014.05.001,PMID:25026211,Merlin/NF2 loss-driven tumorigenesis linked to CRL4(DCAF1)-mediated inhibition of the hippo pathway kinases Lats1 and 2 in the nucleus.,"It is currently unclear whether Merlin/NF2 suppresses tumorigenesis by activating upstream components of the Hippo pathway at the plasma membrane or by inhibiting the E3 ubiquitin ligase CRL4(DCAF1) in the nucleus. We found that derepressed CRL4(DCAF1) promotes YAP- and TEAD-dependent transcription by ubiquitylating and, thereby, inhibiting Lats1 and 2 in the nucleus. Genetic epistasis experiments and analysis of tumor-derived missense mutations indicate that this signaling connection sustains the oncogenicity of Merlin-deficient tumor cells. Analysis of clinical samples confirms that this pathway operates in NF2-mutant tumors. We conclude that derepressed CRL4(DCAF1) promotes activation of YAP by inhibiting Lats1 and 2 in the nucleus.",Cancer cell,2014-07-14,Wei Li; Jonathan Cooper; Lu Zhou; Chenyi Yang; Hediye Erdjument-Bromage; David Zagzag; Matija Snuderl; Marc Ladanyi; C Oliver Hanemann; Pengbo Zhou; Matthias A Karajannis; Filippo G Giancotti
PUB25043298,10.1038/onc.2014.185,PMID:25043298,Oncogenic role of Merlin/NF2 in glioblastoma.,"Glioblastoma is the most common and aggressive primary brain tumor in adults, with a poor prognosis because of its resistance to radiotherapy and chemotherapy. Merlin/NF2 (moesin-ezrin-radixin-like protein/neurofibromatosis type 2) is a tumor suppressor found to be mutated in most nervous system tumors; however, it is not mutated in glioblastomas. Merlin associates with several transmembrane receptors and intracellular proteins serving as an anchoring molecule. Additionally, it acts as a key component of cell motility. By selecting sub-populations of U251 glioblastoma cells, we observed that high expression of phosphorylated Merlin at serine 518 (S518-Merlin), NOTCH1 and epidermal growth factor receptor (EGFR) correlated with increased cell proliferation and tumorigenesis. These cells were defective in cell-contact inhibition with changes in Merlin phosphorylation directly affecting NOTCH1 and EGFR expression, as well as downstream targets HES1 (hairy and enhancer of split-1) and CCND1 (cyclin D1). Of note, we identified a function for S518-Merlin, which is distinct from what has been reported when the expression of Merlin is diminished in relation to EGFR and NOTCH1 expression, providing first-time evidence that demonstrates that the phosphorylation of S518-Merlin in glioblastoma promotes oncogenic properties that are not only the result of inactivation of the tumor suppressor role of Merlin but also an independent process implicating a Merlin-driven regulation of NOTCH1 and EGFR.",Oncogene,2015-05-14,P A Guerrero; W Yin; L Camacho; D Marchetti
PUB25043591,10.1002/jbmr.2316,PMID:25043591,Combined MEK inhibition and BMP2 treatment promotes osteoblast differentiation and bone healing in Nf1Osx -/- mice.,"Neurofibromatosis type I (NF1) is an autosomal dominant disease with an incidence of 1/3000, caused by mutations in the NF1 gene, which encodes the RAS/GTPase-activating protein neurofibromin. Non-bone union after fracture (pseudarthrosis) in children with NF1 remains a challenging orthopedic condition to treat. Recent progress in understanding the biology of neurofibromin suggested that NF1 pseudarthrosis stems primarily from defects in the bone mesenchymal lineage and hypersensitivity of hematopoietic cells to TGFβ. However, clinically relevant pharmacological approaches to augment bone union in these patients remain limited. In this study, we report the generation of a novel conditional mutant mouse line used to model NF1 pseudoarthrosis, in which Nf1 can be ablated in an inducible fashion in osteoprogenitors of postnatal mice, thus circumventing the dwarfism associated with previous mouse models where Nf1 is ablated in embryonic mesenchymal cell lineages. An ex vivo-based cell culture approach based on the use of Nf1(flox/flox) bone marrow stromal cells showed that loss of Nf1 impairs osteoprogenitor cell differentiation in a cell-autonomous manner, independent of developmental growth plate-derived or paracrine/hormonal influences. In addition, in vitro gene expression and differentiation assays indicated that chronic ERK activation in Nf1-deficient osteoprogenitors blunts the pro-osteogenic property of BMP2, based on the observation that only combination treatment with BMP2 and MEK inhibition promoted the differentiation of Nf1-deficient osteoprogenitors. The in vivo preclinical relevance of these findings was confirmed by the improved bone healing and callus strength observed in Nf1osx (-/-) mice receiving Trametinib (a MEK inhibitor) and BMP2 released locally at the fracture site via a novel nanoparticle and polyglycidol-based delivery method. Collectively, these results provide novel evidence for a cell-autonomous role of neurofibromin in osteoprogenitor cells and insights about a novel targeted approach for the treatment of NF1 pseudoarthrosis.",Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2015-01,Jean de la Croix Ndong; David M Stevens; Guillaume Vignaux; Sasidhar Uppuganti; Daniel S Perrien; Xiangli Yang; Jeffry S Nyman; Eva Harth; Florent Elefteriou
PUB25329635,10.1371/journal.pgen.1004575,PMID:25329635,Genetic modifiers of neurofibromatosis type 1-associated café-au-lait macule count identified using multi-platform analysis.,"Neurofibromatosis type 1 (NF1) is an autosomal dominant, monogenic disorder of dysregulated neurocutaneous tissue growth. Pleiotropy, variable expressivity and few NF1 genotype-phenotype correlates limit clinical prognostication in NF1. Phenotype complexity in NF1 is hypothesized to derive in part from genetic modifiers unlinked to the NF1 locus. In this study, we hypothesized that normal variation in germline gene expression confers risk for certain phenotypes in NF1. In a set of 79 individuals with NF1, we examined the association between gene expression in lymphoblastoid cell lines with NF1-associated phenotypes and sequenced select genes with significant phenotype/expression correlations. In a discovery cohort of 89 self-reported European-Americans with NF1 we examined the association between germline sequence variants of these genes with café-au-lait macule (CALM) count, a tractable, tumor-like phenotype in NF1. Two correlated, common SNPs (rs4660761 and rs7161) between DPH2 and ATP6V0B were significantly associated with the CALM count. Analysis with tiled regression also identified SNP rs4660761 as significantly associated with CALM count. SNP rs1800934 and 12 rare variants in the mismatch repair gene MSH6 were also associated with CALM count. Both SNPs rs7161 and rs4660761 (DPH2 and ATP6V0B) were highly significant in a mega-analysis in a combined cohort of 180 self-reported European-Americans; SNP rs1800934 (MSH6) was near-significant in a meta-analysis assuming dominant effect of the minor allele. SNP rs4660761 is predicted to regulate ATP6V0B, a gene associated with melanosome biology. Individuals with homozygous mutations in MSH6 can develop an NF1-like phenotype, including multiple CALMs. Through a multi-platform approach, we identified variants that influence NF1 CALM count.",PLoS genetics,2014-10,Alexander Pemov; Heejong Sung; Paula L Hyland; Jennifer L Sloan; Sarah L Ruppert; Andrea M Baldwin; Joseph F Boland; Sara E Bass; Hyo Jung Lee; Kristine M Jones; Xijun Zhang; James C Mullikin; Brigitte C Widemann; Alexander F Wilson; Douglas R Stewart
PUB25340526,10.1371/journal.pone.0107760,PMID:25340526,Nilotinib is more potent than imatinib for treating plexiform neurofibroma in vitro and in vivo.,"Plexiform neurofibromas (PNFs) are benign nerve sheath tumors mostly associated with neurofibromatosis type 1. They often extend through multiple layers of tissue and therefore cannot be treated satisfactorily by surgery. Nilotinib is a tyrosine kinase inhibitor used to treat leukemia, with advantages over the prototype imatinib in terms of potency and selectivity towards BCR-ABL, and the DDR, PDGFR, and KIT receptor kinases. In this study, we compared efficacies of the two drugs on cultured cells of PNF in vitro and on xenografted tumor fragments on sciatic nerve of athymic nude mice. Xenografts were monitored weekly using a high resolution ultrasound measurement. Treatment with nilotinib at a daily dose of 100 mg/kg for four weeks led to a reduction of the graft sizesstd by 68±7% in the 8 treated mice, significantly more than the 33±8% reduction in the 8 untreated mice (P<0.05) and the 47±15% in the 7 mice treated with imatinib (P<0.05). The peak plasma nilotinib concentration 6.6±1.1 µM is within the pharmacological range of clinical application. Imatinib, but not nilotinib significantly hindered body weight increase of the mice and elevated cytotoxicity of mouse spleen cells (P<0.05). Our results suggest that nilotinib may be more potent than imatinib for treating PNFs and may also be better tolerated. Imatinib seems to have some off-target effect in elevating immunity.",PloS one,2014,Jiang Wei; Marcus Freytag; Yvonne Schober; Wolfgang A Nockher; Victor F Mautner; Reinhard E Friedrich; Paul W Manley; Lan Kluwe; Andreas Kurtz
PUB25433207,10.1016/j.ydbio.2014.11.017,PMID:25433207,Nf2-Yap signaling controls the expansion of DRG progenitors and glia during DRG development.,"Molecular mechanisms governing the maintenance and proliferation of dorsal root ganglia (DRG) progenitors are largely unknown. Here we reveal that the Hippo pathway regulates the expansion of DRG progenitors and glia during mammalian DRG development. The key effectors of this pathway, transcriptional coactivators Yap and Taz, are expressed in DRG progenitors and glia during DRG development but are at least partially inhibited from activating transcription. Aberrant YAP activation leads to overexpansion of DRG progenitor and glial populations. We further show that the Neurofibromatosis 2 (Nf2) tumor suppressor inhibits Yap during DRG development. Loss of Nf2 leads to similar phenotypes as does YAP hyperactivation, and deleting Yap suppresses these phenotypes. Our study demonstrates that Nf2-Yap signaling plays important roles in controlling the expansion of DRG progenitors and glia during DRG development.",Developmental biology,2015-02-01,Yelda Serinagaoglu; Joshua Paré; Marco Giovannini; Xinwei Cao
PUB25535838,10.7554/eLife.05151,PMID:25535838,Transient inhibition of the ERK pathway prevents cerebellar developmental defects and improves long-term motor functions in murine models of neurofibromatosis type 1.,"Individuals with neurofibromatosis type 1 (NF1) frequently exhibit cognitive and motor impairments and characteristics of autism. The cerebellum plays a critical role in motor control, cognition, and social interaction, suggesting that cerebellar defects likely contribute to NF1-associated neurodevelopmental disorders. Here we show that Nf1 inactivation during early, but not late stages of cerebellar development, disrupts neuronal lamination, which is partially caused by overproduction of glia and subsequent disruption of the Bergmann glia (BG) scaffold. Specific Nf1 inactivation in glutamatergic neuronal precursors causes premature differentiation of granule cell (GC) precursors and ectopic production of unipolar brush cells (UBCs), indirectly disrupting neuronal migration. Transient MEK inhibition during a neonatal window prevents cerebellar developmental defects and improves long-term motor performance of Nf1-deficient mice. This study reveals essential roles of Nf1 in GC/UBC migration by generating correct numbers of glia and controlling GC/UBC fate-specification/differentiation, identifying a therapeutic prevention strategy for multiple NF1-associcated developmental abnormalities.",eLife,2014-12-23,Edward Kim; Yuan Wang; Sun-Jung Kim; Miriam Bornhorst; Emmanuelle S Jecrois; Todd E Anthony; Chenran Wang; Yi E Li; Jun-Lin Guan; Geoffrey G Murphy; Yuan Zhu
