_pmid,_doi,_publicationTitle,_year,_context,_confidence,_verdict,_usageType,targetAntigen
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,"stained with anti-HLA-DR Percp-cy5.5 (eBioscience, 0.015 µg/test, San Diego, CA, USA), anti-CD33 APC (eBioscience, 0.125 µg/test)",0.9,Accept,Experimental Usage,"anti-HLA-DR Percp-cy5.5 (eBioscience, 0.015 µg/test, San Diego, CA, USA)"
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,"stained with anti-HLA-DR Percp-cy5.5 (eBioscience, 0.015 µg/test, San Diego, CA, USA), anti-CD33 APC (eBioscience, 0.125 µg/test)",0.9,Accept,Experimental Usage,"anti-CD33 APC (eBioscience, 0.125 µg/test)"
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,"anti-CD33 APC (eBioscience, 0.125 µg/test), and anti-CD11b FITC antibodies (eBioscience, 0.5 µg/test), along with corresponding isotype controls",0.9,Accept,Experimental Usage,"anti-CD11b FITC antibodies (eBioscience, 0.5 µg/test)"
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,"incubated at 4 °C overnight with diluted (1:1000) primary antibodies against CD9 (Proteintech, 60232-1-Ig, Wuhan, China)",0.9,Accept,Experimental Usage,"CD9 (Proteintech, 60232-1-Ig, Wuhan, China)"
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,"primary antibodies against CD9 (Proteintech, 60232-1-Ig, Wuhan, China), CD81 (Proteintech, 66866-1-Ig), TOMM20 (Proteintech, 11802-1-AP)",0.9,Accept,Experimental Usage,"CD81 (Proteintech, 66866-1-Ig)"
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,"CD81 (Proteintech, 66866-1-Ig), TOMM20 (Proteintech, 11802-1-AP), HSP90 (Proteintech, 13171-1-AP)",0.9,Accept,Experimental Usage,"TOMM20 (Proteintech, 11802-1-AP)"
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,"TOMM20 (Proteintech, 11802-1-AP), HSP90 (Proteintech, 13171-1-AP), AKT (CST, #9272S, Danvers, MA, USA)",0.9,Accept,Experimental Usage,"HSP90 (Proteintech, 13171-1-AP)"
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,"HSP90 (Proteintech, 13171-1-AP), AKT (CST, #9272S, Danvers, MA, USA), p-AKT (CST, #4051S)",0.9,Accept,Experimental Usage,"AKT (CST, #9272S, Danvers, MA, USA)"
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,"AKT (CST, #9272S, Danvers, MA, USA), p-AKT (CST, #4051S), ERK (CST, #4695)",0.9,Accept,Experimental Usage,"p-AKT (CST, #4051S)"
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,"p-AKT (CST, #4051S), ERK (CST, #4695), p-ERK (CST, #9101S)",0.9,Accept,Experimental Usage,"ERK (CST, #4695)"
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,"ERK (CST, #4695), p-ERK (CST, #9101S), following by incubation with appropriate HRP-conjugated secondary antibody",0.9,Accept,Experimental Usage,"p-ERK (CST, #9101S)"
PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,"...Western blot analyses were performed using anti-total and anti-phospho Erk1/2 (Cell Signaling, Danvers, MA, USA) antibodies...",0.85,Accept,Experimental Usage,anti-total Erk1/2 antibody
PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,"...Western blot analyses were performed using anti-total and anti-phospho Erk1/2 (Cell Signaling, Danvers, MA, USA) antibodies...",0.85,Accept,Experimental Usage,anti-phospho Erk1/2 antibody
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,"...Primary antibodies (Cell Signaling Technology) used for Western blotting were FLAG (rabbit, 14793)...",0.9,Accept,Experimental Usage,"FLAG antibody (rabbit, 14793)"
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,"...V5 (rabbit, 13202)...",0.9,Accept,Experimental Usage,"V5 antibody (rabbit, 13202)"
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,"...and HA (rabbit, 3724)...",0.9,Accept,Experimental Usage,"HA antibody (rabbit, 3724)"
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,...probed with a series of antibodies: pEGFR (Cell Signaling 3777)...,0.9,Accept,Experimental Usage,pEGFR antibody (Cell Signaling 3777)
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,...vinculin (Cell Signaling 19301)...,0.9,Accept,Experimental Usage,vinculin antibody (Cell Signaling 19301)
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,...HA-tag (Cell Signaling 2367)...,0.9,Accept,Experimental Usage,HA-tag antibody (Cell Signaling 2367)
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,...V5-tag (Cell Signaling 1320S)...,0.9,Accept,Experimental Usage,V5-tag antibody (Cell Signaling 1320S)
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,"...FLAG-tag (Sigma, F1804)...",0.9,Accept,Experimental Usage,"FLAG-tag antibody (Sigma, F1804)"
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,...KRAS (Sigma/Novus Biologicals WH0003845M1/H0003845M1)...,0.9,Accept,Experimental Usage,KRAS antibody (Sigma/Novus Biologicals WH0003845M1/H0003845M1)
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,The primary antibodies and dilutions used were goat anti-collagen IV (Millipore AB769; 1:500),0.95,Accept,Experimental Usage,goat anti-collagen IV (Millipore AB769)
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,mouse anti-MyHC type 1 (DSHB BA-D5; 1:500),0.95,Accept,Experimental Usage,mouse anti-MyHC type 1 (DSHB BA-D5)
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,mouse anti-MyHC type 2A (DSHB SC-71; 1:200),0.95,Accept,Experimental Usage,mouse anti-MyHC type 2A (DSHB SC-71)
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,rabbit anti-laminin (Sigma-Aldrich L9393; 1:500),0.95,Accept,Experimental Usage,rabbit anti-laminin (Sigma-Aldrich L9393)
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,mouse anti-Pax7 (DSHB Pax7; 1:10),0.95,Accept,Experimental Usage,mouse anti-Pax7 (DSHB Pax7)
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,mouse anti-myosin heavy chain (Sigma-Aldrich 05-716; 1:1000),0.95,Accept,Experimental Usage,mouse anti-myosin heavy chain (Sigma-Aldrich 05-716)
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,anti-beta III tubulin antibody (Sigma-Aldrich AB9354; 1:500),0.95,Accept,Experimental Usage,anti-beta III tubulin antibody (Sigma-Aldrich AB9354)
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,anti-perilipin A/B antibody (Sigma-Aldrich p1873; 1:250),0.95,Accept,Experimental Usage,anti-perilipin A/B antibody (Sigma-Aldrich p1873)
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,Antibodies used were rabbit anti-PPARG (Cell Signaling Technology 2443),0.95,Accept,Experimental Usage,rabbit anti-PPARG (Cell Signaling Technology 2443)
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,rabbit anti-phosphor (pThr172) AMPKa (Cell Signaling Technology 2535),0.95,Accept,Experimental Usage,rabbit anti-phosphor (pThr172) AMPKa (Cell Signaling Technology 2535)
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,rabbit anti-AMPKα (Cell Signaling Technology 2532),0.95,Accept,Experimental Usage,rabbit anti-AMPKα (Cell Signaling Technology 2532)
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,mouse anti-β-actin (Cell Signaling Technology 58169),0.95,Accept,Experimental Usage,mouse anti-β-actin (Cell Signaling Technology 58169)
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,mouse anti-β-tubulin (Sigma-Aldrich T8328),0.95,Accept,Experimental Usage,mouse anti-β-tubulin (Sigma-Aldrich T8328)
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,rabbit anti-phosphor (s235/236) S6 (Cell Signaling Technology 4858),0.95,Accept,Experimental Usage,rabbit anti-phosphor (s235/236) S6 (Cell Signaling Technology 4858)
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,mouse anti-MyHC type 2B (DSHB BF-F3),0.95,Accept,Experimental Usage,mouse anti-MyHC type 2B (DSHB BF-F3)
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,"rabbit anti-phosphor (Ser473) AKT (Cell Signaling, #9271; 1:1000)",0.95,Accept,Experimental Usage,"rabbit anti-phosphor (Ser473) AKT (Cell Signaling, #9271)"
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,"rabbit anti-phospho (Ser1101) IRS-1 (Cell Signaling, #2385; 1:1000)",0.95,Accept,Experimental Usage,"rabbit anti-phospho (Ser1101) IRS-1 (Cell Signaling, #2385)"
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,"rabbit anti-phospho (Ser636/639) IRS-1 (Cell Signaling, #2388; 1:1000)",0.95,Accept,Experimental Usage,"rabbit anti-phospho (Ser636/639) IRS-1 (Cell Signaling, #2388)"
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,"incubated with anti-DIG-Fab antibody coupled to alkaline phosphatase (Roche, 11093274910) in blocking solution",0.95,Accept,Experimental Usage,"anti-DIG-Fab antibody coupled to alkaline phosphatase (Roche, 11093274910)"
PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,"N-, K-, and H-RAS were detected with a 1:100 dilution of murine monoclonal pan-RAS antibody (BD Biosciences, San Diego, CA, USA, product #610002)",0.9,Accept,Experimental Usage,"pan-RAS antibody (BD Biosciences, product #610002)"
PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,"N-RAS was detected with a 1:400 dilution of a rabbit polyclonal N-RAS antibody (Santa Cruz, CA, USA, product #sc-519)",0.9,Accept,Experimental Usage,"N-RAS antibody (Santa Cruz, product #sc-519)"
PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,"RAB5A was detected with a 1:250 dilution of a rabbit polyclonal RAB5A antibody (Santa Cruz, Santa Cruz, CA, USA, product #sc-309)",0.9,Accept,Experimental Usage,"RAB5A antibody (Santa Cruz, product #sc-309)"
PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,"Non-prenylated RAP1A was detected with a 1:250 dilution of a goat polyclonal RAP1A antibody (Santa Cruz, product #1482)",0.9,Accept,Experimental Usage,"RAP1A antibody (Santa Cruz, product #1482)"
PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,"GAPDH was detected with a 1:1000 dilution of rabbit polyclonal antibody to GAPDH (Cell Signaling, Boston, MA, USA, product #2118)",0.85,Accept,Experimental Usage,"GAPDH antibody (Cell Signaling, product #2118)"
PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,"β-actin was detected with a 1:25,000 dilution of murine monoclonal antibody to β-actin (Sigma, St. Louis, MI, USA, product #A5441)",0.85,Accept,Experimental Usage,"β-actin antibody (Sigma, product #A5441)"
PMID:25851896,10.3988/jcn.2015.11.2.172,Preclinical assessment of the anticancer drug response of plexiform neurofibroma tissue using primary cultures.,,"cells were incubated with 2 µg/mL rabbit anti-human S100 antibody (DAKO, Glostrup, Denmark), 10 µg/mL secondary fluorescein isothiocyanate (FITC)-conjugated anti-rabbit antibody",0.9,Accept,Experimental Usage,"rabbit anti-human S100 antibody (DAKO, Glostrup, Denmark)"
PMID:25851896,10.3988/jcn.2015.11.2.172,Preclinical assessment of the anticancer drug response of plexiform neurofibroma tissue using primary cultures.,,"To stain fibroblasts, cells were incubated with 2 µg/mL anti-human CD90 antibody (Dianova, Hamburg, Germany), 2 µg/mL secondary FITC-conjugated goat anti-mouse IgG",0.9,Accept,Experimental Usage,"anti-human CD90 antibody (Dianova, Hamburg, Germany)"
PMID:25851896,10.3988/jcn.2015.11.2.172,Preclinical assessment of the anticancer drug response of plexiform neurofibroma tissue using primary cultures.,,"10 µg/mL secondary fluorescein isothiocyanate (FITC)-conjugated anti-rabbit antibody (DAKO). To stain fibroblasts, cells were incubated with",0.85,Accept,Experimental Usage,secondary fluorescein isothiocyanate (FITC)-conjugated anti-rabbit antibody (DAKO)
PMID:25851896,10.3988/jcn.2015.11.2.172,Preclinical assessment of the anticancer drug response of plexiform neurofibroma tissue using primary cultures.,,"2 µg/mL secondary FITC-conjugated goat anti-mouse IgG (DAKO). The nuclei were counterstained using 4',6-diamidino-2-phenylindole",0.85,Accept,Experimental Usage,secondary FITC-conjugated goat anti-mouse IgG (DAKO)
PMID:39110684,10.1371/journal.pone.0308207,Electrical stimulation of Schwann cells on electrospun hyaluronic acid carbon nanotube fibers.,,Schwann cells were incubated with antibody against s-100b (Sigma) as the primary overnight at 1:400 ratio,0.85,Accept,Experimental Usage,s-100b antibody (Sigma)
PMID:39110684,10.1371/journal.pone.0308207,Electrical stimulation of Schwann cells on electrospun hyaluronic acid carbon nanotube fibers.,,"treated with anti-rabbit IgG as secondary (Alexa Fluro 594, Invitrogen) for 2 hours at 1:1000 ratio",0.85,Accept,Experimental Usage,"anti-rabbit IgG (Alexa Fluro 594, Invitrogen)"
PMID:27956228,10.1053/j.gastro.2016.12.002,Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kinase as Suppressors of Liver Tumors in Mice.,,"1:400 anti-Hmga2 (Biocheck), 1:100 anti-beta-Catenin (BD bioscience), 1:100 anti-Ck19 (Abcam)",0.9,Accept,Experimental Usage,anti-Hmga2 antibody (Biocheck)
PMID:27956228,10.1053/j.gastro.2016.12.002,Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kinase as Suppressors of Liver Tumors in Mice.,,"1:400 anti-Hmga2 (Biocheck), 1:100 anti-beta-Catenin (BD bioscience), 1:100 anti-Ck19 (Abcam)",0.85,Accept,Experimental Usage,anti-beta-Catenin antibody (BD bioscience)
PMID:27956228,10.1053/j.gastro.2016.12.002,Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kinase as Suppressors of Liver Tumors in Mice.,,"1:400 anti-Hmga2 (Biocheck), 1:100 anti-beta-Catenin (BD bioscience), 1:100 anti-Ck19 (Abcam)",0.85,Accept,Experimental Usage,anti-Ck19 antibody (Abcam)
PMID:27956228,10.1053/j.gastro.2016.12.002,Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kinase as Suppressors of Liver Tumors in Mice.,,"1:1000 anti-Hmga2 (Biocheck); 1:1000 anti-Sox9 (Millipore); 1:10,000 anti-Hsp90 (BD Biosciences)",0.85,Accept,Experimental Usage,anti-Sox9 antibody (Millipore)
PMID:27956228,10.1053/j.gastro.2016.12.002,Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kinase as Suppressors of Liver Tumors in Mice.,,"1:1000 anti-Sox9 (Millipore); 1:10,000 anti-Hsp90 (BD Biosciences); 1:1000 anti-Ck19 (Troma)",0.85,Accept,Experimental Usage,anti-Hsp90 antibody (BD Biosciences)
PMID:27956228,10.1053/j.gastro.2016.12.002,Genome-Wide CRISPR Screen Identifies Regulators of Mitogen-Activated Protein Kinase as Suppressors of Liver Tumors in Mice.,,1:1000 anti-Ck19 (Troma); 1:1000 anti-pErk (Cell Signaling),0.85,Accept,Experimental Usage,anti-pErk antibody (Cell Signaling)
PMID:24595234,10.1371/journal.pone.0090853,In vivo functional analysis of the human NF2 tumor suppressor gene in Drosophila.,,"Mouse anti-Flag (Sigma-Aldrich) was used at 1∶20,000",0.95,Accept,Experimental Usage,Mouse anti-Flag (Sigma-Aldrich)
PMID:24595234,10.1371/journal.pone.0090853,In vivo functional analysis of the human NF2 tumor suppressor gene in Drosophila.,,guinea-pig anti-Merlin [8] was used at 1∶5000,0.9,Accept,Experimental Usage,guinea-pig anti-Merlin
PMID:24595234,10.1371/journal.pone.0090853,In vivo functional analysis of the human NF2 tumor suppressor gene in Drosophila.,,Secondary antibodies (Jackson ImmunoResearch) were diluted 1∶1000,0.8,Accept,Experimental Usage,Jackson ImmunoResearch
PMID:40394150,10.1038/s41416-025-03055-9,Mass spectrometric insights into the protein composition of human cutaneous neurofibromas: comparison of neurofibromas with the overlying skin.,,...followed by a 12-min incubation with the CONFIRM anti-Ki67 (clone 30-9) rabbit monoclonal primary antibody (Roche) and detection with the UltraView Universal DAB detection kit...,0.95,Accept,Experimental Usage,CONFIRM anti-Ki67 (clone 30-9) rabbit monoclonal primary antibody (Roche)
PMID:40394150,10.1038/s41416-025-03055-9,Mass spectrometric insights into the protein composition of human cutaneous neurofibromas: comparison of neurofibromas with the overlying skin.,,"...followed by an incubation with polyclonal anti-collagen XV (Sigma-Aldrich, HPA017913, 1:1000) or in-house monoclonal anti-collagen XVIII...",0.95,Accept,Experimental Usage,"polyclonal anti-collagen XV (Sigma-Aldrich, HPA017913)"
PMID:40394150,10.1038/s41416-025-03055-9,Mass spectrometric insights into the protein composition of human cutaneous neurofibromas: comparison of neurofibromas with the overlying skin.,,"...or in-house monoclonal anti-collagen XVIII (ref. [ 46 ], DB144-N2, 7 µg/ml) primary antibody...",0.9,Accept,Experimental Usage,monoclonal anti-collagen XVIII (DB144-N2)
PMID:21726432,10.1186/1741-7015-9-82,MIA is a potential biomarker for tumour load in neurofibromatosis type 1.,,"...stained with monoclonal anti-human MIA antibody (R&D Systems, McKinley Place NE, Minneapolis) diluted at 1:40...",0.9,Accept,Experimental Usage,monoclonal anti-human MIA antibody (R&D Systems)
PMID:19191334,10.1002/glia.20845,Microarray analyses reveal regional astrocyte heterogeneity with implications for neurofibromatosis type 1 (NF1)-regulated glial proliferation.,,"Immunofluorescence staining was performed using the following primary antibodies: GFAP (Sigma; St. Louis, MO)",0.9,Accept,Experimental Usage,GFAP antibody (Sigma)
PMID:19191334,10.1002/glia.20845,Microarray analyses reveal regional astrocyte heterogeneity with implications for neurofibromatosis type 1 (NF1)-regulated glial proliferation.,,"AQP4, NG2, O4, LHX2 (Chemicon International; Temecula, CA)",0.9,Accept,Experimental Usage,AQP4 antibody (Chemicon)
PMID:19191334,10.1002/glia.20845,Microarray analyses reveal regional astrocyte heterogeneity with implications for neurofibromatosis type 1 (NF1)-regulated glial proliferation.,,"AQP4, NG2, O4, LHX2 (Chemicon International; Temecula, CA)",0.9,Accept,Experimental Usage,NG2 antibody (Chemicon)
PMID:19191334,10.1002/glia.20845,Microarray analyses reveal regional astrocyte heterogeneity with implications for neurofibromatosis type 1 (NF1)-regulated glial proliferation.,,"AQP4, NG2, O4, LHX2 (Chemicon International; Temecula, CA)",0.9,Accept,Experimental Usage,O4 antibody (Chemicon)
PMID:19191334,10.1002/glia.20845,Microarray analyses reveal regional astrocyte heterogeneity with implications for neurofibromatosis type 1 (NF1)-regulated glial proliferation.,,"AQP4, NG2, O4, LHX2 (Chemicon International; Temecula, CA)",0.9,Accept,Experimental Usage,LHX2 antibody (Chemicon)
PMID:19191334,10.1002/glia.20845,Microarray analyses reveal regional astrocyte heterogeneity with implications for neurofibromatosis type 1 (NF1)-regulated glial proliferation.,,"APC (Calbiochem; San Diego, CA)",0.9,Accept,Experimental Usage,APC antibody (Calbiochem)
