resourceId,softwareName,softwareType,softwareVersion,programmingLanguage,sourceRepository,documentation,licenseType,containerized,maintainer,_resourceName,_pmid,_doi,_publicationTitle,_year,_context,_confidence,_verdict,_usageType
RESa45c6985,Splice Site Prediction by Neural Network (SSPNN),Web Application,,,,,,,,Splice Site Prediction by Neural Network (SSPNN),PMID:12057013,10.1186/1471-2164-3-13,Complex splicing pattern generates great diversity in human NF1 transcripts.,,"The sequence environment of all donor- and acceptor sites was analysed using Splice Site Prediction by Neural Network (SSPNN, URL address:",0.9,Accept,Experimental Usage
RES1a4561b4,mfold computer program version 3.0,Analysis Software,3.0,,,,,,,mfold computer program version 3.0,PMID:12057013,10.1186/1471-2164-3-13,Complex splicing pattern generates great diversity in human NF1 transcripts.,,The mfold computer program version 3.0 was used to predict the RNA secondary structure and to calculate the folding free energy,0.95,Accept,Experimental Usage
RES80c1ffab,Agilent Seahorse XF-96,Analysis Software,,,,,,,,Agilent Seahorse XF-96,PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,We measured cellular energetics using Agilent Seahorse XF-96 Glyco Stress Test and Mito Stress Test assays,0.9,Accept,Experimental Usage
RESc4802159,STAR v2.7.8a,Analysis Software,v2.7.8a,,,,,,,STAR v2.7.8a,PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,GENCODE was used to map FASTQ files to GRCh38 (release 33 with STAR v2.7.8a basic two-pass mode),0.9,Accept,Experimental Usage
RES5402ec17,iDEP 9.1,Analysis Software,9.1,,,,,,,iDEP 9.1,PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,principal component analysis was computed using iDEP 9.1,0.9,Accept,Experimental Usage
RES046589af,Trim Galore v0.6.0,Analysis Software,v0.6.0,,,,,,,Trim Galore v0.6.0,PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,Trim Galore v0.6.0 was used to trim sequencing adapters from demultiplexed FASTQ files,0.9,Accept,Experimental Usage
RESdbdd1f9b,LipidSearch v5.0,Analysis Software,v5.0,,,,,,,LipidSearch v5.0,PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"Lipid identifications were assigned using LipidSearch (v5.0, Thermo Fisher Scientific)",0.9,Accept,Experimental Usage
RESe820b002,Compound Discoverer v3.2,Analysis Software,v3.2,,,,,,,Compound Discoverer v3.2,PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"Data was analyzed using Compound Discoverer (v 3.2, Thermo Fisher Scientific)",0.9,Accept,Experimental Usage
RES531667ca,SynergyFinder R package,Package/Library,,R,,,,,,SynergyFinder R package,PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,Synergy was calculated using the SynergyFinder R package,0.9,Accept,Experimental Usage
RES0f795f65,CEAS R Package,Package/Library,,R,,,,,,CEAS R Package,PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"ATP metrics were calculated following Mookerjee et al., 2017 and using the CEAS R Package",0.9,Accept,Experimental Usage
RESf380cc7b,FactoMineR R package,Package/Library,,R,,,,,,FactoMineR R package,PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,PCA analysis was performed using the FactoMineR R package,0.9,Accept,Experimental Usage
RES792edde3,FlowJo software,Analysis Software,X10.0.7,,,,,,,FlowJo software,PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,data were processed with FlowJo software (version X10.0.7),0.85,Accept,Experimental Usage
RES9e99cde6,Orbitrap Fusion Lumos mass spectrometer,Analysis Software,,,,,,,,Orbitrap Fusion Lumos mass spectrometer,PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,"An Orbitrap Fusion Lumos mass spectrometer (Thermo Fisher Scientific Inc., Waltham, MA, USA)",0.9,Accept,Experimental Usage
RES635e70f9,SEDFIT 16.1,Analysis Software,16.1,,,,,,,SEDFIT 16.1,PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,Time-corrected data were analyzed in SEDFIT 16.1 in terms of a continuous c(s) distribution of sedimenting species,0.9,Accept,Experimental Usage
RES7b511162,SEDPHAT 14.0,Analysis Software,14.0,,,,,,,SEDPHAT 14.0,PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,Data were analyzed globally in terms of a single noninteracting species in SEDPHAT 14.0 to obtain the molar mass,0.9,Accept,Experimental Usage
RESbaadc961,EMAN2 e2boxer,Analysis Software,,,,,,,,EMAN2 e2boxer,PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,Negatively-stained neurofibromin particles were autopicked using EMAN2 e2boxer using a box size of 326 pixels,0.9,Accept,Experimental Usage
RES317c1cc6,Sphire,Package/Library,,,,,,,,Sphire,PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,Reference-free 2D classification was carried out using the Iterative Stable Alignment and Clustering (ISAC) procedure implemented in a Sphire package,0.9,Accept,Experimental Usage
RES81980efb,ATSAS,Package/Library,,,,,,,,ATSAS,PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,The reduced SAXS and SANS data were analyzed using the ATSAS tools PRIMUS and GNOM for Guinier and P(r) analysis,0.9,Accept,Experimental Usage
RES45fb0b54,STAR 2.4.2a,Analysis Software,2.4.2a,,,,,,,STAR 2.4.2a,PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,Mapping was performed using STAR 2.4.2a software with mouse genome (mm9),0.9,Accept,Experimental Usage
RESac71d7d2,GSEA software 4.0.1,Analysis Software,4.0.1,,,,,,,GSEA software 4.0.1,PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,Gene set enrichment analysis (GSEA) was performed with the entire gene list using GSEA software 4.0.1 desktop (Broad Institute),0.9,Accept,Experimental Usage
RES0a763b47,DAVID 6.8,Web Application,6.8,,,,,,,DAVID 6.8,PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,KEGG and gene ontology (GO) enrichment analysis was performed using the Signature Database (MSigDB) and DAVID 6.8,0.9,Accept,Experimental Usage
RES3c179eb9,MaxQuant (v1.5.3.30),Analysis Software,v1.5.3.30,,,,,,,MaxQuant (v1.5.3.30),PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,Five micrograms of each SCX fraction and a non-fractioned sample were used for proteome profiling and analysed by MaxQuant (v1.5.3.30),0.9,Accept,Experimental Usage
RES572e3d0c,AxioVision 4.6 software,Analysis Software,4.6,,,,,,,AxioVision 4.6 software,PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,Imaging was performed using a Zeiss Stereo Discovery V12 and the AxioVision 4.6 software (Zeiss),0.85,Accept,Experimental Usage
RES02458b5f,BwaMem,Analysis Software,v0.7.12,,,,,,,BwaMem,PMID:33025139 | PMID:32369930 | PMID:28051113 | PMID:36598417,10.1007/s00401-020-02230-x | 10.3390/genes11050499 | 10.1038/srep39348 | 10.1158/2159-8290.CD-22-0786,"Epigenomic, genomic, and transcriptomic landscape of schwannomatosis. | Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST. | A comprehensive custom panel design for routine hereditary cancer testing: preserving control, improving diagnostics and revealing a complex variation landscape. | Genomic Patterns of Malignant Peripheral Nerve Sheath Tumor (MPNST) Evolution Correlate with Clinical Outcome and Are Detectable in Cell-Free DNA.",,WGS data were aligned against hg19 using BwaMem v0.7.12 | Genomic data were aligned against reference sequence hg38 via BWA-MEM with Base Quality Score Recalibration (BQSR) | fastq files were mapped against the GRCh37 human genome assembly...using BWA mem | Amplicon reads were aligned against the human reference genome hg19 with BWA MEM | Raw sequencing reads were mapped to the GRCh38 build of the human reference genome using BWA-MEM (46) version 0.7.17-r1188,0.95,Accept,Experimental Usage
RES3e66f1c9,manta,Analysis Software,,,,,,,,manta,PMID:32369930 | PMID:36598417,10.3390/genes11050499 | 10.1158/2159-8290.CD-22-0786,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST. | Genomic Patterns of Malignant Peripheral Nerve Sheath Tumor (MPNST) Evolution Correlate with Clinical Outcome and Are Detectable in Cell-Free DNA.,,Structural variants (SVs) and large indels were detected using manta | we called SVs in all matched normal samples using Manta (version 1.6.0; ref. 55),0.9,Accept,Experimental Usage
RESe578b573,Pindel,Analysis Software,,,,,,,,Pindel,PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,"SNVs and small indels were detected using VarScan2, Strelka2, MuTect2, and Pindel",0.9,Accept,Experimental Usage
REScb60852b,GenVisR,Analysis Software,,,,,,,,GenVisR,PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,Waterfall somatic variant plots were created with GenVisR by including somatic variants that occurred in each area,0.9,Accept,Experimental Usage
RES30309c4e,COSMIC,Database,,,,,,,,COSMIC,PMID:32369930 | PMID:35332608,10.3390/genes11050499 | 10.1002/humu.24370,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST. | Re-evaluation of missense variant classifications in NF2.,,"These variants were not reported as a somatic variant in COSMIC (Catalogue Of Somatic Mutations In Cancer) and ClinVar archive | COSMIC ( www.cancer.sanger.ac.uk ) (Tate et al., 2019 ) was used in the investigation of variants that were observed in somatic samples",0.9,Accept,Experimental Usage
RES301ce5af,ClinVar,Database,,,,,,,,ClinVar,PMID:32369930 | PMID:40887659,10.3390/genes11050499 | 10.1186/s40246-025-00803-z,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST. | RENOVO-NF1 accurately predicts NF1 missense variant pathogenicity.,,These variants were not reported as a somatic variant in COSMIC (Catalogue Of Somatic Mutations In Cancer) and ClinVar archive | ClinVar data for NF1 variants were extracted from the ClinVar version 2024-07-03 available at: https://ftp.ncbi.nlm.nih.gov/pub/clinvar/,0.9,Accept,Experimental Usage
RES69b283e6,SIFT,Analysis Software,,,,,,,,SIFT,PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,"In order to predict clinical significance and predictions of the functional effects of these variants, each variant was reviewed on SIFT and Polyphen",0.9,Accept,Experimental Usage
RESb870d8e5,Polyphen,Analysis Software,,,,,,,,Polyphen,PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,"In order to predict clinical significance and predictions of the functional effects of these variants, each variant was reviewed on SIFT and Polyphen",0.9,Accept,Experimental Usage
RES42f49b0d,ClonEvol,Analysis Software,,,,,,,,ClonEvol,PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,SciClone and ClonEvol were utilized to attempt to perform a phylogeny inference,0.9,Accept,Experimental Usage
RES6c7e4ee0,Partek Flow,Analysis Software,,,,,,,,Partek Flow,PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,Pre/post quality control and full expectation-maximization (EM) quantification were run via Partek Flow,0.9,Accept,Experimental Usage
RES2a6c19fe,gplots,Package/Library,,R,,,,,,gplots,PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,Heatmap visualizations were created using gplots R package,0.9,Accept,Experimental Usage
RES40962237,PantherDB,Database,,,,,,,,PantherDB,PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,PantherDB was utilized to discover GO terms and pathways that may be affected by these genes,0.9,Accept,Experimental Usage
RES17d594ae,CompuSyn software Version 1.0,Analysis Software,1.0,,,,,,,CompuSyn software Version 1.0,PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,"Drug–drug interactions were analyzed with CompuSyn software Version 1.0 (Informer Technologies, Los Angeles, CA, USA; software is available at https://www.compusyn.software.informer.com",0.95,Accept,Experimental Usage
RES540c4fd8,IBM SPSS Statistics software version 29.0.1.0,Analysis Software,29.0.1.0,,,,,,,IBM SPSS Statistics software version 29.0.1.0,PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,"In vivo S462TY sciatic nerve tumor xenograft data were analyzed using IBM SPSS Statistics software version 29.0.1.0 (IBM, Armonk, NY, USA).",0.9,Accept,Experimental Usage
RES01a14402,SPIN (Signal Processing in MR Version SVN Revision 1895),Analysis Software,SVN Revision 1895,,http://mrc.wayne.edu,,,,,SPIN (Signal Processing in MR Version SVN Revision 1895),PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,Internally developed MR software SPIN (Signal Processing in MR (Version SVN Revision 1895); http://mrc.wayne.edu (accessed on 15 December 2023)) was used for tumor volume measurement.,0.95,Accept,Experimental Usage
RES84d78bee,VarDict,Analysis Software,,Java,,,,,,VarDict,PMID:28398289 | PMID:36598417,10.1038/sdata.2017.45 | 10.1158/2159-8290.CD-22-0786,A high-throughput molecular data resource for cutaneous neurofibromas. | Genomic Patterns of Malignant Peripheral Nerve Sheath Tumor (MPNST) Evolution Correlate with Clinical Outcome and Are Detectable in Cell-Free DNA.,,Somatic mutations were called from BAM files exported by the Dragen alignment using the Java version of VarDict in paired mode | and VarDict (version 1.8.2; ref. 52) were used to detect germline SNVs and INDELs in the WGS data,0.9,Accept,Experimental Usage
RES9b7fc522,SvABA,Analysis Software,1.1.3,,,,,,,SvABA,PMID:36598417,10.1158/2159-8290.CD-22-0786,Genomic Patterns of Malignant Peripheral Nerve Sheath Tumor (MPNST) Evolution Correlate with Clinical Outcome and Are Detectable in Cell-Free DNA.,,"LUMPY (version 0.2.13; ref. 56), SvABA (version 1.1.3; ref. 57), and Delly (version 0.8.3; refs. 57, 58)",0.85,Accept,Experimental Usage
RES3606b596,MuSE,Analysis Software,v1.0rc,,,,,,,MuSE,PMID:36598417,10.1158/2159-8290.CD-22-0786,Genomic Patterns of Malignant Peripheral Nerve Sheath Tumor (MPNST) Evolution Correlate with Clinical Outcome and Are Detectable in Cell-Free DNA.,,"Somatic SNVs were detected using Mutect2 (GATK version 4.1.8.0), MuSE (version v1.0rc; ref. 60)",0.85,Accept,Experimental Usage
RESdc410f70,MSIprofiler,Analysis Software,,,https://github.com/parklab/MSIprofiler,,,,,MSIprofiler,PMID:36598417,10.1158/2159-8290.CD-22-0786,Genomic Patterns of Malignant Peripheral Nerve Sheath Tumor (MPNST) Evolution Correlate with Clinical Outcome and Are Detectable in Cell-Free DNA.,,Mutations at microsatellite loci were detected using MSIprofiler (https://github.com/parklab/MSIprofiler),0.85,Accept,Experimental Usage
RES08ded37b,FACETS,Analysis Software,0.12.1,,,,,,,FACETS,PMID:36598417,10.1158/2159-8290.CD-22-0786,Genomic Patterns of Malignant Peripheral Nerve Sheath Tumor (MPNST) Evolution Correlate with Clinical Outcome and Are Detectable in Cell-Free DNA.,,"For WGS data, the software packages FACETS (version 0.12.1) and ascatNGS (version 2.5.1) were used to detect somatic copy-number alterations",0.85,Accept,Experimental Usage
RESb7598769,ascatNGS,Analysis Software,2.5.1,,,,,,,ascatNGS,PMID:36598417,10.1158/2159-8290.CD-22-0786,Genomic Patterns of Malignant Peripheral Nerve Sheath Tumor (MPNST) Evolution Correlate with Clinical Outcome and Are Detectable in Cell-Free DNA.,,"For WGS data, the software packages FACETS (version 0.12.1) and ascatNGS (version 2.5.1) were used to detect somatic copy-number alterations",0.85,Accept,Experimental Usage
RES0d197494,ShatterSeek,Analysis Software,0.7,,,,,,,ShatterSeek,PMID:36598417,10.1158/2159-8290.CD-22-0786,Genomic Patterns of Malignant Peripheral Nerve Sheath Tumor (MPNST) Evolution Correlate with Clinical Outcome and Are Detectable in Cell-Free DNA.,,Chromothripsis events were detected using ShatterSeek (version 0.7) using recommended cutoff values (72),0.85,Accept,Experimental Usage
RES36986283,TopHat-fusion,Analysis Software,2.1.0,,,,,,,TopHat-fusion,PMID:36598417,10.1158/2159-8290.CD-22-0786,Genomic Patterns of Malignant Peripheral Nerve Sheath Tumor (MPNST) Evolution Correlate with Clinical Outcome and Are Detectable in Cell-Free DNA.,,"TopHat-fusion (version 2.1.0; ref. 78), EricScript (version 0.5.5; ref. 79), and STAR-Fusion (version 1.10.1; ref. 80)",0.85,Accept,Experimental Usage
RESc1b6f920,EricScript,Analysis Software,0.5.5,,,,,,,EricScript,PMID:36598417,10.1158/2159-8290.CD-22-0786,Genomic Patterns of Malignant Peripheral Nerve Sheath Tumor (MPNST) Evolution Correlate with Clinical Outcome and Are Detectable in Cell-Free DNA.,,"TopHat-fusion (version 2.1.0; ref. 78), EricScript (version 0.5.5; ref. 79), and STAR-Fusion (version 1.10.1; ref. 80)",0.85,Accept,Experimental Usage
RES7efd3489,minfi,Package/Library,3.3,R,,,,,,minfi,PMID:33025139 | PMID:35945463 | PMID:36598417 | PMID:38216587,10.1007/s00401-020-02230-x | 10.1007/s00401-022-02478-5 | 10.1158/2159-8290.CD-22-0786 | 10.1038/s41467-023-40408-5,"Epigenomic, genomic, and transcriptomic landscape of schwannomatosis. | Multiplatform molecular analyses refine classification of gliomas arising in patients with neurofibromatosis type 1. | Genomic Patterns of Malignant Peripheral Nerve Sheath Tumor (MPNST) Evolution Correlate with Clinical Outcome and Are Detectable in Cell-Free DNA. | Epigenetic reprogramming shapes the cellular landscape of schwannoma.",,Raw IDAT data files were processed using the minfi Bioconductor package (version 3.3) | Methylation data were preprocessed using the combineArrays function within the minfi package (v.1.38.0) in R Bioconductor | Raw Methylation EPIC data were uniformly processed using the R package minfi (version 1.34.0; ref. 86) | Data preprocessing and normalization was performed using minfi version 1.30 in R version 3.6.0,0.95,Accept,Experimental Usage
RES6e1f1a43,survival,Package/Library,2.30,R,,,,,,survival,PMID:36598417,10.1158/2159-8290.CD-22-0786,Genomic Patterns of Malignant Peripheral Nerve Sheath Tumor (MPNST) Evolution Correlate with Clinical Outcome and Are Detectable in Cell-Free DNA.,,Survival analysis was performed using the Cox proportional-hazards model as implemented in the R package survival (version 2.30; ref. 93),0.85,Accept,Experimental Usage
RES87debe63,DNA Engine Peltier Thermal cycler (PTC-200),Other,,,,,,,,DNA Engine Peltier Thermal cycler (PTC-200),PMID:18670322,10.1097/MLG.0b013e318177e20b,Vestibular schwannoma quantitative polymerase chain reaction expression of estrogen and progesterone receptors.,,"in a DNA Engine Peltier Thermal cycler (PTC-200; MJ Research, Watertown, MA) at 42°C for 1 minute",0.9,Accept,Experimental Usage
RESb811b6f5,"ABI Prism 7,000 Sequence Detection System",Analysis Software,,,,,,,,"ABI Prism 7,000 Sequence Detection System",PMID:18670322,10.1097/MLG.0b013e318177e20b,Vestibular schwannoma quantitative polymerase chain reaction expression of estrogen and progesterone receptors.,,"An ABI Prism 7,000 Sequence Detection System was used for all reactions with the following cycling parameters",0.95,Accept,Experimental Usage
RES4c1a7278,Simpleware ScanIP,Analysis Software,,,,,,,,Simpleware ScanIP,PMID:39966622,10.1038/s41598-025-88589-x,The development of an artificial intelligence auto-segmentation tool for 3D volumetric analysis of vestibular schwannomas.,,"To create the tumor models for the ground truth dataset, an image processing software (Simpleware ScanIP, Synopsys) was used.",0.95,Accept,Experimental Usage
RES718e94f6,DPP V1.0,Analysis Software,V1.0,,,,,,,DPP V1.0,PMID:39966622,10.1038/s41598-025-88589-x,The development of an artificial intelligence auto-segmentation tool for 3D volumetric analysis of vestibular schwannomas.,,The helper (DPP V1.0) was trained using proprietary AI- and ML-based algorithms and information.,0.9,Accept,Development
RESfb594f2b,Simpleware,Analysis Software,,,,,,,,Simpleware,PMID:39966622,10.1038/s41598-025-88589-x,The development of an artificial intelligence auto-segmentation tool for 3D volumetric analysis of vestibular schwannomas.,,"To create the tumor models an image processing software (Simpleware, Synopsys, Mountain View, CA) was used.",0.95,Accept,Experimental Usage
RES2eca2ac3,Phoenix WinNonlin (Version 8.1),Analysis Software,8.1,,,,,,,Phoenix WinNonlin (Version 8.1),PMID:33507822,10.1200/JCO.20.02220,NF106: A Neurofibromatosis Clinical Trials Consortium Phase II Trial of the MEK Inhibitor Mirdametinib (PD-0325901) in Adolescents and Adults With NF1-Related Plexiform Neurofibromas.,,"A noncompartmental analysis was performed to estimate area under the concentration-time curve from time 0 to 12 hours (AUC 0-12h) after a single dose of mirdametinib using Phoenix WinNonlin (Version 8.1; Certara, Princeton, NJ).",0.85,Accept,Experimental Usage
RES71365145,NONMEM (version 7.2),Analysis Software,7.2,,,,,,,NONMEM (version 7.2),PMID:33507822,10.1200/JCO.20.02220,NF106: A Neurofibromatosis Clinical Trials Consortium Phase II Trial of the MEK Inhibitor Mirdametinib (PD-0325901) in Adolescents and Adults With NF1-Related Plexiform Neurofibromas.,,"A population pharmacokinetics (PK) analysis was also performed using nonlinear mixed effect modeling with NONMEM (version 7.2; ICON, Ellicott City, MD) with Perl speaks NONMEM version 3.6.2 and Pirana version 2.7.1 (Certara).",0.85,Accept,Experimental Usage
