pmid,title,verdict,reasoning
PMID:10844550,The neurofibromatosis type 1 (Nf1) tumor suppressor is a modifier of carcinogen-induced pigmentation and papilloma formation in C57BL/6 mice.,EXCLUDE,"Carcinogen interaction study, no tool development"
PMID:10887156,Conditional biallelic Nf2 mutation in the mouse promotes manifestations of human neurofibromatosis type 2.,INCLUDE,Conditional mouse model development
PMID:10900196,Single cell Ras-GTP analysis reveals altered Ras activity in a subpopulation of neurofibroma Schwann cells but not fibroblasts.,EXCLUDE,"Single cell Ras-GTP analysis, no tool development"
PMID:11080503,Neurofibromin GTPase-activating protein-related domains restore normal growth in Nf1-/- cells.,INCLUDE,Neurofibromin domain restoration research tool
PMID:11106646,Hierarchy of merlin and ezrin N- and C-terminal domain interactions in homo- and heterotypic associations and their relationship to binding of scaffolding proteins EBP50 and E3KARP.,EXCLUDE,"Protein interaction study, no tool development"
PMID:11159187,Tumorigenic properties of neurofibromin-deficient neurofibroma Schwann cells.,EXCLUDE,"Tumor properties study, no tool development"
PMID:11356864,Bipartite interaction between neurofibromatosis type I protein (neurofibromin) and syndecan transmembrane heparan sulfate proteoglycans.,EXCLUDE,"Protein interaction study, no tool development"
PMID:11368764,"The neurofibromatosis 2 protein product merlin selectively binds F-actin but not G-actin, and stabilizes the filaments through a lateral association.",EXCLUDE,"Protein binding study, no tool development"
PMID:11380622,Identification of the cis-acting region in the NF2 gene promoter as a potential target for mutation and methylation-dependent silencing in schwannoma.,EXCLUDE,"Gene promoter analysis, no tool development"
PMID:11404331,A systematic screen for dominant second-site modifiers of Merlin/NF2 phenotypes reveals an interaction with blistered/DSRF and scribbler.,INCLUDE,Systematic genetic screen for modifiers
PMID:11432873,Schwannomin isoform-1 interacts with syntenin via PDZ domains.,EXCLUDE,"Protein interaction study, no tool development"
PMID:11433044,Quantification of splice variants using real-time PCR.,INCLUDE,Real-time PCR splice variant quantification method
PMID:11435472,"Hyperactivation of p21(ras) and the hematopoietic-specific Rho GTPase, Rac2, cooperate to alter the proliferation of neurofibromin-deficient mast cells in vivo and in vitro.",EXCLUDE,"Proliferation study, no tool development"
PMID:11438454,NF1 deletions in S-100 protein-positive and negative cells of sporadic and neurofibromatosis 1 (NF1)-associated plexiform neurofibromas and malignant peripheral nerve sheath tumors.,EXCLUDE,"Genetic deletion analysis, no tool development"
PMID:11533205,Retroviral integration at the Epi1 locus cooperates with Nf1 gene loss in the progression to acute myeloid leukemia.,EXCLUDE,"Leukemia progression study, no tool development"
PMID:11535133,Binding of the merlin-I product of the neurofibromatosis type 2 tumour suppressor gene to a novel site in beta-fodrin is regulated by association between merlin domains.,EXCLUDE,"Protein binding study, no tool development"
PMID:11544276,Quantitative effects of Nf1 inactivation on in vivo hematopoiesis.,EXCLUDE,"Hematopoiesis study, no tool development"
PMID:11703924,"The Nf2 tumor suppressor, merlin, functions in Rac-dependent signaling.",EXCLUDE,"Signaling pathway study, no tool development"
PMID:11719502,p21-activated kinase links Rac/Cdc42 signaling to merlin.,EXCLUDE,"Signaling pathway study, no tool development"
PMID:11727199,"C-->U editing of neurofibromatosis 1 mRNA occurs in tumors that express both the type II transcript and apobec-1, the catalytic subunit of the apolipoprotein B mRNA-editing enzyme.",EXCLUDE,"RNA editing study, no tool development"
PMID:11756419,Structural basis for neurofibromatosis type 2. Crystal structure of the merlin FERM domain.,INCLUDE,Crystal structure of merlin FERM domain
PMID:11784085,Allele-specific non-CpG methylation of the Nf1 gene during early mouse development.,EXCLUDE,"Methylation study, no tool development"
PMID:11809806,"The neurofibromatosis type 2 gene product, merlin, reverses the F-actin cytoskeletal defects in primary human Schwannoma cells.",EXCLUDE,"Cytoskeletal study, no tool development"
PMID:11896214,NF1 tumor suppressor mRNA is targeted to the cell-cell contact zone in Ca(2+)-induced keratinocyte differentiation.,EXCLUDE,"mRNA localization study, no tool development"
PMID:11996670,The 4.1/ezrin/radixin/moesin domain of the DAL-1/Protein 4.1B tumour suppressor interacts with 14-3-3 proteins.,EXCLUDE,"Protein interaction study, no tool development"
PMID:12057013,Complex splicing pattern generates great diversity in human NF1 transcripts.,INCLUDE,Complex splicing pattern analysis method
PMID:12077339,Astrocyte-specific inactivation of the neurofibromatosis 1 gene (NF1) is insufficient for astrocytoma formation.,EXCLUDE,"Astrocyte inactivation study, no tool development"
PMID:12082543,Mouse models of neurofibromatosis 1 and 2.,INCLUDE,Mouse model review
PMID:12095621,Quantification of NF1 transcripts reveals novel highly expressed splice variants.,INCLUDE,NF1 transcript quantification method
PMID:12124168,Thinking beyond the tumor cell: Nf1 haploinsufficiency in the tumor environment.,EXCLUDE,"Tumor environment study, no tool development"
PMID:12130630,Mutant products of the NF2 tumor suppressor gene are degraded by the ubiquitin-proteasome pathway.,EXCLUDE,"Protein degradation study, no tool development"
PMID:12191989,The motor protein kinesin-1 links neurofibromin and merlin in a common cellular pathway of neurofibromatosis.,EXCLUDE,"Cellular pathway study, no tool development"
PMID:12199909,Functional expression of NF1 tumor suppressor protein: association with keratin intermediate filaments during the early development of human epidermis.,EXCLUDE,"Protein expression study, no tool development"
PMID:12243339,Inhibition of ras-mediated activator protein 1 activity and cell growth by merlin.,EXCLUDE,"Signaling pathway study, no tool development"
PMID:12393498,Leukemic potential of doubly mutant Nf1 and Wv hematopoietic cells.,EXCLUDE,"Basic research on Nf1 mutation, no specific tool mentioned"
PMID:12469121,Nf1 has an essential role in endothelial cells.,EXCLUDE,"Descriptive research on Nf1, no tool development"
PMID:12471027,Isolation and characterization of an aggresome determinant in the NF2 tumor suppressor.,EXCLUDE,"Protein characterization, no tool development"
PMID:12612091,Brain lipid binding protein in axon-Schwann cell interactions and peripheral nerve tumorigenesis.,EXCLUDE,"Descriptive cellular research, no tool usage"
PMID:12673723,Quinidine impairs proliferation of neurofibromatosis type 2-deficient human malignant mesothelioma cells.,EXCLUDE,"Drug screening study, no tool development"
PMID:12679023,PDZ tandem of human syntenin: crystal structure and functional properties.,EXCLUDE,"Protein structure analysis, no tool development"
PMID:12730209,Neurofibromatosis type I tumor suppressor neurofibromin regulates neuronal differentiation via its GTPase-activating protein function toward Ras.,EXCLUDE,"Molecular mechanism study, no tool development"
PMID:12896975,Merlin links to the cAMP neuronal signaling pathway by anchoring the RIbeta subunit of protein kinase A.,EXCLUDE,"Protein interaction study, no tool development"
PMID:12904481,Aberrant growth and differentiation of oligodendrocyte progenitors in neurofibromatosis type 1 mutants.,EXCLUDE,"Descriptive research on NF1 mutations, no tool usage"
PMID:12946024,Pathological adhesion of primary human schwannoma cells is dependent on altered expression of integrins.,EXCLUDE,"Cellular adhesion study, no tool development"
PMID:1362901,The role of Gln61 and Glu63 of Ras GTPases in their activation by NF1 and Ras GAP.,EXCLUDE,"Molecular mechanism study, no tool development"
PMID:1427886,A radiation hybrid map of the region on human chromosome 22 containing the neurofibromatosis type 2 locus.,INCLUDE,Radiation hybrid map (computational/genetic tool)
PMID:14523097,The neurofibromatosis 1 gene product neurofibromin regulates pituitary adenylate cyclase-activating polypeptide-mediated signaling in astrocytes.,EXCLUDE,"Signaling pathway research, no tool development"
PMID:14580336,"Merlin, the product of the Nf2 tumor suppressor gene, is an inhibitor of the p21-activated kinase, Pak1.",EXCLUDE,"Protein interaction study, no tool development"
PMID:14627667,Identification of recurrent regions of chromosome loss and gain in vestibular schwannomas using comparative genomic hybridisation.,EXCLUDE,"Chromosomal analysis, no tool development"
PMID:14679174,It takes two to tango: mast cell and Schwann cell interactions in neurofibromas.,EXCLUDE,"Commentary on tumor interactions, no tool usage"
PMID:14679180,Neurofibromin-deficient Schwann cells secrete a potent migratory stimulus for Nf1+/- mast cells.,EXCLUDE,"Cellular migration study, no tool development"
PMID:14679203,Merlin neutralizes the inhibitory effect of Mdm2 on p53.,EXCLUDE,"Protein interaction study, no tool development"
PMID:14681409,The Unified Medical Language System (UMLS): integrating biomedical terminology.,INCLUDE,UMLS biomedical terminology integration tool
PMID:14724565,Role of TC21/R-Ras2 in enhanced migration of neurofibromin-deficient Schwann cells.,EXCLUDE,"Molecular mechanism study, no tool development"
PMID:14741381,"PKA phosphorylation and 14-3-3 interaction regulate the function of neurofibromatosis type I tumor suppressor, neurofibromin.",EXCLUDE,"Protein phosphorylation research, no tool development"
PMID:1496981,Analysis of chromosome 22 deletions in neurofibromatosis type 2-related tumors.,EXCLUDE,"Chromosome deletion analysis, no tool development"
PMID:14988005,Neurofibromin is actively transported to the nucleus.,EXCLUDE,"Protein localization study, no tool development"
PMID:14991710,Characterization of chicken Nf2/merlin indicates regulatory roles in cell proliferation and migration.,EXCLUDE,"Protein characterization, no tool development"
PMID:15039234,Loss of the nf1 tumor suppressor gene decreases fas antigen expression in myeloid cells.,EXCLUDE,"Cellular antigen expression study, no tool development"
PMID:15123692,"Merlin, a tumor suppressor, interacts with transactivation-responsive RNA-binding protein and inhibits its oncogenic activity.",EXCLUDE,"Protein interaction study, no tool development"
PMID:1519665,Nonradioactive in situ hybridization using digoxigenin-labeled oligonucleotides. Applications to musculoskeletal tissues.,INCLUDE,Nonradioactive in situ hybridization technique
PMID:15206577,Gene expression analysis of the lung following paraquat administration in rats using DNA microarray.,INCLUDE,DNA microarray gene expression tool
PMID:15240917,Survival of Human Neurofibroma in Immunodeficient Mice and Initial Results of Therapy With Pirfenidone.,INCLUDE,Patient-derived xenograft (PDX) model
PMID:15255999,"Molecular profiling of malignant peripheral nerve sheath tumors associated with neurofibromatosis type 1, based on large-scale real-time RT-PCR.",INCLUDE,Real-time RT-PCR molecular profiling tool
PMID:15446585,Gene expression profiling reveals unique molecular subtypes of Neurofibromatosis Type I-associated and sporadic malignant peripheral nerve sheath tumors.,INCLUDE,Gene expression profiling tool
PMID:15570216,Targeted gene expression in the chicken eye by in ovo electroporation.,INCLUDE,In ovo electroporation gene transfer method
PMID:15598747,Neurofibromatosis 2 (NF2) tumor suppressor merlin inhibits phosphatidylinositol 3-kinase through binding to PIKE-L.,EXCLUDE,"Protein interaction study, no tool development"
PMID:15623944,DNA ploidy and chromosome (FISH) pattern analysis of peripheral nerve sheath tumors.,INCLUDE,DNA ploidy and FISH chromosome analysis tool
PMID:15647118,Patient-focused measures of functional health status and health-related quality of life in pediatric orthopedics: a case study in measurement selection.,EXCLUDE,"Clinical measurement review, no tool development"
PMID:15652750,Role for the epidermal growth factor receptor in neurofibromatosis-related peripheral nerve tumorigenesis.,EXCLUDE,"Molecular mechanism study, no tool development"
PMID:15659388,Erbin regulates mitogen-activated protein (MAP) kinase activation and MAP kinase-dependent interactions between Merlin and adherens junction protein complexes in Schwann cells.,EXCLUDE,"Protein interaction study, no tool development"
PMID:15681480,Sensitive detection of deletions of one or more exons in the neurofibromatosis type 2 (NF2) gene by multiplexed gene dosage polymerase chain reaction.,INCLUDE,Multiplexed gene dosage PCR detection method
PMID:15767669,TATA-binding protein (TBP)-like factor (TLF) is a functional regulator of transcription: reciprocal regulation of the neurofibromatosis type 1 and c-fos genes by TLF/TRF2 and TBP.,EXCLUDE,"Transcription regulation study, no tool development"
PMID:15831594,Methodological issues in longitudinal studies: vestibular schwannoma growth rates in neurofibromatosis 2.,EXCLUDE,Methodological study on longitudinal research
PMID:15832546,Psychological disturbance and sleep disorders in children with neurofibromatosis type 1.,EXCLUDE,"Clinical survey, no tool development"
PMID:15840687,NF1 gene loss of heterozygosity and expression analysis in sporadic colon cancer.,EXCLUDE,"Gene expression analysis, no tool development"
PMID:15849434,Identification of Rab GTPase-activating protein-like protein (RabGAPLP) as a novel Alix/AIP1-interacting protein.,EXCLUDE,"Protein interaction study, no tool development"
PMID:1587809,Expression of the GTPase activating domain of the neurofibromatosis type 1 (NF1) gene in Escherichia coli and role of the conserved lysine residue.,INCLUDE,Expression of NF1 gene domain in E. coli
PMID:15937108,The NF1 tumor suppressor critically regulates TSC2 and mTOR.,EXCLUDE,"Molecular mechanism study, no tool development"
PMID:15988004,Transcriptional repression of the Neurofibromatosis-1 tumor suppressor by the t(8;21) fusion protein.,EXCLUDE,"Transcriptional regulation study, no tool development"
PMID:16033085,Malignant peripheral nerve sheath tumors (MPNST) in neurofibromatosis type 1 (NF1): diagnostic findings on magnetic resonance images and mutation analysis of the NF1 gene.,EXCLUDE,Clinical imaging and mutation analysis study
PMID:16036108,Temporally regulated neural crest transcription factors distinguish neuroectodermal tumors of varying malignancy and differentiation.,EXCLUDE,"Tumor characterization study, no tool development"
PMID:1605307,Adrenal medullary tumors and iris proliferation in a transgenic mouse model of neurofibromatosis.,INCLUDE,Transgenic mouse model
PMID:16061561,Age related shift in the mutation spectra of germline and somatic NF2 mutations: hypothetical role of DNA repair mechanisms.,EXCLUDE,"Mutation spectrum analysis, no tool development"
PMID:16082189,Signal therapy of breast cancers by the HDAC inhibitor FK228 that blocks the activation of PAK1 and abrogates the tamoxifen-resistance.,EXCLUDE,No specific NF research tool mentioned
PMID:16093333,Sensory neurons from Nf1 haploinsufficient mice exhibit increased excitability.,INCLUDE,Animal model (Nf1 haploinsufficient mice)
PMID:16098465,Early inactivation of p53 tumor suppressor gene cooperating with NF1 loss induces malignant astrocytoma.,EXCLUDE,No specific research tool mentioned
PMID:16116616,Palindromic AT-rich repeat in the NF1 gene is hypervariable in humans and evolutionarily conserved in primates.,EXCLUDE,"Genetic polymorphism analysis, no tool development"
PMID:16117786,Gonosomal mosaicism for a nonsense mutation (R1947X) in the NF1 gene in segmental neurofibromatosis type 1.,EXCLUDE,"Genetic mutation analysis, no tool development"
PMID:16169856,The neurofibromatosis type 1 gene product neurofibromin enhances cell motility by regulating actin filament dynamics via the Rho-ROCK-LIMK2-cofilin pathway.,EXCLUDE,"Molecular mechanism study, no tool development"
PMID:16226702,A mouse model for studying therapy-induced cancers.,EXCLUDE,"Commentary on mouse models, no tool usage"
PMID:16226708,Therapy-induced malignant neoplasms in Nf1 mutant mice.,INCLUDE,Animal model (Nf1 mutant mice)
PMID:16267393,The Phosphorylation status of merlin is important for regulating the Ras-ERK pathway.,EXCLUDE,"Molecular mechanism study, no tool development"
PMID:16314489,Inactivation of NF1 in CNS causes increased glial progenitor proliferation and optic glioma formation.,INCLUDE,Animal model (NF1 CNS inactivation model)
PMID:16324214,"Evolution and origin of merlin, the product of the Neurofibromatosis type 2 (NF2) tumor-suppressor gene.",EXCLUDE,"Evolutionary protein analysis, no tool development"
PMID:16340004,New approaches to the analysis of palindromic sequences from the human genome: evolution and polymorphism of an intronic site at the NF1 locus.,EXCLUDE,"Genetic sequence analysis, no tool development"
PMID:16374483,Neurofibromatosis type 1 protein and amyloid precursor protein interact in normal human melanocytes and colocalize with melanosomes.,EXCLUDE,"Protein interaction study, no tool development"
PMID:1639394,A yeast artificial chromosome contig encompassing the type 1 neurofibromatosis gene.,INCLUDE,Genetic tool (Yeast artificial chromosome contig)
PMID:16397625,A novel bipartite phospholipid-binding module in the neurofibromatosis type 1 protein.,EXCLUDE,"Molecular mechanism study, no tool development"
PMID:16418572,Sichuan pepper extracts block the PAK1/cyclin D1 pathway and the growth of NF1-deficient cancer xenograft in mice.,EXCLUDE,"Molecular mechanism study, no tool development"
PMID:16513807,Effect of neurofibromatosis type I mutations on a novel pathway for adenylyl cyclase activation requiring neurofibromin and Ras.,EXCLUDE,"Molecular mechanism study, no tool development"
PMID:16524466,Cognitive dysfunction in NF1 knock-out mice may result from altered vesicular trafficking of APP/DRD3 complex.,INCLUDE,Animal model (NF1 knock-out mice)
PMID:16537381,Mixed-lineage kinase 3 regulates B-Raf through maintenance of the B-Raf/Raf-1 complex and inhibition by the NF2 tumor suppressor protein.,EXCLUDE,"Molecular mechanism study, no tool development"
PMID:16571745,Temporal control of Rac in Schwann cell-axon interaction is disrupted in NF2-mutant schwannoma cells.,EXCLUDE,"Molecular mechanism study, no tool development"
PMID:16581517,The tumor suppressors Merlin and Expanded function cooperatively to modulate receptor endocytosis and signaling.,EXCLUDE,"Molecular mechanism study, no tool development"
PMID:16619545,Expression of emmprin and matrix metalloproteinases (MMPs) in peripheral nerve sheath tumors: emmprin and membrane-type (MT)1-MMP expressions are associated with malignant potential.,EXCLUDE,"Tumor expression analysis, no tool development"
PMID:1672744,A polymorphic cDNA probe on chromosome 17q11.2 located within the NF1 gene [D17S376].,EXCLUDE,"Genetic polymorphism identification, no tool"
PMID:16793550,The kelch proteins Gpb1 and Gpb2 inhibit Ras activity via association with the yeast RasGAP neurofibromin homologs Ira1 and Ira2.,EXCLUDE,"Molecular mechanism study, no tool development"
PMID:1679535,A TaqI polymorphism in the human NF1 gene.,EXCLUDE,"Genetic polymorphism identification, no tool"
PMID:1679929,A BglII polymorphism in the human NF1 gene.,EXCLUDE,"Genetic polymorphism identification, no tool"
PMID:16835260,Nf1+/- mast cells induce neurofibroma like phenotypes through secreted TGF-beta signaling.,INCLUDE,Animal model (Nf1+/- mast cell model)
PMID:1684425,A BglII RFLP near the human neurofibromatosis type 1 (NF1) gene.,EXCLUDE,"Genetic polymorphism identification, no tool"
PMID:16870183,NF1 mRNA biogenesis: effect of the genomic milieu in splicing regulation of the NF1 exon 37 region.,EXCLUDE,"mRNA splicing analysis, no tool development"
PMID:16894610,Regulation of the neurofibromatosis 2 gene promoter expression during embryonic development.,EXCLUDE,"Gene promoter regulation study, no tool development"
PMID:16906226,The neurofibromin GAP-related domain rescues endothelial but not neural crest development in Nf1 mice.,INCLUDE,Animal model (Nf1 mice)
PMID:17053831,Hyperactivation of p21ras and PI3K cooperate to alter murine and human neurofibromatosis type 1-haploinsufficient osteoclast functions.,INCLUDE,Animal model (Nf1-haploinsufficient mice)
PMID:17075701,Electrophysiological validation of a human prototype auditory midbrain implant in a guinea pig model.,EXCLUDE,"Auditory implant validation, not NF-specific"
PMID:17090653,Beta common receptor inactivation attenuates myeloproliferative disease in Nf1 mutant mice.,INCLUDE,Animal model (Nf1 mutant mice)
PMID:1715669,The neurofibroma in von Recklinghausen neurofibromatosis has a unicellular origin.,EXCLUDE,"Tumor origin study, no tool development"
PMID:17210637,"Identification and characterization of putative tumor suppressor NGB, a GTP-binding protein that interacts with the neurofibromatosis 2 protein.",EXCLUDE,"Protein interaction study, no tool development"
PMID:17215387,Phosphatidylinositol 3-kinase and Akt nonautonomously promote perineurial glial growth in Drosophila peripheral nerves.,EXCLUDE,"Drosophila nerve development study, no NF tool"
PMID:17216419,Nf1 expression is dependent on strain background: implications for tumor suppressor haploinsufficiency studies.,INCLUDE,Animal model (Nf1 strain background analysis)
PMID:17295913,Functional analysis of splicing mutations in exon 7 of NF1 gene.,EXCLUDE,"Splicing mutation analysis, no tool development"
PMID:1729894,Multicolor in situ hybridization and linkage analysis order Charcot-Marie-Tooth type I (CMTIA) gene-region markers.,EXCLUDE,"Genetic mapping study, no tool development"
PMID:17548515,Contact-dependent inhibition of EGFR signaling by Nf2/Merlin.,EXCLUDE,"Molecular mechanism study, no tool development"
PMID:17558420,Imatinib mesylate inhibits cell invasion of malignant peripheral nerve sheath tumor induced by platelet-derived growth factor-BB.,EXCLUDE,"Tumor invasion study, no tool development"
PMID:17581973,Distinct functional domains of neurofibromatosis type 1 regulate immediate versus long-term memory formation.,INCLUDE,Functional domain analysis using animal model
PMID:17649826,Expression of insulin-like growth-factor-1 receptor (IGF-1R) in peripheral nerve sheath tumors in neurofibromatosis type 1.,EXCLUDE,"Tumor receptor expression study, no tool"
PMID:17786186,MMP-13 and p53 in the progression of malignant peripheral nerve sheath tumors.,EXCLUDE,"Tumor progression study, no tool development"
PMID:1783401,cDNA cloning of the type 1 neurofibromatosis gene: complete sequence of the NF1 gene product.,EXCLUDE,"Gene sequence analysis, no tool development"
PMID:17868749,Point mutation in the NF2 gene of HEI-193 human schwannoma cells results in the expression of a merlin isoform with attenuated growth suppressive activity.,EXCLUDE,"Molecular mechanism study, no tool development"
PMID:17924978,Natural history of meningioma development in mice reveals: a synergy of Nf2 and p16(Ink4a) mutations.,INCLUDE,Animal model (Nf2 and p16 mutation mice)
PMID:17962031,Modeling NF2 with human arachnoidal and meningioma cell culture systems: NF2 silencing reflects the benign character of tumor growth.,EXCLUDE,"Cell culture modeling, no tool development"
PMID:18055911,Deletions of NF1 gene and exons detected by multiplex ligation-dependent probe amplification.,INCLUDE,Genetic deletion detection tool (multiplex ligation-dependent probe amplification)
PMID:18188004,Real-time PCR analysis of candidate imprinted genes on mouse chromosome 11 shows balanced expression from the maternal and paternal chromosomes and strain-specific variation in expression levels.,INCLUDE,Parse error - defaulted to include
PMID:18218617,"Neurofibromatosis type 1 (NF1) tumor suppressor, neurofibromin, regulates the neuronal differentiation of PC12 cells via its associating protein, CRMP-2.",INCLUDE,Parse error - defaulted to include
PMID:18242512,Induction of abnormal proliferation by nonmyelinating schwann cells triggers neurofibroma formation.,INCLUDE,Parse error - defaulted to include
PMID:18242513,The loss of Nf1 transiently promotes self-renewal but not tumorigenesis by neural crest stem cells.,INCLUDE,Parse error - defaulted to include
PMID:18272679,Neurofibromin is required for barrel formation in the mouse somatosensory cortex.,INCLUDE,Parse error - defaulted to include
PMID:18328429,A conditional mouse model for malignant mesothelioma.,INCLUDE,Parse error - defaulted to include
PMID:18367665,Induction of apoptosis in neurofibromatosis type 1 malignant peripheral nerve sheath tumor cell lines by a combination of novel farnesyl transferase inhibitors and lovastatin.,INCLUDE,Parse error - defaulted to include
PMID:18371380,Neurofibromatosis-1 regulates neuronal and glial cell differentiation from neuroglial progenitors in vivo by both cAMP- and Ras-dependent mechanisms.,INCLUDE,Parse error - defaulted to include
PMID:18413802,Sorafenib inhibits growth and mitogen-activated protein kinase signaling in malignant peripheral nerve sheath cells.,INCLUDE,Parse error - defaulted to include
PMID:18442999,Nf1+/- mice have increased neointima formation via hyperactivation of a Gleevec sensitive molecular pathway.,INCLUDE,Parse error - defaulted to include
PMID:18445079,Altered adhesive structures and their relation to RhoGTPase activation in merlin-deficient Schwannoma.,INCLUDE,Parse error - defaulted to include
PMID:18451155,Pten haploinsufficiency accelerates formation of high-grade astrocytomas.,INCLUDE,Parse error - defaulted to include
PMID:18483311,Effective in vivo targeting of the mammalian target of rapamycin pathway in malignant peripheral nerve sheath tumors.,INCLUDE,Parse error - defaulted to include
PMID:18503770,The pathological splicing mutation c.6792C>G in NF1 exon 37 causes a change of tenancy between antagonistic splicing factors.,INCLUDE,Parse error - defaulted to include
PMID:18614544,Neurofibromin regulates somatic growth through the hypothalamic-pituitary axis.,INCLUDE,Parse error - defaulted to include
PMID:18632543,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,INCLUDE,Parse error - defaulted to include
PMID:18632626,Merlin is a potent inhibitor of glioma growth.,INCLUDE,Parse error - defaulted to include
PMID:18636037,The ErbB inhibitors trastuzumab and erlotinib inhibit growth of vestibular schwannoma xenografts in nude mice: a preliminary study.,INCLUDE,Parse error - defaulted to include
PMID:18670322,Vestibular schwannoma quantitative polymerase chain reaction expression of estrogen and progesterone receptors.,INCLUDE,Parse error - defaulted to include
PMID:18671844,Modelling neurofibromatosis type 1 tibial dysplasia and its treatment with lovastatin.,INCLUDE,Parse error - defaulted to include
PMID:18768391,Pak1 regulates multiple c-Kit mediated Ras-MAPK gain-in-function phenotypes in Nf1+/- mast cells.,INCLUDE,Parse error - defaulted to include
PMID:18769552,Frequent EGFR Positivity and Overexpression in High-Grade Areas of Human MPNSTs.,INCLUDE,Parse error - defaulted to include
PMID:18800150,Mechanisms of loss of heterozygosity in neurofibromatosis type 1-associated plexiform neurofibromas.,INCLUDE,Parse error - defaulted to include
PMID:18923024,Tumor suppressor schwannomin/merlin is critical for the organization of Schwann cell contacts in peripheral nerves.,INCLUDE,Parse error - defaulted to include
PMID:18927496,Suppression of proliferation of two independent NF1 malignant peripheral nerve sheath tumor cell lines by the pan-ErbB inhibitor CI-1033.,INCLUDE,Parse error - defaulted to include
PMID:18931645,Bioluminescent imaging of intracranial vestibular schwannoma xenografts in NOD/SCID mice.,INCLUDE,Parse error - defaulted to include
PMID:18953429,"The neurofibromatosis 2 tumor suppressor gene product, merlin, regulates human meningioma cell growth by signaling through YAP.",INCLUDE,Parse error - defaulted to include
PMID:18953430,Tissue-specific ablation of Prkar1a causes schwannomas by suppressing neurofibromatosis protein production.,INCLUDE,Parse error - defaulted to include
PMID:18974932,A role for the p53 pathway in the pathology of meningiomas with NF2 loss.,INCLUDE,Parse error - defaulted to include
PMID:18984156,Nf1-dependent tumors require a microenvironment containing Nf1+/-- and c-kit-dependent bone marrow.,INCLUDE,Parse error - defaulted to include
PMID:18984165,Neurofibromin regulation of ERK signaling modulates GABA release and learning.,INCLUDE,Parse error - defaulted to include
PMID:18988803,Ras signaling influences permissiveness of malignant peripheral nerve sheath tumor cells to oncolytic herpes.,INCLUDE,Parse error - defaulted to include
PMID:19016857,Polypyrimidine tract binding protein regulates alternative splicing of an aberrant pseudoexon in NF1.,INCLUDE,Parse error - defaulted to include
PMID:19041782,Nf1 mutation expands an EGFR-dependent peripheral nerve progenitor that confers neurofibroma tumorigenic potential.,INCLUDE,Parse error - defaulted to include
PMID:19103750,"The neurofibromatosis 2 protein, merlin, regulates glial cell growth in an ErbB2- and Src-dependent manner.",INCLUDE,Parse error - defaulted to include
PMID:19144871,Identification of erythrocyte p55/MPP1 as a binding partner of NF2 tumor suppressor protein/Merlin.,INCLUDE,Parse error - defaulted to include
