cellLineId,organ,tissue,cellLineManifestation,cellLineGeneticDisorder,cellLineCategory,donorId,originYear,strProfile,resistance,contaminatedMisidentified,populationDoublingTime,_resourceName,_pmid,_doi,_publicationTitle,_year,_context,_confidence,_verdict,_usageType,_toolName
6ba75f31-1687-55b8-a135-05638c896b67,Kidney,,,,Cancer cell line,,,,,,,HEK293T,PMID:40590220 | PMID:35789380 | PMID:31836666 | PMID:29402968 | PMID:31015291 | PMID:40225167 | PMID:34415582 | PMID:39269317 | PMID:23175151 | PMID:38216587 | PMID:20554030 | PMID:28166733 | PMID:33934112,10.1172/JCI188932 | 10.1158/2159-8290.CD-21-1671 | 10.1074/jbc.RA119.010934 | 10.1038/s41598-018-20894-0 | 10.1126/scisignal.aau8749 | 10.1155/2023/9628049 | 10.1002/glia.24075 | 10.1158/1078-0432.CCR-24-1750 | 10.1038/bjc.2012.518 | 10.1038/s41467-023-40408-5 | 10.1016/j.jneuroim.2010.05.002 | 10.1186/s12864-017-3519-7 | 10.1038/s41419-021-03716-6,A haploinsufficiency restoration strategy corrects neurobehavioral deficits in Nf1+/- mice. | PRC2-Inactivating Mutations in Cancer Enhance Cytotoxic Response to DNMT1-Targeted Therapy via Enhanced Viral Mimicry. | Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer. | Integrating Functional Analysis in the Next-Generation Sequencing Diagnostic Pipeline of RASopathies. | Proximity biotinylation identifies a set of conformation-specific interactions between Merlin and cell junction proteins. | Functional Assays Combined with Pre-mRNA-Splicing Analysis Improve Variant Classification and Diagnostics for Individuals with Neurofibromatosis Type 1 and Legius Syndrome. | Notch signaling via Hey1 and Id2b regulates Müller glia's regenerative response to retinal injury. | MEK Inhibitors Lead to PDGFR Pathway Upregulation and Sensitize Tumors to RAF Dimer Inhibitors in NF1-Deficient Malignant Peripheral Nerve Sheath Tumor. | MicroRNA profiling of peripheral nerve sheath tumours identifies miR-29c as a tumour suppressor gene involved in tumour progression. | Epigenetic reprogramming shapes the cellular landscape of schwannoma. | CXCL12 alone is insufficient for gliomagenesis in Nf1 mutant mice. | A machine learning classifier trained on cancer transcriptomes detects NF1 inactivation signal in glioblastoma. | HIF1α-dependent induction of the mitochondrial chaperone TRAP1 regulates bioenergetic adaptations to hypoxia.,,"HEK293T cells (American Type Culture Collection [ATCC], CRL-3216) | All MPNST cell lines (human and mouse) and HEK-293T cells (ATCC; cat. #CRL-3216, RRID:CVCL_0063) were cultured in DMEM:F-12 (1:1) high-glucose media | HEK293T and NF1-null 293T cells were maintained in DMEM with 10% fetal bovine serum | mutant transcripts were expressed in HEK-293T cells. The phosphorylation level of ELK1, which is a downstream substrate of the RAS/MAPK pathway | HEK 293T and immortalized mouse Nf2 Schwann cells, a gift from D. Lallemand...were maintained in Dulbecco's minimum essential medium | HEK 293 T and COS-7 cells were maintained in Dulbecco's Modified Eagle Medium (DMEM) | To study hey1 promoter activity, we transfected HEK 293T cells plated in 24 well tissue culture plates | The SNF96.2 (CRL-2884, RRID: CVCL_K281) human MPNST cell line and the HEK-293T (CRL-3216, RRID: CVCL_0063) cell line were obtained from ATCC | compared with HEK293T cells, which are neurofibromin 1 wildtype (WT) | HEK-293T cells were a gift from Luke Gilbert and cultured in Dulbecco's Modified Eagle Medium | The HEK 293T cell line was purchased from ATCC | U87-MG and HEK293T cells were purchased from ATCC. Cell lines were regularly passaged and were cultured in Dulbecco's Modified Eagle Medium | co-transfected with the packaging plasmids psPAX (Addgene #12260) and pMD2.G (Addgene, #12259) into the human embryonic kidney (HEK) 293T cells",0.95,Accept,Experimental Usage,HEK293T cells
906fc06b-68d4-5355-ae14-f8a175ea9cb3,Nerve,Peripheral nerve sheath,Malignant Peripheral Nerve Sheath Tumor,Neurofibromatosis Type 1,Cancer cell line,,,,,,,S462TY,PMID:38201517 | PMID:37164978 | PMID:24681606 | PMID:23685747 | PMID:41036607 | PMID:38203448 | PMID:23535903,10.3390/cancers16010089 | 10.1038/s41467-023-38432-6 | 10.18632/oncotarget.1609 | 10.1038/ng.2641 | 10.1158/1535-7163.MCT-24-1053 | 10.3390/ijms25010277 | 10.1158/2159-8290.CD-13-0081,"Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers. | Multiplatform molecular profiling uncovers two subgroups of malignant peripheral nerve sheath tumors with distinct therapeutic vulnerabilities. | Co-targeting the MAPK and PI3K/AKT/mTOR pathways in two genetically engineered mouse models of schwann cell tumors reduces tumor grade and multiplicity. | Forward genetic screen for malignant peripheral nerve sheath tumor formation identifies new genes and pathways driving tumorigenesis. | Pharmacogenomic Synthetic Lethal Screens Reveal Hidden Vulnerabilities and New Therapeutic Approaches for Treatment of NF1-Associated Tumors. | FT895 Impairs Mitochondrial Function in Malignant Peripheral Nerve Sheath Tumor Cells. | Canonical Wnt/β-catenin signaling drives human schwann cell transformation, progression, and tumor maintenance.",,"The human NF1 MPNST cell line S462TY was the gift of N. Ratner (University of Cincinnati College of Medicine, Cincinnati, OH, USA). It was derived from a xenograft of S462 cells that grew in immune-deficient mice. | MPNST cell lines (STS-26T, S462, S462TY, T265) were obtained from Dr. David Largaespada's laboratory | Immortalized human Schwann cell and MPNST cell lines (S462 [ 34 ], S462-TY [ 35 ], ST8814 [ 36 ], T265 [ 37 ], and STS-26T [ 38 ]) | human MPNST cell lines (ST88-14, STS26T, S462, S462-TY, and T265) | S462-TY cells were cultured in DMEM supplemented with 10% FBS and 1% penicillin/streptomycin at 37°C with 5% CO2 | The S462TY cell line was a kind gift from Dr. Timothy Cripe (Nationwide Children's Hospital Columbus, Columbus, OH, USA) | Immortalized human Schwann cell and MPNST cell lines (S462 ( 45 ), S462-TY ( 35 ), ST8814 ( 46 ), T265 ( 47 ), and STS-26T ( 36 ))",0.95,Accept,Experimental Usage,S462TY
33501856-51de-5bac-813a-6461cff1afde,Nerve,Schwann cells,,,Finite cell line,,,,,,,iSC,PMID:38201517 | PMID:18367665,10.3390/cancers16010089 | 10.1124/jpet.107.135830,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers. | Induction of apoptosis in neurofibromatosis type 1 malignant peripheral nerve sheath tumor cell lines by a combination of novel farnesyl transferase inhibitors and lovastatin.,,"The immortalized normal rat Schwann cell line iSC was provided by E. M. Shooter (Stanford University, Stanford, CA, USA). | Normal, spontaneously immortal rat Schwann cell clones (iSC) isolated from sciatic nerves were a generous gift from E.M. Shooter",0.9,Accept,Experimental Usage,iSC
e2918a1d-a7d4-5193-a0f5-248ecba5c0af,Lung,,Non-small cell lung carcinoma,,Cancer cell line,,,,,,,A549,PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,"The human non-small cell carcinoma cell line A549 was obtained from Cell Lines Resource, Karmanos Cancer Institute, Detroit, MI.",0.85,Accept,Experimental Usage,A549
733801bc-7188-503b-8116-384c9879b9f3,Nerve,Peripheral nerve sheath,Malignant Peripheral Nerve Sheath Tumor,Neurofibromatosis Type 1,Cancer cell line,,,,,,,ST88-14,PMID:38201517 | PMID:41022755 | PMID:39269317 | PMID:18367665 | PMID:37246765 | PMID:33658640 | PMID:24824755 | PMID:39129390 | PMID:18413802 | PMID:24681606 | PMID:23685747 | PMID:20049725 | PMID:32642733 | PMID:18483311 | PMID:38127282 | PMID:38216572 | PMID:38203448 | PMID:23535903 | PMID:41036607 | PMID:33032988,10.3390/cancers16010089 | 10.1038/s41467-025-63619-4 | 10.1158/1078-0432.CCR-24-1750 | 10.1124/jpet.107.135830 | 10.1093/neuonc/noad097 | 10.1038/s41416-021-01270-8 | 10.1371/journal.pone.0096733 | 10.1002/1878-0261.13704 | 10.1158/1535-7163.MCT-07-0518 | 10.18632/oncotarget.1609 | 10.1038/ng.2641 | 10.1002/emmm.200900027 | 10.1093/noajnl/vdz061 | 10.1158/1535-7163.MCT-07-2335 | 10.1158/1078-0432.CCR-23-2548 | 10.1038/s41467-024-44755-9 | 10.3390/ijms25010277 | 10.1158/2159-8290.CD-13-0081 | 10.1158/1535-7163.MCT-24-1053 | 10.1158/0008-5472.CAN-20-1365,"Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers. | Development of an adeno-associated virus vector for gene replacement therapy of NF1-related tumors. | MEK Inhibitors Lead to PDGFR Pathway Upregulation and Sensitize Tumors to RAF Dimer Inhibitors in NF1-Deficient Malignant Peripheral Nerve Sheath Tumor. | Induction of apoptosis in neurofibromatosis type 1 malignant peripheral nerve sheath tumor cell lines by a combination of novel farnesyl transferase inhibitors and lovastatin. | Ex vivo to in vivo model of malignant peripheral nerve sheath tumors for precision oncology. | Exploring transcriptional regulators Ref-1 and STAT3 as therapeutic targets in malignant peripheral nerve sheath tumours. | BNIP3 regulates AT101 [(-)-gossypol] induced death in malignant peripheral nerve sheath tumor cells. | Inhibition of autophagy as a novel treatment for neurofibromatosis type 1 tumors. | Sorafenib inhibits growth and mitogen-activated protein kinase signaling in malignant peripheral nerve sheath cells. | Co-targeting the MAPK and PI3K/AKT/mTOR pathways in two genetically engineered mouse models of schwann cell tumors reduces tumor grade and multiplicity. | Forward genetic screen for malignant peripheral nerve sheath tumor formation identifies new genes and pathways driving tumorigenesis. | Integrative genomic analyses of neurofibromatosis tumours identify SOX9 as a biomarker and survival gene. | KIF11 and KIF15 mitotic kinesins are potential therapeutic vulnerabilities for malignant peripheral nerve sheath tumors. | Effective in vivo targeting of the mammalian target of rapamycin pathway in malignant peripheral nerve sheath tumors. | Spatial Gene-Expression Profiling Unveils Immuno-oncogenic Programs of NF1-Associated Peripheral Nerve Sheath Tumor Progression. | Functional interactions between neurofibromatosis tumor suppressors underlie Schwann cell tumor de-differentiation and treatment resistance. | FT895 Impairs Mitochondrial Function in Malignant Peripheral Nerve Sheath Tumor Cells. | Canonical Wnt/β-catenin signaling drives human schwann cell transformation, progression, and tumor maintenance. | Pharmacogenomic Synthetic Lethal Screens Reveal Hidden Vulnerabilities and New Therapeutic Approaches for Treatment of NF1-Associated Tumors. | Combined Inhibition of SHP2 and MEK Is Effective in Models of NF1-Deficient Malignant Peripheral Nerve Sheath Tumors.",,"The MPNST cell line ST88-14 was obtained from T. Glover (University of Michigan, Ann Arbor, MI, USA). | Human MPNST cell line ST88-14, S462 and a patient-derived xenoline RHT92 were kindly provided by Melissa L. Fishel | The ST88-14 (RRID: CVCL_8916) and M724 (MPNST724, RRID: CVCL_AU20) human MPNST cell lines were gifted by Dr. Jonathan A. Fletcher | NF90-8 and ST88-14 MPNST cell lines were generously donated by T. Glover (University of Michigan, Ann Arbor, MI) | PDX cells and the MPNST cell line, ST88-14 (gift from Dr. Nancy Ratner, PhD, University of Cincinnati) | malignant peripheral nerve sheath tumour (MPNST) cell lines ST88-14, S462 and NF90-8 | T265-2c cells, ST88-14 cells and 90-8 cells, the human NF1-associated MPNST lines used in this study | Two million ST88‐14 (RRID: CVCL_8916) cells mixed 1 : 1 with Matrigel | ST8814 was derived from a patient with NF1-associated MPNST of the thigh | Immortalized human Schwann cell and MPNST cell lines (S462 [ 34 ], S462-TY [ 35 ], ST8814 [ 36 ], T265 [ 37 ], and STS-26T [ 38 ]) | human MPNST cell lines (ST88-14, STS26T, S462, S462-TY, and T265) | We maintained MPNST cell lines ST88-14, STS26T, S520, S462, 88-3, 90-8 and YST1 | Several cell lines derived from MPNSTs were used: S462 and ST88-14 (provided by Dr Nancy Ratner) | MPNST cell lines STS26T, ST8814, ST88-3 S462, T265p21, S520, 90–8, and YST1...All cell lines were from NF1 patients except YST-1 and STS26T | ST-8814 and S462 cells were obtained from Dr. Andrew Tee (Cardiff University) | Patient-derived neurofibroma (NF95.11b, NF95.6) or MPNST (SNF02.2, SNF94.3, SNF96.2, ST88-14) cell lines | The MPNST cell lines STS26T, T265, and ST8814 have been reported before and were gifted by Dr. Nancy Ratner | Immortalized human Schwann cell and MPNST cell lines (S462 ( 45 ), S462-TY ( 35 ), ST8814 ( 46 ), T265 ( 47 ), and STS-26T ( 36 )) | ST88-14 is an established NF1-deficient MPNST cell line | STS26T, ST8814 and NF90.8 were kindly provided by Dr. Gregory Riggins at Johns Hopkins University",0.95,Accept,Experimental Usage,ST88-14
7d3dba55-ca50-511a-be1d-8470c1224b70,Breast,Breast epithelium,,,Finite cell line,,,,,,,MCF10A,PMID:38201517,10.3390/cancers16010089,Synergistic Suppression of NF1 Malignant Peripheral Nerve Sheath Tumor Cell Growth in Culture and Orthotopic Xenografts by Combinational Treatment with Statin and Prodrug Farnesyltransferase Inhibitor PAMAM G4 Dendrimers.,,"The human normal breast epithelial MCF10A cell line was obtained from Cell Lines Resource, Karmanos Cancer Institute, Detroit, MI",0.85,Accept,Experimental Usage,MCF10A
fb87168e-a32f-5220-b2d2-5464417de4b0,Nerve,Peripheral nerve sheath,,Neurofibromatosis Type 2,Cancer cell line,,,,,,,murine NF2 −/− Schwann,PMID:30617350,10.1038/s41596-018-0105-7,"A cerebellopontine angle mouse model for the investigation of tumor biology, hearing, and neurological function in NF2-related vestibular schwannoma.",,"We used a murine NF2 −/− Schwann cell line (we obtained this as a gift from X. Breakefield, Massachusetts General Hospital) in our study.",0.9,Accept,Experimental Usage,murine NF2 −/− Schwann cell line
30ff5a2c-69e6-5a5f-b705-6ce3ecdda69c,Nerve,Peripheral nerve sheath,Schwannoma,Neurofibromatosis Type 2,Cancer cell line,,,,,,,HEI-193,PMID:21111000 | PMID:38216587 | PMID:30617350 | PMID:30274821,10.1016/j.jneumeth.2010.10.021 | 10.1038/s41467-023-40408-5 | 10.1038/s41596-018-0105-7 | 10.1016/j.ebiom.2018.09.042,"A novel imaging-compatible sciatic nerve schwannoma model. | Epigenetic reprogramming shapes the cellular landscape of schwannoma. | A cerebellopontine angle mouse model for the investigation of tumor biology, hearing, and neurological function in NF2-related vestibular schwannoma. | Synergistic effect of Nutlin-3 combined with MG-132 on schwannoma cells through restoration of merlin and p53 tumour suppressors.",,"Human schwannoma cell line HEI-193 was established from a benign schwannoma tumor from an NF2 patient immortalized with retroviral mediated HPV E6-E7 gene expression | HEI-193 schwannoma cells were a gift from Marco Giovannini and cultured in Dulbecco's Modified Eagle Medium | We have successfully grown murine NF2 −/− Schwann cells in syngeneic mice and human HEI-193 schwannoma cells in nude mice to establish schwannomas in the CPA model. | The HEI-193, an HPV E6-E7 immortalized schwannoma cell line, was a kind gift from Dr. Weg M. Ongkeko",0.95,Accept,Experimental Usage,HEI-193
e772bcb6-4a3b-5dab-84bd-2f8343f4d285,Nerve,Peripheral nerve sheath,Plexiform Neurofibroma,Neurofibromatosis Type 1,,,,,,,,ipNF05.5 (mixed clone),PMID:35741605,10.3390/brainsci12060720,Integrated Drug Mining Reveals Actionable Strategies Inhibiting Plexiform Neurofibromas.,,"five cell lines had available transcriptome data, which were downloaded via syn22351884, including ipNF05.5 (mixed clone), ipNF05.5 (single clone)",0.95,Accept,Experimental Usage,ipNF05.5 (mixed clone)
0fc4cc7d-3427-5f20-a1f6-b3bf0db9da74,Nerve,Peripheral nerve sheath,Plexiform Neurofibroma,Neurofibromatosis Type 1,,,,,,,,ipNF05.5 (single clone),PMID:35741605 | PMID:40723243,10.3390/brainsci12060720 | 10.3390/cancers17142359,Integrated Drug Mining Reveals Actionable Strategies Inhibiting Plexiform Neurofibromas. | The Combination of HSP90 Inhibitors and Selumetinib Reinforces the Inhibitory Effects on Plexiform Neurofibromas.,,"five cell lines had available transcriptome data, which were downloaded via syn22351884, including ipNF05.5 (mixed clone), ipNF05.5 (single clone) | pNF cell lines, ipNF95.11bC, ipnNF95.11c, ipNF05.5 Single Clone, and ipNF05.5 Mixed Clones were obtained from the American Type Culture Collection",0.95,Accept,Experimental Usage,ipNF05.5 (single clone)
decace9b-a0ae-5143-9331-06a492b55a5b,Nerve,Peripheral nerve sheath,Plexiform Neurofibroma,Neurofibromatosis Type 1,,,,,,,,ipNF95.11bC,PMID:35741605 | PMID:39129390 | PMID:40862755 | PMID:36689660 | PMID:39061138 | PMID:40723243,10.3390/brainsci12060720 | 10.1002/1878-0261.13704 | 10.3390/cells14161276 | 10.1073/pnas.2208960120 | 10.3390/cancers16142498 | 10.3390/cancers17142359,Integrated Drug Mining Reveals Actionable Strategies Inhibiting Plexiform Neurofibromas. | Inhibition of autophagy as a novel treatment for neurofibromatosis type 1 tumors. | Fibroblasts Attenuate Anti-Tumor Drug Efficacy in Tumor Cells via Paracrine Interactions with Tumor Cells in 3D Plexiform Neurofibroma Cultures. | Destabilizing NF1 variants act in a dominant negative manner through neurofibromin dimerization. | A Fibroblast-Derived Secretome Stimulates the Growth and Invasiveness of 3D Plexiform Neurofibroma Spheroids. | The Combination of HSP90 Inhibitors and Selumetinib Reinforces the Inhibitory Effects on Plexiform Neurofibromas.,,"including ipNF05.5 (mixed clone), ipNF05.5 (single clone), ipNF95.11bC, ipNF95.6, and ipnNF95.11c | ipNF95.11b 'C' (hTERT NF1 ipNF95.11b C, RRID: CVCL_UI67; +/− NF1 ) cells | The following immortalized human plexiform neurofibroma cell lines (Nf1−/−; hereafter called pNF1 cells) described in [23] were used: ipNF95.11b C and ipNF05.5 purchased from ATCC. | ipNF95.11b C was purchased from ATCC, and CRISPR technology was used to generate a homozygous NF1 knockout clone | The following immortalized human plexiform neurofibroma cell lines (hereafter called pNF1 cells) described in [ 36 ] were used: ipNF95.11b C | pNF cell lines, ipNF95.11bC, ipnNF95.11c, ipNF05.5 Single Clone, and ipNF05.5 Mixed Clones were obtained from the American Type Culture Collection",0.95,Accept,Experimental Usage,ipNF95.11bC
c95563a3-6943-5a33-ad3c-23b1c509a267,Nerve,Peripheral nerve sheath,Plexiform Neurofibroma,Neurofibromatosis Type 1,,,,,,,,ipNF95.6,PMID:35741605 | PMID:33934112 | PMID:33442015 | PMID:38136356,10.3390/brainsci12060720 | 10.1038/s41419-021-03716-6 | 10.1038/s41591-020-01193-6 | 10.3390/cancers15245811,Integrated Drug Mining Reveals Actionable Strategies Inhibiting Plexiform Neurofibromas. | HIF1α-dependent induction of the mitochondrial chaperone TRAP1 regulates bioenergetic adaptations to hypoxia. | Cabozantinib for neurofibromatosis type 1-related plexiform neurofibromas: a phase 2 trial. | Drug Responses in Plexiform Neurofibroma Type I (PNF1) Cell Lines Using High-Throughput Data and Combined Effectiveness and Potency.,,"including ipNF05.5 (mixed clone), ipNF05.5 (single clone), ipNF95.11bC, ipNF95.6, and ipnNF95.11c | human ipNF95.6 plexiform neurofibroma cells (kindly provided by Dr. Margaret R. Wallace) | Human immortalized NF1−/− Schwann cells (iPNF95.6) were plated in triplicate at a density of 5,000 cells/well | ...NF1 −/− plexiform neurofibroma cell lines (PNF1 cells) ipNF05.5-MX, ipNF06.2A, ipNF95.11b C/T, and ipNF95.6 as test lines...",0.95,Accept,Experimental Usage,ipNF95.6
bd2c5a12-209e-5172-bb51-6a3eccd64580,Nerve,Peripheral nerve sheath,Plexiform Neurofibroma,Neurofibromatosis Type 1,,,,,,,,ipnNF95.11c,PMID:35741605 | PMID:39129390 | PMID:38136356 | PMID:40723243,10.3390/brainsci12060720 | 10.1002/1878-0261.13704 | 10.3390/cancers15245811 | 10.3390/cancers17142359,Integrated Drug Mining Reveals Actionable Strategies Inhibiting Plexiform Neurofibromas. | Inhibition of autophagy as a novel treatment for neurofibromatosis type 1 tumors. | Drug Responses in Plexiform Neurofibroma Type I (PNF1) Cell Lines Using High-Throughput Data and Combined Effectiveness and Potency. | The Combination of HSP90 Inhibitors and Selumetinib Reinforces the Inhibitory Effects on Plexiform Neurofibromas.,,"including ipNF05.5 (mixed clone), ipNF05.5 (single clone), ipNF95.11bC, ipNF95.6, and ipnNF95.11c | ipnNF95.11C (hTERT NF1 ipnNF95.11c, RRID: CVCL_UI69; NF −/− ) and ipNF95.11b 'C' | ...immortalized NF1 −/−, NF1 +/−, and NF1 +/+ cell lines [16], with the fluorescence intensity indicating survival and proliferation after treatment... | pNF cell lines, ipNF95.11bC, ipnNF95.11c, ipNF05.5 Single Clone, and ipNF05.5 Mixed Clones were obtained from the American Type Culture Collection",0.95,Accept,Experimental Usage,ipnNF95.11c
6f3ef438-16e5-5ded-b91a-e0b3f8086c69,Kidney,,,,Cancer cell line,,,,,,,COS-7,PMID:40225167,10.1155/2023/9628049,Functional Assays Combined with Pre-mRNA-Splicing Analysis Improve Variant Classification and Diagnostics for Individuals with Neurofibromatosis Type 1 and Legius Syndrome.,,HEK 293 T and COS-7 cells were maintained in Dulbecco's Modified Eagle Medium (DMEM),0.9,Accept,Experimental Usage,COS-7
ffd2b57e-8920-5631-9047-ef384b8e5fd3,Embryonic tissue,,,Neurofibromatosis Type 1,Finite cell line,,,,,,,Nf1-/- mouse embryo fibroblasts,PMID:21199799,10.1158/0008-5472.CAN-10-2732,Dose-dependent effects of focal fractionated irradiation on secondary malignant neoplasms in Nf1 mutant mice.,,"Nf1−/−, Nf1+/−, and wildtype mouse embryo fibroblasts were generated as previously described (15).",0.9,Accept,Experimental Usage,Nf1-/- mouse embryo fibroblasts
bcd30b69-1586-5ceb-abe5-4b9e19466fe4,Nerve,Peripheral nerve sheath,Malignant Peripheral Nerve Sheath Tumor,Neurofibromatosis Type 1,Cancer cell line,,,,,,,T265-2c,PMID:24824755,10.1371/journal.pone.0096733,BNIP3 regulates AT101 [(-)-gossypol] induced death in malignant peripheral nerve sheath tumor cells.,,"T265-2c cells, ST88-14 cells and 90-8 cells, the human NF1-associated MPNST lines used in this study",0.9,Accept,Experimental Usage,T265-2c
