clinicalAssessmentToolId,assessmentName,assessmentType,targetPopulation,diseaseSpecific,numberOfItems,scoringMethod,validatedLanguages,psychometricProperties,administrationTime,availabilityStatus,licensingRequirements,digitalVersion,_pmid,_doi,_publicationTitle,_foundIn,_confidence,_contextSnippet,_whyMissed,_reasoning,_source,_completenessScore,_criticalFieldsScore,_missingCriticalFields,_hasMinimumFields
a4f5e8ff-5110-443b-a3b2-869c701e7897,vestibulo-ocular reflex,,,,,,,,,,,,PMID:21352477,,Motor deficits in neurofibromatosis type 1 mice: the role of the cerebellum.,abstract,0.8,...no performance deficits were found in the optokinetic reflex and vestibulo-ocular reflex in the dark (VOR) or in the light (VVOR)...,"Physiological assessment protocol for testing vestibular-motor reflexes, includes VOR and VVOR variants",,AI validation - Sonnet 4.5,0,0,,
465f00a3-24f0-4e86-af8e-fa193a03982d,VOR adaptation paradigms,,,,,,,,,,,,PMID:21352477,,Motor deficits in neurofibromatosis type 1 mice: the role of the cerebellum.,abstract,0.75,"...Nf1(+/-) mice successfully completed short- and long-term VOR adaptation paradigms, tests that both depend on cerebellar function...",Specific behavioral testing protocols for cerebellar function assessment,,AI validation - Sonnet 4.5,0,0,,
8379a498-2028-430c-a73e-489ade9590a4,NIH criteria,,,,,,,,,,,,PMID:21963267,,Choroidal abnormalities detected by near-infrared reflectance imaging as a new diagnostic criterion for neurofibromatosis 1.,abstract,0.9,"...95 consecutive adult and pediatric patients (190 eyes) with NF1, diagnosed based on the National Institutes of Health (NIH) criteria. Controls included 100 healthy age- and gender-matched control subjects...",Standard diagnostic criteria are clinical assessment tools but may not have been recognized by mining patterns focused on questionnaires/scales,,AI validation - Sonnet 4.5,0,0,,
94e6ec9b-7809-4b3a-8b4a-50aab2a2e575,Confocal scanning laser ophthalmoscopy,,,,,,,,,,,,PMID:21963267,,Choroidal abnormalities detected by near-infrared reflectance imaging as a new diagnostic criterion for neurofibromatosis 1.,abstract,0.85,"...METHODS: Confocal scanning laser ophthalmoscopy was performed for each subject, investigating the presence and the number of choroidal abnormalities...",Imaging-based diagnostic technique may not have been captured by patterns focused on questionnaires rather than diagnostic imaging methods,,AI validation - Sonnet 4.5,0,0,,
f190dff2-1d80-4ed5-9a93-d55e83bd47ff,PedsQL™ NF1 Module,,,,,,,,,,,,PMID:23432799,,"Development of the adult PedsQL™ neurofibromatosis type 1 module: initial feasibility, reliability and validity.",abstract,0.98,"The objective of this study was to develop an NF1 HRQOL instrument as a module of PedsQL™ and to test for its initial feasibility, internal consistency reliability and validity in adults with NF1.",This is the primary clinical assessment tool being developed in this study - a validated questionnaire for measuring health-related quality of life in NF1 patients,,AI validation - Sonnet 4.5,0,0,,
f979601e-be3c-4762-8ec4-a4555377c783,PedsQL™ 4.0 Generic Core Scales,,,,,,,,,,,,PMID:23432799,,"Development of the adult PedsQL™ neurofibromatosis type 1 module: initial feasibility, reliability and validity.",methods,0.85,"The NF1 HRQOL format, instructions, and Likert response scale are similar to the PedsQL™ 4.0 Generic Core Scales and other PedsQL™ Disease-Specific Modules.",Referenced as an established clinical assessment tool used as a template for the new NF1 module,,AI validation - Sonnet 4.5,0,0,,
4923dd7d-42b7-4a58-a418-5bbaebb1fd8a,PedsQL™ Arthritis Module,,,,,,,,,,,,PMID:23432799,,"Development of the adult PedsQL™ neurofibromatosis type 1 module: initial feasibility, reliability and validity.",methods,0.8,"Pertinent questions were drawn from the existing PedsQL™ Arthritis, Cancer, Cerebral Palsy and Family Impact Modules",Existing validated clinical assessment tool used as source material for developing the NF1 module,,AI validation - Sonnet 4.5,0,0,,
c49f6dad-f801-4373-89a8-93a1896fbc52,PedsQL™ Cancer Module,,,,,,,,,,,,PMID:23432799,,"Development of the adult PedsQL™ neurofibromatosis type 1 module: initial feasibility, reliability and validity.",methods,0.8,"Pertinent questions were drawn from the existing PedsQL™ Arthritis, Cancer, Cerebral Palsy and Family Impact Modules",Existing validated clinical assessment tool used as source material for developing the NF1 module,,AI validation - Sonnet 4.5,0,0,,
89456ecc-2dec-42d6-bd85-9780998b06a3,PedsQL™ Cerebral Palsy Module,,,,,,,,,,,,PMID:23432799,,"Development of the adult PedsQL™ neurofibromatosis type 1 module: initial feasibility, reliability and validity.",methods,0.8,"Pertinent questions were drawn from the existing PedsQL™ Arthritis, Cancer, Cerebral Palsy and Family Impact Modules",Existing validated clinical assessment tool used as source material for developing the NF1 module,,AI validation - Sonnet 4.5,0,0,,
a59878c0-ef70-4425-8832-6f621b68a543,PedsQL™ Family Impact Module,,,,,,,,,,,,PMID:23432799,,"Development of the adult PedsQL™ neurofibromatosis type 1 module: initial feasibility, reliability and validity.",methods,0.8,"Pertinent questions were drawn from the existing PedsQL™ Arthritis, Cancer, Cerebral Palsy and Family Impact Modules",Existing validated clinical assessment tool used as source material for developing the NF1 module,,AI validation - Sonnet 4.5,0,0,,
bf6ca1d3-cbda-4b5e-8bd4-af5d50de4784,Short Form 36 health survey (SF-36),,,,,,,,,,,,PMID:23432799,,"Development of the adult PedsQL™ neurofibromatosis type 1 module: initial feasibility, reliability and validity.",introduction,0.9,Studies of generic instruments showed that NF1 had a significant impact on all domains of the Short Form 36 health survey (SF-36) when compared to the normative population,Well-established clinical assessment tool referenced for comparison and validation purposes,,AI validation - Sonnet 4.5,0,0,,
d740d4d1-4092-4c1e-9db2-bce90d54fb8f,Teller acuity cards,,,,,,,,,,,,PMID:24249802,,Functional outcome measures for NF1-associated optic pathway glioma clinical trials.,abstract,0.95,...Visual acuity (VA) assessments using consistent quantitative testing methods are recommended as the main functional outcome measure for NF1-OPG clinical trials. Teller acuity cards are recommended for use as the primary VA endpoint...,This is a specific visual acuity assessment tool recommended as the primary endpoint for clinical trials. It's a standardized clinical assessment instrument.,,AI validation - Sonnet 4.5,0,0,,
b7a0e759-8456-4033-90ed-757e8708e371,HOTV,,,,,,,,,,,,PMID:24249802,,Functional outcome measures for NF1-associated optic pathway glioma clinical trials.,abstract,0.9,"...Teller acuity cards are recommended for use as the primary VA endpoint, and HOTV as a secondary endpoint once subjects are old enough to complete it...",HOTV is a specific visual acuity test used as a secondary endpoint. It's a standardized clinical assessment tool for measuring visual acuity in children.,,AI validation - Sonnet 4.5,0,0,,
81f385d2-238b-4c10-a868-28760890abde,Children's Visual Function Questionnaire,,,,,,,,,,,,PMID:24249802,,Functional outcome measures for NF1-associated optic pathway glioma clinical trials.,abstract,0.95,"...Given the importance of capturing patient-reported outcomes in clinical trials, evaluating visual quality of life using the Children's Visual Function Questionnaire as a secondary endpoint is also proposed...",This is a validated quality of life questionnaire specifically designed to assess visual function in children. It's a patient-reported outcome measure (PROM) recommended for clinical trials.,,AI validation - Sonnet 4.5,0,0,,
f65cd70e-2279-4ce7-97a1-52ec9a6bbfd4,Numerical Rating Scale-11,,,,,,,,,,,,PMID:24249806,,Patient-reported outcomes in neurofibromatosis and schwannomatosis clinical trials.,methods,0.95,"Within the subdomain of pain intensity, the group reviewed the Numerical Rating Scale-11 (NRS-11), the Visual Analogue Scale, and the Faces Pain Scale-Revised using this process.",This is a validated pain assessment scale that was systematically reviewed by the REiNS PRO group. The mining may have missed it due to the hyphenated format (NRS-11) or lack of specific clinical assessment tool patterns.,,AI validation - Sonnet 4.5,0,0,,
1b39a0e3-bba4-4ae5-ad1d-7e5ef3784ee5,NRS-11,,,,,,,,,,,,PMID:24249806,,Patient-reported outcomes in neurofibromatosis and schwannomatosis clinical trials.,results,0.95,"However, the NRS-11 was given the highest rating for use in NF clinical trials due to recommendations from pain experts and other consensus groups, its extensive use in research, strong psychometric data including sensitivity to change, and excellent feasibility in ages ≥8 years.",This is the abbreviated form of the Numerical Rating Scale-11. The mining patterns may not have recognized this abbreviated clinical assessment tool name.,,AI validation - Sonnet 4.5,0,0,,
3bd66e1c-8d33-474b-8abe-59bb5cfb1089,Visual Analogue Scale,,,,,,,,,,,,PMID:24249806,,Patient-reported outcomes in neurofibromatosis and schwannomatosis clinical trials.,methods,0.9,"Within the subdomain of pain intensity, the group reviewed the Numerical Rating Scale-11 (NRS-11), the Visual Analogue Scale, and the Faces Pain Scale-Revised using this process.",This is a widely used pain assessment scale that was systematically reviewed. The mining may have missed it due to lack of specific patterns for this common clinical assessment tool.,,AI validation - Sonnet 4.5,0,0,,
b0e61463-7ab6-4f34-964e-d7136bf2bc2f,Faces Pain Scale-Revised,,,,,,,,,,,,PMID:24249806,,Patient-reported outcomes in neurofibromatosis and schwannomatosis clinical trials.,methods,0.9,"Within the subdomain of pain intensity, the group reviewed the Numerical Rating Scale-11 (NRS-11), the Visual Analogue Scale, and the Faces Pain Scale-Revised using this process.",This is a validated pediatric pain assessment scale that was systematically reviewed. The mining may have missed it due to the compound name format or lack of specific pediatric assessment tool patterns.,,AI validation - Sonnet 4.5,0,0,,
b0ac720b-cbfb-48fc-a18e-f567bb3a60e0,WHO criteria,,,,,,,,,,,,PMID:24500418,,"Phase 2 randomized, flexible crossover, double-blinded, placebo-controlled trial of the farnesyltransferase inhibitor tipifarnib in children and young adults with neurofibromatosis type 1 and progressive plexiform neurofibromas.",results,0.9,...Volumetric tumor measurement detected tumor progression earlier than conventional 2-dimensional (WHO) and 1-dimensional (RECIST) methods...,WHO tumor response criteria are a standardized clinical assessment tool but may have been missed due to abbreviated mention,,AI validation - Sonnet 4.5,0,0,,
0739a2f7-1fd1-4813-be99-28fe64a0f609,RECIST,,,,,,,,,,,,PMID:24500418,,"Phase 2 randomized, flexible crossover, double-blinded, placebo-controlled trial of the farnesyltransferase inhibitor tipifarnib in children and young adults with neurofibromatosis type 1 and progressive plexiform neurofibromas.",results,0.9,...Volumetric tumor measurement detected tumor progression earlier than conventional 2-dimensional (WHO) and 1-dimensional (RECIST) methods...,RECIST (Response Evaluation Criteria in Solid Tumors) is a standardized clinical assessment tool but may have been missed due to abbreviated mention,,AI validation - Sonnet 4.5,0,0,,
ea0093c9-f451-41c5-9bbc-6b37bf45c48b,WISC-III,,,,,,,,,,,,PMID:24559228,,Abnormal late visual responses and alpha oscillations in neurofibromatosis type 1: a link to visual and attention deficits.,methods,0.95,"We administered the Portuguese adapted version of the Wechsler Intelligence Scale for Children (WISC-III), in all participants with NF1",Validated clinical assessment tool (intelligence scale) administered to study participants,,AI validation - Sonnet 4.5,0,0,,
93ba2f8e-7230-4bb4-97f5-e864617eb97c,NFTI-QOL,,,,,,,,,,,,PMID:24619350,,Longitudinal evaluation of quality of life in 288 patients with neurofibromatosis 2.,abstract,0.98,The disease-focused NF2 impact on quality of life (NFTI-QOL) patient questionnaire was assessed as an outcome measure for treatment in a multi-centre study.,This is the primary clinical assessment tool being validated and used throughout the study. It's an 8-item questionnaire specifically designed for NF2 patients to measure quality of life impact.,,AI validation - Sonnet 4.5,0,0,,
44d149a5-7da7-498b-94be-3938ebf8dfe5,auditory brainstem response,,,,,,,,,,,,PMID:25113746,,A murine model of neurofibromatosis type 2 that accurately phenocopies human schwannoma formation.,abstract,1.0,"development of cranial nerve VIII tumors correlates with functional impairments in hearing and balance, as measured by auditory brainstem response and vestibular testing",Clinical assessment tools may not be well-covered in bench research mining patterns,,AI validation - Sonnet 4.5,0,0,,
825249a5-cb67-4177-b86d-7399e6d9b2f4,Paper frames method,,,,,,,,,,,,PMID:25475340,,Validity and interexaminer reliability of a new method to quantify skin neurofibromas of neurofibromatosis 1 using paper frames.,methods,0.98,"Paper frames, with a central square measuring 100 cm2, were placed on the back, abdomen and thigh. Images were taken, transferred to a computer and two independent examiners counted the neurofibromas.",This is the main clinical assessment tool developed and validated in this study - a standardized method for quantifying skin neurofibromas using 100cm² paper frames,,AI validation - Sonnet 4.5,0,0,,
69e6598d-9daa-44ac-a8a1-75268f706519,Rotarod apparatus,,,,,,,,,,,,PMID:25535838,,Transient inhibition of the ERK pathway prevents cerebellar developmental defects and improves long-term motor functions in murine models of neurofibromatosis type 1.,methods,1.0,Motor function and motor learning were evaluated by rotarod apparatus,Behavioral testing equipment not captured by patterns,,AI validation - Sonnet 4.5,0,0,,
d3647482-bf25-49f5-a1bc-9eb51ce22c45,National Institutes of Health diagnostic criteria for NF1,,,,,,,,,,,,PMID:25557241,,Outcomes of preimplantation genetic diagnosis in neurofibromatosis type 1.,introduction,0.9,"Neurofibromatosis type 1 (NF1, OMIM No. 162200) is a neurocutaneous disorder characterized by café-au-lait macules, freckling, neurofibromas",Standardized diagnostic criteria not captured as clinical assessment tool,,AI validation - Sonnet 4.5,0,0,,
c74f801c-87ce-4e54-9b0a-b44c41e6aec3,ACMG/AMP classification system,,,,,,,,,,,,PMID:25557241,,Outcomes of preimplantation genetic diagnosis in neurofibromatosis type 1.,methods,0.95,Newly described variants (n = 76) were scored using the American College of Medical Genetics and Genomics (ACMG) and the Association for Molecular Pathology (AMP) classification system,Variant classification system not recognized as clinical assessment tool,,AI validation - Sonnet 4.5,0,0,,
90c87bc6-8e8c-4d40-9695-bc5218a221bc,ESHRE guidelines,,,,,,,,,,,,PMID:25557241,,Outcomes of preimplantation genetic diagnosis in neurofibromatosis type 1.,methods,0.85,All PGT assays were designed and validated according to local protocols and ESHRE guidelines,Clinical practice guidelines not captured as assessment tools,,AI validation - Sonnet 4.5,0,0,,
006e6f68-8302-4d10-ae45-ec30383a8d09,Wechsler Abbreviated Scale of Intelligence (WASI),,,,,,,,,,,,PMID:27081657,,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,methods,1.0,"Full‐Scale IQ of at least 70, as determined by the Wechsler Abbreviated Scale of Intelligence (WASI 15 )",Standard neuropsychological assessment tool with clear usage context and reference number,,AI validation - Sonnet 4.5,0,0,,
e27409b0-250d-4e3f-90ce-54e5fa289caa,Brief Visuospatial Memory Test – Revised (BVMT-R),,,,,,,,,,,,PMID:27081657,,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,methods,1.0,"the Brief Visuospatial Memory Test – Revised (BVMT, Immediate and Delayed 19 ; nonverbal declarative memory)",Primary outcome measure - validated neuropsychological test for nonverbal memory assessment,,AI validation - Sonnet 4.5,0,0,,
fa3de276-2352-48a5-84eb-425c35d9ce36,Letter-Number Sequencing task (LNS),,,,,,,,,,,,PMID:27081657,,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,methods,1.0,the Letter‐Number Sequencing task (LNS 20 ; working memory),Primary outcome measure - standardized working memory assessment tool,,AI validation - Sonnet 4.5,0,0,,
174359b1-5e76-461f-9dfe-fb00628e5382,Hopkins Verbal Learning Test (HVLT),,,,,,,,,,,,PMID:27081657,,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,methods,1.0,Hopkins Verbal Learning Test (HVLT; verbal declarative memory 22 ),Secondary outcome measure - validated verbal memory assessment tool,,AI validation - Sonnet 4.5,0,0,,
918987b4-aab7-4e78-8499-1f146ab24cec,Digit Cancellation,,,,,,,,,,,,PMID:27081657,,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,methods,1.0,Digit Cancellation (attention/inhibitory control) 21,Secondary outcome measure - attention/inhibitory control assessment tool,,AI validation - Sonnet 4.5,0,0,,
b91c1359-0220-4e0c-8a2a-2acc1a9ba40f,WISC-III Object Assembly,,,,,,,,,,,,PMID:27081657,,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,methods,1.0,WISC‐III Object Assembly (visuoconstructive ability) 23,Secondary outcome measure - visuoconstructive ability assessment from Wechsler Intelligence Scale,,AI validation - Sonnet 4.5,0,0,,
05a69a28-8a33-4dbd-91fe-f168a62a39e2,Achenbach Child Behavior Checklist (CBCL),,,,,,,,,,,,PMID:27081657,,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,methods,1.0,"Achenbach Child Behavior Checklist (CBCL; self‐ and parent‐report) or Young Adult Self Report (YASR) 24 , 25",Secondary outcome measure - validated behavioral assessment questionnaire,,AI validation - Sonnet 4.5,0,0,,
2356d95a-06e1-4c4a-bee9-1574f3be8e34,Young Adult Self Report (YASR),,,,,,,,,,,,PMID:27081657,,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,methods,1.0,"Achenbach Child Behavior Checklist (CBCL; self‐ and parent‐report) or Young Adult Self Report (YASR) 24 , 25",Secondary outcome measure - validated behavioral assessment questionnaire for adults,,AI validation - Sonnet 4.5,0,0,,
379481d9-9b06-4833-b49c-51ade0f411b0,Neuropsychological Assessment Battery (NAB) Mazes,,,,,,,,,,,,PMID:27081657,,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,methods,1.0,the Neuropsychological Assessment Battery (NAB) Mazes 26,Tertiary outcome measure - standardized neuropsychological assessment tool,,AI validation - Sonnet 4.5,0,0,,
a4d43357-7d4e-4741-937a-6739f816d32a,Delis–Kaplan Executive Function Scale (D-KEFS),,,,,,,,,,,,PMID:27081657,,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,methods,1.0,Delis‑Kaplan Executive Function Scale (D‐KEFS) verbal fluency (category and letter fluency) 27,Tertiary outcome measure - executive function assessment battery,,AI validation - Sonnet 4.5,0,0,,
d8af2dec-8867-4aea-aac3-dcb9a282fc90,Behavior Rating Inventory of Executive Function (BRIEF),,,,,,,,,,,,PMID:27081657,,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,methods,1.0,Behavior Rating Inventory of Executive Function (BRIEF; General Executive Composite (GEC) score) 28,Tertiary outcome measure - executive function rating scale,,AI validation - Sonnet 4.5,0,0,,
e1c9deda-979b-442e-a94b-74e0cdbb911f,Spatial Capacity Working Memory (SCAP) task,,,,,,,,,,,,PMID:27081657,,A randomized placebo-controlled lovastatin trial for neurobehavioral function in neurofibromatosis I.,methods,0.9,"A spatial working memory functional MRI paradigm, designed to be analogous to the behavioral tasks used in the mouse model",Functional MRI task - specialized working memory assessment tool,,AI validation - Sonnet 4.5,0,0,,
0809d275-03c6-4f70-8f57-83d6ca5c112b,Wechsler Adult Intelligence Scale (WAIS-III),,,,,,,,,,,,PMID:27458360,,COMT Val(158)Met Polymorphism Is Associated with Verbal Working Memory in Neurofibromatosis Type 1.,methods,0.95,"General intellectual functioning was assessed by the third version of the Brazilian Wechsler Intelligence Scales (WAIS-III or WISC-III for adults and children, respectively; Wechsler, 2002, 2004).",Standardized clinical assessment tool name not captured by mining patterns,,AI validation - Sonnet 4.5,0,0,,
84248819-8080-4a3f-ac82-f03687b9d408,Wechsler Intelligence Scale for Children (WISC-III),,,,,,,,,,,,PMID:27458360,,COMT Val(158)Met Polymorphism Is Associated with Verbal Working Memory in Neurofibromatosis Type 1.,methods,0.95,"General intellectual functioning was assessed by the third version of the Brazilian Wechsler Intelligence Scales (WAIS-III or WISC-III for adults and children, respectively; Wechsler, 2002, 2004).",Standardized clinical assessment tool name not captured by mining patterns,,AI validation - Sonnet 4.5,0,0,,
82efebea-0e48-47d1-9285-2526d81b0750,Digit-span subtest,,,,,,,,,,,,PMID:27458360,,COMT Val(158)Met Polymorphism Is Associated with Verbal Working Memory in Neurofibromatosis Type 1.,methods,0.9,"All participants completed the age-appropriate digit-span subtest of the Wechsler Adult and Children Intelligence Scales (Wechsler, 2002, 2004)",Specific neuropsychological test component not captured,,AI validation - Sonnet 4.5,0,0,,
aaedcdcf-aac9-440d-ba75-3125b5a571b6,Corsi block-tapping task,,,,,,,,,,,,PMID:27458360,,COMT Val(158)Met Polymorphism Is Associated with Verbal Working Memory in Neurofibromatosis Type 1.,methods,0.95,"All participants completed the age-appropriate digit-span subtest of the Wechsler Adult and Children Intelligence Scales (Wechsler, 2002, 2004) and the Corsi block-tapping task (Kessels et al., 2000, 2008).",Visuospatial working memory assessment tool not captured,,AI validation - Sonnet 4.5,0,0,,
5502243f-8405-4488-9967-0ac35843fb9a,School Achievement Test,,,,,,,,,,,,PMID:27458360,,COMT Val(158)Met Polymorphism Is Associated with Verbal Working Memory in Neurofibromatosis Type 1.,methods,0.9,"We adopted the arithmetic subtest from the School Achievement Test (Stein, 1994), as an objective measure of school performance.",Academic assessment tool not captured by mining patterns,,AI validation - Sonnet 4.5,0,0,,
