_pmid,_doi,_publicationTitle,_year,_context,_confidence,_verdict,_usageType,softwareName,softwareType,softwareVersion,programmingLanguage,sourceRepository,documentation,licenseType,containerized,maintainer
PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,,...we implemented a recently described method called 'LMSz' to construct NF1-specific head circumference growth charts...,0.9,Accept,Experimental Usage,LMSz,Analysis Software,,,,,,,
PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,,"...we fit generalized additive models for location, scale, and space (GAMLSS) with the normal distribution family...",0.85,Accept,Experimental Usage,GAMLSS,Package/Library,,R,,,,,
PMID:41468561,10.1212/WNL.0000000000214480,NF1-Specific Growth Charts for Head Circumference Over the First 3 Years of Life.,,...GAMLSS model visualization was performed using customized R functions (https://github.com/BGDlab/gamlssTools)...,0.9,Accept,Experimental Usage,gamlssTools,Package/Library,,R,https://github.com/BGDlab/gamlssTools,,,,
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,"Primary hippocampal (300,000 cells/well), RGC (300,000 cells/well), or DRG neurons (150,000 cells/well) from each of the strains assayed were plated on AXION Biosystems 48-well MEA plates",0.85,Accept,Experimental Usage,AXION Biosystems 48-well MEA plates,Analysis Software,,,,,,,
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,All neurons were recorded for 3 min at a 4.5 standard deviation threshold level and 5000 Hz as a digital filter using AXION Biosystems integrated studio (AxIS) version 2.5.1 software,0.95,Accept,Experimental Usage,AXION Biosystems integrated studio (AxIS) version 2.5.1,Analysis Software,2.5.1,,,,,,
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,Representative traces of action potentials were extracted using the AXION Biosystems neural metric tool and Offline sorter x64 version 4 software,0.9,Accept,Experimental Usage,Offline sorter x64 version 4,Analysis Software,4,,,,,,
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,"Images were acquired using Image Studio Lite Version 5.2 software, and LAS AF Lite 3.2.0 software and analyzed using ImageJ 1.53a software",0.9,Accept,Experimental Usage,ImageJ 1.53a,Analysis Software,1.53a,,,,,,
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,"The analysis for this paper was generated using Partek Flow software, version 10.0 using publicly available datasets",0.95,Accept,Experimental Usage,"Partek Flow software, version 10.0",Analysis Software,10.0,,,,,,
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,RNA-seq reads were aligned to the Ensembl release 100 top-level assembly with STAR version 2.7.8a,0.95,Accept,Experimental Usage,STAR version 2.7.8a,Analysis Software,2.7.8a,,,,,,
PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,"All statistical tests were performed using GraphPad Prism software (versions v5, v_8.2.1, and v_9.3.1)",0.8,Accept,Experimental Usage,GraphPad Prism,Analysis Software,"v5, v_8.2.1, and v_9.3.1",,,,,,
PMID:40299482,10.3390/biomedicines13040907,Sleep Disorders in Pediatric Patients Affected by Neurofibromatosis Type 1: Reports of a Questionnaire and an Apple Watch Sleep Assessment.,,Apple Watch Ultra model 2 (application: Sleep++) was performed in all the patients with a total of three different measurements,0.8,Accept,Experimental Usage,Sleep++,Analysis Software,,,,,,,
PMID:12057013,10.1186/1471-2164-3-13,Complex splicing pattern generates great diversity in human NF1 transcripts.,,using the Thermo Sequenase fluorescent labelled primer cycle sequencing kit (Amersham Biosciences) and analysed on an ALF-express automated DNA sequencer (Amersham Biosciences).,0.8,Accept,Experimental Usage,ALF-express automated DNA sequencer,Analysis Software,,,,,,,
PMID:12057013,10.1186/1471-2164-3-13,Complex splicing pattern generates great diversity in human NF1 transcripts.,,"The sequence environment of all donor- and acceptor sites was analysed using Splice Site Prediction by Neural Network (SSPNN, URL address:",0.9,Accept,Experimental Usage,Splice Site Prediction by Neural Network (SSPNN),Web Application,,,,,,,
PMID:12057013,10.1186/1471-2164-3-13,Complex splicing pattern generates great diversity in human NF1 transcripts.,,The mfold computer program version 3.0 was used to predict the RNA secondary structure and to calculate the folding free energy,0.95,Accept,Experimental Usage,mfold computer program version 3.0,Analysis Software,3.0,,,,,,
PMID:28465357,10.1101/gad.298703.117,Identification of hair shaft progenitors that create a niche for hair pigmentation.,,The quantification of HF melanin density and DCT immunofluorescence staining intensity was performed with ImageJ software (National Institutes of Health),0.85,Accept,Experimental Usage,ImageJ,Analysis Software,,,,,,,
PMID:28465357,10.1101/gad.298703.117,Identification of hair shaft progenitors that create a niche for hair pigmentation.,,"Data statistical analyses were performed by unpaired two-tailed Student's t-test (Prism7, GraphPad)",0.85,Accept,Experimental Usage,Prism7 (GraphPad),Analysis Software,7,,,,,,
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,IncuCyte proliferation analysis was used to measure the effect of NF1 deficiency on cell proliferation,0.85,Accept,Experimental Usage,IncuCyte,Analysis Software,,,,,,,
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,We measured cellular energetics using Agilent Seahorse XF-96 Glyco Stress Test and Mito Stress Test assays,0.9,Accept,Experimental Usage,Agilent Seahorse XF-96,Analysis Software,,,,,,,
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,GENCODE was used to map FASTQ files to GRCh38 (release 33 with STAR v2.7.8a basic two-pass mode),0.9,Accept,Experimental Usage,STAR v2.7.8a,Analysis Software,v2.7.8a,,,,,,
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,principal component analysis was computed using iDEP 9.1,0.9,Accept,Experimental Usage,iDEP 9.1,Analysis Software,9.1,,,,,,
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,Trim Galore v0.6.0 was used to trim sequencing adapters from demultiplexed FASTQ files,0.9,Accept,Experimental Usage,Trim Galore v0.6.0,Analysis Software,v0.6.0,,,,,,
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"Lipid identifications were assigned using LipidSearch (v5.0, Thermo Fisher Scientific)",0.9,Accept,Experimental Usage,LipidSearch v5.0,Analysis Software,v5.0,,,,,,
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"Data was analyzed using Compound Discoverer (v 3.2, Thermo Fisher Scientific)",0.9,Accept,Experimental Usage,Compound Discoverer v3.2,Analysis Software,v3.2,,,,,,
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,Synergy was calculated using the SynergyFinder R package,0.9,Accept,Experimental Usage,SynergyFinder R package,Package/Library,,R,,,,,
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,"ATP metrics were calculated following Mookerjee et al., 2017 and using the CEAS R Package",0.9,Accept,Experimental Usage,CEAS R Package,Package/Library,,R,,,,,
PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,PCA analysis was performed using the FactoMineR R package,0.9,Accept,Experimental Usage,FactoMineR R package,Package/Library,,R,,,,,
PMID:34930951,10.1038/s41536-021-00195-3,A bioinspired gelatin-hyaluronic acid-based hybrid interpenetrating network for the enhancement of retinal ganglion cells replacement therapy.,,"ImageJ (Fiji, NIH) was used to track the center of n = 15–17 particles for each sample",0.9,Accept,Experimental Usage,ImageJ,Analysis Software,,,,,,,
PMID:34930951,10.1038/s41536-021-00195-3,A bioinspired gelatin-hyaluronic acid-based hybrid interpenetrating network for the enhancement of retinal ganglion cells replacement therapy.,,"A MATLAB program was then used to track the particles, calculate the instantaneous mean square displacement",0.85,Accept,Experimental Usage,MATLAB,Analysis Software,,MATLAB,,,,,
PMID:34930951,10.1038/s41536-021-00195-3,A bioinspired gelatin-hyaluronic acid-based hybrid interpenetrating network for the enhancement of retinal ganglion cells replacement therapy.,,"The phenotype of hRGC was analyzed using flow cytometry with the MACSQuant flow cytometer (Miltenyi, San Diego)",0.85,Accept,Experimental Usage,MACSQuant flow cytometer,Analysis Software,,,,,,,
PMID:34930951,10.1038/s41536-021-00195-3,A bioinspired gelatin-hyaluronic acid-based hybrid interpenetrating network for the enhancement of retinal ganglion cells replacement therapy.,,Digital images were obtained with an epifluorescence confocal microscope (Leica SP8) using 63x-oil objective,0.85,Accept,Experimental Usage,Leica SP8 confocal microscope,Analysis Software,,,,,,,
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,data were processed with FlowJo software (version X10.0.7),0.85,Accept,Experimental Usage,FlowJo software,Analysis Software,X10.0.7,,,,,,
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,"measured at 450 nm using the SpectraMax M5 microplate reader (Molecular Devices, San Jose, CA, USA)",0.85,Accept,Experimental Usage,SpectraMax M5 microplate reader,Analysis Software,,,,,,,
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,"An Orbitrap Fusion Lumos mass spectrometer (Thermo Fisher Scientific Inc., Waltham, MA, USA)",0.9,Accept,Experimental Usage,Orbitrap Fusion Lumos mass spectrometer,Analysis Software,,,,,,,
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,The Image J software (version 1.51) was used to analyze the relative density,0.85,Accept,Experimental Usage,ImageJ software,Analysis Software,1.51,,,,,,
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,We used the STRING database (version 11.0) (https://cn.string-db.org/),0.85,Accept,Experimental Usage,STRING database,Database,11.0,,https://cn.string-db.org/,,,,
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,Cytoscape (version 3.7.2) was used to construct the network,0.85,Accept,Experimental Usage,Cytoscape,Analysis Software,3.7.2,,,,,,
PMID:41149489,10.3390/curroncol32100569,Small Extracellular Vesicles Derived from NF2-Associated Schwannoma Cells Modulate Tumor Progression and Immunity via HSP90.,,analyses were performed using GraphPad Prism (version 9.5.0),0.85,Accept,Experimental Usage,GraphPad Prism,Analysis Software,9.5.0,,,,,,
PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,"evaluated using an ex vivo µCT imaging system (Scanco µCT 40, Scanco Medical, Bassersdorf, Switzerland)",0.8,Accept,Experimental Usage,Scanco µCT 40,Analysis Software,,,,,,,
PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,"positioned on the bottom two supports such that callus was directly below the top loading point at the end of the actuator (Dynamight 8841, Instron)",0.75,Accept,Experimental Usage,Dynamight 8841,Analysis Software,,,,,,,
PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,"Histomorphometric measurements were performed using the Bioquant Analysis System (Nashville, TN, USA)",0.8,Accept,Experimental Usage,Bioquant Analysis System,Analysis Software,,,,,,,
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,Time-corrected data were analyzed in SEDFIT 16.1 in terms of a continuous c(s) distribution of sedimenting species,0.9,Accept,Experimental Usage,SEDFIT 16.1,Analysis Software,16.1,,,,,,
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,Protein partial specific volumes were calculated based on their composition in SEDNTERP,0.85,Accept,Experimental Usage,SEDNTERP,Analysis Software,,,,,,,
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,Data were analyzed globally in terms of a single noninteracting species in SEDPHAT 14.0 to obtain the molar mass,0.9,Accept,Experimental Usage,SEDPHAT 14.0,Analysis Software,14.0,,,,,,
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,Negatively-stained neurofibromin particles were autopicked using EMAN2 e2boxer using a box size of 326 pixels,0.9,Accept,Experimental Usage,EMAN2 e2boxer,Analysis Software,,,,,,,
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,Reference-free 2D classification was carried out using the Iterative Stable Alignment and Clustering (ISAC) procedure implemented in a Sphire package,0.9,Accept,Experimental Usage,Sphire,Package/Library,,,,,,,
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,All further analyses and visualizations were performed using Chimera,0.85,Accept,Experimental Usage,Chimera,Analysis Software,,,,,,,
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,Full-length NF1 dimer data were low-pass filtered to 60 Å and used as a reference in Relion for refinement of the model,0.85,Accept,Experimental Usage,Relion,Analysis Software,,,,,,,
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,Data reduction followed standard procedures using MantidPlot,0.85,Accept,Experimental Usage,MantidPlot,Analysis Software,,,,,,,
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,The reduced SAXS and SANS data were analyzed using the ATSAS tools PRIMUS and GNOM for Guinier and P(r) analysis,0.9,Accept,Experimental Usage,ATSAS,Package/Library,,,,,,,
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,The DAMMIF program within ATSAS was used to generate ab initio shape reconstruction models,0.85,Accept,Experimental Usage,DAMMIF,Analysis Software,,,,,,,
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,A theoretical SAXS curve was generated from the final negatively-stained EM model of neurofibromin holoprotein using the ATSAS tool EM2DAM,0.85,Accept,Experimental Usage,EM2DAM,Analysis Software,,,,,,,
PMID:31836666,10.1074/jbc.RA119.010934,Biochemical and structural analyses reveal that the tumor suppressor neurofibromin (NF1) forms a high-affinity dimer.,,"Using the contrast module of MULCh, the NF1 sequence was used to calculate Δρ in H2O buffer",0.85,Accept,Experimental Usage,MULCh,Analysis Software,,,,,,,
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,Mapping was performed using STAR 2.4.2a software with mouse genome (mm9),0.9,Accept,Experimental Usage,STAR 2.4.2a,Analysis Software,2.4.2a,,,,,,
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,Differential expression analysis was performed with DESeq2 using default settings,0.9,Accept,Experimental Usage,DESeq2,Analysis Software,,R,,,,,
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,Gene set enrichment analysis (GSEA) was performed with the entire gene list using GSEA software 4.0.1 desktop (Broad Institute),0.9,Accept,Experimental Usage,GSEA software 4.0.1,Analysis Software,4.0.1,,,,,,
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,KEGG and gene ontology (GO) enrichment analysis was performed using the Signature Database (MSigDB) and DAVID 6.8,0.9,Accept,Experimental Usage,DAVID 6.8,Web Application,6.8,,,,,,
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,Five micrograms of each SCX fraction and a non-fractioned sample were used for proteome profiling and analysed by MaxQuant (v1.5.3.30),0.9,Accept,Experimental Usage,MaxQuant (v1.5.3.30),Analysis Software,v1.5.3.30,,,,,,
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,Imaging was performed on a LSM700 confocal microscope (Zeiss) with ZEN imaging software (Zeiss),0.85,Accept,Experimental Usage,ZEN imaging software,Analysis Software,,,,,,,
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,Imaging was performed using a Zeiss Stereo Discovery V12 and the AxioVision 4.6 software (Zeiss),0.85,Accept,Experimental Usage,AxioVision 4.6 software,Analysis Software,4.6,,,,,,
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,Images were acquired using a Fusion FX spectra gel documentation system (Vilber) with FUSION FX software,0.85,Accept,Experimental Usage,FUSION FX software,Analysis Software,,,,,,,
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,Blots images were analysed with ImageJ grey value analysis tool,0.9,Accept,Experimental Usage,ImageJ,Analysis Software,,,,,,,
PMID:33078583,10.1002/jcsm.12632,Cell autonomous requirement of neurofibromin (Nf1) for postnatal muscle hypertrophic growth and metabolic homeostasis.,,DatLab software (OROBOROS INSTRUMENTS) was used for data acquisition and analysis,0.85,Accept,Experimental Usage,DatLab software,Analysis Software,,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,"Images of the hematoxylin-eosin sections were taken (20X magnification) using an Olympus BX-51 microscope using an Olympus DP71 digital camera, and DP Controller software",0.85,Accept,Experimental Usage,DP Controller software,Analysis Software,,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,"Whole exome sequencing (WES), RNA sequencing (RNA-Seq), and copy number analysis (CNVkit) were performed on each sample",0.9,Accept,Experimental Usage,CNVkit,Analysis Software,,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,"Exome libraries were captured with an IDT exome reagent, then pooled with a WGS library for sequencing on an Illumina HiSeq4000 with at least 1000x coverage",0.9,Accept,Experimental Usage,Illumina HiSeq4000,Other,,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,Genomic data were aligned against reference sequence hg38 via BWA-MEM with Base Quality Score Recalibration (BQSR),0.9,Accept,Experimental Usage,BWA-MEM,Analysis Software,,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,Structural variants (SVs) and large indels were detected using manta,0.9,Accept,Experimental Usage,manta,Analysis Software,,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,"SNVs and small indels were detected using VarScan2, Strelka2, MuTect2, and Pindel",0.9,Accept,Experimental Usage,VarScan2,Analysis Software,,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,"SNVs and small indels were detected using VarScan2, Strelka2, MuTect2, and Pindel",0.9,Accept,Experimental Usage,Strelka2,Analysis Software,,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,"SNVs and small indels were detected using VarScan2, Strelka2, MuTect2, and Pindel",0.9,Accept,Experimental Usage,MuTect2,Analysis Software,,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,"SNVs and small indels were detected using VarScan2, Strelka2, MuTect2, and Pindel",0.9,Accept,Experimental Usage,Pindel,Analysis Software,,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,"which includes best-practice variant filtering and annotation with VEP (Variant Effect Predictor, version 95)",0.9,Accept,Experimental Usage,VEP,Analysis Software,version 95,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,Waterfall somatic variant plots were created with GenVisR by including somatic variants that occurred in each area,0.9,Accept,Experimental Usage,GenVisR,Analysis Software,,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,These variants were not reported as a somatic variant in COSMIC (Catalogue Of Somatic Mutations In Cancer) and ClinVar archive,0.9,Accept,Experimental Usage,COSMIC,Database,,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,These variants were not reported as a somatic variant in COSMIC (Catalogue Of Somatic Mutations In Cancer) and ClinVar archive,0.9,Accept,Experimental Usage,ClinVar,Database,,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,"In order to predict clinical significance and predictions of the functional effects of these variants, each variant was reviewed on SIFT and Polyphen",0.9,Accept,Experimental Usage,SIFT,Analysis Software,,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,"In order to predict clinical significance and predictions of the functional effects of these variants, each variant was reviewed on SIFT and Polyphen",0.9,Accept,Experimental Usage,Polyphen,Analysis Software,,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,SciClone and ClonEvol were utilized to attempt to perform a phylogeny inference,0.9,Accept,Experimental Usage,SciClone,Analysis Software,,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,SciClone and ClonEvol were utilized to attempt to perform a phylogeny inference,0.9,Accept,Experimental Usage,ClonEvol,Analysis Software,,,,,,,
PMID:32369930,10.3390/genes11050499,Unmasking Intra-tumoral Heterogeneity and Clonal Evolution in NF1-MPNST.,,Pre/post quality control and full expectation-maximization (EM) quantification were run via Partek Flow,0.9,Accept,Experimental Usage,Partek Flow,Analysis Software,,,,,,,
