pmid,publicationTitle,year,journal,publicationType,queryType,totalMinedTools,acceptedTools,rejectedTools,uncertainTools,missedTools,cellLines,animalModels,geneticReagents,antibodies,computationalTools,patientDerivedModels,advancedCellularModels,clinicalAssessmentTools,acceptedToolNames,newToolsDiscovered,observationsExtracted,topObservationTypes,sampleMetadata,sampleContext,hasMethodsSection,likelyContainsTools,majorIssues,doi
40394150,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
40437318,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
40460210,,,,Analytical Chemistry,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
40507334,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
40587782,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
41022755,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
40590220,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
40737523,,,,Questionnaire/Survey Development,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
40769067,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
40842873,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
40862755,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
40887659,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
40896930,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
41001593,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
5003511,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
5282620,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
6093111,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7959746,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7706208,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7717450,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7818486,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7903272,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7911002,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7947085,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7947096,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7949098,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7977647,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7686513,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7985572,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7996175,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
803743,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
8051082,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
8089100,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
8105688,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
8176268,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
8176761,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7686619,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7671302,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
6139138,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
6523094,,,,Epidemiological Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
6168641,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
6203987,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
6278936,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
6413007,,,,Review Article,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
6417334,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
6432917,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
6451216,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
6490532,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
666085,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
7609078,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
6810767,,,,Epidemiological Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
7426572,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
7474134,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7485397,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7493911,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7499408,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7505343,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
7570581,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
40191916,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39996452,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
8417346,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
36854987,,,,Review Article,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
35511749,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
35723774,,,,Clinical Trial,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
35735230,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
36127120,,,,Observational Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
36241865,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
36420221,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
36604703,,,,Questionnaire/Survey Development,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
36730269,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
36890585,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34935315,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
36959711,,,,Review Article,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
36976677,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37164978,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37246765,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37276689,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37353850,,,,Questionnaire/Survey Development,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37378983,,,,Clinical Trial,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37440099,,,,Clinical Trial,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
35332608,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34782607,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39966622,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34230208,,,,Questionnaire/Survey Development,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34075397,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34155781,,,,Clinical Trial,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34230196,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34230198,,,,Review Article,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34230200,,,,Observational Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
34230203,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34230204,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34230205,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34257279,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34664663,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34352618,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34377779,,,,Clinical Trial,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34428430,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34464388,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34487172,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34573290,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34604751,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34630515,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37446790,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37520682,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37608248,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39415595,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38990917,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39016685,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39061138,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39106942,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39110684,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39225289,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39373898,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39409151,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39620202,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37712888,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39669605,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39824854,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39845289,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39863790,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39881370,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39890807,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39952425,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39965929,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38931352,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38900740,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38811427,,,,Questionnaire/Survey Development,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38603731,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37770931,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37817770,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37990867,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38008284,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38115252,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38127282,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38136356,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38140900,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38170419,,,,Questionnaire/Survey Development,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38173515,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38201517,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38203448,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38216123,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38321701,,,,Questionnaire/Survey Development,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38387803,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38481529,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38499890,,,,Questionnaire/Survey Development,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
8320697,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
8544190,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
10705390,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
35740680,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
33992469,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34515792,,,,Review Article,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
35066574,,,,Review Article,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
35087195,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
35244537,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
35614131,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
35648241,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
35673329,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
35789380,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
33591953,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
35945463,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
36322658,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
36332985,,,,Observational Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
36565307,,,,Epidemiological Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
36689660,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
36799629,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37269078,,,,Observational Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
37331503,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
33658640,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
32882803,,,,Review Article,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
38502231,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37410426,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
36796745,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
34415582,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
32396062,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38086517,,,,Clinical Trial,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37949359,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38175707,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38216587,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38216572,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38000020,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
31416081,,,,Review Article,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
37616542,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
27043043,,,,Review Article,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
28587872,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
28993414,,,,Review Article,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
29667529,,,,Review Article,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
30542122,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
30542164,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
30728335,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37406085,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
32187457,,,,Clinical Trial,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
8582272,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
35467749,,,,Clinical Trial,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37149083,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37330718,,,,Review Article,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
29438698,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39321200,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39858077,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39129390,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
29695767,,,,Review Article,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,False,,
37248386,,,,Clinical Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
39472976,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
37937606,,,,Qualitative Research Study,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38714355,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
38829109,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
35118381,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
syn30283982,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
40063513,,,,Bioinformatics Analysis,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
40684195,,,,Lab Research,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Unknown,True,,
