pmid,title,abstract,has_nf_tools,abstract_screening_reasoning
PMID:25335493,Expanding the mutational spectrum of LZTR1 in schwannomatosis.,"Expanding the mutational spectrum of LZTR1 in schwannomatosis.  Paganini I(1), Chang VY(2), Capone GL(3), Vitte J(4), Benelli M(5), Barbetti  L(1), Sestini R(1), Trevisson E(6), Hulsebos TJ(7), Giovannini M(4), Nelson  SF(8), Papi L(1).  Author information: (1)Department of Biomedical Experimental and Clinical Sciences, Medical  Genetics, University of Florence, Florence, Italy. (2)Division of Hematology-Oncology, Department of Pediatrics, University of  California Los Angeles, Los Angeles, CA, USA. (3)1] Department of Biomedical Experimental and Clinical Sciences, Medical  Genetics, University of Florence, Florence, Italy [2] FIORGEN Fondazione  Farmacogenomica Polo Scientifico, Sesto Fiorentino, Florence, Italy. (4)Department of Head and Neck Surgery, David Geffen School of Medicine at UCLA,  Los Angeles, CA, USA. (5)Diagnostic Genetics Unit, Azienda Ospedaliero-Universitaria 'Careggi',  Florence, Italy. (6)Department of Woman and Child Health, Clinical Genetics Unit, University of  Padua, Padua, Italy. (7)Department of Genome Analysis, Academic Medical Center, Amsterdam, The  Netherlands. (8)Department of Human Genetics, Pathology and Laboratory Medicine, and  Psychiatry, University of California, Los Angeles, CA, USA.  Schwannomatosis is characterized by the development of multiple non-vestibular,  non-intradermal schwannomas. Constitutional inactivating variants in two genes,  SMARCB1 and, very recently, LZTR1, have been reported. We performed exome  sequencing of 13 schwannomatosis patients from 11 families without SMARCB1  deleterious variants. We identified four individuals with heterozygous  loss-of-function variants in LZTR1. Sequencing of the germline of 60 additional  patients identified 18 additional heterozygous variants in LZTR1. We identified  LZTR1 variants in 43% and 30% of familial (three of the seven families) and  sporadic patients, respectively. In addition, we tested LZTR1 protein  immunostaining in 22 tumors from nine unrelated patients with and without LZTR1  deleterious variants. Tumors from individuals with LZTR1 variants lost the  protein expression in at least a subset of tumor cells, consistent with a tumor  suppressor mechanism. In conclusion, our study demonstrates that molecular  analysis of LZTR1 may contribute to the molecular characterization of  schwannomatosis patients, in addition to NF2 mutational analysis and the  detection of chromosome 22 losses in tumor tissue. It will be especially useful  in differentiating schwannomatosis from mosaic Neurofibromatosis type 2 (NF2).  However, the role of LZTR1 in the pathogenesis of schwannomatosis needs further  elucidation.  DOI: 10.1038/ejhg.2014.220 PMCID: PMC4463507 PMID: 25335493 [Indexed for MEDLINE]",False,Genetic mutation spectrum study
PMID:25336744,The tumor suppressor Nf2 regulates corpus callosum development by inhibiting the transcriptional coactivator Yap.,"The tumor suppressor Nf2 regulates corpus callosum development by inhibiting the  transcriptional coactivator Yap.  Lavado A(1), Ware M(1), Paré J(1), Cao X(2).  Author information: (1)Department of Developmental Neurobiology, St. Jude Children's Research  Hospital, Memphis, TN 38105, USA. (2)Department of Developmental Neurobiology, St. Jude Children's Research  Hospital, Memphis, TN 38105, USA Xinwei.cao@stjude.org.  The corpus callosum connects cerebral hemispheres and is the largest axon tract  in the mammalian brain. Callosal malformations are among the most common  congenital brain anomalies and are associated with a wide range of  neuropsychological deficits. Crossing of the midline by callosal axons relies on  a proper midline environment that harbors guidepost cells emitting guidance cues  to instruct callosal axon navigation. Little is known about what controls the  formation of the midline environment. We find that two components of the Hippo  pathway, the tumor suppressor Nf2 (Merlin) and the transcriptional coactivator  Yap (Yap1), regulate guidepost development and expression of the guidance cue  Slit2 in mouse. During normal brain development, Nf2 suppresses Yap activity in  neural progenitor cells to promote guidepost cell differentiation and prevent  ectopic Slit2 expression. Loss of Nf2 causes malformation of midline guideposts  and Slit2 upregulation, resulting in callosal agenesis. Slit2 heterozygosity and  Yap deletion both restore callosal formation in Nf2 mutants. Furthermore,  selectively elevating Yap activity in midline neural progenitors is sufficient  to disrupt guidepost formation, upregulate Slit2 and prevent midline crossing.  The Hippo pathway is known for its role in controlling organ growth and  tumorigenesis. Our study identifies a novel role of this pathway in axon  guidance. Moreover, by linking axon pathfinding and neural progenitor behaviors,  our results provide an example of the intricate coordination between growth and  wiring during brain development.  © 2014. Published by The Company of Biologists Ltd.  DOI: 10.1242/dev.111260 PMCID: PMC4302891 PMID: 25336744 [Indexed for MEDLINE]",True,Mouse developmental model
PMID:25340526,Nilotinib is more potent than imatinib for treating plexiform neurofibroma in vitro and in vivo.,"Nilotinib is more potent than imatinib for treating plexiform neurofibroma in  vitro and in vivo.  Wei J(1), Freytag M(2), Schober Y(3), Nockher WA(3), Mautner VF(1), Friedrich  RE(2), Manley PW(4), Kluwe L(5), Kurtz A(6).  Author information: (1)Laboratory for Tumor Genetics, Department of Neurology, University Medical  Center Hamburg-Eppendorf, Hamburg, Germany. (2)Department of Maxillofacial Surgery, University Medical Center  Hamburg-Eppendorf, Hamburg, Germany. (3)Institute of Laboratory Medicine and Pathobiochemistry, Philipps University  Marburg, Marburg, Germany. (4)Novartis Institute of Biomedical Research, Basel, Switzerland. (5)Laboratory for Tumor Genetics, Department of Neurology, University Medical  Center Hamburg-Eppendorf, Hamburg, Germany; Department of Maxillofacial Surgery,  University Medical Center Hamburg-Eppendorf, Hamburg, Germany. (6)Berlin Brandenburg Center for Regenerative Medicine,  Charité-Universitätsmedizin Berlin, Berlin, Germany; Seoul National University,  College of Veterinary Medicine and Research Institute for Veterinary Science,  Seoul, Republic of Korea.  Plexiform neurofibromas (PNFs) are benign nerve sheath tumors mostly associated  with neurofibromatosis type 1. They often extend through multiple layers of  tissue and therefore cannot be treated satisfactorily by surgery. Nilotinib is a  tyrosine kinase inhibitor used to treat leukemia, with advantages over the  prototype imatinib in terms of potency and selectivity towards BCR-ABL, and the  DDR, PDGFR, and KIT receptor kinases. In this study, we compared efficacies of  the two drugs on cultured cells of PNF in vitro and on xenografted tumor  fragments on sciatic nerve of athymic nude mice. Xenografts were monitored  weekly using a high resolution ultrasound measurement. Treatment with nilotinib  at a daily dose of 100 mg/kg for four weeks led to a reduction of the graft  sizesstd by 68±7% in the 8 treated mice, significantly more than the 33±8%  reduction in the 8 untreated mice (P<0.05) and the 47±15% in the 7 mice treated  with imatinib (P<0.05). The peak plasma nilotinib concentration 6.6±1.1 µM is  within the pharmacological range of clinical application. Imatinib, but not  nilotinib significantly hindered body weight increase of the mice and elevated  cytotoxicity of mouse spleen cells (P<0.05). Our results suggest that nilotinib  may be more potent than imatinib for treating PNFs and may also be better  tolerated. Imatinib seems to have some off-target effect in elevating immunity.  DOI: 10.1371/journal.pone.0107760 PMCID: PMC4207688 PMID: 25340526 [Indexed for MEDLINE]  Conflict of interest statement: Competing Interests: The co-author Paul W.  Manley is employed by Novartis. Novartis has financed the study, has developed  the drug nilotinib (as well as Glivec) and holds the following patents on  nilotinib: Pyrimidylaminobenzamide derivatives for treatment of  neurofibromatosis US 8604045 B2. The authors confirm that this does not alter  their adherence to PLOS ONE policies on sharing data and materials.",True,In vitro/in vivo drug testing tool
PMID:25360213,A chemical biology approach identified PI3K as a potential therapeutic target for neurofibromatosis type 2.,"A chemical biology approach identified PI3K as a potential therapeutic target  for neurofibromatosis type 2.  Petrilli AM(1), Fuse MA(1), Donnan MS(1), Bott M(1), Sparrow NA(1), Tondera  D(2), Huffziger J(3), Frenzel C(3), Malany CS(4), Echeverri CJ(3), Smith L(4),  Fernández-Valle C(1).  Author information: (1)Burnett School of Biomedical Sciences, College of Medicine, University of  Central Florida Florida, U.S.A. (2)Cenix BioScience GmbH Dresden, Germany ; Current affiliation: Silence  Therapeutics Berlin, Germany. (3)Cenix BioScience GmbH Dresden, Germany. (4)Drug Discovery and Pharmacology, Conrad Prebys Center for Chemical Genomics,  Sanford-Burnham Medical Research Institute Orlando-Lake Nona, Florida, U.S.A.  Mutations in the merlin tumor suppressor gene cause Neurofibromatosis type 2  (NF2), which is a disease characterized by development of multiple benign tumors  in the nervous system. The current standard of care for NF2 calls for surgical  resection of the characteristic tumors, often with devastating neurological  consequences. There are currently no approved non-surgical therapies for NF2. In  an attempt to identify much needed targets and therapeutically active compounds  for NF2 treatment, we employed a chemical biology approach using  ultra-high-throughput screening. To support this goal, we created a merlin-null  mouse Schwann cell (MSC) line to screen for compounds that selectively decrease  their viability and proliferation. We optimized conditions for 384-well plate  assays and executed a proof-of-concept screen of the Library of  Pharmacologically Active Compounds. Further confirmatory and selectivity assays  identified phosphatidylinositol 3-kinase (PI3K) as a potential NF2 drug target.  Notably, loss of merlin function is associated with activation of the PI3K/Akt  pathway in human schwannomas. We report that AS605240, a PI3K inhibitor,  decreased merlin-null MSC viability in a dose-dependent manner without  significantly decreasing viability of control Schwann cells. AS605240 exerted  its action on merlin-null MSCs by promoting caspase-dependent apoptosis and  inducing autophagy. Additional PI3K inhibitors tested also decreased viability  of merlin-null MSCs in a dose-dependent manner. In summary, our chemical genomic  screen and subsequent hit validation studies have identified PI3K as potential  target for NF2 therapy.  PMCID: PMC4212923 PMID: 25360213",True,Chemical biology screening approach
PMID:25377441,Development and validation of the English Pain Interference Index and Pain Interference Index-Parent report.,"Development and validation of the English Pain Interference Index and Pain  Interference Index-Parent report.  Martin S(1), Nelson Schmitt S, Wolters PL, Abel B, Toledo-Tamula MA, Baldwin A,  Wicksell RK, Merchant M, Widemann B.  Author information: (1)National Cancer Institute, National Institutes of Health, Bethesda, Maryland,  USA.  OBJECTIVE: Measurement of pain interference in children is challenged by a lack  of validated measures with a parent proxy report. This study investigated the  psychometric properties of the Pain Interference Index (PII), a six-item  questionnaire originally developed in Swedish, in chronically ill youth. METHODS: We adapted the PII for English-speaking participants and created a  parallel parent proxy measure. Respondents indicate how much pain has interfered  with the child's life in the past 2 weeks (0-6 scale); higher scores indicate  more pain interference. Eligible participants included individuals 6-25 years  with neurofibromatosis type 1 (NF1) and cancer. Internal consistency was  assessed; validity was examined by correlating PII scores with existing measures  of pain interference (Modified Brief Pain Inventory [MBPI]) and pain intensity  (visual analogue scale [VAS]), and with measures of disease severity. RESULTS: Among 60 participants (mean age 14.7 years, range 6-24) and their  parents, PII internal consistency was 0.84 and 0.96, respectively. PII scores  correlated with MBPI (r = 0.81, P < 0.0001) and VAS (r = 0.55, P < 0.0001)  scores and differentiated between patients with mild vs moderate/severe NF1  disease severity (P < 0.05). The PII-Parent was significantly correlated with  the mothers' and fathers' VAS rating of the child's pain intensity (Ps < 0.01). CONCLUSIONS: Internal consistency of the English PII is high; validity is  supported by the PII's correlations with other measures of pain interference and  pain intensity, and with disease severity in patients with NF1. Preliminary data  indicate that the English PII is a reliable, valid, feasible pain interference  measure for youth with NF1 and cancer.  Wiley Periodicals, Inc.  DOI: 10.1111/pme.12620 PMCID: PMC7750882 PMID: 25377441 [Indexed for MEDLINE]",True,Pain assessment tool development
PMID:25433207,Nf2-Yap signaling controls the expansion of DRG progenitors and glia during DRG development.,"Nf2-Yap signaling controls the expansion of DRG progenitors and glia during DRG  development.  Serinagaoglu Y(1), Paré J(1), Giovannini M(2), Cao X(3).  Author information: (1)Department of Developmental Neurobiology, St. Jude Children's Research  Hospital, Memphis, TN 38105, USA. (2)Department of Head and Neck Surgery, David Geffen School of Medicine,  University of California Los Angeles, Los Angeles, CA 90057, USA. (3)Department of Developmental Neurobiology, St. Jude Children's Research  Hospital, Memphis, TN 38105, USA. Electronic address: Xinwei.Cao@stjude.org.  Molecular mechanisms governing the maintenance and proliferation of dorsal root  ganglia (DRG) progenitors are largely unknown. Here we reveal that the Hippo  pathway regulates the expansion of DRG progenitors and glia during mammalian DRG  development. The key effectors of this pathway, transcriptional coactivators Yap  and Taz, are expressed in DRG progenitors and glia during DRG development but  are at least partially inhibited from activating transcription. Aberrant YAP  activation leads to overexpansion of DRG progenitor and glial populations. We  further show that the Neurofibromatosis 2 (Nf2) tumor suppressor inhibits Yap  during DRG development. Loss of Nf2 leads to similar phenotypes as does YAP  hyperactivation, and deleting Yap suppresses these phenotypes. Our study  demonstrates that Nf2-Yap signaling plays important roles in controlling the  expansion of DRG progenitors and glia during DRG development.  Copyright © 2014 Elsevier Inc. All rights reserved.  DOI: 10.1016/j.ydbio.2014.11.017 PMCID: PMC4297555 PMID: 25433207 [Indexed for MEDLINE]",True,Mouse developmental model
PMID:25437375,"Abnormal relationship between GABA, neurophysiology and impulsive behavior in neurofibromatosis type 1.","Abnormal relationship between GABA, neurophysiology and impulsive behavior in  neurofibromatosis type 1.  Ribeiro MJ(1), Violante IR(2), Bernardino I(3), Edden RA(4), Castelo-Branco  M(5).  Author information: (1)IBILI - Faculty of Medicine, University of Coimbra, Portugal. Electronic  address: mjribeiro@fmed.uc.pt. (2)IBILI - Faculty of Medicine, University of Coimbra, Portugal. Electronic  address: iviolante@fmed.uc.pt. (3)IBILI - Faculty of Medicine, University of Coimbra, Portugal. (4)Russell H. Morgan Department of Radiology and Radiological Science, The Johns  Hopkins University School of Medicine, Baltimore, MD, USA; F.M. Kirby Center for  Functional Brain Imaging, Kennedy Krieger Institute, Baltimore, MD, USA.  Electronic address: richardedden@gmail.com. (5)IBILI - Faculty of Medicine, University of Coimbra, Portugal. Electronic  address: mcbranco@fmed.uc.pt.  Neurofibromatosis type 1 (NF1) is a neurodevelopmental disorder characterized by  a broad spectrum of cognitive deficits. In particular, executive dysfunction is  recognized as a core deficit of NF1, including impairments in executive  attention and inhibitory control. Yet, the neural mechanisms behind these  important deficits are still unknown. Here, we studied inhibitory control in a  visual go/no-go task in children and adolescents with NF1 and age- and  gender-matched controls (n = 16 per group). We applied a multimodal approach  using high-density electroencephalography (EEG), to study the evoked brain  responses, and magnetic resonance spectroscopy (MRS) to measure the levels of  GABA and glutamate + glutamine in the medial frontal cortex, a brain region that  plays a pivotal role in inhibitory control, and also in a control region, the  occipital cortex. Finally, we run correlation analyses to identify the  relationship between inhibitory control, levels of neurotransmitters, and EEG  markers of neural function. Individuals with NF1 showed impaired impulse control  and reduced EEG correlates of early visual processing (parieto-occipital P1) and  inhibitory control (frontal P3). MRS data revealed a reduction in medial frontal  GABA+/tCr (total Creatine) levels in the NF1 group, in parallel with the already  reported reduced occipital GABA levels. In contrast, glutamate + glutamine/tCr  levels were normal, suggesting the existence of abnormal inhibition/excitation  balance in this disorder. Notably, medial frontal but not occipital GABA levels  correlated with general intellectual abilities (IQ) in NF1, and inhibitory  control in both groups. Surprisingly, the relationship between inhibitory  control and medial frontal GABA was reversed in NF1: higher GABA was associated  with a faster response style whereas in controls it was related to a cautious  strategy. Abnormal GABAergic physiology appears, thus, as an important factor  underlying impaired cognition in NF1, in a level and region dependent manner.  Copyright © 2014 Elsevier Ltd. All rights reserved.  DOI: 10.1016/j.cortex.2014.10.019 PMCID: PMC4777301 PMID: 25437375 [Indexed for MEDLINE]",False,Neurophysiology mechanism study
PMID:25452392,Evidence of polyclonality in neurofibromatosis type 2-associated multilobulated vestibular schwannomas.,"Evidence of polyclonality in neurofibromatosis type 2-associated multilobulated  vestibular schwannomas.  Dewan R(1), Pemov A(1), Kim HJ(1), Morgan KL(1), Vasquez RA(1), Chittiboina  P(1), Wang X(1), Chandrasekharappa SC(1), Ray-Chaudhury A(1), Butman JA(1),  Stewart DR(1), Asthagiri AR(1).  Author information: (1)Surgical Neurology Branch, National Institute of Neurological Disorders and  Stroke, National Institutes of Health, Bethesda, Maryland (R.D., K.L.M., R.A.V.,  P.C., X.W., A.R.-C., A.R.A.); Clinical Genetics Branch, Division of Cancer  Epidemiology and Genetics, National Cancer Institute, Rockville, Maryland (A.P.,  D.R.S.); Office of the Clinical Director, National Institute on Deafness and  Other Communication Disorders, National Institutes of Health, Bethesda, Maryland  (H.J.K.); Radiology and Imaging Sciences, The Clinical Center at the National  Institutes of Health, National Institutes of Health, Bethesda, Maryland  (J.A.B.); Cancer Genetics Branch, National Human Genome Research Institute,  National Institutes of Health, Bethesda, Maryland (S.C.C.); Department of  Neurosurgery, University of Virginia, CDW, Charlottesville, Virginia (A.R.A.).  Comment in     Neuro Oncol. 2015 Apr;17(4):481-2. doi: 10.1093/neuonc/nou338.  BACKGROUND: Neurofibromatosis type 2 (NF2) is a tumor syndrome that results from  mutation of the NF2 tumor suppressor gene. The hallmark of NF2 is the presence  of bilateral vestibular schwannoma (VS). Though NF2-associated and sporadic VS  share identical histopathologic findings and cytogenetic alterations,  NF2-associated VS often appears multilobulated, is less responsive to  radiosurgery, and has worse surgical outcomes. Temporal bone autopsy specimens  and MRI of the inner ear performed on NF2 patients suggest that multiple  discrete tumors may be present within the labyrinth and cerebellopontine angle. METHODS: Treatment-naïve ears in patients enrolled in a prospective NF2 natural  history study (NIH#08-N-0044) were included for MRI analysis. T2-weighted and  postcontrast T1-weighted MRIs were evaluated for the presence of multiple  discrete tumors or a multilobulated mass. Peripheral blood (germline) and  regional samples of tumor tissue were procured from consecutive patients  enrolled in this study undergoing resection of a multilobulated VS (MVS).  Histopathologic evaluation and genetic analysis (single nucleotide polymorphism  array analysis, NF2 sequencing) were performed on each specimen. RESULTS: Over half of NF2 ears harbored either an MVS (60/139 ears) or multiple  discrete masses (19/139 ears). For 4 successive MVSs, genetic analysis revealed  an admixture of cell populations, each with its own somatic NF2 mutation or  deletion. CONCLUSIONS: These findings suggest that the majority of NF2-associated VSs are  polyclonal, such that the tumor mass represents a collision of multiple,  distinct tumor clones. This explains the characteristic lobulated gross  appearance of NF2-associated VS, and may also explain the substantially  different treatment outcomes compared with sporadic VS.  Published by Oxford University Press on behalf of the Society for Neuro-Oncology  2014. This work is written by (a) US Government employee(s) and is in the public  domain in the US.  DOI: 10.1093/neuonc/nou317 PMCID: PMC4483079 PMID: 25452392 [Indexed for MEDLINE]",False,Tumor genetic analysis
PMID:25475340,Validity and interexaminer reliability of a new method to quantify skin neurofibromas of neurofibromatosis 1 using paper frames.,"Validity and interexaminer reliability of a new method to quantify skin  neurofibromas of neurofibromatosis 1 using paper frames.  Cunha KS, Rozza-de-Menezes RE, Andrade RM, Theos A, Luiz RR, Korf B, Geller M.  BACKGROUND: Skin neurofibromas represent one of the main clinical manifestations  of neurofibromatosis 1, and their number varies greatly between individuals.  Quantifying their number is an important step in the methodology of many  clinical studies, but counting neurofibromas one by one in individuals with  thousands of tumors is arduous, time-consuming, and subject to intra and  interexaminer variability. We aimed to evaluate the efficacy of a new  methodology for skin neurofibromas quantification using paper frames. METHODS: The sample comprised 92 individuals with NF1. Paper frames, with a  central square measuring 100 cm2, were placed on the back, abdomen and thigh.  Images were taken, transferred to a computer and two independent examiners  counted the neurofibromas. The average number of neurofibromas/100 cm2 of skin  was obtained from the mean of the three values. The differences in the quantity  of neurofibromas counted by two examiners were evaluated with Intraclass  correlation coefficient (ICC), paired t-test, Bland-Altman and  survival-agreement plots. To evaluate the predictive value of the method in  obtaining the total number of neurofibromas, 49 participants also had their  tumors counted one by one. Reproducibility was assessed with Pearson's  correlation coefficients and simple linear regression model. RESULTS: There was excellent agreement between examiners (ICC range 0.992-0.997)  and the total number of skin neurofibromas could be predicted by the adhesive  frames technique using a specific formula (P < 0.0001). CONCLUSIONS: In this article we describe a reliable, easy and rapid technique  using paper frames to quantify skin neurofibromas that accurately predicts the  total number of these tumors in patients with NF1. This method may be a useful  tool in clinical practice and clinical research to help achieve an accurate  quantitative phenotype of NF1.  DOI: 10.1186/s13023-014-0202-9 PMCID: PMC4267434 PMID: 25475340 [Indexed for MEDLINE]",True,Skin neurofibroma quantification method
PMID:25480913,Mutations in LZTR1 add to the complex heterogeneity of schwannomatosis.,"Mutations in LZTR1 add to the complex heterogeneity of schwannomatosis.  Smith MJ(1), Isidor B(1), Beetz C(1), Williams SG(1), Bhaskar SS(1), Richer  W(1), O'Sullivan J(1), Anderson B(1), Daly SB(1), Urquhart JE(1), Fryer A(1),  Rustad CF(1), Mills SJ(1), Samii A(1), du Plessis D(1), Halliday D(1), Barbarot  S(1), Bourdeaut F(1), Newman WG(2), Evans DG(2).  Author information: (1)From the Manchester Centre for Genomic Medicine (M.J.S., W.G.N., D.G.E.) and  University of Manchester Biomedical Imaging Institute (S.J.M.), Manchester  Academic Health Sciences Centre, and Centre for Imaging Sciences (S.J.M.),  University of Manchester, UK; Service de Dermatologie (S.B.) and Service de  Genetique Medicale (B.I.), CHU Nantes, France; Institut für Klinische Chemie und  Laboratoriumsdiagnostik Universitätsklinikum Jena (C.B.), Germany; Centre for  Genomic Medicine (S.G.W., S.S.B., J.O., B.A., S.B.D., J.E.U., W.G.N., D.G.E.),  St. Mary's Hospital, Central Manchester University Hospitals NHS Foundation  Trust, UK; INSERM U830 (W.R., F.B.), Laboratoire de Genetique et Biologie des  Cancers, Paris, France; Department of Clinical Genetics (A.F.), Alder Hey  Children's Hospital, Liverpool, UK; Department of Medical Genetics (C.F.R.),  Oslo University Hospital, Norway; International Neuroscience Institute (A.S.),  Hannover, Germany; Department of Cellular Pathology and Greater Manchester  Neurosciences Centre (D.d.P.), Salford Royal Hospitals NHS Foundation Trust;  Department of Clinical Genetics (D.H.), Oxford Radcliffe Hospitals NHS Trust,  UK; and Institut Curie (F.B.), SIRIC and Departement d'Oncologie Pediatrique  d'Adolescents et Jeunes Adultes, Paris, France. (2)From the Manchester Centre for Genomic Medicine (M.J.S., W.G.N., D.G.E.) and  University of Manchester Biomedical Imaging Institute (S.J.M.), Manchester  Academic Health Sciences Centre, and Centre for Imaging Sciences (S.J.M.),  University of Manchester, UK; Service de Dermatologie (S.B.) and Service de  Genetique Medicale (B.I.), CHU Nantes, France; Institut für Klinische Chemie und  Laboratoriumsdiagnostik Universitätsklinikum Jena (C.B.), Germany; Centre for  Genomic Medicine (S.G.W., S.S.B., J.O., B.A., S.B.D., J.E.U., W.G.N., D.G.E.),  St. Mary's Hospital, Central Manchester University Hospitals NHS Foundation  Trust, UK; INSERM U830 (W.R., F.B.), Laboratoire de Genetique et Biologie des  Cancers, Paris, France; Department of Clinical Genetics (A.F.), Alder Hey  Children's Hospital, Liverpool, UK; Department of Medical Genetics (C.F.R.),  Oslo University Hospital, Norway; International Neuroscience Institute (A.S.),  Hannover, Germany; Department of Cellular Pathology and Greater Manchester  Neurosciences Centre (D.d.P.), Salford Royal Hospitals NHS Foundation Trust;  Department of Clinical Genetics (D.H.), Oxford Radcliffe Hospitals NHS Trust,  UK; and Institut Curie (F.B.), SIRIC and Departement d'Oncologie Pediatrique  d'Adolescents et Jeunes Adultes, Paris, France. gareth.evans@cmft.nhs.uk  William.newman@manchester.ac.uk.  OBJECTIVES: We aimed to determine the proportion of individuals in our  schwannomatosis cohort whose disease is associated with an LZTR1 mutation. METHODS: We used exome sequencing, Sanger sequencing, and copy number analysis  to screen 65 unrelated individuals with schwannomatosis who were negative for a  germline NF2 or SMARCB1 mutation. We also screened samples from 39 patients with  a unilateral vestibular schwannoma (UVS), plus at least one other schwannoma,  but who did not have an identifiable germline or mosaic NF2 mutation. RESULTS: We identified germline LZTR1 mutations in 6 of 16 patients (37.5%) with  schwannomatosis who had at least one affected relative, 11 of 49 (22%) sporadic  patients, and 2 of 39 patients with UVS in our cohort. Three germline  mutation-positive patients in total had developed a UVS. Mosaicism was excluded  in 3 patients without germline mutation in NF2, SMARCB1, or LZTR1 by mutation  screening in 2 tumors from each. CONCLUSIONS: Our data confirm the relationship between mutations in LZTR1 and  schwannomatosis. They indicate that germline mutations in LZTR1 confer an  increased risk of vestibular schwannoma, providing further overlap with NF2, and  that further causative genes for schwannomatosis remain to be identified.  © 2014 American Academy of Neurology.  DOI: 10.1212/WNL.0000000000001129 PMCID: PMC4336087 PMID: 25480913 [Indexed for MEDLINE]",False,Genetic mutation study
PMID:25483400,Nf1 regulates alcohol dependence-associated excessive drinking and gamma-aminobutyric acid release in the central amygdala in mice and is associated with alcohol dependence in humans.,"Nf1 regulates alcohol dependence-associated excessive drinking and  gamma-aminobutyric acid release in the central amygdala in mice and is  associated with alcohol dependence in humans.  Repunte-Canonigo V(#)(1), Herman M(#)(2), Kawamura T(1), Kranzler HR(3), Sherva  R(4), Gelernter J(5), Farrer LA(4)(6), Roberto M(2), Sanna PP(1).  Author information: (1)Molecular and Cellular Neuroscience Department, The Scripps Research  Institute, La Jolla, CA 92037, USA. (2)Committee on the Neurobiology of Addictive Disorders, The Scripps Research  Institute, La Jolla, CA 92037, USA. (3)Department of Psychiatry, Perelman School of Medicine, University of  Pennsylvania, and the VISN 4 MIRECC, Philadelphia VAMC, Philadelphia, PA 19104. (4)Department of Medicine (Biomedical Genetics), Boston University School of  Medicine, Boston, MA 02118, USA. (5)Departments of Psychiatry, Genetics, and Neurobiology, Yale University School  of Medicine, VA CT Healthcare Center, West Haven, CT, and Department of  Psychiatry, Yale University School of Medicine, New Haven, CT 06516, USA. (6)Departments of Neurology, Ophthalmology, Epidemiology, and Biostatistics,  Boston; University Schools of Medicine and Public Health, Boston, MA 02118, USA. (#)Contributed equally  BACKGROUND: The neurofibromatosis type 1 (Nf1) gene encodes a GTPase activating  protein that negatively regulates small GTPases of the Ras family. METHODS: We assessed alcohol-related behaviors including alcohol sensitivity,  dependent and nondependent drinking, and basal and alcohol-induced  gamma-aminobutyric acid (GABA) release in the central nucleus of the amygdala  (CeA) in Nf1 heterozygous null mice (Nf1(+/-)). We also investigated the  associations of NF1 polymorphisms with alcohol dependence risk and severity in  humans. RESULTS: Nf1(+/-) mice do not differ from wild-type mice in nondependent  drinking, such as 24-hour, 2-bottle choice drinking in the dark binge drinking  or limited access 2-bottle choice. However, Nf1(+/-) mice failed to escalate  alcohol drinking following chronic intermittent ethanol vapor exposure (CIE) to  induce dependence. Alcohol acutely increases GABA release in the CeA and alcohol  dependence is characterized by increased baseline GABA release in CeA.  Interestingly, GABA release in Nf1(+/-) mice is greater at baseline than  wild-type mice, is not elevated by induction of dependence by CIE, and failed to  show alcohol-induced facilitation both before and after CIE. Additionally, we  observed that multiple variants in the human NF1 gene are associated with a  quantitative measure of alcohol dependence in both African Americans and  European Americans. CONCLUSIONS: In this translational investigation, we found that Nf1 activity  regulates excessive drinking and basal and ethanol-stimulated GABA release in  the mouse central amygdala. We also found that genetic variation in NF1 may  confer an inherent susceptibility to the transition from nondependent to  dependent drinking in humans.  Copyright © 2015 Society of Biological Psychiatry. Published by Elsevier Inc.  All rights reserved.  DOI: 10.1016/j.biopsych.2014.07.031 PMCID: PMC4428692 PMID: 25483400 [Indexed for MEDLINE]",False,Alcohol dependence mechanism study
PMID:2551169,Transplacental induction of peripheral nervous tumor in the Syrian golden hamster by N-nitroso-N-ethylurea. A new animal model for von Recklinghausen's neurofibromatosis.,"Transplacental induction of peripheral nervous tumor in the Syrian golden  hamster by N-nitroso-N-ethylurea. A new animal model for von Recklinghausen's  neurofibromatosis.  Nakamura T(1), Hara M, Kasuga T.  Author information: (1)Department of Pathology, Toranomon Hospital, Tokyo, Japan.  Multiple peripheral nervous tumors were induced in 45 of 60 (75.0%) Syrian  golden hamsters by transplacental administration of N-ethyl-N-nitro-sourea.  Moreover, melanomas, pheochromocytomas, and Wilms' tumors developed in six  (10.0%), three (5.0%), and 13 (21.7%) animals, respectively. The histologic,  immunohistochemical, and electron microscopic findings of the peripheral nervous  tumors were similar to those of human neurofibroma, and their growth pattern and  distribution resembled those of human von Recklinghausen's neurofibromatosis  (VRNF). The occurrence of melanoma, pheochromocytoma, and proliferative foci of  melanin-containing cells in neurofibroma suggests that the targets of ENU in  hamsters are the neural crest-derived cells. With its high incidence of Wilms'  tumor, the hamster with ENU-induced tumors is considered to be a good animal  model for human neurocristopathy, including VRNF.  PMCID: PMC1879915 PMID: 2551169 [Indexed for MEDLINE]",True,Animal model development
