resourceId,resourceName,resourceType,synonyms,rrid,description,aiSummary,usageRequirements,howToAcquire,animalModelId,antibodyId,cellLineId,geneticReagentId,patientDerivedModelId,advancedCellularModelId,computationalToolId,clinicalAssessmentToolId,biobankId,_pmid,_doi,_publicationTitle,_year,_confidence,_toolType
RES644113d0,Nf1 hGFAP CKO,Animal Model,,,,,,,RES644113d0,,,,,,,,,PMID:22901811,10.1016/j.cell.2012.06.034,ERK inhibition rescues defects in fate specification of Nf1-deficient neural progenitors and brain abnormalities.,,0.95,animal_model
RES5b5f1511,Nf1 NcreER CKO,Animal Model,,,,,,,RES5b5f1511,,,,,,,,,PMID:22901811,10.1016/j.cell.2012.06.034,ERK inhibition rescues defects in fate specification of Nf1-deficient neural progenitors and brain abnormalities.,,0.9,animal_model
RES136a6220,NF1 R1947/+,Animal Model,,,,,,,RES136a6220,,,,,,,,,PMID:37520682,10.1016/j.omtn.2023.06.018,Combining nonsense mutation suppression therapy with nonsense-mediated decay inhibition in neurofibromatosis type 1.,,0.95,animal_model
RES18e0d32c,NF1 R1947X minipig,Animal Model,,,,,,,RES18e0d32c,,,,,,,,,PMID:33978635,10.1093/noajnl/vdab020,Selumetinib normalizes Ras/MAPK signaling in clinically relevant neurofibromatosis type 1 minipig tissues in vivo.,,0.95,animal_model
RES22a66b69,Nf1(flox/-);Col2.3Cre(+),Animal Model,,,,,,,RES22a66b69,,,,,,,,,PMID:21439418,10.1016/j.bone.2011.03.760,Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model.,,0.95,animal_model
RES316daddd,Nf1(ob) (-/-),Animal Model,,,,,,,RES316daddd,,,,,,,,,PMID:20200958,10.1002/jbmr.42,Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts.,,0.9,animal_model
RESd867fbf0,Nf1+/-,Animal Model,,,,,,,RESd867fbf0,,,,,,,,,PMID:32781282 | PMID:21199799 | PMID:8582272 | PMID:21949590 | PMID:40590220 | PMID:36890585 | PMID:40684195 | PMID:23071067 | PMID:26190969 | PMID:21439418 | PMID:25772366 | PMID:29847659 | PMID:18242513 | PMID:28525381 | PMID:16835260 | PMID:18632543,10.1016/j.trsl.2020.08.001 | 10.1158/0008-5472.CAN-10-2732 | 10.1242/dev.121.11.3583 | 10.2478/v10134-010-0025-8 | 10.1172/JCI188932 | 10.1186/s40478-023-01525-w | 10.1186/s40478-025-02075-z | 10.1158/0008-5472.CAN-12-1728 | 10.3389/fncel.2015.00234 | 10.1016/j.bone.2011.03.760 | 10.1016/j.celrep.2015.02.041 | 10.1167/iovs.17-22588 | 10.1016/j.ccr.2008.01.003 | 10.18632/oncotarget.17589 | 10.1093/hmg/ddl165 | 10.1001/jama.300.3.287,"Nf1 heterozygous mice recapitulate the anthropometric and metabolic features of human neurofibromatosis type 1. | Dose-dependent effects of focal fractionated irradiation on secondary malignant neoplasms in Nf1 mutant mice. | Neurofibromin-deficient fibroblasts fail to form perineurium in vitro. | ALTERED CALCIUM CURRENTS AND AXONAL GROWTH IN Nf1 HAPLOINSUFFICIENT MICE. | A haploinsufficiency restoration strategy corrects neurobehavioral deficits in Nf1+/- mice. | Neurofibromatosis type 1-dependent alterations in mouse microglia function are not cell-intrinsic. | Unraveling the development of cutaneous neurofibromas in neurofibromatosis type 1. | Genetically mediated Nf1 loss in mice promotes diverse radiation-induced tumors modeling second malignant neoplasms. | In vivo synaptic transmission and morphology in mouse models of Tuberous sclerosis, Fragile X syndrome, Neurofibromatosis type 1, and Costello syndrome. | Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model. | Mouse low-grade gliomas contain cancer stem cells with unique molecular and functional properties. | Neurofibromin Deficiency Induces Endothelial Cell Proliferation and Retinal Neovascularization. | The loss of Nf1 transiently promotes self-renewal but not tumorigenesis by neural crest stem cells. | The cell of origin dictates the temporal course of neurofibromatosis-1 (Nf1) low-grade glioma formation. | Nf1+/- mast cells induce neurofibroma like phenotypes through secreted TGF-beta signaling. | Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.",,0.95,animal_model
RESfd454e78,Nf1+/− GFAP CKO,Animal Model,,,,,,,RESfd454e78,,,,,,,,,PMID:21963652 | PMID:19191334 | PMID:23225063 | PMID:25772366,10.1016/j.expneurol.2011.09.005 | 10.1002/glia.20845 | 10.1002/ana.23793 | 10.1016/j.celrep.2015.02.041,PET imaging for attention deficit preclinical drug testing in neurofibromatosis-1 mice. | Microarray analyses reveal regional astrocyte heterogeneity with implications for neurofibromatosis type 1 (NF1)-regulated glial proliferation. | Dopamine deficiency underlies learning deficits in neurofibromatosis-1 mice. | Mouse low-grade gliomas contain cancer stem cells with unique molecular and functional properties.,,0.95,animal_model
RES70c2125d,Nf1-Arf flox/flox ;Postn-Cre,Animal Model,,,,,,,RES70c2125d,,,,,,,,,PMID:33658640,10.1038/s41416-021-01270-8,Exploring transcriptional regulators Ref-1 and STAT3 as therapeutic targets in malignant peripheral nerve sheath tumours.,,0.9,animal_model
RESae80970f,Nf1-IF,Animal Model,,,,,,,RESae80970f,,,,,,,,,PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,0.95,animal_model
RES3a69c7aa,Nf1-IFPS,Animal Model,,,,,,,RES3a69c7aa,,,,,,,,,PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,0.95,animal_model
RES95b54f21,Nf1-PS,Animal Model,,,,,,,RES95b54f21,,,,,,,,,PMID:38216123,10.1016/j.molmet.2024.101876,NF1 deficiency drives metabolic reprogramming in ER+ breast cancer.,,0.95,animal_model
RESd995ff0b,Nf1/p53-/-,Animal Model,,,,,,,RESd995ff0b,,,,,,,,,PMID:18242513,10.1016/j.ccr.2008.01.003,The loss of Nf1 transiently promotes self-renewal but not tumorigenesis by neural crest stem cells.,,0.9,animal_model
RES3dbffed8,Nf1Col1,Animal Model,,,,,,,RES3dbffed8,,,,,,,,,PMID:24465906,10.1371/journal.pone.0086115,"Multiscale, converging defects of macro-porosity, microstructure and matrix mineralization impact long bone fragility in NF1.",,0.95,animal_model
RESbb21f572,Nf1Dsk9/+,Animal Model,,,,,,,RESbb21f572,,,,,,,,,PMID:30571760,10.1371/journal.pone.0208835,Neurofibromin haploinsufficiency results in altered spermatogenesis in a mouse model of neurofibromatosis type 1.,,0.95,animal_model
RESe1def87b,Nf1f/f;Trp53f/f;CGD,Animal Model,,,,,,,RESe1def87b,,,,,,,,,PMID:34010628,10.1016/j.stem.2021.04.029,Stem-like cells drive NF1-associated MPNST functional heterogeneity and tumor progression.,,0.9,animal_model
RES92440303,Nf1f/f;Trp53f/f;Nes-TK,Animal Model,,,,,,,RES92440303,,,,,,,,,PMID:34010628,10.1016/j.stem.2021.04.029,Stem-like cells drive NF1-associated MPNST functional heterogeneity and tumor progression.,,0.9,animal_model
RES635e34f6,Nf1fl/fl;DhhCre,Animal Model,,,,,,,RES635e34f6,,,,,,,,,PMID:28256556 | PMID:26904939,10.1038/srep43315 | 10.1016/j.celrep.2016.01.074,An inflammatory gene signature distinguishes neurofibroma Schwann cells and macrophages from cells in the normal peripheral nervous system. | Insertional Mutagenesis Identifies a STAT3/Arid1b/β-catenin Pathway Driving Neurofibroma Initiation.,,0.95,animal_model
RESbf0146a3,Nf1flox/flox,Animal Model,"Nf1 fl/fl, Nf1 flox/flox, Nf1fl/fl",,,,,,RESbf0146a3,,,,,,,,,PMID:36890585 | PMID:40684195 | PMID:19191334 | PMID:21439418 | PMID:34935315 | PMID:25772366 | PMID:29847659 | PMID:29787563 | PMID:28525381 | PMID:25535838 | PMID:20200958 | PMID:34040258,10.1186/s40478-023-01525-w | 10.1186/s40478-025-02075-z | 10.1002/glia.20845 | 10.1016/j.bone.2011.03.760 | 10.1117/1.JBO.26.12.125001 | 10.1016/j.celrep.2015.02.041 | 10.1167/iovs.17-22588 | 10.1371/journal.pone.0190001 | 10.18632/oncotarget.17589 | 10.7554/eLife.05151 | 10.1002/jbmr.42 | 10.1038/s41586-021-03580-6,Neurofibromatosis type 1-dependent alterations in mouse microglia function are not cell-intrinsic. | Unraveling the development of cutaneous neurofibromas in neurofibromatosis type 1. | Microarray analyses reveal regional astrocyte heterogeneity with implications for neurofibromatosis type 1 (NF1)-regulated glial proliferation. | Primary osteopathy of vertebrae in a neurofibromatosis type 1 murine model. | Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse reflectance spectroscopy. | Mouse low-grade gliomas contain cancer stem cells with unique molecular and functional properties. | Neurofibromin Deficiency Induces Endothelial Cell Proliferation and Retinal Neovascularization. | Graph complexity analysis identifies an ETV5 tumor-specific network in human and murine low-grade glioma. | The cell of origin dictates the temporal course of neurofibromatosis-1 (Nf1) low-grade glioma formation. | Transient inhibition of the ERK pathway prevents cerebellar developmental defects and improves long-term motor functions in murine models of neurofibromatosis type 1. | Local low-dose lovastatin delivery improves the bone-healing defect caused by Nf1 loss of function in osteoblasts. | NF1 mutation drives neuronal activity-dependent initiation of optic glioma.,,0.95,animal_model
RES027c26cd,Nf1flox/flox; Olig2-Cre,Animal Model,,,,,,,RES027c26cd,,,,,,,,,PMID:28525381,10.18632/oncotarget.17589,The cell of origin dictates the temporal course of neurofibromatosis-1 (Nf1) low-grade glioma formation.,,0.9,animal_model
RES94bdb445,Nf1flox/flox; Prom1-CreER,Animal Model,,,,,,,RES94bdb445,,,,,,,,,PMID:28525381,10.18632/oncotarget.17589,The cell of origin dictates the temporal course of neurofibromatosis-1 (Nf1) low-grade glioma formation.,,0.9,animal_model
RES167f736f,Nf1flox/flox;Arf flox/flox;PostnCre+,Animal Model,,,,,,,RES167f736f,,,,,,,,,PMID:38127282,10.1158/1078-0432.CCR-23-2548,Spatial Gene-Expression Profiling Unveils Immuno-oncogenic Programs of NF1-Associated Peripheral Nerve Sheath Tumor Progression.,,0.85,animal_model
RES971399c4,Nf1flox/flox;PostnCre,Animal Model,,,,,,,RES971399c4,,,,,,,,,PMID:33442015 | PMID:31527226 | PMID:33658640 | PMID:38127282,10.1038/s41591-020-01193-6 | 10.1158/1535-7163.MCT-19-0123 | 10.1038/s41416-021-01270-8 | 10.1158/1078-0432.CCR-23-2548,"Cabozantinib for neurofibromatosis type 1-related plexiform neurofibromas: a phase 2 trial. | Ketotifen Modulates Mast Cell Chemotaxis to Kit-Ligand, but Does Not Impact Mast Cell Numbers, Degranulation, or Tumor Behavior in Neurofibromas of | Exploring transcriptional regulators Ref-1 and STAT3 as therapeutic targets in malignant peripheral nerve sheath tumours. | Spatial Gene-Expression Profiling Unveils Immuno-oncogenic Programs of NF1-Associated Peripheral Nerve Sheath Tumor Progression.",,0.95,animal_model
RESc3e4f29b,Nf1flox/mut,Animal Model,,,,,,,RESc3e4f29b,,,,,,,,,PMID:28525381,10.18632/oncotarget.17589,The cell of origin dictates the temporal course of neurofibromatosis-1 (Nf1) low-grade glioma formation.,,0.9,animal_model
RESdab9bd29,Nf1flox/mut; Olig2-Cre,Animal Model,,,,,,,RESdab9bd29,,,,,,,,,PMID:28525381,10.18632/oncotarget.17589,The cell of origin dictates the temporal course of neurofibromatosis-1 (Nf1) low-grade glioma formation.,,0.9,animal_model
RESfdb125d4,Nf1flox/mut; Prom1-CreER,Animal Model,,,,,,,RESfdb125d4,,,,,,,,,PMID:28525381,10.18632/oncotarget.17589,The cell of origin dictates the temporal course of neurofibromatosis-1 (Nf1) low-grade glioma formation.,,0.9,animal_model
RESb35d7371,Nf1flox/mut;GFAP-Cre,Animal Model,,,,,,,RESb35d7371,,,,,,,,,PMID:24375753 | PMID:20551058 | PMID:28525381,10.1002/ana.24093 | 10.1158/0008-5472.CAN-09-3769 | 10.18632/oncotarget.17589,Sex Is a major determinant of neuronal dysfunction in neurofibromatosis type 1. | Cyclic AMP suppression is sufficient to induce gliomagenesis in a mouse model of neurofibromatosis-1. | The cell of origin dictates the temporal course of neurofibromatosis-1 (Nf1) low-grade glioma formation.,,0.95,animal_model
RES7a15e78d,Nf1flox/wt,Animal Model,,,,,,,RES7a15e78d,,,,,,,,,PMID:28525381,10.18632/oncotarget.17589,The cell of origin dictates the temporal course of neurofibromatosis-1 (Nf1) low-grade glioma formation.,,0.9,animal_model
RESe475a58f,Nf1Prx1-/-,Animal Model,,,,,,,RESe475a58f,,,,,,,,,PMID:34935315 | PMID:24465906 | PMID:21726432,10.1117/1.JBO.26.12.125001 | 10.1371/journal.pone.0086115 | 10.1186/1741-7015-9-82,"Analysis of muscle tissue in vivo using fiber-optic autofluorescence and diffuse reflectance spectroscopy. | Multiscale, converging defects of macro-porosity, microstructure and matrix mineralization impact long bone fragility in NF1. | MIA is a potential biomarker for tumour load in neurofibromatosis type 1.",,0.95,animal_model
RESa51e3a26,Nf2 flox2/flox2 ;p16 Ink4a*/*,Animal Model,,,,,,,RESa51e3a26,,,,,,,,,PMID:17924978,10.1111/j.1750-3639.2007.00105.x,Natural history of meningioma development in mice reveals: a synergy of Nf2 and p16(Ink4a) mutations.,,0.95,animal_model
RES4be903d5,Nf2+/-,Animal Model,,,,,,,RES4be903d5,,,,,,,,,PMID:24371224,10.1158/0008-5472.CAN-13-2062,Tumor suppressor alterations cooperate to drive aggressive mesotheliomas with enriched cancer stem cells via a p53-miR-34a-c-Met axis.,,0.85,animal_model
RES173e403d,Nf2flox/flox,Animal Model,"Nf2 fl/fl, Nf2 flox/flox, Nf2 flox2/flox2, Nf2fl/fl",,,,,,RES173e403d,,,,,,,,,PMID:41444363 | PMID:24817309 | PMID:17924978 | PMID:38945076,10.1038/s41598-025-32031-9 | 10.1371/journal.pone.0097320 | 10.1111/j.1750-3639.2007.00105.x | 10.1016/j.redox.2024.103249,Focused ultrasound-mediated drug delivery of bevacizumab in treating NF2-related schwannomatosis in an animal model. | Nf2/Merlin controls spinal cord neural progenitor function in a Rac1/ErbB2-dependent manner. | Natural history of meningioma development in mice reveals: a synergy of Nf2 and p16(Ink4a) mutations. | Selective nitration of Hsp90 acts as a metabolic switch promoting tumor cell proliferation.,,0.9,animal_model
RESf5e1c690,NPcis,Animal Model,,,,,,,RESf5e1c690,,,,,,,,,PMID:36730269,10.1371/journal.pone.0277305,Identification of therapeutic sensitivities in a spheroid drug combination screen of Neurofibromatosis Type I associated High Grade Gliomas.,,0.9,animal_model
RESf2783b89,OPG Nf1fl/mut (Nf1+/−),Animal Model,,,,,,,RESf2783b89,,,,,,,,,PMID:34040258,10.1038/s41586-021-03580-6,NF1 mutation drives neuronal activity-dependent initiation of optic glioma.,,0.9,animal_model
RES75e5cd5b,Osx-/-Nf1flox/flox,Animal Model,,,,,,,RES75e5cd5b,,,,,,,,,PMID:25043591,10.1002/jbmr.2316,Combined MEK inhibition and BMP2 treatment promotes osteoblast differentiation and bone healing in Nf1Osx -/- mice.,,0.85,animal_model
RES0fabb727,"Osx-tTA,tetO-cre;Nf1flox/flox",Animal Model,,,,,,,RES0fabb727,,,,,,,,,PMID:25043591,10.1002/jbmr.2316,Combined MEK inhibition and BMP2 treatment promotes osteoblast differentiation and bone healing in Nf1Osx -/- mice.,,0.85,animal_model
RES6f70c029,P0-CRE,Animal Model,,,,,,,RES6f70c029,,,,,,,,,PMID:36148553,10.1093/brain/awac342,Inhibition of YAP/TAZ-driven TEAD activity prevents growth of NF2-null schwannoma and meningioma.,,0.85,animal_model
RESb805ba75,P0SchΔ39-121,Animal Model,,,,,,,RESb805ba75,,,,,,,,,PMID:29408605,10.1016/j.neuroscience.2018.01.054,Nf2 Mutation in Schwann Cells Delays Functional Neural Recovery Following Injury.,,0.95,animal_model
RESa5ded38d,Periostin-CRE;NF2 fl/fl,Animal Model,,,,,,,RESa5ded38d,,,,,,,,,PMID:36148553,10.1093/brain/awac342,Inhibition of YAP/TAZ-driven TEAD activity prevents growth of NF2-null schwannoma and meningioma.,,0.9,animal_model
RES59ac0b63,Periostin-CRE;NF2 fl/fl TAZ fl/fl,Animal Model,,,,,,,RES59ac0b63,,,,,,,,,PMID:36148553,10.1093/brain/awac342,Inhibition of YAP/TAZ-driven TEAD activity prevents growth of NF2-null schwannoma and meningioma.,,0.9,animal_model
RESd7bf5ba5,Periostin-CRE;NF2 fl/fl YAP fl/fl,Animal Model,,,,,,,RESd7bf5ba5,,,,,,,,,PMID:36148553,10.1093/brain/awac342,Inhibition of YAP/TAZ-driven TEAD activity prevents growth of NF2-null schwannoma and meningioma.,,0.9,animal_model
RESe57e7070,PLP CreERT2; Nf1 f/−; ROSA-LacZ,Animal Model,,,,,,,RESe57e7070,,,,,,,,,PMID:30479396,10.1038/s41467-018-07452-y,NF1 heterozygosity fosters de novo tumorigenesis but impairs malignant transformation.,,0.95,animal_model
RESbcbdd0d7,Postn-Cre; Nf2flox/flox,Animal Model,,,,,,,RESbcbdd0d7,,,,,,,,,PMID:41444363,10.1038/s41598-025-32031-9,Focused ultrasound-mediated drug delivery of bevacizumab in treating NF2-related schwannomatosis in an animal model.,,0.95,animal_model
RESe367efab,Postn-cre;Nf2f/f,Animal Model,,,,,,,RESe367efab,,,,,,,,,PMID:32438526,10.1002/lary.28671,Effects of Neurod1 Expression on Mouse and Human Schwannoma Cells.,,0.95,animal_model
RES01f5e8c7,P{ KK101909 }VIE‐260B,Animal Model,,,,,,,RES01f5e8c7,,,,,,,,,PMID:39129390,10.1002/1878-0261.13704,Inhibition of autophagy as a novel treatment for neurofibromatosis type 1 tumors.,,0.9,animal_model
RES37d0d0f4,R681X Nf1,Animal Model,,,,,,,RES37d0d0f4,,,,,,,,,PMID:35589737,10.1038/s41467-022-30466-6,Neuronal hyperexcitability drives central and peripheral nervous system tumor progression in models of neurofibromatosis-1.,,0.9,animal_model
RES1e67bb5c,Stat3(fl/fl);Nf1(fl/fl);DhhCre,Animal Model,,,,,,,RES1e67bb5c,,,,,,,,,PMID:26904939,10.1016/j.celrep.2016.01.074,Insertional Mutagenesis Identifies a STAT3/Arid1b/β-catenin Pathway Driving Neurofibroma Initiation.,,0.9,animal_model
RESb3e83b3e,TetOff-Osx-/-Nf1,Animal Model,,,,,,,RESb3e83b3e,,,,,,,,,PMID:25043591,10.1002/jbmr.2316,Combined MEK inhibition and BMP2 treatment promotes osteoblast differentiation and bone healing in Nf1Osx -/- mice.,,0.9,animal_model
RESc67bdf21,Tg(U6x:nf2a/b-4sgRNA),Animal Model,,,,,,,RESc67bdf21,,,,,,,,,PMID:39415595,10.1242/dmm.050862,Generation of a zebrafish neurofibromatosis model via inducible knockout of nf2a/b.,,0.95,animal_model
RES9f0896d4,"Trp53, Nf1, Suz12 triple mutant",Animal Model,,,,,,,RES9f0896d4,,,,,,,,,PMID:38931352,10.3390/ph17060685,PET Imaging of Neurofibromatosis Type 1 with a Fluorine-18 Labeled Tryptophan Radiotracer.,,0.95,animal_model
