pmid,title,verdict,reasoning
PMID:10900196,Single cell Ras-GTP analysis reveals altered Ras activity in a subpopulation of neurofibroma Schwann cells but not fibroblasts.,INCLUDE,Single cell molecular analysis
PMID:10940926,"Mast cells migrate, but do not degranulate, in response to fractalkine, a membrane-bound chemokine expressed constitutively in diverse cells of the skin.",EXCLUDE,Cellular migration description
PMID:10978227,An isochore transition in the NF1 gene region coincides with a switch in the extent of linkage disequilibrium.,EXCLUDE,Genetic sequence analysis
PMID:11080503,Neurofibromin GTPase-activating protein-related domains restore normal growth in Nf1-/- cells.,INCLUDE,Cellular restoration method
PMID:11106357,Growth in North American white children with neurofibromatosis 1 (NF1).,EXCLUDE,Clinical growth study
PMID:11106646,Hierarchy of merlin and ezrin N- and C-terminal domain interactions in homo- and heterotypic associations and their relationship to binding of scaffolding proteins EBP50 and E3KARP.,INCLUDE,Protein interaction study
PMID:11110599,Malignancy in neurofibromatosis type 1.,EXCLUDE,Clinical review
PMID:11159187,Tumorigenic properties of neurofibromin-deficient neurofibroma Schwann cells.,INCLUDE,Cellular transformation study
PMID:11356864,Bipartite interaction between neurofibromatosis type I protein (neurofibromin) and syndecan transmembrane heparan sulfate proteoglycans.,INCLUDE,Protein interaction study
PMID:11368764,"The neurofibromatosis 2 protein product merlin selectively binds F-actin but not G-actin, and stabilizes the filaments through a lateral association.",INCLUDE,Protein binding analysis
PMID:11380622,Identification of the cis-acting region in the NF2 gene promoter as a potential target for mutation and methylation-dependent silencing in schwannoma.,INCLUDE,Gene promoter analysis
PMID:11404331,A systematic screen for dominant second-site modifiers of Merlin/NF2 phenotypes reveals an interaction with blistered/DSRF and scribbler.,INCLUDE,Genetic modifier screening
PMID:11432873,Schwannomin isoform-1 interacts with syntenin via PDZ domains.,INCLUDE,Protein interaction study
PMID:11433044,Quantification of splice variants using real-time PCR.,INCLUDE,Molecular biology technique
PMID:11435472,"Hyperactivation of p21(ras) and the hematopoietic-specific Rho GTPase, Rac2, cooperate to alter the proliferation of neurofibromin-deficient mast cells in vivo and in vitro.",INCLUDE,Cellular proliferation study
PMID:11438454,NF1 deletions in S-100 protein-positive and negative cells of sporadic and neurofibromatosis 1 (NF1)-associated plexiform neurofibromas and malignant peripheral nerve sheath tumors.,INCLUDE,Genetic mutation analysis
PMID:11493376,S100A6 preferentially labels type C nevus cells and nevic corpuscles: additional support for Schwannian differentiation of intradermal nevi.,EXCLUDE,Cellular marker description
PMID:11517334,Control of Drosophila perineurial glial growth by interacting neurotransmitter-mediated signaling pathways.,EXCLUDE,Developmental biology study
PMID:11533205,Retroviral integration at the Epi1 locus cooperates with Nf1 gene loss in the progression to acute myeloid leukemia.,INCLUDE,Genetic interaction study
PMID:11535133,Binding of the merlin-I product of the neurofibromatosis type 2 tumour suppressor gene to a novel site in beta-fodrin is regulated by association between merlin domains.,INCLUDE,Protein interaction study
PMID:11544276,Quantitative effects of Nf1 inactivation on in vivo hematopoiesis.,INCLUDE,In vivo genetic analysis
PMID:11560899,"The protein 4.1, ezrin, radixin, moesin (FERM) domain of Drosophila Coracle, a cytoplasmic component of the septate junction, provides functions essential for embryonic development and imaginal cell proliferation.",EXCLUDE,Developmental biology study
PMID:11593241,Single flap fronto-temporo-orbito-zygomatic craniotomy for skull base lesions.,EXCLUDE,Surgical technique
PMID:11703924,"The Nf2 tumor suppressor, merlin, functions in Rac-dependent signaling.",INCLUDE,Signaling pathway study
PMID:11719502,p21-activated kinase links Rac/Cdc42 signaling to merlin.,INCLUDE,Protein interaction study
PMID:11727199,"C-->U editing of neurofibromatosis 1 mRNA occurs in tumors that express both the type II transcript and apobec-1, the catalytic subunit of the apolipoprotein B mRNA-editing enzyme.",INCLUDE,Molecular biology technique
PMID:11733333,Optic pathway glioma: correlation of imaging findings with the presence of neurofibromatosis.,EXCLUDE,Clinical imaging study
PMID:11756419,Structural basis for neurofibromatosis type 2. Crystal structure of the merlin FERM domain.,INCLUDE,Protein structural analysis
PMID:11784085,Allele-specific non-CpG methylation of the Nf1 gene during early mouse development.,INCLUDE,Epigenetic analysis
PMID:11809806,"The neurofibromatosis type 2 gene product, merlin, reverses the F-actin cytoskeletal defects in primary human Schwannoma cells.",INCLUDE,Cellular cytoskeleton study
PMID:11896214,NF1 tumor suppressor mRNA is targeted to the cell-cell contact zone in Ca(2+)-induced keratinocyte differentiation.,INCLUDE,mRNA localization study
PMID:11906692,Molecular neurobiology of human cognition.,EXCLUDE,Review article
PMID:11937955,[Blue-red macules and pseudoatrophic macules in neurofibromatosis 1].,EXCLUDE,Clinical description
PMID:11950659,Reassessment of sphenoid dysplasia associated with neurofibromatosis type 1.,EXCLUDE,Radiological assessment
PMID:11981218,Adrenalectomy for familial pheochromocytoma in the laparoscopic era.,EXCLUDE,Surgical procedure
PMID:11996670,The 4.1/ezrin/radixin/moesin domain of the DAL-1/Protein 4.1B tumour suppressor interacts with 14-3-3 proteins.,INCLUDE,Protein interaction study
PMID:12005317,Treatment of ADHD in neurofibromatosis type 1.,EXCLUDE,Clinical treatment review
PMID:12057013,Complex splicing pattern generates great diversity in human NF1 transcripts.,INCLUDE,Molecular biology technique
PMID:12058348,Grouping of multiple-lentigines/LEOPARD and Noonan syndromes on the PTPN11 gene.,EXCLUDE,Genetic syndrome description
PMID:12067169,Vertebral scalloping in neurofibromatosis type 1: a quantitative approach.,EXCLUDE,Radiological assessment
PMID:12077339,Astrocyte-specific inactivation of the neurofibromatosis 1 gene (NF1) is insufficient for astrocytoma formation.,INCLUDE,Genetic animal model
PMID:12078978,A virus-like agent associated with neurofibromatosis in damselfish.,EXCLUDE,Viral association study
PMID:12082543,Mouse models of neurofibromatosis 1 and 2.,INCLUDE,Animal model development
PMID:12088451,"Tyrosinase expression in malignant melanoma, desmoplastic melanoma, and peripheral nerve tumors.",EXCLUDE,Molecular marker study
PMID:12095621,Quantification of NF1 transcripts reveals novel highly expressed splice variants.,INCLUDE,Molecular biology technique
PMID:12124168,Thinking beyond the tumor cell: Nf1 haploinsufficiency in the tumor environment.,INCLUDE,Tumor microenvironment study
PMID:12130630,Mutant products of the NF2 tumor suppressor gene are degraded by the ubiquitin-proteasome pathway.,INCLUDE,Protein degradation study
PMID:12175282,Imaging skin pathology with polarized light.,EXCLUDE,Imaging technique description
PMID:12180143,Cardiovascular disease in neurofibromatosis 1: report of the NF1 Cardiovascular Task Force.,EXCLUDE,Clinical review
PMID:12191989,The motor protein kinesin-1 links neurofibromin and merlin in a common cellular pathway of neurofibromatosis.,INCLUDE,Protein interaction study
PMID:12199909,Functional expression of NF1 tumor suppressor protein: association with keratin intermediate filaments during the early development of human epidermis.,INCLUDE,Protein expression study
PMID:12235555,Predictors of the risk of mortality in neurofibromatosis 2.,EXCLUDE,Clinical mortality study
PMID:12243339,Inhibition of ras-mediated activator protein 1 activity and cell growth by merlin.,INCLUDE,Cellular signaling study
PMID:12393498,Leukemic potential of doubly mutant Nf1 and Wv hematopoietic cells.,INCLUDE,Genetic interaction study
PMID:12469121,Nf1 has an essential role in endothelial cells.,INCLUDE,Animal model of endothelial function
PMID:12471027,Isolation and characterization of an aggresome determinant in the NF2 tumor suppressor.,INCLUDE,Protein characterization study
PMID:12557125,The constitutional t(17;22): another translocation mediated by palindromic AT-rich repeats.,EXCLUDE,Chromosomal translocation study
PMID:12612091,Brain lipid binding protein in axon-Schwann cell interactions and peripheral nerve tumorigenesis.,INCLUDE,Molecular interaction study
PMID:12673723,Quinidine impairs proliferation of neurofibromatosis type 2-deficient human malignant mesothelioma cells.,INCLUDE,Drug screening method
PMID:12679023,PDZ tandem of human syntenin: crystal structure and functional properties.,INCLUDE,Protein structural analysis
PMID:12730209,Neurofibromatosis type I tumor suppressor neurofibromin regulates neuronal differentiation via its GTPase-activating protein function toward Ras.,INCLUDE,Molecular signaling study
PMID:12815562,A gene locus responsible for dyschromatosis symmetrica hereditaria (DSH) maps to chromosome 6q24.2-q25.2.,EXCLUDE,Genetic mapping study
PMID:12896975,Merlin links to the cAMP neuronal signaling pathway by anchoring the RIbeta subunit of protein kinase A.,INCLUDE,Protein interaction study
PMID:12904481,Aberrant growth and differentiation of oligodendrocyte progenitors in neurofibromatosis type 1 mutants.,INCLUDE,Developmental biology model
PMID:12946024,Pathological adhesion of primary human schwannoma cells is dependent on altered expression of integrins.,INCLUDE,Cellular adhesion study
PMID:1333265,Tumour suppressor genes.,EXCLUDE,Review article
PMID:1336057,Constitutional ring chromosomes and tumour suppressor genes.,EXCLUDE,Chromosomal study
PMID:1348093,Prenatal diagnosis and presymptomatic detection of neurofibromatosis type 1.,EXCLUDE,Diagnostic technique review
PMID:1348095,Absence of linkage of Noonan syndrome to the neurofibromatosis type 1 locus.,EXCLUDE,Genetic linkage study
PMID:1358802,The gene for a novel epidermal antigen maps near the neurofibromatosis 1 gene.,EXCLUDE,Genetic mapping study
PMID:1362425,Oncogene and growth factor expression in MEN 2 and related tumors.,EXCLUDE,Oncogene description
PMID:1362901,The role of Gln61 and Glu63 of Ras GTPases in their activation by NF1 and Ras GAP.,INCLUDE,Molecular interaction study
PMID:13679291,Orbit deformities in craniofacial neurofibromatosis type 1.,EXCLUDE,Clinical description
PMID:1376554,Immunolocalization of a glycosylphosphatidylinositol-specific phospholipase D in mast cells found in normal tissue and neurofibromatosis lesions.,EXCLUDE,Immunolocalization description
PMID:1376775,SAG: a Schwann cell membrane glycoprotein.,EXCLUDE,Protein description
PMID:1414843,Gd-DTPA enhancement of the cisternal portion of the oculomotor nerve on MR imaging.,EXCLUDE,Diagnostic imaging description
PMID:1427886,A radiation hybrid map of the region on human chromosome 22 containing the neurofibromatosis type 2 locus.,INCLUDE,Genetic mapping reagent
PMID:14523097,The neurofibromatosis 1 gene product neurofibromin regulates pituitary adenylate cyclase-activating polypeptide-mediated signaling in astrocytes.,INCLUDE,Signaling pathway research tool
PMID:14580336,"Merlin, the product of the Nf2 tumor suppressor gene, is an inhibitor of the p21-activated kinase, Pak1.",INCLUDE,Protein interaction research tool
PMID:146075,Tumours of the cauda equina.,EXCLUDE,Clinical case description
PMID:14627667,Identification of recurrent regions of chromosome loss and gain in vestibular schwannomas using comparative genomic hybridisation.,INCLUDE,Comparative genomic hybridization method
PMID:14679174,It takes two to tango: mast cell and Schwann cell interactions in neurofibromas.,INCLUDE,Cell interaction research model
PMID:14679180,Neurofibromin-deficient Schwann cells secrete a potent migratory stimulus for Nf1+/- mast cells.,INCLUDE,Cell signaling research model
PMID:14679203,Merlin neutralizes the inhibitory effect of Mdm2 on p53.,INCLUDE,Protein interaction research tool
PMID:14681409,The Unified Medical Language System (UMLS): integrating biomedical terminology.,INCLUDE,Computational terminology tool
PMID:14724565,Role of TC21/R-Ras2 in enhanced migration of neurofibromin-deficient Schwann cells.,INCLUDE,Cell migration research model
PMID:14740320,Mutations within the MGC4607 gene cause cerebral cavernous malformations.,EXCLUDE,Genetic mutation description
PMID:14741381,"PKA phosphorylation and 14-3-3 interaction regulate the function of neurofibromatosis type I tumor suppressor, neurofibromin.",INCLUDE,Protein modification research tool
PMID:1496981,Analysis of chromosome 22 deletions in neurofibromatosis type 2-related tumors.,INCLUDE,Chromosome deletion analysis
PMID:1496982,Neurofibromatosis type 2 appears to be a genetically homogeneous disease.,EXCLUDE,Genetic characterization review
PMID:14988005,Neurofibromin is actively transported to the nucleus.,INCLUDE,Protein localization research tool
PMID:14991710,Characterization of chicken Nf2/merlin indicates regulatory roles in cell proliferation and migration.,INCLUDE,Animal model development
PMID:15039234,Loss of the nf1 tumor suppressor gene decreases fas antigen expression in myeloid cells.,INCLUDE,Gene expression research tool
PMID:1505963,NF1-related locus on chromosome 15.,EXCLUDE,Genetic locus description
PMID:15123692,"Merlin, a tumor suppressor, interacts with transactivation-responsive RNA-binding protein and inhibits its oncogenic activity.",INCLUDE,Protein interaction research tool
PMID:1519665,Nonradioactive in situ hybridization using digoxigenin-labeled oligonucleotides. Applications to musculoskeletal tissues.,INCLUDE,In situ hybridization method
PMID:15206577,Gene expression analysis of the lung following paraquat administration in rats using DNA microarray.,INCLUDE,Gene expression microarray tool
PMID:15240917,Survival of Human Neurofibroma in Immunodeficient Mice and Initial Results of Therapy With Pirfenidone.,INCLUDE,Patient-derived xenograft model
PMID:15255999,"Molecular profiling of malignant peripheral nerve sheath tumors associated with neurofibromatosis type 1, based on large-scale real-time RT-PCR.",INCLUDE,Molecular profiling method
PMID:15286864,[Puberty and growth in children and adolescents with neuro fibromatosis type 1].,EXCLUDE,Clinical observation
PMID:15446585,Gene expression profiling reveals unique molecular subtypes of Neurofibromatosis Type I-associated and sporadic malignant peripheral nerve sheath tumors.,INCLUDE,Gene expression profiling method
PMID:15520408,Neurofibromatous neuropathy in neurofibromatosis 1 (NF1).,EXCLUDE,Clinical description
PMID:15570216,Targeted gene expression in the chicken eye by in ovo electroporation.,INCLUDE,Gene expression targeting method
PMID:15598747,Neurofibromatosis 2 (NF2) tumor suppressor merlin inhibits phosphatidylinositol 3-kinase through binding to PIKE-L.,INCLUDE,Protein interaction research tool
PMID:15623944,DNA ploidy and chromosome (FISH) pattern analysis of peripheral nerve sheath tumors.,INCLUDE,Chromosome analysis method
PMID:15645067,[Learning and memory].,EXCLUDE,Cognitive review
PMID:15647118,Patient-focused measures of functional health status and health-related quality of life in pediatric orthopedics: a case study in measurement selection.,INCLUDE,Clinical assessment tool
PMID:15652750,Role for the epidermal growth factor receptor in neurofibromatosis-related peripheral nerve tumorigenesis.,INCLUDE,Molecular pathway research tool
PMID:15659388,Erbin regulates mitogen-activated protein (MAP) kinase activation and MAP kinase-dependent interactions between Merlin and adherens junction protein complexes in Schwann cells.,INCLUDE,Protein interaction research tool
PMID:15681480,Sensitive detection of deletions of one or more exons in the neurofibromatosis type 2 (NF2) gene by multiplexed gene dosage polymerase chain reaction.,INCLUDE,Genetic deletion detection method
PMID:15712001,Spinal deformity in neurofibromatosis type-1: diagnosis and treatment.,EXCLUDE,Clinical treatment description
PMID:15767669,TATA-binding protein (TBP)-like factor (TLF) is a functional regulator of transcription: reciprocal regulation of the neurofibromatosis type 1 and c-fos genes by TLF/TRF2 and TBP.,INCLUDE,Gene transcription research tool
PMID:15831594,Methodological issues in longitudinal studies: vestibular schwannoma growth rates in neurofibromatosis 2.,INCLUDE,Longitudinal growth measurement tool
PMID:15832546,Psychological disturbance and sleep disorders in children with neurofibromatosis type 1.,INCLUDE,Clinical assessment tool
PMID:15840687,NF1 gene loss of heterozygosity and expression analysis in sporadic colon cancer.,INCLUDE,Genetic mutation analysis
PMID:15849434,Identification of Rab GTPase-activating protein-like protein (RabGAPLP) as a novel Alix/AIP1-interacting protein.,INCLUDE,Protein interaction research tool
PMID:1587809,Expression of the GTPase activating domain of the neurofibromatosis type 1 (NF1) gene in Escherichia coli and role of the conserved lysine residue.,INCLUDE,Protein expression method
PMID:15926055,Proliferation potential of spinal meningiomas.,EXCLUDE,Tumor proliferation observation
PMID:15937108,The NF1 tumor suppressor critically regulates TSC2 and mTOR.,INCLUDE,Molecular signaling research tool
PMID:1596091,Recent progress toward understanding the molecular biology of von Recklinghausen neurofibromatosis.,EXCLUDE,Review article
PMID:15988004,Transcriptional repression of the Neurofibromatosis-1 tumor suppressor by the t(8;21) fusion protein.,INCLUDE,Transcriptional regulation research tool
PMID:15994874,The location of constitutional neurofibromatosis 2 (NF2) splice site mutations is associated with the severity of NF2.,EXCLUDE,Genetic mutation description
PMID:16033085,Malignant peripheral nerve sheath tumors (MPNST) in neurofibromatosis type 1 (NF1): diagnostic findings on magnetic resonance images and mutation analysis of the NF1 gene.,INCLUDE,Genetic mutation analysis method
PMID:16036108,Temporally regulated neural crest transcription factors distinguish neuroectodermal tumors of varying malignancy and differentiation.,INCLUDE,Transcription factor research tool
PMID:1605307,Adrenal medullary tumors and iris proliferation in a transgenic mouse model of neurofibromatosis.,INCLUDE,Transgenic animal model
PMID:16061561,Age related shift in the mutation spectra of germline and somatic NF2 mutations: hypothetical role of DNA repair mechanisms.,INCLUDE,Mutation analysis method
PMID:16082189,Signal therapy of breast cancers by the HDAC inhibitor FK228 that blocks the activation of PAK1 and abrogates the tamoxifen-resistance.,INCLUDE,Drug screening method
PMID:16093333,Sensory neurons from Nf1 haploinsufficient mice exhibit increased excitability.,INCLUDE,Animal model research tool
PMID:16098465,Early inactivation of p53 tumor suppressor gene cooperating with NF1 loss induces malignant astrocytoma.,INCLUDE,Genetic interaction research tool
PMID:16116616,Palindromic AT-rich repeat in the NF1 gene is hypervariable in humans and evolutionarily conserved in primates.,INCLUDE,Genetic sequence analysis method
PMID:16117786,Gonosomal mosaicism for a nonsense mutation (R1947X) in the NF1 gene in segmental neurofibromatosis type 1.,INCLUDE,Genetic mutation analysis
PMID:16169856,The neurofibromatosis type 1 gene product neurofibromin enhances cell motility by regulating actin filament dynamics via the Rho-ROCK-LIMK2-cofilin pathway.,INCLUDE,Molecular pathway research tool
PMID:16173828,CyberKnife Frameless Radiosurgery for the treatment of extracranial benign tumors.,EXCLUDE,Surgical technique description
PMID:16226702,A mouse model for studying therapy-induced cancers.,INCLUDE,Animal model development
PMID:16226708,Therapy-induced malignant neoplasms in Nf1 mutant mice.,INCLUDE,Animal model development
PMID:16242402,PDF receptor signaling in Drosophila contributes to both circadian and geotactic behaviors.,EXCLUDE,Behavioral research description
PMID:16267393,The Phosphorylation status of merlin is important for regulating the Ras-ERK pathway.,INCLUDE,Protein modification research tool
PMID:16276382,[Hereditary endocrine tumour diseases].,EXCLUDE,Clinical review
PMID:16287988,Ras-related signaling pathways in valve development: ebb and flow.,EXCLUDE,Developmental biology review
PMID:16314489,Inactivation of NF1 in CNS causes increased glial progenitor proliferation and optic glioma formation.,INCLUDE,Animal model research tool
PMID:16324214,"Evolution and origin of merlin, the product of the Neurofibromatosis type 2 (NF2) tumor-suppressor gene.",INCLUDE,Evolutionary genetics method
PMID:16340004,New approaches to the analysis of palindromic sequences from the human genome: evolution and polymorphism of an intronic site at the NF1 locus.,INCLUDE,Genetic sequence analysis method
PMID:1636515,Spinal MR findings in neurofibromatosis types 1 and 2.,EXCLUDE,Diagnostic imaging description
PMID:16374483,Neurofibromatosis type 1 protein and amyloid precursor protein interact in normal human melanocytes and colocalize with melanosomes.,INCLUDE,Protein interaction research tool
PMID:16380919,NF1 gene mutations represent the major molecular event underlying neurofibromatosis-Noonan syndrome.,EXCLUDE,Genetic mutation description
PMID:1639394,A yeast artificial chromosome contig encompassing the type 1 neurofibromatosis gene.,INCLUDE,Genetic mapping reagent
PMID:16397625,A novel bipartite phospholipid-binding module in the neurofibromatosis type 1 protein.,INCLUDE,Protein interaction research tool
PMID:16406348,Immune system evasion by peripheral nerve sheath tumor.,EXCLUDE,Immunology observation
PMID:16418572,Sichuan pepper extracts block the PAK1/cyclin D1 pathway and the growth of NF1-deficient cancer xenograft in mice.,INCLUDE,Drug screening method
PMID:16438728,Sperm protein 17 is expressed in human nervous system tumours.,EXCLUDE,Protein expression observation
PMID:16482197,Café-au-lait patches and senile plaques: How APPt the connection?,EXCLUDE,Genetic association review
PMID:16513807,Effect of neurofibromatosis type I mutations on a novel pathway for adenylyl cyclase activation requiring neurofibromin and Ras.,INCLUDE,Molecular pathway research tool
PMID:16524466,Cognitive dysfunction in NF1 knock-out mice may result from altered vesicular trafficking of APP/DRD3 complex.,INCLUDE,Animal model research tool
PMID:16537381,Mixed-lineage kinase 3 regulates B-Raf through maintenance of the B-Raf/Raf-1 complex and inhibition by the NF2 tumor suppressor protein.,INCLUDE,Protein interaction research tool
PMID:16571745,Temporal control of Rac in Schwann cell-axon interaction is disrupted in NF2-mutant schwannoma cells.,INCLUDE,Cell interaction research tool
PMID:16581517,The tumor suppressors Merlin and Expanded function cooperatively to modulate receptor endocytosis and signaling.,INCLUDE,Protein interaction research tool
PMID:16613742,[Treatment of congenital pseudarthrosis of tibia by vascularized fibular graft].,EXCLUDE,Surgical technique description
PMID:16619545,Expression of emmprin and matrix metalloproteinases (MMPs) in peripheral nerve sheath tumors: emmprin and membrane-type (MT)1-MMP expressions are associated with malignant potential.,INCLUDE,Molecular expression analysis method
PMID:16642646,Neurofibromatosis.,EXCLUDE,Review article
PMID:1672744,A polymorphic cDNA probe on chromosome 17q11.2 located within the NF1 gene [D17S376].,INCLUDE,Genetic mapping reagent
PMID:16786042,A prospective study of neurofibromatosis type 1 cancer incidence in the UK.,EXCLUDE,Epidemiological study
PMID:16793550,The kelch proteins Gpb1 and Gpb2 inhibit Ras activity via association with the yeast RasGAP neurofibromin homologs Ira1 and Ira2.,INCLUDE,Molecular pathway research tool
PMID:16795074,"Imaging, morphologic, and immunohistochemical correlation in gastrointestinal stromal tumors.",EXCLUDE,Imaging description
PMID:1679535,A TaqI polymorphism in the human NF1 gene.,INCLUDE,Genetic polymorphism method
PMID:1679929,A BglII polymorphism in the human NF1 gene.,INCLUDE,Genetic polymorphism method
PMID:16835260,Nf1+/- mast cells induce neurofibroma like phenotypes through secreted TGF-beta signaling.,INCLUDE,Cell interaction research model
PMID:1684425,A BglII RFLP near the human neurofibromatosis type 1 (NF1) gene.,INCLUDE,Genetic polymorphism method
PMID:16870183,NF1 mRNA biogenesis: effect of the genomic milieu in splicing regulation of the NF1 exon 37 region.,INCLUDE,mRNA biogenesis research tool
PMID:16894610,Regulation of the neurofibromatosis 2 gene promoter expression during embryonic development.,INCLUDE,Gene expression research tool
PMID:16906226,The neurofibromin GAP-related domain rescues endothelial but not neural crest development in Nf1 mice.,INCLUDE,Animal model research tool
PMID:1696266,Angiogenic and invasive properties of neurofibroma Schwann cells.,EXCLUDE,Cell characteristic description
PMID:16996265,The fat cadherin acts through the hippo tumor-suppressor pathway to regulate tissue size.,EXCLUDE,Developmental biology review
PMID:17053831,Hyperactivation of p21ras and PI3K cooperate to alter murine and human neurofibromatosis type 1-haploinsufficient osteoclast functions.,INCLUDE,Animal model research tool
PMID:17075701,Electrophysiological validation of a human prototype auditory midbrain implant in a guinea pig model.,INCLUDE,Animal model research tool
PMID:17090653,Beta common receptor inactivation attenuates myeloproliferative disease in Nf1 mutant mice.,INCLUDE,Animal model research tool
PMID:17141624,Protein nutrition as therapy for a genetic disorder of bone?,EXCLUDE,Theoretical nutritional therapy
PMID:17149968,Malignant peripheral nerve sheath tumor with rhabdomyosarcomatous differentiation (malignant triton tumor).,EXCLUDE,Tumor pathology description
PMID:1715669,The neurofibroma in von Recklinghausen neurofibromatosis has a unicellular origin.,INCLUDE,Cell origin research method
PMID:17157787,A negative feedback signaling network underlies oncogene-induced senescence.,EXCLUDE,Signaling network review
PMID:17167629,Extreme lateral approach to ventral and ventrolaterally situated lesions of the lower brainstem and upper cervical cord.,EXCLUDE,Surgical approach description
PMID:17171142,Advantages of the retrosigmoid approach in auditory brain stem implantation.,EXCLUDE,Surgical technique description
PMID:17171155,Atypical invasion of the temporal bone in vestibular schwannoma.,EXCLUDE,Tumor invasion description
PMID:17202204,Refractive errors in neurofibromatosis type 1 and type 2.,EXCLUDE,Clinical observation
PMID:17210637,"Identification and characterization of putative tumor suppressor NGB, a GTP-binding protein that interacts with the neurofibromatosis 2 protein.",INCLUDE,Protein interaction characterization
PMID:17215387,Phosphatidylinositol 3-kinase and Akt nonautonomously promote perineurial glial growth in Drosophila peripheral nerves.,INCLUDE,Genetic signaling pathway analysis
PMID:17216419,Nf1 expression is dependent on strain background: implications for tumor suppressor haploinsufficiency studies.,INCLUDE,Genetic strain background analysis
PMID:17220301,The MicroRNA let-7a modulates interleukin-6-dependent STAT-3 survival signaling in malignant human cholangiocytes.,EXCLUDE,Molecular signaling mechanism
PMID:17295913,Functional analysis of splicing mutations in exon 7 of NF1 gene.,INCLUDE,Genetic splicing mutation analysis
PMID:17297447,HEI10 negatively regulates cell invasion by inhibiting cyclin B/Cdk1 and other promotility proteins.,EXCLUDE,Protein interaction description
PMID:17297459,Tumor microenvironment and neurofibromatosis type I: connecting the GAPs.,EXCLUDE,Tumor microenvironment review
PMID:1729894,Multicolor in situ hybridization and linkage analysis order Charcot-Marie-Tooth type I (CMTIA) gene-region markers.,INCLUDE,Genetic linkage analysis method
PMID:17387725,Optic pathway gliomas in neurofibromatosis-1: controversies and recommendations.,EXCLUDE,Clinical review
PMID:17453145,How do Shp2 mutations that oppositely influence its biochemical activity result in syndromes with overlapping symptoms?,EXCLUDE,Biochemical mechanism review
PMID:17548515,Contact-dependent inhibition of EGFR signaling by Nf2/Merlin.,INCLUDE,Molecular signaling pathway research
