pmid,title,is_research,screening_reasoning
11159187,Tumorigenic properties of neurofibromin-deficient neurofibroma Schwann cells.,True,Tumorigenic cell properties study
11316791,"The NF2 tumor suppressor gene product, merlin, mediates contact inhibition of growth through interactions with CD44.",True,Protein interaction analysis
11356864,Bipartite interaction between neurofibromatosis type I protein (neurofibromin) and syndecan transmembrane heparan sulfate proteoglycans.,True,Protein interaction study
11368764,"The neurofibromatosis 2 protein product merlin selectively binds F-actin but not G-actin, and stabilizes the filaments through a lateral association.",True,Protein binding characterization
11380622,Identification of the cis-acting region in the NF2 gene promoter as a potential target for mutation and methylation-dependent silencing in schwannoma.,True,Gene promoter identification
11404331,A systematic screen for dominant second-site modifiers of Merlin/NF2 phenotypes reveals an interaction with blistered/DSRF and scribbler.,True,Genetic modifier screening
11432873,Schwannomin isoform-1 interacts with syntenin via PDZ domains.,True,Protein interaction study
11433044,Quantification of splice variants using real-time PCR.,True,Splice variant quantification method
11435472,"Hyperactivation of p21(ras) and the hematopoietic-specific Rho GTPase, Rac2, cooperate to alter the proliferation of neurofibromin-deficient mast cells in vivo and in vitro.",True,Cellular proliferation analysis
11438454,NF1 deletions in S-100 protein-positive and negative cells of sporadic and neurofibromatosis 1 (NF1)-associated plexiform neurofibromas and malignant peripheral nerve sheath tumors.,True,Genetic deletion analysis
11533205,Retroviral integration at the Epi1 locus cooperates with Nf1 gene loss in the progression to acute myeloid leukemia.,True,Retroviral integration model
11535133,Binding of the merlin-I product of the neurofibromatosis type 2 tumour suppressor gene to a novel site in beta-fodrin is regulated by association between merlin domains.,True,Protein binding analysis
11544276,Quantitative effects of Nf1 inactivation on in vivo hematopoiesis.,True,In vivo hematopoiesis quantification
11703924,"The Nf2 tumor suppressor, merlin, functions in Rac-dependent signaling.",True,Signaling pathway analysis
11719502,p21-activated kinase links Rac/Cdc42 signaling to merlin.,True,Protein signaling interaction
11727199,"C-->U editing of neurofibromatosis 1 mRNA occurs in tumors that express both the type II transcript and apobec-1, the catalytic subunit of the apolipoprotein B mRNA-editing enzyme.",True,mRNA editing analysis
11756419,Structural basis for neurofibromatosis type 2. Crystal structure of the merlin FERM domain.,True,Protein structural analysis
11784085,Allele-specific non-CpG methylation of the Nf1 gene during early mouse development.,True,Genetic methylation analysis
11809806,"The neurofibromatosis type 2 gene product, merlin, reverses the F-actin cytoskeletal defects in primary human Schwannoma cells.",True,Cellular cytoskeletal analysis
11896214,NF1 tumor suppressor mRNA is targeted to the cell-cell contact zone in Ca(2+)-induced keratinocyte differentiation.,True,mRNA localization study
11996670,The 4.1/ezrin/radixin/moesin domain of the DAL-1/Protein 4.1B tumour suppressor interacts with 14-3-3 proteins.,True,Protein interaction analysis
12000789,Nf2 gene inactivation in arachnoidal cells is rate-limiting for meningioma development in the mouse.,True,Mouse meningioma model
12057013,Complex splicing pattern generates great diversity in human NF1 transcripts.,True,Transcript diversity analysis
12077339,Astrocyte-specific inactivation of the neurofibromatosis 1 gene (NF1) is insufficient for astrocytoma formation.,True,Genetic inactivation model
12082543,Mouse models of neurofibromatosis 1 and 2.,True,Mouse models of disease
12095621,Quantification of NF1 transcripts reveals novel highly expressed splice variants.,True,NF1 transcript quantification
12124168,Thinking beyond the tumor cell: Nf1 haploinsufficiency in the tumor environment.,True,Tumor microenvironment model
12130630,Mutant products of the NF2 tumor suppressor gene are degraded by the ubiquitin-proteasome pathway.,True,Protein degradation pathway
12191989,The motor protein kinesin-1 links neurofibromin and merlin in a common cellular pathway of neurofibromatosis.,True,Protein interaction pathway
12199909,Functional expression of NF1 tumor suppressor protein: association with keratin intermediate filaments during the early development of human epidermis.,True,Protein functional expression
12243339,Inhibition of ras-mediated activator protein 1 activity and cell growth by merlin.,True,Cell growth inhibition method
12393498,Leukemic potential of doubly mutant Nf1 and Wv hematopoietic cells.,True,Genetic interaction model
12469121,Nf1 has an essential role in endothelial cells.,True,Endothelial cell genetic model
12471027,Isolation and characterization of an aggresome determinant in the NF2 tumor suppressor.,True,Protein characterization
12600938,Dynamic regulation of the Ras pathway via proteolysis of the NF1 tumor suppressor.,True,Protein regulation mechanism
12612091,Brain lipid binding protein in axon-Schwann cell interactions and peripheral nerve tumorigenesis.,True,Schwann cell interaction study
12673723,Quinidine impairs proliferation of neurofibromatosis type 2-deficient human malignant mesothelioma cells.,True,Drug proliferation screening
12679023,PDZ tandem of human syntenin: crystal structure and functional properties.,True,Protein structural analysis
12695331,NF2 deficiency promotes tumorigenesis and metastasis by destabilizing adherens junctions.,True,Cellular junction destabilization model
12730209,Neurofibromatosis type I tumor suppressor neurofibromin regulates neuronal differentiation via its GTPase-activating protein function toward Ras.,True,Neuronal differentiation mechanism
12896975,Merlin links to the cAMP neuronal signaling pathway by anchoring the RIbeta subunit of protein kinase A.,True,Protein signaling interaction
12904481,Aberrant growth and differentiation of oligodendrocyte progenitors in neurofibromatosis type 1 mutants.,True,Oligodendrocyte progenitor model
12946024,Pathological adhesion of primary human schwannoma cells is dependent on altered expression of integrins.,True,Cell adhesion characterization
1358802,The gene for a novel epidermal antigen maps near the neurofibromatosis 1 gene.,True,Genetic mapping reagent
1362901,The role of Gln61 and Glu63 of Ras GTPases in their activation by NF1 and Ras GAP.,True,Molecular interaction analysis
1376554,Immunolocalization of a glycosylphosphatidylinositol-specific phospholipase D in mast cells found in normal tissue and neurofibromatosis lesions.,True,Immunolocalization technique
1376775,SAG: a Schwann cell membrane glycoprotein.,True,Membrane protein characterization
1427886,A radiation hybrid map of the region on human chromosome 22 containing the neurofibromatosis type 2 locus.,True,Radiation hybrid mapping
14523097,The neurofibromatosis 1 gene product neurofibromin regulates pituitary adenylate cyclase-activating polypeptide-mediated signaling in astrocytes.,True,Molecular signaling mechanism
14580336,"Merlin, the product of the Nf2 tumor suppressor gene, is an inhibitor of the p21-activated kinase, Pak1.",True,Protein interaction study
14627667,Identification of recurrent regions of chromosome loss and gain in vestibular schwannomas using comparative genomic hybridisation.,True,Comparative genomic hybridization
14679174,It takes two to tango: mast cell and Schwann cell interactions in neurofibromas.,True,Cell interaction model
14679180,Neurofibromin-deficient Schwann cells secrete a potent migratory stimulus for Nf1+/- mast cells.,True,Cell migration mechanism
14679203,Merlin neutralizes the inhibitory effect of Mdm2 on p53.,True,Protein interaction mechanism
14681409,The Unified Medical Language System (UMLS): integrating biomedical terminology.,True,Computational terminology tool
14724565,Role of TC21/R-Ras2 in enhanced migration of neurofibromin-deficient Schwann cells.,True,Cell migration mechanism
14741381,"PKA phosphorylation and 14-3-3 interaction regulate the function of neurofibromatosis type I tumor suppressor, neurofibromin.",True,Protein modification mechanism
1496981,Analysis of chromosome 22 deletions in neurofibromatosis type 2-related tumors.,True,Chromosome deletion analysis
14988005,Neurofibromin is actively transported to the nucleus.,True,"Protein localization mechanism/home/runner/work/nf-research-tools-schema/nf-research-tools-schema/tool_coverage/scripts/screen_publication_titles.py:85: DeprecationWarning: The model 'claude-3-5-haiku-20241022' is deprecated and will reach end-of-life on February 19th, 2026."
14991710,Characterization of chicken Nf2/merlin indicates regulatory roles in cell proliferation and migration.,True,Animal model characterization
15039234,Loss of the nf1 tumor suppressor gene decreases fas antigen expression in myeloid cells.,True,Gene expression analysis
15123692,"Merlin, a tumor suppressor, interacts with transactivation-responsive RNA-binding protein and inhibits its oncogenic activity.",True,Protein interaction mechanism
1519665,Nonradioactive in situ hybridization using digoxigenin-labeled oligonucleotides. Applications to musculoskeletal tissues.,True,In situ hybridization technique
15206577,Gene expression analysis of the lung following paraquat administration in rats using DNA microarray.,True,Gene expression microarray
15240917,Survival of Human Neurofibroma in Immunodeficient Mice and Initial Results of Therapy With Pirfenidone.,True,Patient-derived xenograft model
15255999,"Molecular profiling of malignant peripheral nerve sheath tumors associated with neurofibromatosis type 1, based on large-scale real-time RT-PCR.",True,Gene expression profiling
15446585,Gene expression profiling reveals unique molecular subtypes of Neurofibromatosis Type I-associated and sporadic malignant peripheral nerve sheath tumors.,True,Gene expression profiling
15570216,Targeted gene expression in the chicken eye by in ovo electroporation.,True,Gene expression technique
15598747,Neurofibromatosis 2 (NF2) tumor suppressor merlin inhibits phosphatidylinositol 3-kinase through binding to PIKE-L.,True,Protein interaction mechanism
15623944,DNA ploidy and chromosome (FISH) pattern analysis of peripheral nerve sheath tumors.,True,Chromosome analysis technique
15647118,Patient-focused measures of functional health status and health-related quality of life in pediatric orthopedics: a case study in measurement selection.,True,Clinical assessment tool
15652750,Role for the epidermal growth factor receptor in neurofibromatosis-related peripheral nerve tumorigenesis.,True,Molecular mechanism study
15659388,Erbin regulates mitogen-activated protein (MAP) kinase activation and MAP kinase-dependent interactions between Merlin and adherens junction protein complexes in Schwann cells.,True,Protein interaction mechanism
15681480,Sensitive detection of deletions of one or more exons in the neurofibromatosis type 2 (NF2) gene by multiplexed gene dosage polymerase chain reaction.,True,Genetic screening technique
15767669,TATA-binding protein (TBP)-like factor (TLF) is a functional regulator of transcription: reciprocal regulation of the neurofibromatosis type 1 and c-fos genes by TLF/TRF2 and TBP.,True,Transcription regulation mechanism
15831594,Methodological issues in longitudinal studies: vestibular schwannoma growth rates in neurofibromatosis 2.,True,Clinical assessment method
15832546,Psychological disturbance and sleep disorders in children with neurofibromatosis type 1.,True,Psychological assessment tool
15840687,NF1 gene loss of heterozygosity and expression analysis in sporadic colon cancer.,True,Gene expression analysis
15849434,Identification of Rab GTPase-activating protein-like protein (RabGAPLP) as a novel Alix/AIP1-interacting protein.,True,Protein interaction mechanism
1587809,Expression of the GTPase activating domain of the neurofibromatosis type 1 (NF1) gene in Escherichia coli and role of the conserved lysine residue.,True,Protein expression technique
15937108,The NF1 tumor suppressor critically regulates TSC2 and mTOR.,True,Molecular signaling mechanism
15988004,Transcriptional repression of the Neurofibromatosis-1 tumor suppressor by the t(8;21) fusion protein.,True,Transcriptional regulation mechanism
16033085,Malignant peripheral nerve sheath tumors (MPNST) in neurofibromatosis type 1 (NF1): diagnostic findings on magnetic resonance images and mutation analysis of the NF1 gene.,True,Imaging and mutation analysis
16036108,Temporally regulated neural crest transcription factors distinguish neuroectodermal tumors of varying malignancy and differentiation.,True,Molecular characterization technique
1605307,Adrenal medullary tumors and iris proliferation in a transgenic mouse model of neurofibromatosis.,True,Transgenic animal model
16061561,Age related shift in the mutation spectra of germline and somatic NF2 mutations: hypothetical role of DNA repair mechanisms.,True,Mutation analysis technique
16082189,Signal therapy of breast cancers by the HDAC inhibitor FK228 that blocks the activation of PAK1 and abrogates the tamoxifen-resistance.,True,Molecular mechanism study
16093333,Sensory neurons from Nf1 haploinsufficient mice exhibit increased excitability.,True,Animal model characterization
16098465,Early inactivation of p53 tumor suppressor gene cooperating with NF1 loss induces malignant astrocytoma.,True,Molecular mechanism study
16116616,Palindromic AT-rich repeat in the NF1 gene is hypervariable in humans and evolutionarily conserved in primates.,True,Genetic sequence analysis
16117786,Gonosomal mosaicism for a nonsense mutation (R1947X) in the NF1 gene in segmental neurofibromatosis type 1.,True,Genetic mutation analysis
16169856,The neurofibromatosis type 1 gene product neurofibromin enhances cell motility by regulating actin filament dynamics via the Rho-ROCK-LIMK2-cofilin pathway.,True,Molecular mechanism study
16226702,A mouse model for studying therapy-induced cancers.,True,Animal model development
16226708,Therapy-induced malignant neoplasms in Nf1 mutant mice.,True,Animal model development
16267393,The Phosphorylation status of merlin is important for regulating the Ras-ERK pathway.,True,Protein modification mechanism
16314489,Inactivation of NF1 in CNS causes increased glial progenitor proliferation and optic glioma formation.,True,Animal model development
16324214,"Evolution and origin of merlin, the product of the Neurofibromatosis type 2 (NF2) tumor-suppressor gene.",True,Evolutionary analysis technique
16340004,New approaches to the analysis of palindromic sequences from the human genome: evolution and polymorphism of an intronic site at the NF1 locus.,True,Genetic sequence analysis
16374483,Neurofibromatosis type 1 protein and amyloid precursor protein interact in normal human melanocytes and colocalize with melanosomes.,True,Protein interaction mechanism
1639394,A yeast artificial chromosome contig encompassing the type 1 neurofibromatosis gene.,True,Genetic mapping technique
16397625,A novel bipartite phospholipid-binding module in the neurofibromatosis type 1 protein.,True,Protein interaction mechanism
16418572,Sichuan pepper extracts block the PAK1/cyclin D1 pathway and the growth of NF1-deficient cancer xenograft in mice.,True,Xenograft model
16513807,Effect of neurofibromatosis type I mutations on a novel pathway for adenylyl cyclase activation requiring neurofibromin and Ras.,True,Molecular signaling mechanism
16524466,Cognitive dysfunction in NF1 knock-out mice may result from altered vesicular trafficking of APP/DRD3 complex.,True,Animal model characterization
16537381,Mixed-lineage kinase 3 regulates B-Raf through maintenance of the B-Raf/Raf-1 complex and inhibition by the NF2 tumor suppressor protein.,True,Molecular mechanism study
16571745,Temporal control of Rac in Schwann cell-axon interaction is disrupted in NF2-mutant schwannoma cells.,True,Molecular mechanism study
16581517,The tumor suppressors Merlin and Expanded function cooperatively to modulate receptor endocytosis and signaling.,True,Protein interaction mechanism
16619545,Expression of emmprin and matrix metalloproteinases (MMPs) in peripheral nerve sheath tumors: emmprin and membrane-type (MT)1-MMP expressions are associated with malignant potential.,True,Molecular expression analysis
1672744,A polymorphic cDNA probe on chromosome 17q11.2 located within the NF1 gene [D17S376].,True,Genetic mapping technique
16793550,The kelch proteins Gpb1 and Gpb2 inhibit Ras activity via association with the yeast RasGAP neurofibromin homologs Ira1 and Ira2.,True,Molecular interaction mechanism
1679535,A TaqI polymorphism in the human NF1 gene.,True,Genetic polymorphism technique
1679929,A BglII polymorphism in the human NF1 gene.,True,Genetic polymorphism technique
16835260,Nf1+/- mast cells induce neurofibroma like phenotypes through secreted TGF-beta signaling.,True,Cell interaction mechanism
1684425,A BglII RFLP near the human neurofibromatosis type 1 (NF1) gene.,True,Genetic polymorphism technique
16870183,NF1 mRNA biogenesis: effect of the genomic milieu in splicing regulation of the NF1 exon 37 region.,True,mRNA analysis technique
16894610,Regulation of the neurofibromatosis 2 gene promoter expression during embryonic development.,True,Gene promoter regulation mechanism
16906226,The neurofibromin GAP-related domain rescues endothelial but not neural crest development in Nf1 mice.,True,Animal model development
1696266,Angiogenic and invasive properties of neurofibroma Schwann cells.,True,Cell line characterization
17053831,Hyperactivation of p21ras and PI3K cooperate to alter murine and human neurofibromatosis type 1-haploinsufficient osteoclast functions.,True,Animal model research
17075701,Electrophysiological validation of a human prototype auditory midbrain implant in a guinea pig model.,True,Animal model for medical device
17090653,Beta common receptor inactivation attenuates myeloproliferative disease in Nf1 mutant mice.,True,Animal model research
17210637,"Identification and characterization of putative tumor suppressor NGB, a GTP-binding protein that interacts with the neurofibromatosis 2 protein.",True,Genetic reagent characterization
17215387,Phosphatidylinositol 3-kinase and Akt nonautonomously promote perineurial glial growth in Drosophila peripheral nerves.,True,Genetic model research
17216419,Nf1 expression is dependent on strain background: implications for tumor suppressor haploinsufficiency studies.,True,Animal model research
17295913,Functional analysis of splicing mutations in exon 7 of NF1 gene.,True,Genetic mutation analysis
17548515,Contact-dependent inhibition of EGFR signaling by Nf2/Merlin.,True,Molecular signaling research
17558420,Imatinib mesylate inhibits cell invasion of malignant peripheral nerve sheath tumor induced by platelet-derived growth factor-BB.,True,Drug screening research
17581973,Distinct functional domains of neurofibromatosis type 1 regulate immediate versus long-term memory formation.,True,Genetic model research
17649826,Expression of insulin-like growth-factor-1 receptor (IGF-1R) in peripheral nerve sheath tumors in neurofibromatosis type 1.,True,Molecular marker research
17786186,MMP-13 and p53 in the progression of malignant peripheral nerve sheath tumors.,True,Molecular marker research
1783401,cDNA cloning of the type 1 neurofibromatosis gene: complete sequence of the NF1 gene product.,True,Genetic reagent development
17868749,Point mutation in the NF2 gene of HEI-193 human schwannoma cells results in the expression of a merlin isoform with attenuated growth suppressive activity.,True,Cell line genetic characterization
17924978,Natural history of meningioma development in mice reveals: a synergy of Nf2 and p16(Ink4a) mutations.,True,Animal model development
17962031,Modeling NF2 with human arachnoidal and meningioma cell culture systems: NF2 silencing reflects the benign character of tumor growth.,True,Cell line research tool
18032726,Features of 5'-splice-site efficiency derived from disease-causing mutations and comparative genomics.,True,Genetic mutation analysis
18055911,Deletions of NF1 gene and exons detected by multiplex ligation-dependent probe amplification.,True,Genetic screening method
18057212,Electrical stimulation of the midbrain for hearing restoration: insight into the functional organization of the human central auditory system.,True,Animal model for medical device
18186933,The role of Drosophila Merlin in spermatogenesis.,True,Genetic model research
18188004,Real-time PCR analysis of candidate imprinted genes on mouse chromosome 11 shows balanced expression from the maternal and paternal chromosomes and strain-specific variation in expression levels.,True,Genetic expression analysis
18218617,"Neurofibromatosis type 1 (NF1) tumor suppressor, neurofibromin, regulates the neuronal differentiation of PC12 cells via its associating protein, CRMP-2.",True,Cell line research
18242512,Induction of abnormal proliferation by nonmyelinating schwann cells triggers neurofibroma formation.,True,Animal model research
18242513,The loss of Nf1 transiently promotes self-renewal but not tumorigenesis by neural crest stem cells.,True,Stem cell model research
18272679,Neurofibromin is required for barrel formation in the mouse somatosensory cortex.,True,Animal model research
18328429,A conditional mouse model for malignant mesothelioma.,True,Animal model development
18367665,Induction of apoptosis in neurofibromatosis type 1 malignant peripheral nerve sheath tumor cell lines by a combination of novel farnesyl transferase inhibitors and lovastatin.,True,Drug screening research
18371380,Neurofibromatosis-1 regulates neuronal and glial cell differentiation from neuroglial progenitors in vivo by both cAMP- and Ras-dependent mechanisms.,True,Genetic model research
18413802,Sorafenib inhibits growth and mitogen-activated protein kinase signaling in malignant peripheral nerve sheath cells.,True,Drug screening research
18442999,Nf1+/- mice have increased neointima formation via hyperactivation of a Gleevec sensitive molecular pathway.,True,Animal model research
18445079,Altered adhesive structures and their relation to RhoGTPase activation in merlin-deficient Schwannoma.,True,Cellular mechanism research
18451155,Pten haploinsufficiency accelerates formation of high-grade astrocytomas.,True,Animal model research
18483311,Effective in vivo targeting of the mammalian target of rapamycin pathway in malignant peripheral nerve sheath tumors.,True,Drug screening research
18503770,The pathological splicing mutation c.6792C>G in NF1 exon 37 causes a change of tenancy between antagonistic splicing factors.,True,Genetic mutation analysis
18614544,Neurofibromin regulates somatic growth through the hypothalamic-pituitary axis.,True,Animal model research
18632543,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,True,Clinical assessment tool
18632626,Merlin is a potent inhibitor of glioma growth.,True,Molecular mechanism research
18636037,The ErbB inhibitors trastuzumab and erlotinib inhibit growth of vestibular schwannoma xenografts in nude mice: a preliminary study.,True,Patient-derived xenograft model
18670322,Vestibular schwannoma quantitative polymerase chain reaction expression of estrogen and progesterone receptors.,True,Molecular marker research
18671844,Modelling neurofibromatosis type 1 tibial dysplasia and its treatment with lovastatin.,True,Animal model research
18768391,Pak1 regulates multiple c-Kit mediated Ras-MAPK gain-in-function phenotypes in Nf1+/- mast cells.,True,Genetic model research
18769552,Frequent EGFR Positivity and Overexpression in High-Grade Areas of Human MPNSTs.,True,Molecular marker research
18800150,Mechanisms of loss of heterozygosity in neurofibromatosis type 1-associated plexiform neurofibromas.,True,Genetic mechanism research
18923024,Tumor suppressor schwannomin/merlin is critical for the organization of Schwann cell contacts in peripheral nerves.,True,Cellular mechanism research
18927496,Suppression of proliferation of two independent NF1 malignant peripheral nerve sheath tumor cell lines by the pan-ErbB inhibitor CI-1033.,True,Drug screening research
18931645,Bioluminescent imaging of intracranial vestibular schwannoma xenografts in NOD/SCID mice.,True,Patient-derived xenograft model
18953429,"The neurofibromatosis 2 tumor suppressor gene product, merlin, regulates human meningioma cell growth by signaling through YAP.",True,Molecular mechanism research
18953430,Tissue-specific ablation of Prkar1a causes schwannomas by suppressing neurofibromatosis protein production.,True,Animal model research
18974932,A role for the p53 pathway in the pathology of meningiomas with NF2 loss.,True,Molecular mechanism research
18984156,Nf1-dependent tumors require a microenvironment containing Nf1+/-- and c-kit-dependent bone marrow.,True,Animal model research
18984165,Neurofibromin regulation of ERK signaling modulates GABA release and learning.,True,Molecular mechanism research
18988803,Ras signaling influences permissiveness of malignant peripheral nerve sheath tumor cells to oncolytic herpes.,True,Drug screening research
19016857,Polypyrimidine tract binding protein regulates alternative splicing of an aberrant pseudoexon in NF1.,True,Genetic splicing research tool
1903357,"cDNA sequence and genomic structure of EV12B, a gene lying within an intron of the neurofibromatosis type 1 gene.",True,Genetic sequence characterization
19041782,Nf1 mutation expands an EGFR-dependent peripheral nerve progenitor that confers neurofibroma tumorigenic potential.,True,Animal model of NF1 mutation
19191334,Microarray analyses reveal regional astrocyte heterogeneity with implications for neurofibromatosis type 1 (NF1)-regulated glial proliferation.,True,Microarray analysis tool
19282654,"Tranilast, an anti-allergic drug, down-regulates the growth of cultured neurofibroma cells derived from neurofibromatosis type 1.",True,Cell culture research method
19333415,Drosophila melanogaster as a model organism of brain diseases.,True,Drosophila disease model
19427284,The neurofibroma cell of origin: SKPs expand the playing field.,True,Cell of origin research tool
19427294,Cell of origin and microenvironment contribution for NF1-associated dermal neurofibromas.,True,Cell origin and microenvironment model
19430883,Suggested response criteria for phase II antitumor drug studies for neurofibromatosis type 2 related vestibular schwannoma.,True,Clinical assessment criteria
19434310,Preliminary study regarding the utility of certain immunohistochemical markers in diagnosing neurofibromas and schwannomas.,True,Immunohistochemical diagnostic tool
19621444,Health-related quality of life measures in genetic disorders: an outcome variable for consideration in clinical trials.,True,Quality of life assessment tool
19710506,Nf1 deficiency cooperates with oncogenic K-RAS to induce acute myeloid leukemia in mice.,True,Animal model of leukemia
19877719,Comparative protein profiling reveals minichromosome maintenance (MCM) proteins as novel potential tumor markers for meningiomas.,True,Protein profiling method
19966217,Cardiac and vascular functions of the zebrafish orthologues of the type I neurofibromatosis gene NFI.,True,Zebrafish disease model
20049725,Integrative genomic analyses of neurofibromatosis tumours identify SOX9 as a biomarker and survival gene.,True,Genomic analysis tool
20176786,Bioluminescent approaches for measuring tumor growth in a mouse model of neurofibromatosis.,True,Bioluminescent imaging tool
20187887,"Application of the International Classification of Functioning, Disability and Health in children with neurofibromatosis type 1: a review.",True,Clinical assessment tool
20195187,Merlin knockdown in human Schwann cells: clues to vestibular schwannoma tumorigenesis.,True,Cell culture research method
20233966,Use of chromosome engineering to model a segmental deletion of chromosome band 7q22 found in myeloid malignancies.,True,Chromosome engineering model
20428190,NF-1Score: a prediction score for internal neurofibromas in neurofibromatosis-1.,True,Clinical prediction score
20511180,ErbB/HER receptor activation and preclinical efficacy of lapatinib in vestibular schwannoma.,True,Preclinical drug efficacy study
20551058,Cyclic AMP suppression is sufficient to induce gliomagenesis in a mouse model of neurofibromatosis-1.,True,Animal disease model
20600672,Ultrastructural characterization of the optic pathway in a mouse model of neurofibromatosis-1 optic glioma.,True,Ultrastructural characterization model
20606732,CD44 and p53 immunoexpression patterns in NF1 neoplasms - indicators of malignancy and infiltration.,True,Immunohistochemical diagnostic tool
20643348,The Merlin/NF2 tumor suppressor functions through the YAP oncoprotein to regulate tissue homeostasis in mammals.,True,Molecular mechanism research tool
20643380,Targeted treatments for cognitive and neurodevelopmental disorders in tuberous sclerosis complex.,True,Targeted treatment research
20668197,A distinct set of Drosophila brain neurons required for neurofibromatosis type 1-dependent learning and memory.,True,Drosophila brain neuron model
20668201,Merlin inhibits neurite outgrowth in the CNS.,True,Neuroscience research mechanism
20675406,Nf2/Merlin controls progenitor homeostasis and tumorigenesis in the liver.,True,Genetic model of progenitor homeostasis
20680410,The role of neurofibromin in N-Ras mediated AP-1 regulation in malignant peripheral nerve sheath tumors.,True,Molecular mechanism research
20686603,The 4q12 amplicon in malignant peripheral nerve sheath tumors: consequences on gene expression and implications for sunitinib treatment.,True,Gene expression analysis tool
20699653,Analysis of steroid hormone effects on xenografted human NF1 tumor schwann cells.,True,Xenograft cell model
20713513,Merlin in organ size control and tumorigenesis: Hippo versus EGFR?,True,Molecular mechanism research
20739432,Gene expression analysis identifies potential biomarkers of neurofibromatosis type 1 including adrenomedullin.,True,Gene expression biomarker research
20818339,MicroRNA expression profiling in benign (sporadic and hereditary) and recurring adrenal pheochromocytomas.,True,MicroRNA expression profiling
20826448,Reduced striatal dopamine underlies the attention system dysfunction in neurofibromatosis-1 mutant mice.,True,Animal model of neurological dysfunction
20856158,MicroRNA-21 overexpression contributes to vestibular schwannoma cell proliferation and survival.,True,Molecular mechanism research
20858602,Oligodendrocyte progenitor cell numbers and migration are regulated by the zebrafish orthologs of the NF1 tumor suppressor gene.,True,Zebrafish genetic model
20876733,Neurofibromatosis-1 regulates neuroglial progenitor proliferation and glial differentiation in a brain region-specific manner.,True,Neuroglial progenitor research model
20890305,Regulation of mixed lineage kinase 3 is required for Neurofibromatosis-2-mediated growth suppression in human cancer.,True,Molecular mechanism research
21031597,Dissecting loss of heterozygosity (LOH) in neurofibromatosis type 1-associated neurofibromas: Importance of copy neutral LOH.,True,Genetic loss of heterozygosity analysis
2105641,Flanking markers bracket the neurofibromatosis type 2 (NF2) gene on chromosome 22.,True,Genetic mapping research
21072183,p21-Activated kinases are required for transformation in a cell-based model of neurofibromatosis type 2.,True,Cell transformation model
