animalModelId,strainNomenclature,backgroundStrain,backgroundSubstrain,donorId,transplantationDonorId,animalModelOfManifestation,animalModelGeneticDisorder,transplantationType,animalState,generation,_pmid,_doi,_publicationTitle,_foundIn,_confidence,_contextSnippet,_whyMissed,_reasoning,_source,_completenessScore,_criticalFieldsScore,_missingCriticalFields,_hasMinimumFields
f0deff3e-54cc-4295-8082-43f07466a8dd,blistered/DSRF mutants,,,,,,,,,,PMID:11404331,,A systematic screen for dominant second-site modifiers of Merlin/NF2 phenotypes reveals an interaction with blistered/DSRF and scribbler.,abstract,0.8,...Group IIc/blistered...mutations in scribbler and blistered display second-site noncomplementation...,Specific Drosophila mutant strain not detected - gene name with mutation context pattern needed,,AI validation - Sonnet 4.5,0,0,,True
3dcdc8ba-b52c-454c-8244-f09f84f5c5e9,HTLV-1 tax transgenic mice,,,,,,,,,,PMID:1605307,,Adrenal medullary tumors and iris proliferation in a transgenic mouse model of neurofibromatosis.,abstract,0.9,The expression of the human T-cell lymphotropic virus type 1 (HTLV-1) tax gene in transgenic mice has been shown to result in the development of neurofibromas,Specific transgenic line name combining virus gene (HTLV-1 tax) with mouse model may not match existing patterns,,AI validation - Sonnet 4.5,0,0,,True
c70ca383-f45b-4759-b56b-146c6517b510,Nf1+/- mice,,,,,,,,,,PMID:16093333,,Sensory neurons from Nf1 haploinsufficient mice exhibit increased excitability.,abstract,1.0,"...sensory neurons isolated from the dorsal root ganglia of adult mice with a heterozygous mutation of the Nf1 gene (Nf1+/-), analogous to the human mutation...",Standard genetic nomenclature for heterozygous knockout mice not recognized by mining patterns,,AI validation - Sonnet 4.5,0,0,,True
e6dbf444-3aef-48e9-9404-821ad7d46d0d,Nf1 fl/fl; PostnCre mice,,,,,,,,,,PMID:16226708,,Therapy-induced malignant neoplasms in Nf1 mutant mice.,methods,1.0,conditional knockout mouse models of NF1-associated PNs in 2 germline contexts: Nf1 fllfl ; PostnCre and + Nf1 fl/- ; PostnCre,Complex genotype notation with special characters and spacing not captured by current patterns,,AI validation - Sonnet 4.5,0,0,,True
6a94387a-f12f-42ff-b075-3a61d39f7302,Nf1 fl/-; PostnCre mice,,,,,,,,,,PMID:16226708,,Therapy-induced malignant neoplasms in Nf1 mutant mice.,methods,1.0,conditional knockout mouse models of NF1-associated PNs in 2 germline contexts: Nf1 fllfl ; PostnCre and + Nf1 fl/- ; PostnCre,Complex genotype notation with special characters and spacing not captured by current patterns,,AI validation - Sonnet 4.5,0,0,,True
2be7016a-fa42-466f-9c31-d251407d4d66,Nf1(+/-) mice,,,,,,,,,,PMID:16226708,,Therapy-induced malignant neoplasms in Nf1 mutant mice.,abstract,1.0,We used heterozygous Nf1 mutant mice as a sensitized genetic background to investigate tumor induction by radiation (RAD) and cyclophosphamide (CY). Mutagen-exposed Nf1(+/-) mice developed secondary cancers,Parenthetical genotype notation not captured by current patterns,,AI validation - Sonnet 4.5,0,0,,True
6af60959-21bf-482a-b19c-a2b307d1291a,129/S background,,,,,,,,,,PMID:16226708,,Therapy-induced malignant neoplasms in Nf1 mutant mice.,methods,0.9,Mice were maintained in a mixed background (C57BL/6 and 129/S),Standard mouse strain background notation not captured,,AI validation - Sonnet 4.5,0,0,,True
25022237-f591-4c32-acee-2b833b66cb33,NF1 CNS knockout mice,,,,,,,,,,PMID:16314489,,Inactivation of NF1 in CNS causes increased glial progenitor proliferation and optic glioma formation.,abstract,0.9,...we have sought insight into the molecular and cellular basis of NF1-associated CNS pathologies. We show that mice genetically engineered to lack NF1 in CNS exhibit a variety of defects in glial cells...,"The abstract clearly describes genetically engineered mice lacking NF1 in CNS, but this was not captured by the mining algorithms. The phrase 'mice genetically engineered to lack NF1 in CNS' is a clear indication of a research animal model.",,AI validation - Sonnet 4.5,0,0,,True
a8dfd7a3-bb0a-451b-b323-32be453f246a,NF1 conditional knockout mice,,,,,,,,,,PMID:16314489,,Inactivation of NF1 in CNS causes increased glial progenitor proliferation and optic glioma formation.,abstract,0.85,...mice genetically engineered to lack NF1 in CNS exhibit a variety of defects in glial cells. Primary among these is a developmental defect resulting in global reactive astrogliosis...,"The description of tissue-specific NF1 inactivation in CNS suggests use of conditional knockout technology, which is a specific type of genetically engineered animal model that should be captured.",,AI validation - Sonnet 4.5,0,0,,True
248f4fd4-2336-497e-af7b-cb8c93eaed1d,Nf1+/- mice,,,,,,,,,,PMID:16524466,,Cognitive dysfunction in NF1 knock-out mice may result from altered vesicular trafficking of APP/DRD3 complex.,methods,1.0,"Nf1 +/- mice were purchased from Jackson Laboratory (symbol Nf1 ) [ tm 1 Fcr 22 ]. Breeder pairs were allowed to mate, and offspring were collected at postnatal days 10, 15, and 20.",Standard animal model nomenclature not captured by mining patterns,,AI validation - Sonnet 4.5,0,0,,True
8e04b85b-d466-43f2-b069-81763403e126,Jackson Laboratory Nf1tm1Fcr,,,,,,,,,,PMID:16524466,,Cognitive dysfunction in NF1 knock-out mice may result from altered vesicular trafficking of APP/DRD3 complex.,methods,1.0,Nf1 +/- mice were purchased from Jackson Laboratory (symbol Nf1 ) [ tm 1 Fcr 22 ],Specific strain identifier and vendor information not captured,,AI validation - Sonnet 4.5,0,0,,True
11b2cc7e-e255-4049-8ba8-d0df93f92919,Nf1+/- mice,,,,,,,,,,PMID:16835260,,Nf1+/- mast cells induce neurofibroma like phenotypes through secreted TGF-beta signaling.,abstract,0.9,"...Nf1+/- mast cells secrete elevated concentrations of the profibrotic transforming growth factor-beta (TGF-beta). In response to TGF-beta, both murine Nf1+/- fibroblasts...",Animal model nomenclature (Nf1+/-) indicating heterozygous knockout mice was not recognized by mining patterns,,AI validation - Sonnet 4.5,0,0,,True
5c8fef14-269e-4b72-9766-066731c07ce2,Nf1(-/-) mice,,,,,,,,,,PMID:16906226,,The neurofibromin GAP-related domain rescues endothelial but not neural crest development in Nf1 mice.,abstract,0.95,"...GAP-related domain (GRD) rescued cardiovascular development in Nf1(-/-) embryos, but overgrowth of neural crest-derived tissues persisted...",The mining patterns may not recognize the Nf1(-/-) notation as an animal model. This is a standard knockout mouse nomenclature.,,AI validation - Sonnet 4.5,0,0,,True
254f9a68-a77c-4742-b82c-04c6dfbf60e1,Nf1 knockout mice,,,,,,,,,,PMID:16906226,,The neurofibromin GAP-related domain rescues endothelial but not neural crest development in Nf1 mice.,abstract,0.9,...Mice lacking the murine homolog (Nf1) have mid-gestation lethal cardiovascular defects due to a requirement for neurofibromin in embryonic endothelium...,The phrase 'mice lacking the murine homolog (Nf1)' describes knockout mice but may not match standard mining patterns.,,AI validation - Sonnet 4.5,0,0,,True
f8064bb8-6cb1-49e3-81ca-0819ce1b6273,Nf1+/- mice,,,,,,,,,,PMID:17053831,,Hyperactivation of p21ras and PI3K cooperate to alter murine and human neurofibromatosis type 1-haploinsufficient osteoclast functions.,abstract,0.95,We found that Nf1(+/-) mice contain elevated numbers of multinucleated osteoclasts. Both osteoclasts and osteoclast progenitors from Nf1(+/-) mice were hyperresponsive to limiting concentrations of M-CSF,Animal model clearly mentioned multiple times in abstract but not captured by mining patterns,,AI validation - Sonnet 4.5,0,0,,True
b0da922b-5761-4003-9281-67a2d61aac40,p85alpha-deficient mice,,,,,,,,,,PMID:17053831,,Hyperactivation of p21ras and PI3K cooperate to alter murine and human neurofibromatosis type 1-haploinsufficient osteoclast functions.,abstract,0.9,Intercrossing Nf1(+/-) mice and mice deficient in class 1(A) PI3K (p85alpha) restored elevated PI3K activity and Nf1(+/-) osteoclast functions to WT levels,Specific knockout mouse strain mentioned but not captured by mining patterns,,AI validation - Sonnet 4.5,0,0,,True
d18eb2d0-7b60-43b1-b125-75abe79d60e3,Nf1 mutant mice,,,,,,,,,,PMID:17090653,,Beta common receptor inactivation attenuates myeloproliferative disease in Nf1 mutant mice.,abstract,0.9,...lethally irradiated mice given transplants with homozygous Nf1 mutant (Nf1-/-) hematopoietic stem cells develop a fatal myeloproliferative disorder...,Mouse genetic nomenclature (Nf1-/-) may not be captured by current patterns. The term 'Nf1 mutant mice' clearly indicates a genetically modified animal model.,,AI validation - Sonnet 4.5,0,0,,True
130e2dec-0ea3-4ed7-b568-bd6bb494cd41,Nf1-/- mice,,,,,,,,,,PMID:17090653,,Beta common receptor inactivation attenuates myeloproliferative disease in Nf1 mutant mice.,abstract,0.95,...lethally irradiated mice given transplants with homozygous Nf1 mutant (Nf1-/-) hematopoietic stem cells...,Standard mouse genetic nomenclature (gene-/-) indicating homozygous knockout may not be recognized by current patterns.,,AI validation - Sonnet 4.5,0,0,,True
3f9125dc-0efa-42d4-ab7d-d2428f0a2ff4,beta c-/- stem cells,,,,,,,,,,PMID:17090653,,Beta common receptor inactivation attenuates myeloproliferative disease in Nf1 mutant mice.,abstract,0.9,"...Mice reconstituted with Nf1-/-, beta c-/- stem cells did not develop evidence of MPD...",Another example of knockout nomenclature (beta c-/-) that wasn't captured. This represents beta common receptor knockout mice.,,AI validation - Sonnet 4.5,0,0,,True
6c12dac5-8d2b-410e-8ebd-f4af81470002,Nf1-/+;Trp53-/+cis mice,,,,,,,,,,PMID:17216419,,Nf1 expression is dependent on strain background: implications for tumor suppressor haploinsufficiency studies.,abstract,0.95,"...variation in Nf1 levels is not responsible for the differences in astrocytoma and peripheral nerve sheath tumor susceptibility in Nf1-/+;Trp53-/+cis mice, or that certain mouse strains have evolved compensatory mechanisms...",Complex genetic nomenclature with multiple alleles and cis configuration may not be captured by standard mouse model patterns,,AI validation - Sonnet 4.5,0,0,,True
8eb9e998-cdb7-4b2e-922a-50833899edb5,Drosophila Nf1 mutants,,,,,,,,,,PMID:17581973,,Distinct functional domains of neurofibromatosis type 1 regulate immediate versus long-term memory formation.,abstract,0.95,...learning is disrupted in both Drosophila and mouse NF1 models. Our previous work has shown that defective cAMP signaling leads to the learning phenotype in Drosophila Nf1 mutants...,Standard Drosophila mutant nomenclature not captured by mining patterns,,AI validation - Sonnet 4.5,0,0,,True
0fa44bd8-9dd2-4d0a-a634-fea81577545d,Drosophila Nf1-null mutants,,,,,,,,,,PMID:17581973,,Distinct functional domains of neurofibromatosis type 1 regulate immediate versus long-term memory formation.,abstract,0.95,"...by expressing clinically relevant human NF1 mutations and deletions in Drosophila Nf1-null mutants, we demonstrated that the GAP-related domain...",Specific null mutant designation not recognized by patterns,,AI validation - Sonnet 4.5,0,0,,True
3ae3817c-4c7a-4e45-a4a3-89758d1de23e,Nf2 flox2/flox2 mice,,,,,,,,,,PMID:17924978,,Natural history of meningioma development in mice reveals: a synergy of Nf2 and p16(Ink4a) mutations.,methods,1.0,"To obtain Nf2 flox2/flox2 ;p16 Ink4a*/* mice, Nf2 flox2/flox2 mice (4) on the FVB/N background were bred to p16 Ink4a*/* mice",Specific genetically modified mouse strain with conditional knockout alleles not detected by mining patterns,,AI validation - Sonnet 4.5,0,0,,True
e11e7ea5-c96c-462b-aeae-98da15f5ff3c,p16 Ink4a*/* mice,,,,,,,,,,PMID:17924978,,Natural history of meningioma development in mice reveals: a synergy of Nf2 and p16(Ink4a) mutations.,methods,1.0,Nf2 flox2/flox2 mice (4) on the FVB/N background were bred to p16 Ink4a*/* mice (11) on a FVB/N/129Ola mixed background,Knockout mouse strain nomenclature not captured by current patterns,,AI validation - Sonnet 4.5,0,0,,True
a6e53c06-4d09-4038-aa91-09fb7be9b54e,FVB/N mice,,,,,,,,,,PMID:17924978,,Natural history of meningioma development in mice reveals: a synergy of Nf2 and p16(Ink4a) mutations.,methods,0.9,All mice used for this analysis were predominantly FVB/N mixed strain with contemporaneous littermates serving as controls,Standard inbred mouse strain name not recognized,,AI validation - Sonnet 4.5,0,0,,True
6e7d057b-216e-4e31-8443-d645b83ab65b,mouse model of neurofibromatosis type 1 (NF1),,,,,,,,,,PMID:18188004,,Real-time PCR analysis of candidate imprinted genes on mouse chromosome 11 shows balanced expression from the maternal and paternal chromosomes and strain-specific variation in expression levels.,abstract,0.9,We have shown previously in a mouse model of neurofibromatosis type 1 (NF1) that inheriting mutant alleles of Nf1 and Trp53 on chromosome 11 from the mother or father dramatically changes the tumor spectrum,Animal model mentioned in abstract but not captured by mining patterns - may need better pattern for 'mouse model of [disease]' format,,AI validation - Sonnet 4.5,0,0,,True
726986b9-9e05-4738-8de0-6245e4d433fa,NRG mice,,,,,,,,,,PMID:18242512,,Induction of abnormal proliferation by nonmyelinating schwann cells triggers neurofibroma formation.,results,1.0,primary tumor pieces were engrafted and serially passaged in immunodeficient NRG mice,Standard immunodeficient mouse strain used for xenografts,,AI validation - Sonnet 4.5,0,0,,True
8644399a-f0c6-4fb2-9eca-ed6952be4d65,P0a-Cre+Nf1(fl/-) mice,,,,,,,,,,PMID:18242513,,The loss of Nf1 transiently promotes self-renewal but not tumorigenesis by neural crest stem cells.,abstract,0.95,"Adult P0a-Cre+Nf1(fl/-) mice developed neurofibromas, and Nf1(+/-)Ink4a/Arf(-/-) and Nf1/p53(+/-) mice developed MPNSTs",Complex genetic nomenclature with conditional knockout notation may not have been recognized by mining patterns,,AI validation - Sonnet 4.5,0,0,,True
f72ae2d6-31de-4157-aca3-ddc29b0f3413,Nf1(+/-)Ink4a/Arf(-/-) mice,,,,,,,,,,PMID:18242513,,The loss of Nf1 transiently promotes self-renewal but not tumorigenesis by neural crest stem cells.,abstract,0.95,"Adult P0a-Cre+Nf1(fl/-) mice developed neurofibromas, and Nf1(+/-)Ink4a/Arf(-/-) and Nf1/p53(+/-) mice developed MPNSTs",Complex compound knockout nomenclature may not have been captured by existing patterns,,AI validation - Sonnet 4.5,0,0,,True
d1397693-d84f-4caa-ac64-6a119bfced82,Nf1/p53(+/-) mice,,,,,,,,,,PMID:18242513,,The loss of Nf1 transiently promotes self-renewal but not tumorigenesis by neural crest stem cells.,abstract,0.95,"Adult P0a-Cre+Nf1(fl/-) mice developed neurofibromas, and Nf1(+/-)Ink4a/Arf(-/-) and Nf1/p53(+/-) mice developed MPNSTs",Compound knockout nomenclature with slash notation may not be recognized,,AI validation - Sonnet 4.5,0,0,,True
b02878ec-a1f8-4eeb-b40d-18bd0682d953,Nf1 conditional knockout mice,,,,,,,,,,PMID:18272679,,Neurofibromin is required for barrel formation in the mouse somatosensory cortex.,abstract,0.85,mice that lack neurofibromin in the majority of cortical neurons and astrocytes fail to form cortical barrels in the somatosensory cortex,"The abstract describes mice lacking neurofibromin (NF1 gene product) in specific cell types, indicating a conditional knockout mouse model, but this may not have been detected due to descriptive rather than nomenclature-based phrasing",,AI validation - Sonnet 4.5,0,0,,True
57cd04b5-7512-4c5f-b937-0d2e99c4ba5c,BLBP-Cre mouse strain,,,,,,,,,,PMID:18371380,,Neurofibromatosis-1 regulates neuronal and glial cell differentiation from neuroglial progenitors in vivo by both cAMP- and Ras-dependent mechanisms.,abstract,0.95,Using a newly developed brain lipid binding protein (BLBP)-Cre mouse strain to study the role of neurofibromin in neural progenitor cell function,Specific transgenic mouse strain name with Cre recombinase system not detected by mining patterns,,AI validation - Sonnet 4.5,0,0,,True
64bf1acb-8db2-4d95-a908-eb61c2cfd2f9,Nf1+/- mice,,,,,,,,,,PMID:18442999,,Nf1+/- mice have increased neointima formation via hyperactivation of a Gleevec sensitive molecular pathway.,abstract,0.95,"...Given this observation, we tested whether heterozygosity of Nf1 would lead to vaso-occlusive disease in genetically engineered mice in vivo. Strikingly, Nf1+/- mice have increased neointima formation, excessive vessel wall cell proliferation...","This is a clear animal model mention with genetic modification notation (Nf1+/-) indicating heterozygous knockout mice, but was not captured by mining patterns",,AI validation - Sonnet 4.5,0,0,,True
19458c7b-2e78-4775-bc04-e58cc9cb4910,NOD/SCID mice,,,,,,,,,,PMID:18503770,,The pathological splicing mutation c.6792C>G in NF1 exon 37 causes a change of tenancy between antagonistic splicing factors.,methods,0.95,The 6~8-week old NOD/SCID mice were selected for subcutaneous injection,Immunodeficient mouse strain used for xenograft studies,,AI validation - Sonnet 4.5,0,0,,True
aceeaf6d-bc7a-4efd-ab43-78f1df9a195b,Nf1(BLBP)CKO mice,,,,,,,,,,PMID:18614544,,Neurofibromin regulates somatic growth through the hypothalamic-pituitary axis.,abstract,0.95,...we recently generated mice in which Nf1 gene inactivation occurs in neuroglial progenitor cells using the brain lipid binding protein (BLBP) promoter. We found that Nf1(BLBP)CKO mice exhibit significantly reduced body weights...,Specific genetically modified mouse strain with conditional knockout - clear animal model but may not match standard naming patterns,,AI validation - Sonnet 4.5,0,0,,True
d7054272-986c-4e6f-a62d-7b059e4a1c98,Nf1Prx1 mice,,,,,,,,,,PMID:18671844,,Modelling neurofibromatosis type 1 tibial dysplasia and its treatment with lovastatin.,methods,1.0,Cortical injury was induced bilaterally in the tuberositas tibiae in Nf1Prx1 mutant mice and littermate controls according to a method described previously.,This is a conditional knockout mouse model that is the primary experimental system used throughout the study,,AI validation - Sonnet 4.5,0,0,,True
8fb28e52-ec78-4c3c-923e-c48e60459d33,Pak1(-/-) mice,,,,,,,,,,PMID:18768391,,Pak1 regulates multiple c-Kit mediated Ras-MAPK gain-in-function phenotypes in Nf1+/- mast cells.,abstract,0.95,"Using an intercross of Pak 1(-/-) mice with Nf1(+/-) mice, we determined that Pak1 regulates hyperactive Ras-dependent proliferation","Clear animal model mention with knockout genotype notation, should have been detected by animal model patterns",,AI validation - Sonnet 4.5,0,0,,True
1c111b7a-7316-4a4d-a719-2e93dc56ba3d,Nf1(+/-) mice,,,,,,,,,,PMID:18768391,,Pak1 regulates multiple c-Kit mediated Ras-MAPK gain-in-function phenotypes in Nf1+/- mast cells.,abstract,0.95,"Using an intercross of Pak 1(-/-) mice with Nf1(+/-) mice, we determined that Pak1 regulates hyperactive Ras-dependent proliferation","Clear animal model mention with heterozygous genotype notation, should have been detected by animal model patterns",,AI validation - Sonnet 4.5,0,0,,True
cc42cc58-52d2-4eb8-b7d0-ce4a94aa967f,Col2a1-Cre mice,,,,,,,,,,PMID:18800150,,Mechanisms of loss of heterozygosity in neurofibromatosis type 1-associated plexiform neurofibromas.,discussion,0.85,"Crossing the Col2a1 (collagen, type II, alpha 1)-Cre promoter mouse with the Nf1 mouse, the authors found that the flox/flox Nf1/Col2−/− mice showed progressive scoliosis",Transgenic mouse strain with specific promoter not recognized,,AI validation - Sonnet 4.5,0,0,,True
53c6c7ef-2ae4-4435-901d-54dc8160d107,Nf1 flox/flox mice,,,,,,,,,,PMID:18800150,,Mechanisms of loss of heterozygosity in neurofibromatosis type 1-associated plexiform neurofibromas.,discussion,0.85,"Crossing the Col2a1 (collagen, type II, alpha 1)-Cre promoter mouse with the Nf1 mouse, the authors found that the flox/flox Nf1/Col2−/− mice",Conditional knockout mouse strain not caught,,AI validation - Sonnet 4.5,0,0,,True
3d30dbe0-be0c-400d-9782-8d4dbc1edaeb,P0-SCH-Delta39-121 mice,,,,,,,,,,PMID:18923024,,Tumor suppressor schwannomin/merlin is critical for the organization of Schwann cell contacts in peripheral nerves.,abstract,0.95,...we studied peripheral nerves in mice overexpressing in Schwann cells schwannomin with a deletion occurring in NF2 patients (P0-SCH-Delta39-121) or a C-terminal deletion...,This transgenic mouse line name wasn't recognized by the mining patterns. The specific nomenclature P0-SCH-Delta39-121 represents a transgenic mouse overexpressing a mutant form of schwannomin.,,AI validation - Sonnet 4.5,0,0,,True
3e173490-51a8-46e2-b384-2b416464e9e4,Nf2 conditional knockout mice,,,,,,,,,,PMID:18923024,,Tumor suppressor schwannomin/merlin is critical for the organization of Schwann cell contacts in peripheral nerves.,abstract,0.9,...Similar but more severe alterations were observed in mice with conditional deletion of the Nf2 gene in Schwann cells...,"The phrase 'conditional deletion of the Nf2 gene' describes a conditional knockout mouse model, but wasn't captured by mining patterns that may look for more standard nomenclature.",,AI validation - Sonnet 4.5,0,0,,True
8222e4ef-f268-4c36-b57f-20925e537539,C-terminal deletion schwannomin mice,,,,,,,,,,PMID:18923024,,Tumor suppressor schwannomin/merlin is critical for the organization of Schwann cell contacts in peripheral nerves.,abstract,0.85,...mice overexpressing in Schwann cells schwannomin with a deletion occurring in NF2 patients (P0-SCH-Delta39-121) or a C-terminal deletion...,"This represents another transgenic mouse line with C-terminal deletion of schwannomin, but the descriptive phrase wasn't captured by mining patterns.",,AI validation - Sonnet 4.5,0,0,,True
e43cb08b-7e1e-4fd0-bcaa-caf3af464751,NOD/SCID mice,,,,,,,,,,PMID:18931645,,Bioluminescent imaging of intracranial vestibular schwannoma xenografts in NOD/SCID mice.,abstract,1.0,...stereotactically injected into the right caudate nucleus of 21 nonobese diabetic/severe combined immunodeficient mice. Schwannoma engraftment...,Standard mouse strain nomenclature not captured - NOD/SCID is a well-known immunodeficient strain,,AI validation - Sonnet 4.5,0,0,,True
eb07b2dd-c4e8-4f37-96f0-7504d7e34d58,TEC3KO mice,,,,,,,,,,PMID:18953430,,Tissue-specific ablation of Prkar1a causes schwannomas by suppressing neurofibromatosis protein production.,abstract,0.95,Tissue-specific ablation of Prkar1a in neural crest precursor cells (TEC3KO mice) causes schwannomas with nearly 80% penetrance by 10 months.,"This is a genetically engineered mouse model with tissue-specific Prkar1a ablation, but may have been missed due to non-standard naming convention or lack of explicit 'mouse model' keywords",,AI validation - Sonnet 4.5,0,0,,True
27e97572-1710-49d9-90d6-6137250478f3,Nf1+/- mice,,,,,,,,,,PMID:18984156,,Nf1-dependent tumors require a microenvironment containing Nf1+/-- and c-kit-dependent bone marrow.,abstract,0.95,"...Nf1 heterozygosity of bone marrow-derived cells in the tumor microenvironment is sufficient to allow neurofibroma progression in the context of Schwann cell Nf1 deficiency. Further, genetic or pharmacologic attenuation of c-kit signaling in Nf1+/- hematopoietic cells...",Standard mouse strain nomenclature (Nf1+/-) indicating heterozygous knockout mice was not detected by mining patterns,,AI validation - Sonnet 4.5,0,0,,True
6705d80d-691d-4fb7-8b6b-abe6d630a822,Schwann cell Nf1-deficient mice,,,,,,,,,,PMID:18984156,,Nf1-dependent tumors require a microenvironment containing Nf1+/-- and c-kit-dependent bone marrow.,abstract,0.9,...Nf1 heterozygosity of bone marrow-derived cells in the tumor microenvironment is sufficient to allow neurofibroma progression in the context of Schwann cell Nf1 deficiency...,Tissue-specific knockout model (Schwann cell-specific Nf1 deletion) not detected - likely requires conditional knockout technology,,AI validation - Sonnet 4.5,0,0,,True
8d1b75be-8424-433d-9c5c-1acc34e5f7a0,Nf1 heterozygous null mutation mice,,,,,,,,,,PMID:18984165,,Neurofibromin regulation of ERK signaling modulates GABA release and learning.,abstract,0.9,"An Nf1 heterozygous null mutation, which results in enhanced ERK and synapsin I phosphorylation, increased GABA release in the hippocampus","This is a clear reference to a genetically modified mouse model used in the study, but no tools were mined from this publication",,AI validation - Sonnet 4.5,0,0,,True
